2010 Federal Election Senate First Preferences By Polling Place for Division 192 [Event:15508 Phase:FinalResults Generated:2013-01-22T15:03:59 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,192,Bass,8288,Newnham,A,22057,0,A Ticket Votes,Senator On-Line,8
TAS,192,Bass,8288,Newnham,A,21856,1,"MURRAY, Julie",Senator On-Line,6
TAS,192,Bass,8288,Newnham,A,21858,2,"WIENER, Sven",Senator On-Line,0
TAS,192,Bass,8288,Newnham,B,22053,0,B Ticket Votes,Australian Democrats,3
TAS,192,Bass,8288,Newnham,B,21756,1,"HUTTON, Paulene",Australian Democrats,6
TAS,192,Bass,8288,Newnham,B,21759,2,"NEAL, Timothy",Australian Democrats,1
TAS,192,Bass,8288,Newnham,C,22052,0,C Ticket Votes,Liberal,550
TAS,192,Bass,8288,Newnham,C,21538,1,"ABETZ, Eric",Liberal,39
TAS,192,Bass,8288,Newnham,C,21558,2,"PARRY, Stephen Shane",Liberal,4
TAS,192,Bass,8288,Newnham,C,21628,3,"BARNETT, Guy",Liberal,66
TAS,192,Bass,8288,Newnham,D,22055,0,D Ticket Votes,Australian Labor Party,1294
TAS,192,Bass,8288,Newnham,D,21041,1,"POLLEY, Helen",Australian Labor Party,111
TAS,192,Bass,8288,Newnham,D,21459,2,"URQUHART, Anne",Australian Labor Party,10
TAS,192,Bass,8288,Newnham,D,21488,3,"SINGH, Lisa",Australian Labor Party,21
TAS,192,Bass,8288,Newnham,E,22059,0,E Ticket Votes,Shooters and Fishers,29
TAS,192,Bass,8288,Newnham,E,21943,1,"WILLIAMS, Ray",Shooters and Fishers,5
TAS,192,Bass,8288,Newnham,E,21953,2,"BLACKMORE, Jeff",Shooters and Fishers,3
TAS,192,Bass,8288,Newnham,F,22051,0,F Ticket Votes,Australian Greens,241
TAS,192,Bass,8288,Newnham,F,20801,1,"MILNE, Christine",Australian Greens,73
TAS,192,Bass,8288,Newnham,F,20802,2,"WHISH-WILSON, Peter Stuart",Australian Greens,9
TAS,192,Bass,8288,Newnham,F,20805,3,"ANN, Penelope",Australian Greens,4
TAS,192,Bass,8288,Newnham,G,22056,0,G Ticket Votes,Secular Party of Australia,3
TAS,192,Bass,8288,Newnham,G,21676,1,"KEOGH, Jeff",Secular Party of Australia,0
TAS,192,Bass,8288,Newnham,G,21679,2,"CHOI, Jin-oh",Secular Party of Australia,0
TAS,192,Bass,8288,Newnham,H,22060,0,H Ticket Votes,Democratic Labor Party (DLP) of Australia,15
TAS,192,Bass,8288,Newnham,H,21972,1,"GORA, Mishka",Democratic Labor Party (DLP) of Australia,3
TAS,192,Bass,8288,Newnham,H,21975,2,"WILLIAMS, Margaret Mary",Democratic Labor Party (DLP) of Australia,0
TAS,192,Bass,8288,Newnham,I,22058,0,I Ticket Votes,Family First,26
TAS,192,Bass,8288,Newnham,I,21916,1,"ZUBIC, Jim",Family First,3
TAS,192,Bass,8288,Newnham,I,21917,2,"WOODCOCK, Hamish McKinnon",Family First,0
TAS,192,Bass,8288,Newnham,J,22054,0,J Ticket Votes,The Climate Sceptics,6
TAS,192,Bass,8288,Newnham,J,21743,1,"WALLER, Frank",The Climate Sceptics,2
TAS,192,Bass,8288,Newnham,J,21746,2,"COSTELLA, Sally",The Climate Sceptics,0
TAS,192,Bass,8288,Newnham,UG,21964,1,"OTTAVI, Dino",Independent,4
TAS,192,Bass,8288,Newnham,ZZ,0,99,INFORMAL,,127
TAS,192,Bass,8289,Blessington Upper,A,22057,0,A Ticket Votes,Senator On-Line,0
TAS,192,Bass,8289,Blessington Upper,A,21856,1,"MURRAY, Julie",Senator On-Line,0
TAS,192,Bass,8289,Blessington Upper,A,21858,2,"WIENER, Sven",Senator On-Line,0
TAS,192,Bass,8289,Blessington Upper,B,22053,0,B Ticket Votes,Australian Democrats,0
TAS,192,Bass,8289,Blessington Upper,B,21756,1,"HUTTON, Paulene",Australian Democrats,0
TAS,192,Bass,8289,Blessington Upper,B,21759,2,"NEAL, Timothy",Australian Democrats,0
TAS,192,Bass,8289,Blessington Upper,C,22052,0,C Ticket Votes,Liberal,25
TAS,192,Bass,8289,Blessington Upper,C,21538,1,"ABETZ, Eric",Liberal,2
TAS,192,Bass,8289,Blessington Upper,C,21558,2,"PARRY, Stephen Shane",Liberal,1
TAS,192,Bass,8289,Blessington Upper,C,21628,3,"BARNETT, Guy",Liberal,7
TAS,192,Bass,8289,Blessington Upper,D,22055,0,D Ticket Votes,Australian Labor Party,29
TAS,192,Bass,8289,Blessington Upper,D,21041,1,"POLLEY, Helen",Australian Labor Party,4
TAS,192,Bass,8289,Blessington Upper,D,21459,2,"URQUHART, Anne",Australian Labor Party,0
TAS,192,Bass,8289,Blessington Upper,D,21488,3,"SINGH, Lisa",Australian Labor Party,0
TAS,192,Bass,8289,Blessington Upper,E,22059,0,E Ticket Votes,Shooters and Fishers,4
TAS,192,Bass,8289,Blessington Upper,E,21943,1,"WILLIAMS, Ray",Shooters and Fishers,1
TAS,192,Bass,8289,Blessington Upper,E,21953,2,"BLACKMORE, Jeff",Shooters and Fishers,0
TAS,192,Bass,8289,Blessington Upper,F,22051,0,F Ticket Votes,Australian Greens,16
TAS,192,Bass,8289,Blessington Upper,F,20801,1,"MILNE, Christine",Australian Greens,2
TAS,192,Bass,8289,Blessington Upper,F,20802,2,"WHISH-WILSON, Peter Stuart",Australian Greens,0
TAS,192,Bass,8289,Blessington Upper,F,20805,3,"ANN, Penelope",Australian Greens,0
TAS,192,Bass,8289,Blessington Upper,G,22056,0,G Ticket Votes,Secular Party of Australia,1
TAS,192,Bass,8289,Blessington Upper,G,21676,1,"KEOGH, Jeff",Secular Party of Australia,0
TAS,192,Bass,8289,Blessington Upper,G,21679,2,"CHOI, Jin-oh",Secular Party of Australia,0
TAS,192,Bass,8289,Blessington Upper,H,22060,0,H Ticket Votes,Democratic Labor Party (DLP) of Australia,1
TAS,192,Bass,8289,Blessington Upper,H,21972,1,"GORA, Mishka",Democratic Labor Party (DLP) of Australia,0
TAS,192,Bass,8289,Blessington Upper,H,21975,2,"WILLIAMS, Margaret Mary",Democratic Labor Party (DLP) of Australia,0
TAS,192,Bass,8289,Blessington Upper,I,22058,0,I Ticket Votes,Family First,1
TAS,192,Bass,8289,Blessington Upper,I,21916,1,"ZUBIC, Jim",Family First,0
TAS,192,Bass,8289,Blessington Upper,I,21917,2,"WOODCOCK, Hamish McKinnon",Family First,0
TAS,192,Bass,8289,Blessington Upper,J,22054,0,J Ticket Votes,The Climate Sceptics,0
TAS,192,Bass,8289,Blessington Upper,J,21743,1,"WALLER, Frank",The Climate Sceptics,0
TAS,192,Bass,8289,Blessington Upper,J,21746,2,"COSTELLA, Sally",The Climate Sceptics,0
TAS,192,Bass,8289,Blessington Upper,UG,21964,1,"OTTAVI, Dino",Independent,1
TAS,192,Bass,8289,Blessington Upper,ZZ,0,99,INFORMAL,,2
TAS,192,Bass,8290,Branxholm,A,22057,0,A Ticket Votes,Senator On-Line,1
TAS,192,Bass,8290,Branxholm,A,21856,1,"MURRAY, Julie",Senator On-Line,0
TAS,192,Bass,8290,Branxholm,A,21858,2,"WIENER, Sven",Senator On-Line,0
TAS,192,Bass,8290,Branxholm,B,22053,0,B Ticket Votes,Australian Democrats,1
TAS,192,Bass,8290,Branxholm,B,21756,1,"HUTTON, Paulene",Australian Democrats,0
TAS,192,Bass,8290,Branxholm,B,21759,2,"NEAL, Timothy",Australian Democrats,0
TAS,192,Bass,8290,Branxholm,C,22052,0,C Ticket Votes,Liberal,62
TAS,192,Bass,8290,Branxholm,C,21538,1,"ABETZ, Eric",Liberal,9
TAS,192,Bass,8290,Branxholm,C,21558,2,"PARRY, Stephen Shane",Liberal,1
TAS,192,Bass,8290,Branxholm,C,21628,3,"BARNETT, Guy",Liberal,11
TAS,192,Bass,8290,Branxholm,D,22055,0,D Ticket Votes,Australian Labor Party,62
