2019 Federal Election Senate First Preferences By Polling Place for Division 192 [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-06-19T11:11:01 Cycle:ce40c06e-7934-489c-ae50-006667b6f324 Created:2019-06-19T11:09:01 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,192,Bass,8288,Newnham,A,33691,0,A Ticket Votes,Australian Conservatives,23
TAS,192,Bass,8288,Newnham,A,32091,1,"STRINGER, Justin",Australian Conservatives,4
TAS,192,Bass,8288,Newnham,A,32093,2,"FRAME, Nigel",Australian Conservatives,0
TAS,192,Bass,8288,Newnham,A,0,9998,Unapportioned,Australian Conservatives,0
TAS,192,Bass,8288,Newnham,B,33693,0,B Ticket Votes,The Nationals,7
TAS,192,Bass,8288,Newnham,B,32463,1,"MARTIN, Steve",The Nationals,3
TAS,192,Bass,8288,Newnham,B,32466,2,"HILDITCH, Wendy",The Nationals,0
TAS,192,Bass,8288,Newnham,B,0,9998,Unapportioned,The Nationals,0
TAS,192,Bass,8288,Newnham,C,33686,0,C Ticket Votes,Sustainable Australia,6
TAS,192,Bass,8288,Newnham,C,32848,1,"DUDLEY, Todd William",Sustainable Australia,2
TAS,192,Bass,8288,Newnham,C,32854,2,"MACLAY, Christopher Brian",Sustainable Australia,0
TAS,192,Bass,8288,Newnham,C,0,9998,Unapportioned,Sustainable Australia,0
TAS,192,Bass,8288,Newnham,D,33699,0,D Ticket Votes,The Greens,78
TAS,192,Bass,8288,Newnham,D,32818,1,"McKIM, Nick",The Greens,22
TAS,192,Bass,8288,Newnham,D,32826,2,"HUTCHINSON, Helen",The Greens,4
TAS,192,Bass,8288,Newnham,D,32835,3,"MARSH, Simone",The Greens,4
TAS,192,Bass,8288,Newnham,D,0,9998,Unapportioned,The Greens,0
TAS,192,Bass,8288,Newnham,E,33698,0,E Ticket Votes,Liberal,432
TAS,192,Bass,8288,Newnham,E,32199,1,"COLBECK, Richard",Liberal,40
TAS,192,Bass,8288,Newnham,E,32204,2,"CHANDLER, Claire",Liberal,8
TAS,192,Bass,8288,Newnham,E,32226,3,"DENISON, Tanya",Liberal,6
TAS,192,Bass,8288,Newnham,E,0,9998,Unapportioned,Liberal,0
TAS,192,Bass,8288,Newnham,F,33684,0,F Ticket Votes,Animal Justice Party,19
TAS,192,Bass,8288,Newnham,F,32804,1,"BEVIS, Karen Louise",Animal Justice Party,5
TAS,192,Bass,8288,Newnham,F,32809,2,"TURNER, Isobel Bertoz",Animal Justice Party,0
TAS,192,Bass,8288,Newnham,F,0,9998,Unapportioned,Animal Justice Party,0
TAS,192,Bass,8288,Newnham,G,33685,0,G Ticket Votes,Citizens Electoral Council,4
TAS,192,Bass,8288,Newnham,G,32886,1,"WILLIAMS, Ray",Citizens Electoral Council,0
TAS,192,Bass,8288,Newnham,G,32890,2,"KUCINA, Steve",Citizens Electoral Council,0
TAS,192,Bass,8288,Newnham,G,0,9998,Unapportioned,Citizens Electoral Council,0
TAS,192,Bass,8288,Newnham,H,33688,0,H Ticket Votes,Liberal Democrats,12
TAS,192,Bass,8288,Newnham,H,33009,1,"MEAD, Clinton",Liberal Democrats,0
TAS,192,Bass,8288,Newnham,H,33011,2,"RABEY, Matthew",Liberal Democrats,0
TAS,192,Bass,8288,Newnham,H,0,9998,Unapportioned,Liberal Democrats,0
TAS,192,Bass,8288,Newnham,I,33697,0,I Ticket Votes,Australian Labor Party,572
TAS,192,Bass,8288,Newnham,I,32578,1,"BROWN, Carol",Australian Labor Party,33
TAS,192,Bass,8288,Newnham,I,32586,2,"BILYK, Catryna",Australian Labor Party,5
TAS,192,Bass,8288,Newnham,I,32603,3,"SHORT, John",Australian Labor Party,8
TAS,192,Bass,8288,Newnham,I,32616,4,"SINGH, Lisa",Australian Labor Party,40
TAS,192,Bass,8288,Newnham,I,32622,5,"ROBERTS, Wayne",Australian Labor Party,0
TAS,192,Bass,8288,Newnham,I,32631,6,"FLANAGAN, Robert",Australian Labor Party,6
TAS,192,Bass,8288,Newnham,I,0,9998,Unapportioned,Australian Labor Party,0
TAS,192,Bass,8288,Newnham,J,33692,0,J Ticket Votes,Pauline Hanson's One Nation,74
TAS,192,Bass,8288,Newnham,J,32768,1,"STEPHEN, Matthew",Pauline Hanson's One Nation,7
TAS,192,Bass,8288,Newnham,J,32791,2,"LAMBERT, Adam",Pauline Hanson's One Nation,5
TAS,192,Bass,8288,Newnham,J,0,9998,Unapportioned,Pauline Hanson's One Nation,0
TAS,192,Bass,8288,Newnham,K,33689,0,K Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,4
TAS,192,Bass,8288,Newnham,K,32990,1,"JONES, Michael",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,6
TAS,192,Bass,8288,Newnham,K,32992,2,"FALZON, Frank",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0
TAS,192,Bass,8288,Newnham,K,0,9998,Unapportioned,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0
TAS,192,Bass,8288,Newnham,L,33694,0,L Ticket Votes,Jacqui Lambie Network,121
TAS,192,Bass,8288,Newnham,L,32864,1,"LAMBIE, Jacqui",Jacqui Lambie Network,59
TAS,192,Bass,8288,Newnham,L,32868,2,"WILLIAMS, Glynn",Jacqui Lambie Network,0
TAS,192,Bass,8288,Newnham,L,32873,3,"REYNOLDS, Chris",Jacqui Lambie Network,0
TAS,192,Bass,8288,Newnham,L,0,9998,Unapportioned,Jacqui Lambie Network,0
TAS,192,Bass,8288,Newnham,M,33690,0,M Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,29
TAS,192,Bass,8288,Newnham,M,32995,1,"INFORMAL, Alfred",Help End Marijuana Prohibition (HEMP) Party,9
TAS,192,Bass,8288,Newnham,M,32997,2,"OWEN, Matt",Help End Marijuana Prohibition (HEMP) Party,3
TAS,192,Bass,8288,Newnham,M,0,9998,Unapportioned,Help End Marijuana Prohibition (HEMP) Party,0
TAS,192,Bass,8288,Newnham,N,33687,0,N Ticket Votes,United Australia Party,49
TAS,192,Bass,8288,Newnham,N,32477,1,"MORGAN, Kevin",United Australia Party,2
TAS,192,Bass,8288,Newnham,N,32489,2,"WILLIAMS, David",United Australia Party,0
TAS,192,Bass,8288,Newnham,N,32488,3,"GUNNIS, Craig",United Australia Party,1
TAS,192,Bass,8288,Newnham,N,0,9998,Unapportioned,United Australia Party,0
TAS,192,Bass,8288,Newnham,O,33695,0,O Ticket Votes,,3
TAS,192,Bass,8288,Newnham,O,33487,1,"GARLAND, Craig",,1
TAS,192,Bass,8288,Newnham,O,33504,2,"DUNCAN, Mark",,0
TAS,192,Bass,8288,Newnham,O,0,9998,Unapportioned,,0
TAS,192,Bass,8288,Newnham,P,33696,0,P Ticket Votes,"Shooters, Fishers and Farmers",13
TAS,192,Bass,8288,Newnham,P,33018,1,"BYFIELD, Rebecca Anthea","Shooters, Fishers and Farmers",6
TAS,192,Bass,8288,Newnham,P,33021,2,"SWANSON, Kim","Shooters, Fishers and Farmers",1
TAS,192,Bass,8288,Newnham,P,0,9998,Unapportioned,"Shooters, Fishers and Farmers",0
TAS,192,Bass,8288,Newnham,UG,32970,1,"BECK, Greg",Australian Better Families,4
TAS,192,Bass,8288,Newnham,UG,32178,2,"MAV, Steve",Independent,28
TAS,192,Bass,8288,Newnham,UG,33619,3,"FLANNERY, Francis",Independent,0
TAS,192,Bass,8288,Newnham,UG,32969,4,"STREET, Karen",Love Australia or Leave,0
TAS,192,Bass,8288,Newnham,ZZ,0,99,INFORMAL,,133
TAS,192,Bass,8290,Branxholm,A,33691,0,A Ticket Votes,Australian Conservatives,1
TAS,192,Bass,8290,Branxholm,A,32091,1,"STRINGER, Justin",Australian Conservatives,0
TAS,192,Bass,8290,Branxholm,A,32093,2,"FRAME, Nigel",Australian Conservatives,0
TAS,192,Bass,8290,Branxholm,A,0,9998,Unapportioned,Australian Conservatives,0
TAS,192,Bass,8290,Branxholm,B,33693,0,B Ticket Votes,The Nationals,1
TAS,192,Bass,8290,Branxholm,B,32463,1,"MARTIN, Steve",The Nationals,0
TAS,192,Bass,8290,Branxholm,B,32466,2,"HILDITCH, Wendy",The Nationals,0
TAS,192,Bass,8290,Branxholm,B,0,9998,Unapportioned,The Nationals,0
TAS,192,Bass,8290,Branxholm,C,33686,0,C Ticket Votes,Sustainable Australia,2
TAS,192,Bass,8290,Branxholm,C,32848,1,"DUDLEY, Todd William",Sustainable Australia,0
TAS,192,Bass,8290,Branxholm,C,32854,2,"MACLAY, Christopher Brian",Sustainable Australia,0
TAS,192,Bass,8290,Branxholm,C,0,9998,Unapportioned,Sustainable Australia,0
TAS,192,Bass,8290,Branxholm,D,33699,0,D Ticket Votes,The Greens,10
TAS,192,Bass,8290,Branxholm,D,32818,1,"McKIM, Nick",The Greens,4
TAS,192,Bass,8290,Branxholm,D,32826,2,"HUTCHINSON, Helen",The Greens,0
TAS,192,Bass,8290,Branxholm,D,32835,3,"MARSH, Simone",The Greens,0
TAS,192,Bass,8290,Branxholm,D,0,9998,Unapportioned,The Greens,0
TAS,192,Bass,8290,Branxholm,E,33698,0,E Ticket Votes,Liberal,58
TAS,192,Bass,8290,Branxholm,E,32199,1,"COLBECK, Richard",Liberal,7
TAS,192,Bass,8290,Branxholm,E,32204,2,"CHANDLER, Claire",Liberal,2
TAS,192,Bass,8290,Branxholm,E,32226,3,"DENISON, Tanya",Liberal,3
TAS,192,Bass,8290,Branxholm,E,0,9998,Unapportioned,Liberal,0
TAS,192,Bass,8290,Branxholm,F,33684,0,F Ticket Votes,Animal Justice Party,1
TAS,192,Bass,8290,Branxholm,F,32804,1,"BEVIS, Karen Louise",Animal Justice Party,0
TAS,192,Bass,8290,Branxholm,F,32809,2,"TURNER, Isobel Bertoz",Animal Justice Party,0
TAS,192,Bass,8290,Branxholm,F,0,9998,Unapportioned,Animal Justice Party,0
TAS,192,Bass,8290,Branxholm,G,33685,0,G Ticket Votes,Citizens Electoral Council,0
TAS,192,Bass,8290,Branxholm,G,32886,1,"WILLIAMS, Ray",Citizens Electoral Council,0
TAS,192,Bass,8290,Branxholm,G,32890,2,"KUCINA, Steve",Citizens Electoral Council,0
TAS,192,Bass,8290,Branxholm,G,0,9998,Unapportioned,Citizens Electoral Council,0
TAS,192,Bass,8290,Branxholm,H,33688,0,H Ticket Votes,Liberal Democrats,1
TAS,192,Bass,8290,Branxholm,H,33009,1,"MEAD, Clinton",Liberal Democrats,0
TAS,192,Bass,8290,Branxholm,H,33011,2,"RABEY, Matthew",Liberal Democrats,0
TAS,192,Bass,8290,Branxholm,H,0,9998,Unapportioned,Liberal Democrats,0
TAS,192,Bass,8290,Branxholm,I,33697,0,I Ticket Votes,Australian Labor Party,48
TAS,192,Bass,8290,Branxholm,I,32578,1,"BROWN, Carol",Australian Labor Party,3
TAS,192,Bass,8290,Branxholm,I,32586,2,"BILYK, Catryna",Australian Labor Party,0
TAS,192,Bass,8290,Branxholm,I,32603,3,"SHORT, John",Australian Labor Party,2
TAS,192,Bass,8290,Branxholm,I,32616,4,"SINGH, Lisa",Australian Labor Party,6
TAS,192,Bass,8290,Branxholm,I,32622,5,"ROBERTS, Wayne",Australian Labor Party,0
TAS,192,Bass,8290,Branxholm,I,32631,6,"FLANAGAN, Robert",Australian Labor Party,0
TAS,192,Bass,8290,Branxholm,I,0,9998,Unapportioned,Australian Labor Party,0
TAS,192,Bass,8290,Branxholm,J,33692,0,J Ticket Votes,Pauline Hanson's One Nation,6
TAS,192,Bass,8290,Branxholm,J,32768,1,"STEPHEN, Matthew",Pauline Hanson's One Nation,0
TAS,192,Bass,8290,Branxholm,J,32791,2,"LAMBERT, Adam",Pauline Hanson's One Nation,0
TAS,192,Bass,8290,Branxholm,J,0,9998,Unapportioned,Pauline Hanson's One Nation,0
TAS,192,Bass,8290,Branxholm,K,33689,0,K Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,2
TAS,192,Bass,8290,Branxholm,K,32990,1,"JONES, Michael",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1
