2022 Federal Election Senate First Preferences By Polling Place for Division 192 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:37 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,192,Bass,8288,Newnham,A,37932,0,A Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,16
TAS,192,Bass,8288,Newnham,A,36347,1,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,4
TAS,192,Bass,8288,Newnham,A,36352,2,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
TAS,192,Bass,8288,Newnham,B,37936,0,B Above-the-line Votes,Pauline Hanson's One Nation,64
TAS,192,Bass,8288,Newnham,B,37419,1,"MAV, Steve",Pauline Hanson's One Nation,17
TAS,192,Bass,8288,Newnham,B,37421,2,"BUTTON, Norelle",Pauline Hanson's One Nation,4
TAS,192,Bass,8288,Newnham,C,37934,0,C Above-the-line Votes,Animal Justice Party,24
TAS,192,Bass,8288,Newnham,C,36512,1,"DAVIS, Ivan",Animal Justice Party,3
TAS,192,Bass,8288,Newnham,C,36517,2,"THOMAS-WURTH, Virginia",Animal Justice Party,0
TAS,192,Bass,8288,Newnham,D,37940,0,D Above-the-line Votes,Australian Labor Party,551
TAS,192,Bass,8288,Newnham,D,37063,1,"URQUHART, Anne",Australian Labor Party,30
TAS,192,Bass,8288,Newnham,D,37079,2,"POLLEY, Helen",Australian Labor Party,19
TAS,192,Bass,8288,Newnham,D,37085,3,"RAINBIRD, Kate",Australian Labor Party,5
TAS,192,Bass,8288,Newnham,D,37103,4,"HULME, Daniel",Australian Labor Party,5
TAS,192,Bass,8288,Newnham,D,37113,5,"ROBERTS, Wayne",Australian Labor Party,6
TAS,192,Bass,8288,Newnham,D,37119,6,"GOURLAY, Chris",Australian Labor Party,7
TAS,192,Bass,8288,Newnham,E,37942,0,E Above-the-line Votes,Legalise Cannabis Australia,81
TAS,192,Bass,8288,Newnham,E,37610,1,"OWEN, Matt",Legalise Cannabis Australia,7
TAS,192,Bass,8288,Newnham,E,37612,2,"FITZGIBBON, Oliver",Legalise Cannabis Australia,1
TAS,192,Bass,8288,Newnham,F,37933,0,F Above-the-line Votes,"Shooters, Fishers and Farmers Party",33
TAS,192,Bass,8288,Newnham,F,36364,1,"WILLIAMS, Ray","Shooters, Fishers and Farmers Party",4
TAS,192,Bass,8288,Newnham,F,36369,2,"DI FALCO, Carlo","Shooters, Fishers and Farmers Party",0
TAS,192,Bass,8288,Newnham,F,36372,3,"JONES, Brenton Ronald","Shooters, Fishers and Farmers Party",0
TAS,192,Bass,8288,Newnham,G,37943,0,G Above-the-line Votes,Australian Federation Party,5
TAS,192,Bass,8288,Newnham,G,37791,1,"BROOMHALL, Ray",Australian Federation Party,1
TAS,192,Bass,8288,Newnham,G,37793,2,"STRINGER, Justin",Australian Federation Party,0
TAS,192,Bass,8288,Newnham,H,37931,0,H Above-the-line Votes,The Local Party,7
TAS,192,Bass,8288,Newnham,H,37054,1,"MINSHULL, Leanne",The Local Party,1
TAS,192,Bass,8288,Newnham,H,37062,2,"POULTON, Linda",The Local Party,0
TAS,192,Bass,8288,Newnham,H,37066,3,"VAN RAAY, Lara",The Local Party,0
TAS,192,Bass,8288,Newnham,I,37938,0,I Above-the-line Votes,The Greens,89
TAS,192,Bass,8288,Newnham,I,37423,1,"WHISH-WILSON, Peter",The Greens,22
TAS,192,Bass,8288,Newnham,I,37427,2,"BLEYER, Vanessa",The Greens,0
TAS,192,Bass,8288,Newnham,I,37431,3,"BADGER, Tabatha",The Greens,1
TAS,192,Bass,8288,Newnham,J,37935,0,J Above-the-line Votes,Liberal Democrats,23
TAS,192,Bass,8288,Newnham,J,37012,1,"FIELD, Topher",Liberal Democrats,5
TAS,192,Bass,8288,Newnham,J,37021,2,"CROFT, Chris",Liberal Democrats,0
TAS,192,Bass,8288,Newnham,K,37930,0,K Above-the-line Votes,United Australia Party,27
TAS,192,Bass,8288,Newnham,K,36282,1,"ADAMS, Diana",United Australia Party,3
TAS,192,Bass,8288,Newnham,K,36293,2,"HENNESSY, Alan",United Australia Party,0
TAS,192,Bass,8288,Newnham,L,37937,0,L Above-the-line Votes,Liberal,326
TAS,192,Bass,8288,Newnham,L,37124,1,"DUNIAM, Jonno",Liberal,16
TAS,192,Bass,8288,Newnham,L,37131,2,"ASKEW, Wendy",Liberal,6
TAS,192,Bass,8288,Newnham,L,37132,3,"ABETZ, Eric",Liberal,26
TAS,192,Bass,8288,Newnham,M,37941,0,M Above-the-line Votes,Jacqui Lambie Network,136
TAS,192,Bass,8288,Newnham,M,37425,1,"TYRRELL, Tammy",Jacqui Lambie Network,13
TAS,192,Bass,8288,Newnham,M,37430,2,"GROAT, Sarah",Jacqui Lambie Network,1
TAS,192,Bass,8288,Newnham,M,37432,3,"LAMBIE, Tom",Jacqui Lambie Network,5
TAS,192,Bass,8288,Newnham,N,37939,0,N Above-the-line Votes,Informed Medical Options Party,2
TAS,192,Bass,8288,Newnham,N,37346,1,"KERSHAW, Lynne",Informed Medical Options Party,1
TAS,192,Bass,8288,Newnham,N,37368,2,"PICKERING, Matthew",Informed Medical Options Party,0
TAS,192,Bass,8288,Newnham,UG,37794,1,"CROTHERS, Steve",Independent,1
TAS,192,Bass,8288,Newnham,UG,36253,2,"EDWARDS, Fenella",Independent,3
TAS,192,Bass,8288,Newnham,ZZ,0,99,INFORMAL,,84
TAS,192,Bass,8290,Branxholm,A,37932,0,A Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,2
TAS,192,Bass,8290,Branxholm,A,36347,1,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,192,Bass,8290,Branxholm,A,36352,2,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,192,Bass,8290,Branxholm,B,37936,0,B Above-the-line Votes,Pauline Hanson's One Nation,17
TAS,192,Bass,8290,Branxholm,B,37419,1,"MAV, Steve",Pauline Hanson's One Nation,1
TAS,192,Bass,8290,Branxholm,B,37421,2,"BUTTON, Norelle",Pauline Hanson's One Nation,0
TAS,192,Bass,8290,Branxholm,C,37934,0,C Above-the-line Votes,Animal Justice Party,2
TAS,192,Bass,8290,Branxholm,C,36512,1,"DAVIS, Ivan",Animal Justice Party,0
TAS,192,Bass,8290,Branxholm,C,36517,2,"THOMAS-WURTH, Virginia",Animal Justice Party,1
TAS,192,Bass,8290,Branxholm,D,37940,0,D Above-the-line Votes,Australian Labor Party,39
TAS,192,Bass,8290,Branxholm,D,37063,1,"URQUHART, Anne",Australian Labor Party,3
TAS,192,Bass,8290,Branxholm,D,37079,2,"POLLEY, Helen",Australian Labor Party,2
TAS,192,Bass,8290,Branxholm,D,37085,3,"RAINBIRD, Kate",Australian Labor Party,0
TAS,192,Bass,8290,Branxholm,D,37103,4,"HULME, Daniel",Australian Labor Party,1
TAS,192,Bass,8290,Branxholm,D,37113,5,"ROBERTS, Wayne",Australian Labor Party,0
TAS,192,Bass,8290,Branxholm,D,37119,6,"GOURLAY, Chris",Australian Labor Party,1
TAS,192,Bass,8290,Branxholm,E,37942,0,E Above-the-line Votes,Legalise Cannabis Australia,15
TAS,192,Bass,8290,Branxholm,E,37610,1,"OWEN, Matt",Legalise Cannabis Australia,0
TAS,192,Bass,8290,Branxholm,E,37612,2,"FITZGIBBON, Oliver",Legalise Cannabis Australia,1
TAS,192,Bass,8290,Branxholm,F,37933,0,F Above-the-line Votes,"Shooters, Fishers and Farmers Party",4
TAS,192,Bass,8290,Branxholm,F,36364,1,"WILLIAMS, Ray","Shooters, Fishers and Farmers Party",0
TAS,192,Bass,8290,Branxholm,F,36369,2,"DI FALCO, Carlo","Shooters, Fishers and Farmers Party",0
TAS,192,Bass,8290,Branxholm,F,36372,3,"JONES, Brenton Ronald","Shooters, Fishers and Farmers Party",0
TAS,192,Bass,8290,Branxholm,G,37943,0,G Above-the-line Votes,Australian Federation Party,0
TAS,192,Bass,8290,Branxholm,G,37791,1,"BROOMHALL, Ray",Australian Federation Party,1
TAS,192,Bass,8290,Branxholm,G,37793,2,"STRINGER, Justin",Australian Federation Party,0
TAS,192,Bass,8290,Branxholm,H,37931,0,H Above-the-line Votes,The Local Party,0
TAS,192,Bass,8290,Branxholm,H,37054,1,"MINSHULL, Leanne",The Local Party,0
TAS,192,Bass,8290,Branxholm,H,37062,2,"POULTON, Linda",The Local Party,0
TAS,192,Bass,8290,Branxholm,H,37066,3,"VAN RAAY, Lara",The Local Party,0
TAS,192,Bass,8290,Branxholm,I,37938,0,I Above-the-line Votes,The Greens,18
TAS,192,Bass,8290,Branxholm,I,37423,1,"WHISH-WILSON, Peter",The Greens,1
TAS,192,Bass,8290,Branxholm,I,37427,2,"BLEYER, Vanessa",The Greens,0
TAS,192,Bass,8290,Branxholm,I,37431,3,"BADGER, Tabatha",The Greens,0
TAS,192,Bass,8290,Branxholm,J,37935,0,J Above-the-line Votes,Liberal Democrats,3
TAS,192,Bass,8290,Branxholm,J,37012,1,"FIELD, Topher",Liberal Democrats,3
TAS,192,Bass,8290,Branxholm,J,37021,2,"CROFT, Chris",Liberal Democrats,0
TAS,192,Bass,8290,Branxholm,K,37930,0,K Above-the-line Votes,United Australia Party,2
TAS,192,Bass,8290,Branxholm,K,36282,1,"ADAMS, Diana",United Australia Party,0
TAS,192,Bass,8290,Branxholm,K,36293,2,"HENNESSY, Alan",United Australia Party,0
TAS,192,Bass,8290,Branxholm,L,37937,0,L Above-the-line Votes,Liberal,58
TAS,192,Bass,8290,Branxholm,L,37124,1,"DUNIAM, Jonno",Liberal,3
TAS,192,Bass,8290,Branxholm,L,37131,2,"ASKEW, Wendy",Liberal,0
TAS,192,Bass,8290,Branxholm,L,37132,3,"ABETZ, Eric",Liberal,9
TAS,192,Bass,8290,Branxholm,M,37941,0,M Above-the-line Votes,Jacqui Lambie Network,14
TAS,192,Bass,8290,Branxholm,M,37425,1,"TYRRELL, Tammy",Jacqui Lambie Network,4
TAS,192,Bass,8290,Branxholm,M,37430,2,"GROAT, Sarah",Jacqui Lambie Network,0
TAS,192,Bass,8290,Branxholm,M,37432,3,"LAMBIE, Tom",Jacqui Lambie Network,1
TAS,192,Bass,8290,Branxholm,N,37939,0,N Above-the-line Votes,Informed Medical Options Party,0
TAS,192,Bass,8290,Branxholm,N,37346,1,"KERSHAW, Lynne",Informed Medical Options Party,1
TAS,192,Bass,8290,Branxholm,N,37368,2,"PICKERING, Matthew",Informed Medical Options Party,0
TAS,192,Bass,8290,Branxholm,UG,37794,1,"CROTHERS, Steve",Independent,0
TAS,192,Bass,8290,Branxholm,UG,36253,2,"EDWARDS, Fenella",Independent,0
TAS,192,Bass,8290,Branxholm,ZZ,0,99,INFORMAL,,8
TAS,192,Bass,8291,Bridport,A,37932,0,A Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,5
TAS,192,Bass,8291,Bridport,A,36347,1,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
TAS,192,Bass,8291,Bridport,A,36352,2,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,192,Bass,8291,Bridport,B,37936,0,B Above-the-line Votes,Pauline Hanson's One Nation,25
TAS,192,Bass,8291,Bridport,B,37419,1,"MAV, Steve",Pauline Hanson's One Nation,6
TAS,192,Bass,8291,Bridport,B,37421,2,"BUTTON, Norelle",Pauline Hanson's One Nation,2
TAS,192,Bass,8291,Bridport,C,37934,0,C Above-the-line Votes,Animal Justice Party,5
TAS,192,Bass,8291,Bridport,C,36512,1,"DAVIS, Ivan",Animal Justice Party,1
TAS,192,Bass,8291,Bridport,C,36517,2,"THOMAS-WURTH, Virginia",Animal Justice Party,0
TAS,192,Bass,8291,Bridport,D,37940,0,D Above-the-line Votes,Australian Labor Party,143
TAS,192,Bass,8291,Bridport,D,37063,1,"URQUHART, Anne",Australian Labor Party,15
TAS,192,Bass,8291,Bridport,D,37079,2,"POLLEY, Helen",Australian Labor Party,5
TAS,192,Bass,8291,Bridport,D,37085,3,"RAINBIRD, Kate",Australian Labor Party,0
TAS,192,Bass,8291,Bridport,D,37103,4,"HULME, Daniel",Australian Labor Party,0
TAS,192,Bass,8291,Bridport,D,37113,5,"ROBERTS, Wayne",Australian Labor Party,0
TAS,192,Bass,8291,Bridport,D,37119,6,"GOURLAY, Chris",Australian Labor Party,2
TAS,192,Bass,8291,Bridport,E,37942,0,E Above-the-line Votes,Legalise Cannabis Australia,27
TAS,192,Bass,8291,Bridport,E,37610,1,"OWEN, Matt",Legalise Cannabis Australia,5
TAS,192,Bass,8291,Bridport,E,37612,2,"FITZGIBBON, Oliver",Legalise Cannabis Australia,0
TAS,192,Bass,8291,Bridport,F,37933,0,F Above-the-line Votes,"Shooters, Fishers and Farmers Party",16
TAS,192,Bass,8291,Bridport,F,36364,1,"WILLIAMS, Ray","Shooters, Fishers and Farmers Party",3
TAS,192,Bass,8291,Bridport,F,36369,2,"DI FALCO, Carlo","Shooters, Fishers and Farmers Party",0
TAS,192,Bass,8291,Bridport,F,36372,3,"JONES, Brenton Ronald","Shooters, Fishers and Farmers Party",0
TAS,192,Bass,8291,Bridport,G,37943,0,G Above-the-line Votes,Australian Federation Party,1
TAS,192,Bass,8291,Bridport,G,37791,1,"BROOMHALL, Ray",Australian Federation Party,0
TAS,192,Bass,8291,Bridport,G,37793,2,"STRINGER, Justin",Australian Federation Party,0
TAS,192,Bass,8291,Bridport,H,37931,0,H Above-the-line Votes,The Local Party,4
TAS,192,Bass,8291,Bridport,H,37054,1,"MINSHULL, Leanne",The Local Party,0
TAS,192,Bass,8291,Bridport,H,37062,2,"POULTON, Linda",The Local Party,1
TAS,192,Bass,8291,Bridport,H,37066,3,"VAN RAAY, Lara",The Local Party,0
TAS,192,Bass,8291,Bridport,I,37938,0,I Above-the-line Votes,The Greens,39
TAS,192,Bass,8291,Bridport,I,37423,1,"WHISH-WILSON, Peter",The Greens,19
TAS,192,Bass,8291,Bridport,I,37427,2,"BLEYER, Vanessa",The Greens,1
TAS,192,Bass,8291,Bridport,I,37431,3,"BADGER, Tabatha",The Greens,1
TAS,192,Bass,8291,Bridport,J,37935,0,J Above-the-line Votes,Liberal Democrats,17
TAS,192,Bass,8291,Bridport,J,37012,1,"FIELD, Topher",Liberal Democrats,4
TAS,192,Bass,8291,Bridport,J,37021,2,"CROFT, Chris",Liberal Democrats,1
TAS,192,Bass,8291,Bridport,K,37930,0,K Above-the-line Votes,United Australia Party,10
TAS,192,Bass,8291,Bridport,K,36282,1,"ADAMS, Diana",United Australia Party,3
TAS,192,Bass,8291,Bridport,K,36293,2,"HENNESSY, Alan",United Australia Party,1
TAS,192,Bass,8291,Bridport,L,37937,0,L Above-the-line Votes,Liberal,381
TAS,192,Bass,8291,Bridport,L,37124,1,"DUNIAM, Jonno",Liberal,21
TAS,192,Bass,8291,Bridport,L,37131,2,"ASKEW, Wendy",Liberal,3
TAS,192,Bass,8291,Bridport,L,37132,3,"ABETZ, Eric",Liberal,51
TAS,192,Bass,8291,Bridport,M,37941,0,M Above-the-line Votes,Jacqui Lambie Network,54
TAS,192,Bass,8291,Bridport,M,37425,1,"TYRRELL, Tammy",Jacqui Lambie Network,8
TAS,192,Bass,8291,Bridport,M,37430,2,"GROAT, Sarah",Jacqui Lambie Network,0
TAS,192,Bass,8291,Bridport,M,37432,3,"LAMBIE, Tom",Jacqui Lambie Network,2
TAS,192,Bass,8291,Bridport,N,37939,0,N Above-the-line Votes,Informed Medical Options Party,0
TAS,192,Bass,8291,Bridport,N,37346,1,"KERSHAW, Lynne",Informed Medical Options Party,0
TAS,192,Bass,8291,Bridport,N,37368,2,"PICKERING, Matthew",Informed Medical Options Party,0
TAS,192,Bass,8291,Bridport,UG,37794,1,"CROTHERS, Steve",Independent,1
TAS,192,Bass,8291,Bridport,UG,36253,2,"EDWARDS, Fenella",Independent,0
TAS,192,Bass,8291,Bridport,ZZ,0,99,INFORMAL,,26
TAS,192,Bass,8293,West Launceston,A,37932,0,A Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,5
TAS,192,Bass,8293,West Launceston,A,36347,1,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
TAS,192,Bass,8293,West Launceston,A,36352,2,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
TAS,192,Bass,8293,West Launceston,B,37936,0,B Above-the-line Votes,Pauline Hanson's One Nation,20
TAS,192,Bass,8293,West Launceston,B,37419,1,"MAV, Steve",Pauline Hanson's One Nation,5
TAS,192,Bass,8293,West Launceston,B,37421,2,"BUTTON, Norelle",Pauline Hanson's One Nation,3
TAS,192,Bass,8293,West Launceston,C,37934,0,C Above-the-line Votes,Animal Justice Party,12
TAS,192,Bass,8293,West Launceston,C,36512,1,"DAVIS, Ivan",Animal Justice Party,0
TAS,192,Bass,8293,West Launceston,C,36517,2,"THOMAS-WURTH, Virginia",Animal Justice Party,0
TAS,192,Bass,8293,West Launceston,D,37940,0,D Above-the-line Votes,Australian Labor Party,192
TAS,192,Bass,8293,West Launceston,D,37063,1,"URQUHART, Anne",Australian Labor Party,16
TAS,192,Bass,8293,West Launceston,D,37079,2,"POLLEY, Helen",Australian Labor Party,22
TAS,192,Bass,8293,West Launceston,D,37085,3,"RAINBIRD, Kate",Australian Labor Party,7
TAS,192,Bass,8293,West Launceston,D,37103,4,"HULME, Daniel",Australian Labor Party,1
TAS,192,Bass,8293,West Launceston,D,37113,5,"ROBERTS, Wayne",Australian Labor Party,1
TAS,192,Bass,8293,West Launceston,D,37119,6,"GOURLAY, Chris",Australian Labor Party,2
TAS,192,Bass,8293,West Launceston,E,37942,0,E Above-the-line Votes,Legalise Cannabis Australia,32
TAS,192,Bass,8293,West Launceston,E,37610,1,"OWEN, Matt",Legalise Cannabis Australia,1
TAS,192,Bass,8293,West Launceston,E,37612,2,"FITZGIBBON, Oliver",Legalise Cannabis Australia,1
TAS,192,Bass,8293,West Launceston,F,37933,0,F Above-the-line Votes,"Shooters, Fishers and Farmers Party",8
TAS,192,Bass,8293,West Launceston,F,36364,1,"WILLIAMS, Ray","Shooters, Fishers and Farmers Party",0
TAS,192,Bass,8293,West Launceston,F,36369,2,"DI FALCO, Carlo","Shooters, Fishers and Farmers Party",0
TAS,192,Bass,8293,West Launceston,F,36372,3,"JONES, Brenton Ronald","Shooters, Fishers and Farmers Party",0
TAS,192,Bass,8293,West Launceston,G,37943,0,G Above-the-line Votes,Australian Federation Party,3
TAS,192,Bass,8293,West Launceston,G,37791,1,"BROOMHALL, Ray",Australian Federation Party,1
TAS,192,Bass,8293,West Launceston,G,37793,2,"STRINGER, Justin",Australian Federation Party,0
TAS,192,Bass,8293,West Launceston,H,37931,0,H Above-the-line Votes,The Local Party,3
TAS,192,Bass,8293,West Launceston,H,37054,1,"MINSHULL, Leanne",The Local Party,1
TAS,192,Bass,8293,West Launceston,H,37062,2,"POULTON, Linda",The Local Party,0
TAS,192,Bass,8293,West Launceston,H,37066,3,"VAN RAAY, Lara",The Local Party,0
TAS,192,Bass,8293,West Launceston,I,37938,0,I Above-the-line Votes,The Greens,191
TAS,192,Bass,8293,West Launceston,I,37423,1,"WHISH-WILSON, Peter",The Greens,87
TAS,192,Bass,8293,West Launceston,I,37427,2,"BLEYER, Vanessa",The Greens,3
TAS,192,Bass,8293,West Launceston,I,37431,3,"BADGER, Tabatha",The Greens,3
TAS,192,Bass,8293,West Launceston,J,37935,0,J Above-the-line Votes,Liberal Democrats,13
TAS,192,Bass,8293,West Launceston,J,37012,1,"FIELD, Topher",Liberal Democrats,7
TAS,192,Bass,8293,West Launceston,J,37021,2,"CROFT, Chris",Liberal Democrats,1
TAS,192,Bass,8293,West Launceston,K,37930,0,K Above-the-line Votes,United Australia Party,5
TAS,192,Bass,8293,West Launceston,K,36282,1,"ADAMS, Diana",United Australia Party,1
TAS,192,Bass,8293,West Launceston,K,36293,2,"HENNESSY, Alan",United Australia Party,3
TAS,192,Bass,8293,West Launceston,L,37937,0,L Above-the-line Votes,Liberal,200
TAS,192,Bass,8293,West Launceston,L,37124,1,"DUNIAM, Jonno",Liberal,11
TAS,192,Bass,8293,West Launceston,L,37131,2,"ASKEW, Wendy",Liberal,9
TAS,192,Bass,8293,West Launceston,L,37132,3,"ABETZ, Eric",Liberal,47
TAS,192,Bass,8293,West Launceston,M,37941,0,M Above-the-line Votes,Jacqui Lambie Network,37
TAS,192,Bass,8293,West Launceston,M,37425,1,"TYRRELL, Tammy",Jacqui Lambie Network,9
TAS,192,Bass,8293,West Launceston,M,37430,2,"GROAT, Sarah",Jacqui Lambie Network,0
TAS,192,Bass,8293,West Launceston,M,37432,3,"LAMBIE, Tom",Jacqui Lambie Network,3
TAS,192,Bass,8293,West Launceston,N,37939,0,N Above-the-line Votes,Informed Medical Options Party,0
