2010 Federal Election Senate First Preferences By Polling Place for Division 193 [Event:15508 Phase:FinalResults Generated:2013-01-22T15:03:59 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,193,Braddon,8358,Abbotsham,A,22057,0,A Ticket Votes,Senator On-Line,0
TAS,193,Braddon,8358,Abbotsham,A,21856,1,"MURRAY, Julie",Senator On-Line,0
TAS,193,Braddon,8358,Abbotsham,A,21858,2,"WIENER, Sven",Senator On-Line,0
TAS,193,Braddon,8358,Abbotsham,B,22053,0,B Ticket Votes,Australian Democrats,0
TAS,193,Braddon,8358,Abbotsham,B,21756,1,"HUTTON, Paulene",Australian Democrats,0
TAS,193,Braddon,8358,Abbotsham,B,21759,2,"NEAL, Timothy",Australian Democrats,1
TAS,193,Braddon,8358,Abbotsham,C,22052,0,C Ticket Votes,Liberal,50
TAS,193,Braddon,8358,Abbotsham,C,21538,1,"ABETZ, Eric",Liberal,5
TAS,193,Braddon,8358,Abbotsham,C,21558,2,"PARRY, Stephen Shane",Liberal,9
TAS,193,Braddon,8358,Abbotsham,C,21628,3,"BARNETT, Guy",Liberal,5
TAS,193,Braddon,8358,Abbotsham,D,22055,0,D Ticket Votes,Australian Labor Party,39
TAS,193,Braddon,8358,Abbotsham,D,21041,1,"POLLEY, Helen",Australian Labor Party,1
TAS,193,Braddon,8358,Abbotsham,D,21459,2,"URQUHART, Anne",Australian Labor Party,2
TAS,193,Braddon,8358,Abbotsham,D,21488,3,"SINGH, Lisa",Australian Labor Party,0
TAS,193,Braddon,8358,Abbotsham,E,22059,0,E Ticket Votes,Shooters and Fishers,2
TAS,193,Braddon,8358,Abbotsham,E,21943,1,"WILLIAMS, Ray",Shooters and Fishers,1
TAS,193,Braddon,8358,Abbotsham,E,21953,2,"BLACKMORE, Jeff",Shooters and Fishers,0
TAS,193,Braddon,8358,Abbotsham,F,22051,0,F Ticket Votes,Australian Greens,20
TAS,193,Braddon,8358,Abbotsham,F,20801,1,"MILNE, Christine",Australian Greens,6
TAS,193,Braddon,8358,Abbotsham,F,20802,2,"WHISH-WILSON, Peter Stuart",Australian Greens,0
