2022 Federal Election Senate First Preferences By Polling Place for Division 193 [Please Note: These results are not final. Event:27966 Phase:PostElection Generated:2022-05-22T11:49:25 Cycle:6c9d3b19-37c4-4379-9a72-7a34850cb5be Created:2022-05-22T11:47:28 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,193,Braddon,8359,Acton,A,37932,0,A Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,193,Braddon,8359,Acton,A,36347,1,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,193,Braddon,8359,Acton,A,36352,2,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,193,Braddon,8359,Acton,A,0,9998,Unapportioned,Sustainable Australia Party - Stop Overdevelopment / Corruption,16
TAS,193,Braddon,8359,Acton,B,37936,0,B Above-the-line Votes,Pauline Hanson's One Nation,0
TAS,193,Braddon,8359,Acton,B,37419,1,"MAV, Steve",Pauline Hanson's One Nation,0
TAS,193,Braddon,8359,Acton,B,37421,2,"BUTTON, Norelle",Pauline Hanson's One Nation,0
TAS,193,Braddon,8359,Acton,B,0,9998,Unapportioned,Pauline Hanson's One Nation,56
TAS,193,Braddon,8359,Acton,C,37934,0,C Above-the-line Votes,Animal Justice Party,0
TAS,193,Braddon,8359,Acton,C,36512,1,"DAVIS, Ivan",Animal Justice Party,0
TAS,193,Braddon,8359,Acton,C,36517,2,"THOMAS-WURTH, Virginia",Animal Justice Party,0
TAS,193,Braddon,8359,Acton,C,0,9998,Unapportioned,Animal Justice Party,19
TAS,193,Braddon,8359,Acton,D,37940,0,D Above-the-line Votes,Australian Labor Party,0
TAS,193,Braddon,8359,Acton,D,37063,1,"URQUHART, Anne",Australian Labor Party,0
TAS,193,Braddon,8359,Acton,D,37079,2,"POLLEY, Helen",Australian Labor Party,0
TAS,193,Braddon,8359,Acton,D,37085,3,"RAINBIRD, Kate",Australian Labor Party,0
TAS,193,Braddon,8359,Acton,D,37103,4,"HULME, Daniel",Australian Labor Party,0
TAS,193,Braddon,8359,Acton,D,37113,5,"ROBERTS, Wayne",Australian Labor Party,0
TAS,193,Braddon,8359,Acton,D,37119,6,"GOURLAY, Chris",Australian Labor Party,0
TAS,193,Braddon,8359,Acton,D,0,9998,Unapportioned,Australian Labor Party,384
TAS,193,Braddon,8359,Acton,E,37942,0,E Above-the-line Votes,Legalise Cannabis Australia,0
TAS,193,Braddon,8359,Acton,E,37610,1,"OWEN, Matt",Legalise Cannabis Australia,0
TAS,193,Braddon,8359,Acton,E,37612,2,"FITZGIBBON, Oliver",Legalise Cannabis Australia,0
TAS,193,Braddon,8359,Acton,E,0,9998,Unapportioned,Legalise Cannabis Australia,86
TAS,193,Braddon,8359,Acton,F,37933,0,F Above-the-line Votes,"Shooters, Fishers and Farmers Party",0
TAS,193,Braddon,8359,Acton,F,36364,1,"WILLIAMS, Ray","Shooters, Fishers and Farmers Party",0
TAS,193,Braddon,8359,Acton,F,36369,2,"DI FALCO, Carlo","Shooters, Fishers and Farmers Party",0
