2010 Federal Election Senate First Preferences By Polling Place for Division 194 [Event:15508 Phase:FinalResults Generated:2013-01-22T15:04:00 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,194,Denison,8440,Abbotsfield,A,22057,0,A Ticket Votes,Senator On-Line,8
TAS,194,Denison,8440,Abbotsfield,A,21856,1,"MURRAY, Julie",Senator On-Line,5
TAS,194,Denison,8440,Abbotsfield,A,21858,2,"WIENER, Sven",Senator On-Line,1
TAS,194,Denison,8440,Abbotsfield,B,22053,0,B Ticket Votes,Australian Democrats,3
TAS,194,Denison,8440,Abbotsfield,B,21756,1,"HUTTON, Paulene",Australian Democrats,0
TAS,194,Denison,8440,Abbotsfield,B,21759,2,"NEAL, Timothy",Australian Democrats,0
TAS,194,Denison,8440,Abbotsfield,C,22052,0,C Ticket Votes,Liberal,257
TAS,194,Denison,8440,Abbotsfield,C,21538,1,"ABETZ, Eric",Liberal,31
TAS,194,Denison,8440,Abbotsfield,C,21558,2,"PARRY, Stephen Shane",Liberal,5
TAS,194,Denison,8440,Abbotsfield,C,21628,3,"BARNETT, Guy",Liberal,11
TAS,194,Denison,8440,Abbotsfield,D,22055,0,D Ticket Votes,Australian Labor Party,816
TAS,194,Denison,8440,Abbotsfield,D,21041,1,"POLLEY, Helen",Australian Labor Party,37
TAS,194,Denison,8440,Abbotsfield,D,21459,2,"URQUHART, Anne",Australian Labor Party,6
TAS,194,Denison,8440,Abbotsfield,D,21488,3,"SINGH, Lisa",Australian Labor Party,72
TAS,194,Denison,8440,Abbotsfield,E,22059,0,E Ticket Votes,Shooters and Fishers,36
TAS,194,Denison,8440,Abbotsfield,E,21943,1,"WILLIAMS, Ray",Shooters and Fishers,9
TAS,194,Denison,8440,Abbotsfield,E,21953,2,"BLACKMORE, Jeff",Shooters and Fishers,0
