2016 Federal Election Senate First Preferences By Polling Place for Division 194 [Event:20499 Phase:FinalResults Generated:2017-05-11T17:38:10 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,194,Denison,8442,Battery Point,A,29632,0,A Ticket Votes,Family First,2
TAS,194,Denison,8442,Battery Point,A,28588,1,"MADDEN, Peter",Family First,3
TAS,194,Denison,8442,Battery Point,A,28589,2,"ROBERTS, Andrew",Family First,1
TAS,194,Denison,8442,Battery Point,B,29627,0,B Ticket Votes,Australian Labor Party,134
TAS,194,Denison,8442,Battery Point,B,28590,1,"URQUHART, Anne",Australian Labor Party,3
TAS,194,Denison,8442,Battery Point,B,28591,2,"POLLEY, Helen",Australian Labor Party,1
TAS,194,Denison,8442,Battery Point,B,28592,3,"BROWN, Carol",Australian Labor Party,3
TAS,194,Denison,8442,Battery Point,B,28593,4,"BILYK, Catryna",Australian Labor Party,4
TAS,194,Denison,8442,Battery Point,B,28594,5,"SHORT, John",Australian Labor Party,2
TAS,194,Denison,8442,Battery Point,B,28595,6,"SINGH, Lisa",Australian Labor Party,183
TAS,194,Denison,8442,Battery Point,C,29622,0,C Ticket Votes,The Greens,158
TAS,194,Denison,8442,Battery Point,C,28367,1,"WHISH-WILSON, Peter",The Greens,101
TAS,194,Denison,8442,Battery Point,C,28368,2,"McKIM, Nick",The Greens,79
TAS,194,Denison,8442,Battery Point,C,28370,3,"REYNOLDS, Anna",The Greens,28
TAS,194,Denison,8442,Battery Point,D,29629,0,D Ticket Votes,Christian Democratic Party (Fred Nile Group),3
TAS,194,Denison,8442,Battery Point,D,28596,1,"NERO-NILE, Silvana",Christian Democratic Party (Fred Nile Group),1
TAS,194,Denison,8442,Battery Point,D,28597,2,"GORA, Mishka",Christian Democratic Party (Fred Nile Group),0
TAS,194,Denison,8442,Battery Point,E,29630,0,E Ticket Votes,Nick Xenophon Team,9
TAS,194,Denison,8442,Battery Point,E,28598,1,"HOULT, Michelle",Nick Xenophon Team,8
TAS,194,Denison,8442,Battery Point,E,28599,2,"COHEN, Nicky",Nick Xenophon Team,0
TAS,194,Denison,8442,Battery Point,F,29626,0,F Ticket Votes,Liberal,248
TAS,194,Denison,8442,Battery Point,F,28580,1,"ABETZ, Eric",Liberal,41
TAS,194,Denison,8442,Battery Point,F,28581,2,"PARRY, Stephen",Liberal,6
TAS,194,Denison,8442,Battery Point,F,28582,3,"DUNIAM, Jonathon",Liberal,9
TAS,194,Denison,8442,Battery Point,F,28583,4,"BUSHBY, David",Liberal,12
TAS,194,Denison,8442,Battery Point,F,28584,5,"COLBECK, Richard",Liberal,131
TAS,194,Denison,8442,Battery Point,F,28585,6,"TUCKER, John",Liberal,2
TAS,194,Denison,8442,Battery Point,G,29636,0,G Ticket Votes,Palmer United Party,1
TAS,194,Denison,8442,Battery Point,G,29135,1,"MORGAN, Kevin",Palmer United Party,0
TAS,194,Denison,8442,Battery Point,G,29139,2,"STRINGER, Justin Leigh",Palmer United Party,1
TAS,194,Denison,8442,Battery Point,G,29141,3,"VON STIEGLITZ, Quentin",Palmer United Party,2
TAS,194,Denison,8442,Battery Point,H,29635,0,H Ticket Votes,Australian Sex Party/Marijuana (HEMP) Party,13
TAS,194,Denison,8442,Battery Point,H,29302,1,"COLLINS, Francesca",Australian Sex Party,5
TAS,194,Denison,8442,Battery Point,H,29307,2,"OWEN, Matt",Marijuana (HEMP) Party,1
TAS,194,Denison,8442,Battery Point,I,29623,0,I Ticket Votes,Pauline Hanson's One Nation,4
TAS,194,Denison,8442,Battery Point,I,28374,1,"McCULLOCH, Kate",Pauline Hanson's One Nation,0
TAS,194,Denison,8442,Battery Point,I,28375,2,"MANZI, Natasia",Pauline Hanson's One Nation,0
TAS,194,Denison,8442,Battery Point,J,29631,0,J Ticket Votes,Derryn Hinch's Justice Party,3
TAS,194,Denison,8442,Battery Point,J,28600,1,"CASS, Suzanne",Derryn Hinch's Justice Party,1
TAS,194,Denison,8442,Battery Point,J,28601,2,"BAKER, Daniel",Derryn Hinch's Justice Party,0
TAS,194,Denison,8442,Battery Point,K,29619,0,K Ticket Votes,Citizens Electoral Council,1
TAS,194,Denison,8442,Battery Point,K,28047,1,"THORNTON, Meg",Citizens Electoral Council,0
TAS,194,Denison,8442,Battery Point,K,28048,2,"KUCINA, Steve",Citizens Electoral Council,0
TAS,194,Denison,8442,Battery Point,L,29628,0,L Ticket Votes,Renewable Energy Party,3
TAS,194,Denison,8442,Battery Point,L,28586,1,"MANSON, Rob",Renewable Energy Party,3
TAS,194,Denison,8442,Battery Point,L,28587,2,"JOYCE, Sharon",Renewable Energy Party,0
TAS,194,Denison,8442,Battery Point,M,29624,0,M Ticket Votes,Jacqui Lambie Network,12
TAS,194,Denison,8442,Battery Point,M,28361,1,"LAMBIE, Jacqui",Jacqui Lambie Network,24
TAS,194,Denison,8442,Battery Point,M,28363,2,"MARTIN, Steve",Jacqui Lambie Network,1
TAS,194,Denison,8442,Battery Point,M,28365,3,"WATERMAN, Rob",Jacqui Lambie Network,0
TAS,194,Denison,8442,Battery Point,N,29633,0,N Ticket Votes,Australian Liberty Alliance,2
TAS,194,Denison,8442,Battery Point,N,28800,1,"ROBINSON, Tony",Australian Liberty Alliance,0
TAS,194,Denison,8442,Battery Point,N,28801,2,"HORWOOD, Susan",Australian Liberty Alliance,0
TAS,194,Denison,8442,Battery Point,O,29634,0,O Ticket Votes,VOTEFLUX.ORG | Upgrade Democracy!,5
TAS,194,Denison,8442,Battery Point,O,29119,1,"POULTON, Adam",VOTEFLUX.ORG | Upgrade Democracy!,3
TAS,194,Denison,8442,Battery Point,O,29124,2,"KAYE, Max",VOTEFLUX.ORG | Upgrade Democracy!,1
TAS,194,Denison,8442,Battery Point,P,29638,0,P Ticket Votes,"Shooters, Fishers and Farmers",0
TAS,194,Denison,8442,Battery Point,P,29288,1,"ALLEN, Matthew","Shooters, Fishers and Farmers",1
TAS,194,Denison,8442,Battery Point,P,29291,2,"MIDSON, Ricky","Shooters, Fishers and Farmers",0
