2019 Federal Election Senate First Preferences By Polling Place for Division 319 [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-06-19T10:58:31 Cycle:114a8d1f-4af8-4dc1-a2fc-1bb653882be3 Created:2019-06-19T10:56:26 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,319,Clark,8442,Battery Point,A,33691,0,A Ticket Votes,Australian Conservatives,1
TAS,319,Clark,8442,Battery Point,A,32091,1,"STRINGER, Justin",Australian Conservatives,2
TAS,319,Clark,8442,Battery Point,A,32093,2,"FRAME, Nigel",Australian Conservatives,0
TAS,319,Clark,8442,Battery Point,A,0,9998,Unapportioned,Australian Conservatives,0
TAS,319,Clark,8442,Battery Point,B,33693,0,B Ticket Votes,The Nationals,1
TAS,319,Clark,8442,Battery Point,B,32463,1,"MARTIN, Steve",The Nationals,1
TAS,319,Clark,8442,Battery Point,B,32466,2,"HILDITCH, Wendy",The Nationals,0
TAS,319,Clark,8442,Battery Point,B,0,9998,Unapportioned,The Nationals,0
TAS,319,Clark,8442,Battery Point,C,33686,0,C Ticket Votes,Sustainable Australia,5
TAS,319,Clark,8442,Battery Point,C,32848,1,"DUDLEY, Todd William",Sustainable Australia,0
TAS,319,Clark,8442,Battery Point,C,32854,2,"MACLAY, Christopher Brian",Sustainable Australia,0
TAS,319,Clark,8442,Battery Point,C,0,9998,Unapportioned,Sustainable Australia,0
TAS,319,Clark,8442,Battery Point,D,33699,0,D Ticket Votes,The Greens,181
TAS,319,Clark,8442,Battery Point,D,32818,1,"McKIM, Nick",The Greens,161
TAS,319,Clark,8442,Battery Point,D,32826,2,"HUTCHINSON, Helen",The Greens,4
TAS,319,Clark,8442,Battery Point,D,32835,3,"MARSH, Simone",The Greens,2
TAS,319,Clark,8442,Battery Point,D,0,9998,Unapportioned,The Greens,0
TAS,319,Clark,8442,Battery Point,E,33698,0,E Ticket Votes,Liberal,228
TAS,319,Clark,8442,Battery Point,E,32199,1,"COLBECK, Richard",Liberal,54
TAS,319,Clark,8442,Battery Point,E,32204,2,"CHANDLER, Claire",Liberal,7
TAS,319,Clark,8442,Battery Point,E,32226,3,"DENISON, Tanya",Liberal,12
TAS,319,Clark,8442,Battery Point,E,0,9998,Unapportioned,Liberal,0
TAS,319,Clark,8442,Battery Point,F,33684,0,F Ticket Votes,Animal Justice Party,3
TAS,319,Clark,8442,Battery Point,F,32804,1,"BEVIS, Karen Louise",Animal Justice Party,2
TAS,319,Clark,8442,Battery Point,F,32809,2,"TURNER, Isobel Bertoz",Animal Justice Party,0
TAS,319,Clark,8442,Battery Point,F,0,9998,Unapportioned,Animal Justice Party,0
TAS,319,Clark,8442,Battery Point,G,33685,0,G Ticket Votes,Citizens Electoral Council,0
TAS,319,Clark,8442,Battery Point,G,32886,1,"WILLIAMS, Ray",Citizens Electoral Council,0
TAS,319,Clark,8442,Battery Point,G,32890,2,"KUCINA, Steve",Citizens Electoral Council,0
TAS,319,Clark,8442,Battery Point,G,0,9998,Unapportioned,Citizens Electoral Council,0
TAS,319,Clark,8442,Battery Point,H,33688,0,H Ticket Votes,Liberal Democrats,3
TAS,319,Clark,8442,Battery Point,H,33009,1,"MEAD, Clinton",Liberal Democrats,0
TAS,319,Clark,8442,Battery Point,H,33011,2,"RABEY, Matthew",Liberal Democrats,1
TAS,319,Clark,8442,Battery Point,H,0,9998,Unapportioned,Liberal Democrats,0
TAS,319,Clark,8442,Battery Point,I,33697,0,I Ticket Votes,Australian Labor Party,145
TAS,319,Clark,8442,Battery Point,I,32578,1,"BROWN, Carol",Australian Labor Party,12
TAS,319,Clark,8442,Battery Point,I,32586,2,"BILYK, Catryna",Australian Labor Party,4
TAS,319,Clark,8442,Battery Point,I,32603,3,"SHORT, John",Australian Labor Party,2
TAS,319,Clark,8442,Battery Point,I,32616,4,"SINGH, Lisa",Australian Labor Party,129
TAS,319,Clark,8442,Battery Point,I,32622,5,"ROBERTS, Wayne",Australian Labor Party,0
TAS,319,Clark,8442,Battery Point,I,32631,6,"FLANAGAN, Robert",Australian Labor Party,3
TAS,319,Clark,8442,Battery Point,I,0,9998,Unapportioned,Australian Labor Party,0
TAS,319,Clark,8442,Battery Point,J,33692,0,J Ticket Votes,Pauline Hanson's One Nation,2
TAS,319,Clark,8442,Battery Point,J,32768,1,"STEPHEN, Matthew",Pauline Hanson's One Nation,0
TAS,319,Clark,8442,Battery Point,J,32791,2,"LAMBERT, Adam",Pauline Hanson's One Nation,0
TAS,319,Clark,8442,Battery Point,J,0,9998,Unapportioned,Pauline Hanson's One Nation,0
TAS,319,Clark,8442,Battery Point,K,33689,0,K Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0
TAS,319,Clark,8442,Battery Point,K,32990,1,"JONES, Michael",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,2
