2022 Federal Election Senate First Preferences By Polling Place for Division 319 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:50 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,319,Clark,8442,Battery Point,A,37932,0,A Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,2
TAS,319,Clark,8442,Battery Point,A,36347,1,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,3
TAS,319,Clark,8442,Battery Point,A,36352,2,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,319,Clark,8442,Battery Point,B,37936,0,B Above-the-line Votes,Pauline Hanson's One Nation,4
TAS,319,Clark,8442,Battery Point,B,37419,1,"MAV, Steve",Pauline Hanson's One Nation,1
TAS,319,Clark,8442,Battery Point,B,37421,2,"BUTTON, Norelle",Pauline Hanson's One Nation,0
TAS,319,Clark,8442,Battery Point,C,37934,0,C Above-the-line Votes,Animal Justice Party,1
TAS,319,Clark,8442,Battery Point,C,36512,1,"DAVIS, Ivan",Animal Justice Party,1
TAS,319,Clark,8442,Battery Point,C,36517,2,"THOMAS-WURTH, Virginia",Animal Justice Party,0
TAS,319,Clark,8442,Battery Point,D,37940,0,D Above-the-line Votes,Australian Labor Party,146
TAS,319,Clark,8442,Battery Point,D,37063,1,"URQUHART, Anne",Australian Labor Party,33
TAS,319,Clark,8442,Battery Point,D,37079,2,"POLLEY, Helen",Australian Labor Party,12
TAS,319,Clark,8442,Battery Point,D,37085,3,"RAINBIRD, Kate",Australian Labor Party,8
TAS,319,Clark,8442,Battery Point,D,37103,4,"HULME, Daniel",Australian Labor Party,3
TAS,319,Clark,8442,Battery Point,D,37113,5,"ROBERTS, Wayne",Australian Labor Party,2
TAS,319,Clark,8442,Battery Point,D,37119,6,"GOURLAY, Chris",Australian Labor Party,4
TAS,319,Clark,8442,Battery Point,E,37942,0,E Above-the-line Votes,Legalise Cannabis Australia,9
TAS,319,Clark,8442,Battery Point,E,37610,1,"OWEN, Matt",Legalise Cannabis Australia,0
TAS,319,Clark,8442,Battery Point,E,37612,2,"FITZGIBBON, Oliver",Legalise Cannabis Australia,2
TAS,319,Clark,8442,Battery Point,F,37933,0,F Above-the-line Votes,"Shooters, Fishers and Farmers Party",1
TAS,319,Clark,8442,Battery Point,F,36364,1,"WILLIAMS, Ray","Shooters, Fishers and Farmers Party",0
TAS,319,Clark,8442,Battery Point,F,36369,2,"DI FALCO, Carlo","Shooters, Fishers and Farmers Party",0
TAS,319,Clark,8442,Battery Point,F,36372,3,"JONES, Brenton Ronald","Shooters, Fishers and Farmers Party",0
TAS,319,Clark,8442,Battery Point,G,37943,0,G Above-the-line Votes,Australian Federation Party,2
TAS,319,Clark,8442,Battery Point,G,37791,1,"BROOMHALL, Ray",Australian Federation Party,0
TAS,319,Clark,8442,Battery Point,G,37793,2,"STRINGER, Justin",Australian Federation Party,0
TAS,319,Clark,8442,Battery Point,H,37931,0,H Above-the-line Votes,The Local Party,18
TAS,319,Clark,8442,Battery Point,H,37054,1,"MINSHULL, Leanne",The Local Party,21
TAS,319,Clark,8442,Battery Point,H,37062,2,"POULTON, Linda",The Local Party,0
TAS,319,Clark,8442,Battery Point,H,37066,3,"VAN RAAY, Lara",The Local Party,0
TAS,319,Clark,8442,Battery Point,I,37938,0,I Above-the-line Votes,The Greens,163
TAS,319,Clark,8442,Battery Point,I,37423,1,"WHISH-WILSON, Peter",The Greens,133
TAS,319,Clark,8442,Battery Point,I,37427,2,"BLEYER, Vanessa",The Greens,10
TAS,319,Clark,8442,Battery Point,I,37431,3,"BADGER, Tabatha",The Greens,9
TAS,319,Clark,8442,Battery Point,J,37935,0,J Above-the-line Votes,Liberal Democrats,7
TAS,319,Clark,8442,Battery Point,J,37012,1,"FIELD, Topher",Liberal Democrats,0
TAS,319,Clark,8442,Battery Point,J,37021,2,"CROFT, Chris",Liberal Democrats,0
TAS,319,Clark,8442,Battery Point,K,37930,0,K Above-the-line Votes,United Australia Party,7
TAS,319,Clark,8442,Battery Point,K,36282,1,"ADAMS, Diana",United Australia Party,0
TAS,319,Clark,8442,Battery Point,K,36293,2,"HENNESSY, Alan",United Australia Party,0
TAS,319,Clark,8442,Battery Point,L,37937,0,L Above-the-line Votes,Liberal,131
TAS,319,Clark,8442,Battery Point,L,37124,1,"DUNIAM, Jonno",Liberal,27
TAS,319,Clark,8442,Battery Point,L,37131,2,"ASKEW, Wendy",Liberal,5
TAS,319,Clark,8442,Battery Point,L,37132,3,"ABETZ, Eric",Liberal,40
TAS,319,Clark,8442,Battery Point,M,37941,0,M Above-the-line Votes,Jacqui Lambie Network,23
TAS,319,Clark,8442,Battery Point,M,37425,1,"TYRRELL, Tammy",Jacqui Lambie Network,6
TAS,319,Clark,8442,Battery Point,M,37430,2,"GROAT, Sarah",Jacqui Lambie Network,1
TAS,319,Clark,8442,Battery Point,M,37432,3,"LAMBIE, Tom",Jacqui Lambie Network,1
TAS,319,Clark,8442,Battery Point,N,37939,0,N Above-the-line Votes,Informed Medical Options Party,1
TAS,319,Clark,8442,Battery Point,N,37346,1,"KERSHAW, Lynne",Informed Medical Options Party,0
TAS,319,Clark,8442,Battery Point,N,37368,2,"PICKERING, Matthew",Informed Medical Options Party,0
TAS,319,Clark,8442,Battery Point,UG,37794,1,"CROTHERS, Steve",Independent,1
TAS,319,Clark,8442,Battery Point,UG,36253,2,"EDWARDS, Fenella",Independent,2
TAS,319,Clark,8442,Battery Point,ZZ,0,99,INFORMAL,,19
TAS,319,Clark,8443,Moonah East,A,37932,0,A Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,12
TAS,319,Clark,8443,Moonah East,A,36347,1,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,319,Clark,8443,Moonah East,A,36352,2,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,319,Clark,8443,Moonah East,B,37936,0,B Above-the-line Votes,Pauline Hanson's One Nation,23
TAS,319,Clark,8443,Moonah East,B,37419,1,"MAV, Steve",Pauline Hanson's One Nation,4
TAS,319,Clark,8443,Moonah East,B,37421,2,"BUTTON, Norelle",Pauline Hanson's One Nation,1
TAS,319,Clark,8443,Moonah East,C,37934,0,C Above-the-line Votes,Animal Justice Party,8
TAS,319,Clark,8443,Moonah East,C,36512,1,"DAVIS, Ivan",Animal Justice Party,3
TAS,319,Clark,8443,Moonah East,C,36517,2,"THOMAS-WURTH, Virginia",Animal Justice Party,0
TAS,319,Clark,8443,Moonah East,D,37940,0,D Above-the-line Votes,Australian Labor Party,298
TAS,319,Clark,8443,Moonah East,D,37063,1,"URQUHART, Anne",Australian Labor Party,36
TAS,319,Clark,8443,Moonah East,D,37079,2,"POLLEY, Helen",Australian Labor Party,14
TAS,319,Clark,8443,Moonah East,D,37085,3,"RAINBIRD, Kate",Australian Labor Party,7
TAS,319,Clark,8443,Moonah East,D,37103,4,"HULME, Daniel",Australian Labor Party,3
TAS,319,Clark,8443,Moonah East,D,37113,5,"ROBERTS, Wayne",Australian Labor Party,1
TAS,319,Clark,8443,Moonah East,D,37119,6,"GOURLAY, Chris",Australian Labor Party,3
TAS,319,Clark,8443,Moonah East,E,37942,0,E Above-the-line Votes,Legalise Cannabis Australia,34
TAS,319,Clark,8443,Moonah East,E,37610,1,"OWEN, Matt",Legalise Cannabis Australia,6
TAS,319,Clark,8443,Moonah East,E,37612,2,"FITZGIBBON, Oliver",Legalise Cannabis Australia,1
TAS,319,Clark,8443,Moonah East,F,37933,0,F Above-the-line Votes,"Shooters, Fishers and Farmers Party",6
TAS,319,Clark,8443,Moonah East,F,36364,1,"WILLIAMS, Ray","Shooters, Fishers and Farmers Party",3
TAS,319,Clark,8443,Moonah East,F,36369,2,"DI FALCO, Carlo","Shooters, Fishers and Farmers Party",1
TAS,319,Clark,8443,Moonah East,F,36372,3,"JONES, Brenton Ronald","Shooters, Fishers and Farmers Party",0
TAS,319,Clark,8443,Moonah East,G,37943,0,G Above-the-line Votes,Australian Federation Party,1
TAS,319,Clark,8443,Moonah East,G,37791,1,"BROOMHALL, Ray",Australian Federation Party,1
TAS,319,Clark,8443,Moonah East,G,37793,2,"STRINGER, Justin",Australian Federation Party,0
TAS,319,Clark,8443,Moonah East,H,37931,0,H Above-the-line Votes,The Local Party,7
TAS,319,Clark,8443,Moonah East,H,37054,1,"MINSHULL, Leanne",The Local Party,10
TAS,319,Clark,8443,Moonah East,H,37062,2,"POULTON, Linda",The Local Party,1
TAS,319,Clark,8443,Moonah East,H,37066,3,"VAN RAAY, Lara",The Local Party,1
TAS,319,Clark,8443,Moonah East,I,37938,0,I Above-the-line Votes,The Greens,153
TAS,319,Clark,8443,Moonah East,I,37423,1,"WHISH-WILSON, Peter",The Greens,91
TAS,319,Clark,8443,Moonah East,I,37427,2,"BLEYER, Vanessa",The Greens,7
TAS,319,Clark,8443,Moonah East,I,37431,3,"BADGER, Tabatha",The Greens,4
TAS,319,Clark,8443,Moonah East,J,37935,0,J Above-the-line Votes,Liberal Democrats,9
TAS,319,Clark,8443,Moonah East,J,37012,1,"FIELD, Topher",Liberal Democrats,1
TAS,319,Clark,8443,Moonah East,J,37021,2,"CROFT, Chris",Liberal Democrats,1
TAS,319,Clark,8443,Moonah East,K,37930,0,K Above-the-line Votes,United Australia Party,10
TAS,319,Clark,8443,Moonah East,K,36282,1,"ADAMS, Diana",United Australia Party,2
TAS,319,Clark,8443,Moonah East,K,36293,2,"HENNESSY, Alan",United Australia Party,0
TAS,319,Clark,8443,Moonah East,L,37937,0,L Above-the-line Votes,Liberal,142
TAS,319,Clark,8443,Moonah East,L,37124,1,"DUNIAM, Jonno",Liberal,13
TAS,319,Clark,8443,Moonah East,L,37131,2,"ASKEW, Wendy",Liberal,0
TAS,319,Clark,8443,Moonah East,L,37132,3,"ABETZ, Eric",Liberal,32
TAS,319,Clark,8443,Moonah East,M,37941,0,M Above-the-line Votes,Jacqui Lambie Network,41
TAS,319,Clark,8443,Moonah East,M,37425,1,"TYRRELL, Tammy",Jacqui Lambie Network,14
TAS,319,Clark,8443,Moonah East,M,37430,2,"GROAT, Sarah",Jacqui Lambie Network,0
TAS,319,Clark,8443,Moonah East,M,37432,3,"LAMBIE, Tom",Jacqui Lambie Network,5
TAS,319,Clark,8443,Moonah East,N,37939,0,N Above-the-line Votes,Informed Medical Options Party,0
TAS,319,Clark,8443,Moonah East,N,37346,1,"KERSHAW, Lynne",Informed Medical Options Party,0
