2010 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:56 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009],,,,,,,,,,,,,,,,
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,101,Canberra,A,0,22049,A Ticket Votes,Australian Labor Party,ALP,N,N,34557,510,166,1928,1274,38435
ACT,101,Canberra,A,1,21065,"LUNDY, Kate Alexandra",Australian Labor Party,ALP,Y,Y,7054,122,31,477,319,8003
ACT,101,Canberra,A,2,21072,"MATHEWS, David",Australian Labor Party,ALP,N,N,551,14,4,46,22,637
ACT,101,Canberra,B,0,22050,B Ticket Votes,Australian Democrats,DEM,N,N,1072,20,6,90,45,1233
ACT,101,Canberra,B,1,21758,"CHURCHILL, Darren Mark",Australian Democrats,DEM,N,N,529,9,6,31,33,608
ACT,101,Canberra,B,2,21760,"DAVID, Anthony John",Australian Democrats,DEM,N,N,113,3,1,11,8,136
ACT,101,Canberra,C,0,22048,C Ticket Votes,The Greens,GRN,N,N,13247,332,74,890,461,15004
ACT,101,Canberra,C,1,20838,"HATFIELD DODDS, Lin",The Greens,GRN,N,N,7478,149,42,434,242,8345
ACT,101,Canberra,C,2,20840,"PARRIS, Hannah",The Greens,GRN,N,N,709,21,4,84,44,862
ACT,101,Canberra,D,0,22047,D Ticket Votes,Liberal,LP,N,N,30228,401,126,1740,1455,33950
ACT,101,Canberra,D,1,20813,"HUMPHRIES, Gary",Liberal,LP,Y,Y,5505,58,19,324,345,6251
ACT,101,Canberra,D,2,20814,"WATTS, Matthew",Liberal,LP,N,N,328,5,2,35,31,401
ACT,101,Canberra,UG,1,21966,"GLYNN, John",Independent,IND,N,N,1176,21,4,49,49,1299
ACT,102,Fraser,A,0,22049,A Ticket Votes,Australian Labor Party,ALP,N,N,33402,574,232,2032,1243,37483
ACT,102,Fraser,A,1,21065,"LUNDY, Kate Alexandra",Australian Labor Party,ALP,Y,Y,7350,106,27,564,303,8350
ACT,102,Fraser,A,2,21072,"MATHEWS, David",Australian Labor Party,ALP,N,N,640,10,5,41,35,731
ACT,102,Fraser,B,0,22050,B Ticket Votes,Australian Democrats,DEM,N,N,1106,21,7,96,64,1294
ACT,102,Fraser,B,1,21758,"CHURCHILL, Darren Mark",Australian Democrats,DEM,N,N,539,2,3,50,29,623
ACT,102,Fraser,B,2,21760,"DAVID, Anthony John",Australian Democrats,DEM,N,N,147,5,1,7,3,163
ACT,102,Fraser,C,0,22048,C Ticket Votes,The Greens,GRN,N,N,14695,301,97,1024,475,16592
ACT,102,Fraser,C,1,20838,"HATFIELD DODDS, Lin",The Greens,GRN,N,N,9532,142,39,652,294,10659
ACT,102,Fraser,C,2,20840,"PARRIS, Hannah",The Greens,GRN,N,N,929,18,5,91,41,1084
ACT,102,Fraser,D,0,22047,D Ticket Votes,Liberal,LP,N,N,26455,415,156,1725,1344,30095
ACT,102,Fraser,D,1,20813,"HUMPHRIES, Gary",Liberal,LP,Y,Y,4664,69,21,296,230,5280
ACT,102,Fraser,D,2,20814,"WATTS, Matthew",Liberal,LP,N,N,411,7,3,46,19,486
ACT,102,Fraser,UG,1,21966,"GLYNN, John",Independent,IND,N,N,1112,18,4,76,58,1268
NSW,103,Banks,A,0,22214,A Ticket Votes,Socialist Alliance,SAL,N,N,495,19,6,15,7,542
NSW,103,Banks,A,1,21446,"EVANS, Rachel",Socialist Alliance,SAL,N,N,22,3,2,2,0,29
NSW,103,Banks,A,2,21449,"ISKANDER, Soubhi",Socialist Alliance,SAL,N,N,0,1,0,0,0,1
NSW,103,Banks,B,0,22230,B Ticket Votes,,,N,N,39,2,0,2,0,43
NSW,103,Banks,B,1,22023,"HODGES, Robert",,,N,N,2,0,0,0,0,2
NSW,103,Banks,B,2,22024,"FRIER, Bob",,,N,N,0,0,0,0,0,0
NSW,103,Banks,C,0,22224,C Ticket Votes,,,N,N,19,1,0,1,2,23
NSW,103,Banks,C,1,21904,"ROBINSON, Tony",,,N,N,1,0,0,0,0,1
NSW,103,Banks,C,2,21907,"SELBY, Noel",,,N,N,0,0,0,0,0,0
NSW,103,Banks,D,0,22215,D Ticket Votes,,,N,N,38,3,1,7,0,49
NSW,103,Banks,D,1,21429,"HODGES, Darrin",,,N,N,1,1,0,0,1,3
NSW,103,Banks,D,2,21430,"FOLKES, Nick",,,N,N,0,0,0,0,0,0
NSW,103,Banks,E,0,22220,E Ticket Votes,Building Australia,BAP,N,N,163,25,4,9,13,214
NSW,103,Banks,E,1,21798,"BROWN, Ray",Building Australia,BAP,N,N,3,0,0,1,0,4
NSW,103,Banks,E,2,21799,"O'DONNELL, Michael",Building Australia,BAP,N,N,0,0,0,0,0,0
NSW,103,Banks,F,0,22212,F Ticket Votes,Senator On-Line,SOL,N,N,43,2,1,2,1,49
NSW,103,Banks,F,1,21465,"BAS, Wes",Senator On-Line,SOL,N,N,6,1,0,0,0,7
NSW,103,Banks,F,2,21470,"ROACH, Brianna",Senator On-Line,SOL,N,N,1,0,0,0,0,1
NSW,103,Banks,G,0,22222,G Ticket Votes,Communist,CAL,N,N,173,21,2,13,10,219
