2013 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:17496 Phase:FinalResults Generated:2014-10-28T11:23:12 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449],,,,,,,,,,,,,,,,
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,101,Canberra,A,0,25070,A Ticket Votes,Animal Justice Party,AJP,N,N,953,22,10,42,57,1084
ACT,101,Canberra,A,1,24222,"FILLINGER, Marcus",Animal Justice Party,AJP,N,N,304,8,4,16,17,349
ACT,101,Canberra,A,2,24225,"MONTAGNE, Jessica",Animal Justice Party,AJP,N,N,73,0,0,7,7,87
ACT,101,Canberra,B,0,25067,B Ticket Votes,Katter's Australian Party,KAP,N,N,357,4,0,23,26,410
ACT,101,Canberra,B,1,24114,"BAILEY, Steven",Katter's Australian Party,KAP,N,N,184,2,1,10,11,208
ACT,101,Canberra,B,2,24120,"ARNOLD, Joe",Katter's Australian Party,KAP,N,N,30,3,0,0,2,35
ACT,101,Canberra,C,0,25075,C Ticket Votes,Australian Greens,GRN,N,N,11909,196,45,607,511,13268
ACT,101,Canberra,C,1,24907,"SHEIKH, Simon",Australian Greens,GRN,N,N,6538,126,34,288,250,7236
ACT,101,Canberra,C,2,24912,"ESGUERRA, Indra",Australian Greens,GRN,N,N,247,9,3,37,27,323
ACT,101,Canberra,D,0,25064,D Ticket Votes,Stable Population Party,SPP,N,N,172,3,0,8,5,188
ACT,101,Canberra,D,1,23291,"O'CONNOR, Mark",Stable Population Party,SPP,N,N,198,0,1,6,11,216
ACT,101,Canberra,D,2,23293,"GRAHAM, Greg",Stable Population Party,SPP,N,N,8,0,0,1,0,9
ACT,101,Canberra,E,0,25065,E Ticket Votes,Bullet Train For Australia,BTA,N,N,1269,30,10,81,82,1472
