2016 Federal Election Polling Places [Event:20499 Phase:FinalResults Generated:2017-05-11T17:36:58 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192],,,,,,,,,,,,,,
State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude
ACT,101,Canberra,8829,1,Barton,Telopea Park School,New South Wales Cres,,,BARTON,ACT,2600,-35.3151,149.135
ACT,101,Canberra,64583,5,Belconnen CANBERRA PPVC,Belconnen Community Centre,26 Chandler St,,,BELCONNEN,ACT,2900,-35.2389038,149.070109
ACT,101,Canberra,65504,5,BLV Canberra PPVC,BLV Canberra,50 Marcus Clarke St,,,CANBERRA CITY,ACT,2601,-35.2790544,149.1263791
ACT,101,Canberra,11877,1,Bonython,Bonython Primary School,Hurtle Ave,,,BONYTHON,ACT,2905,-35.4318,149.083
ACT,101,Canberra,8802,1,Braddon (Canberra),Ainslie School,Donaldson St,,,BRADDON,ACT,2601,-35.27363,149.14001
ACT,101,Canberra,11452,1,Calwell,Calwell High School,Casey Cres,,,CALWELL,ACT,2905,-35.44067,149.1176
ACT,101,Canberra,8806,1,Campbell,Campbell Primary School,Chauvel St,,,CAMPBELL,ACT,2601,-35.2903,149.156
ACT,101,Canberra,8761,1,Chapman,Chapman Primary School,Perry Dr,,,CHAPMAN,ACT,2611,-35.3564,149.042
ACT,101,Canberra,8763,1,Chisholm,Caroline Chisholm School,Hambidge Cres,,,CHISHOLM,ACT,2905,-35.4187478,149.1225386
ACT,101,Canberra,8808,1,City (Canberra),Pilgrim House,69 Northbourne Ave,,,CANBERRA CITY,ACT,2601,-35.2767018,149.1290814
ACT,101,Canberra,58708,5,City CANBERRA PPVC,Pilgrim House,69 Northbourne Ave,,,CANBERRA CITY,ACT,2601,-35.276666,149.1290402
ACT,101,Canberra,31298,1,Conder,Charles Conder Primary School,Tom Roberts Ave,,,CONDER,ACT,2906,-35.4649,149.098
ACT,101,Canberra,82523,1,Coombs,Charles Weston School,Woodberry Ave,,,COOMBS,ACT,2611,-35.3226028,149.0428484
ACT,101,Canberra,8764,1,Curtin,Curtin Primary School,Theodore St,,,CURTIN,ACT,2605,-35.3317,149.08
ACT,101,Canberra,8766,1,Deakin,CGGS Junior School,Grey St,,,DEAKIN,ACT,2600,-35.3125,149.111
ACT,101,Canberra,30092,5,Divisional Office (PREPOLL),Divisional Office,Ground Floor,50 Marcus Clarke St,,CANBERRA CITY,ACT,2601,-35.2770599,149.1268434
ACT,101,Canberra,8767,1,Duffy,Duffy Primary School,Burrinjuck Cres,,,DUFFY,ACT,2611,-35.3347,149.032
ACT,101,Canberra,8768,1,Fadden,Fadden Primary School,Hanlon Cres,,,FADDEN,ACT,2904,-35.4044,149.118
ACT,101,Canberra,8769,1,Farrer,Farrer Primary School,Lambrigg St,,,FARRER,ACT,2607,-35.379,149.107
ACT,101,Canberra,8794,1,Garran,Garran Primary School,136 Gilmore Cres,,,GARRAN,ACT,2605,-35.343976,149.103689
ACT,101,Canberra,8771,1,Gilmore,Gilmore Primary School,Heagney Cres,,,GILMORE,ACT,2905,-35.4147,149.133
ACT,101,Canberra,12072,1,Gordon,Gordon Primary School,Knoke St,,,GORDON,ACT,2906,-35.4555,149.087
ACT,101,Canberra,8772,1,Gowrie,Gowrie Primary School,Jeffries St,,,GOWRIE,ACT,2904,-35.4136,149.111
ACT,101,Canberra,8817,1,Griffith,St Edmund's College,Canberra Ave,,,GRIFFITH,ACT,2603,-35.3222,149.145
ACT,101,Canberra,65981,5,Gungahlin CANBERRA PPVC,75 Gozzard St,75 Gozzard St,,,GUNGAHLIN,ACT,2912,-35.182019,149.1329123
ACT,101,Canberra,8773,1,Holder,St Jude's Primary School,Mulley St,,,HOLDER,ACT,2611,-35.3348,149.05
ACT,101,Canberra,8774,1,Hughes,Hughes Primary School,Kent St,,,HUGHES,ACT,2605,-35.3313,149.094
ACT,101,Canberra,8884,1,Isabella Plains,Isabella Plains Early Childhood School,Ellerston Ave,,,ISABELLA PLAINS,ACT,2905,-35.4287,149.089
ACT,101,Canberra,8776,1,Kambah North,Taylor Primary School,Marconi Cres,,,KAMBAH,ACT,2902,-35.3784,149.065
ACT,101,Canberra,8777,1,Kambah South,Namadgi School,O'Halloran Crct,,,KAMBAH,ACT,2902,-35.3924756,149.067537
ACT,101,Canberra,8778,1,Kambah West,St Thomas the Apostle School,Boddington Cres,,,KAMBAH,ACT,2902,-35.3806,149.053
ACT,101,Canberra,8779,1,Lyons,Lyons Early Childhood School,Tarraleah Cres,,,LYONS,ACT,2606,-35.342,149.076
ACT,101,Canberra,8780,1,Mawson,Mawson Primary School,Ainsworth St,,,MAWSON,ACT,2607,-35.3585,149.097
ACT,101,Canberra,8781,1,Monash,Monash Primary School,Corlette Cres,,,MONASH,ACT,2904,-35.4151,149.089
ACT,101,Canberra,8782,1,Narrabundah,Narrabundah Early Childhood School,Kootara Cres,,,NARRABUNDAH,ACT,2604,-35.3286,149.15
ACT,101,Canberra,65739,1,Norfolk Island,Rawson Hall,37a Taylors Rd,,,NORFOLK ISLAND,NSW,2899,-29.0346718,167.9532444
ACT,101,Canberra,66153,5,Norfolk Island PPVC,36 Taylors Rd,36f Taylors Rd,,,NORFOLK ISLAND,NSW,2899,-29.02566,167.941585
ACT,101,Canberra,8783,1,Oaks Estate,Oaks Estate Community Hall,2 William St,,,OAKS ESTATE,ACT,2620,-35.3424,149.231
ACT,101,Canberra,65158,4,Other Mobile Team 1,Alexander Maconachie Centre,10400 Monaro Hwy,,,HUME,ACT,2620,,
ACT,101,Canberra,65741,1,Parkes (Canberra),Old Parliament House,18 King George Tce,,,PARKES,ACT,2600,-35.3020098,149.1298449
ACT,101,Canberra,65742,5,Parkes PPVC,Old Parliament House,18 King George Tce,,,PARKES,ACT,2600,,
ACT,101,Canberra,8784,1,Pearce,Melrose High School,Marr St,,,PEARCE,ACT,2607,-35.3637,149.089
ACT,101,Canberra,8785,1,Red Hill,Red Hill School,Astrolabe St,,,RED HILL,ACT,2603,-35.3395,149.133
ACT,101,Canberra,8786,1,Richardson,Richardson Primary School,May Gibbs Cl,,,RICHARDSON,ACT,2905,-35.4287,149.114
ACT,101,Canberra,32712,2,Special Hospital Team 1,Multiple sites,,,,,ACT,,,
ACT,101,Canberra,58810,2,Special Hospital Team 2,Multiple sites,,,,,ACT,,,
ACT,101,Canberra,58811,2,Special Hospital Team 3,Multiple sites,,,,,ACT,,,
ACT,101,Canberra,66154,2,Special Hospital Team 4,Canberra Hospital,Yamba Dr,,,GARRAN,ACT,2605,-35.3441352,149.0988362
ACT,101,Canberra,8788,1,Tharwa,Tharwa Pre School,10 North St,,,THARWA,ACT,2620,-35.5089485,149.0674893
ACT,101,Canberra,11878,1,Theodore,Theodore Primary School,Lawrence Wackett Cres,,,THEODORE,ACT,2905,-35.4477,149.124
ACT,101,Canberra,32704,5,Tuggeranong CANBERRA PPVC,Flax House,216 Cowlishaw St,,,GREENWAY,ACT,2900,-35.4149881,149.0685725
ACT,101,Canberra,66118,1,Turner (Canberra),Turner School,Condamine St,,,TURNER,ACT,2601,-35.265,149.126
ACT,101,Canberra,8790,1,Wanniassa,Wanniassa Senior Campus,Wheeler Cres,,,WANNIASSA,ACT,2903,-35.3947,149.086
ACT,101,Canberra,8791,1,Wanniassa Hills,Wanniassa Hills Primary School,Langdon Ave,,,WANNIASSA,ACT,2903,-35.392,149.096
ACT,101,Canberra,8792,1,Waramanga,Arawang Primary School,Nemarang Cres,,,WARAMANGA,ACT,2611,-35.355,149.06
ACT,101,Canberra,8793,1,Weston,Weston Creek Community Centre,Parkinson St,,,WESTON,ACT,2611,-35.3412,149.054
ACT,101,Canberra,32705,5,Woden CANBERRA PPVC,15 Bowes St,,,,PHILLIP,ACT,2606,-35.344032,149.0860283
ACT,101,Canberra,8840,1,Yarralumla,Yarralumla Primary School,Loftus St,,,YARRALUMLA,ACT,2600,-35.3069,149.103
ACT,102,Fenner,8801,1,Ainslie North,North Ainslie Primary School,Sherbrooke St,,,AINSLIE,ACT,2602,-35.2543,149.147
ACT,102,Fenner,38197,1,Amaroo,Amaroo School,Katherine Ave,,,AMAROO,ACT,2914,-35.1653,149.129
ACT,102,Fenner,8803,1,Aranda,Aranda Primary School,Banambila St,,,ARANDA,ACT,2614,-35.256,149.08
ACT,102,Fenner,8805,1,Belconnen,Lake Ginninderra College,Emu Bank,,,BELCONNEN,ACT,2617,-35.2391,149.074
ACT,102,Fenner,32464,5,Belconnen FENNER PPVC,Belconnen Community Centre,Swanson Ct,,,BELCONNEN,ACT,2900,-35.2391809,149.0690401
ACT,102,Fenner,65505,5,BLV Fenner PPVC,BLV Fenner,50 Marcus Clarke St,,,CANBERRA CITY,ACT,2601,-35.2790544,149.1263791
ACT,102,Fenner,65695,1,Bonner,Neville Bonner Primary School,Mabo Blvd,,,BONNER,ACT,2914,-35.1615786,149.1397655
ACT,102,Fenner,66142,1,Braddon (Fenner),Ainslie School,Donaldson St,,,BRADDON,ACT,2601,-35.27363,149.14001
ACT,102,Fenner,8807,1,Charnwood,St Thomas Aquinas Primary School,Lhotsky St,,,CHARNWOOD,ACT,2615,-35.2051,149.03
ACT,102,Fenner,66144,1,City (Fenner),Pilgrim House,69 Northbourne Ave,,,CANBERRA CITY,ACT,2601,-35.2767018,149.1290814
ACT,102,Fenner,32465,5,City FENNER PPVC,Pilgrim House,69 Northbourne Ave,,,CANBERRA CITY,ACT,2601,-35.2767018,149.1290814
ACT,102,Fenner,8809,1,Dickson,Daramalan College,Cowper St,,,DICKSON,ACT,2602,-35.2535,149.139
ACT,102,Fenner,30093,5,Divisional Office (PREPOLL),Divisional Office,Ground Floor,50 Marcus Clarke St,,CANBERRA CITY,ACT,2601,-35.2770599,149.1268434
ACT,102,Fenner,82525,1,Downer,Downer Community Centre,Frencham Pl,,,DOWNER,ACT,2602,-35.2445,149.145
ACT,102,Fenner,8812,1,Evatt,Evatt Primary School,Heydon Cres,,,EVATT,ACT,2617,-35.2071,149.076
ACT,102,Fenner,8814,1,Florey,St Francis Xavier College,Barnard Crct,,,FLOREY,ACT,2615,-35.224,149.041
ACT,102,Fenner,65493,1,Forde,Burgmann Anglican School Forde,"Francis Forde Blvd,",,,FORDE,ACT,2914,-35.1708975,149.143181
ACT,102,Fenner,34238,1,Fraser Central,Fraser Primary School,Tillyard Drive,,,FRASER,ACT,2615,-35.1918,149.043
ACT,102,Fenner,8816,1,Giralang,Giralang Primary School,Canopus Cres,,,GIRALANG,ACT,2617,-35.2137,149.094
ACT,102,Fenner,34240,1,Gungahlin,Burgmann Anglican School,The Valley Ave,,,GUNGAHLIN,ACT,2912,-35.1885,149.124
ACT,102,Fenner,38504,5,Gungahlin FENNER PPVC,75 Gozzard St,,,,GUNGAHLIN,ACT,2912,-35.182019,149.1329123
ACT,102,Fenner,47681,1,Harrison,Harrison School,Wimmera St,,,HARRISON,ACT,2914,-35.19913,149.15129
ACT,102,Fenner,8821,1,Holt,Kingsford Smith School,Starke St,,,HOLT,ACT,2615,-35.22694,149.02497
ACT,102,Fenner,8823,1,Kaleen,Kaleen Primary School,Ashburton St,,,KALEEN,ACT,2617,-35.2248,149.114
ACT,102,Fenner,8824,1,Kaleen South,Maribyrnong Primary School,Alberga St,,,KALEEN,ACT,2617,-35.2351,149.102
ACT,102,Fenner,8825,1,Latham,Latham Primary School,O'Loghlen St,,,LATHAM,ACT,2615,-35.2202,149.034
ACT,102,Fenner,8826,1,Lyneham,Lyneham Primary School,Hall St,,,LYNEHAM,ACT,2602,-35.2515,149.125
ACT,102,Fenner,8827,1,Macgregor,Macgregor Primary School,Hirschfeld Cres,,,MACGREGOR,ACT,2615,-35.2131,149.012
ACT,102,Fenner,8828,1,Macquarie,Macquarie Primary School,Bennelong Cres,,,MACQUARIE,ACT,2614,-35.2501,149.059
ACT,102,Fenner,8830,1,Melba,Mt Rogers Primary School,Alfred Hill Dr,,,MELBA,ACT,2615,-35.2083,149.056
ACT,102,Fenner,32463,1,Ngunnawal,Ngunnawal Primary School,Unaipon Ave,,,NGUNNAWAL,ACT,2913,-35.1692,149.112
ACT,102,Fenner,32081,1,Nicholls,Nicholls Joint Facility,Kelleway Ave,,,NICHOLLS,ACT,2913,-35.1802,149.102
ACT,102,Fenner,65840,4,Other Mobile Team 1,Multiple sites,,,,,ACT,2540,,
ACT,102,Fenner,8832,1,Page,St Matthew's School,Stutchbury St,,,PAGE,ACT,2614,-35.2398,149.042
ACT,102,Fenner,31626,1,Palmerston,Palmerston Primary School,Kosciuszko Ave,,,PALMERSTON,ACT,2913,-35.1975,149.12
ACT,102,Fenner,65743,1,Parkes (Fenner),Old Parliament House,18 King George Tce,,,PARKES,ACT,2600,-35.3020098,149.1298449
ACT,102,Fenner,8834,1,Scullin,Salvation Army Hall,Cnr Ross Smith Cres & McIntosh St,,,SCULLIN,ACT,2614,-35.2335,149.03942
ACT,102,Fenner,32467,2,Special Hospital Team 1,Multiple sites,,,,,ACT,,,
ACT,102,Fenner,32468,2,Special Hospital Team 2,Multiple sites,,,,,ACT,,,
ACT,102,Fenner,82488,2,Special Hospital Team 3,Calvary Hospital,Mary Potter Cres,,,BRUCE,ACT,2617,-35.2520152,149.0902233
ACT,102,Fenner,64585,5,Tuggeranong FENNER PPVC,Flax House,216 Cowlishaw St,,,GREENWAY,ACT,2900,-35.4178385,149.0684867
ACT,102,Fenner,8836,1,Turner (Fenner),Turner School,Condamine St,,,TURNER,ACT,2601,-35.265,149.126
ACT,102,Fenner,8837,1,Watson,Majura Primary School,Irvine St,,,WATSON,ACT,2602,-35.2385,149.155
ACT,102,Fenner,8838,1,Weetangera,Weetangera Primary School,Southwell St,,,WEETANGERA,ACT,2614,-35.2518,149.047
ACT,102,Fenner,64584,5,Woden FENNER PPVC,15 Bowes St,,,,PHILLIP,ACT,2606,-35.344032,149.086023
NSW,103,Banks,31,1,Allawah,P J Ferry Hall,cnr Bellevue Pde & Blakesley Rd,,,ALLAWAH,NSW,2218,-33.9767897,151.1148974
