2016 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:20499 Phase:FinalResults Generated:2017-05-16T15:44:16 Cycle:1c16bc24-2305-4e98-b136-89dead4ad909 Created:2016-09-05T17:43:14 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192],,,,,,,,,,,,,,,,
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,101,Canberra,A,0,29670,A Ticket Votes,Liberal Democratic Party,LDP,N,N,2993,42,20,211,138,3404
ACT,101,Canberra,A,1,29611,"DONNELLY, Matt",Liberal Democrats,LDP,N,N,432,8,3,27,22,492
ACT,101,Canberra,A,2,29612,"HENNINGS, Cawley",Liberal Democrats,LDP,N,N,44,1,0,4,3,52
ACT,101,Canberra,B,0,29669,B Ticket Votes,Secular Party of Australia,SPA,N,N,387,5,2,28,46,468
ACT,101,Canberra,B,1,28933,"EDWARDS, David",Secular Party of Australia,SPA,N,N,198,3,1,15,12,229
ACT,101,Canberra,B,2,28937,"MIHALJEVIC, Denis",Secular Party of Australia,SPA,N,N,32,0,1,2,1,36
ACT,101,Canberra,C,0,29663,C Ticket Votes,Australian Labor Party,ALP,N,N,36734,458,229,1848,1810,41079
ACT,101,Canberra,C,1,28147,"GALLAGHER, Katy",Australian Labor Party,ALP,Y,Y,6011,61,29,360,324,6785
ACT,101,Canberra,C,2,28149,"SMITH, David",Australian Labor Party,ALP,N,N,424,2,4,24,26,480
ACT,101,Canberra,D,0,29672,D Ticket Votes,Rise Up Australia Party,RUA,N,N,913,10,10,48,55,1036
ACT,101,Canberra,D,1,29514,"O'CONNOR, Sandie",Rise Up Australia Party,RUA,N,N,209,2,0,10,13,234
ACT,101,Canberra,D,2,29518,"WYATT, Jess",Rise Up Australia Party,RUA,N,N,30,0,0,2,4,36
ACT,101,Canberra,E,0,29666,E Ticket Votes,Sustainable Australia,SPP,N,N,829,9,3,37,53,931
ACT,101,Canberra,E,1,28468,"HAYDON, John",Sustainable Australia,SPP,N,N,299,1,4,9,23,336
ACT,101,Canberra,E,2,28469,"TYE, Martin",Sustainable Australia,SPP,N,N,54,0,0,2,2,58
ACT,101,Canberra,F,0,29667,F Ticket Votes,Liberal,LP,N,N,37722,310,215,2124,2330,42701
ACT,101,Canberra,F,1,28773,"SESELJA, Zed",Liberal,LP,Y,Y,2622,21,10,142,153,2948
ACT,101,Canberra,F,2,28782,"HIATT, Jane",Liberal,LP,N,N,925,5,4,51,67,1052
ACT,101,Canberra,G,0,29664,G Ticket Votes,Animal Justice Party,AJP,N,N,1709,22,14,86,107,1938
ACT,101,Canberra,G,1,28254,"FIELD, Deborah",Animal Justice Party,AJP,N,N,282,2,7,15,18,324
ACT,101,Canberra,G,2,28256,"MONTAGNE, Jessica",Animal Justice Party,AJP,N,N,43,1,0,4,2,50
ACT,101,Canberra,H,0,29665,H Ticket Votes,The Greens,GRN,N,N,12905,209,84,1014,692,14904
ACT,101,Canberra,H,1,28306,"HOBBS, Christina",The Greens,GRN,N,N,4120,52,26,322,186,4706
ACT,101,Canberra,H,2,28308,"WAREHAM, Sue",The Greens,GRN,N,N,210,1,3,29,21,264
ACT,101,Canberra,I,0,29668,I Ticket Votes,Christian Democratic Party (Fred Nile Group),CDP,N,N,987,18,9,71,67,1152
ACT,101,Canberra,I,1,28760,"KIM, David William",Christian Democratic Party (Fred Nile Group),CDP,N,N,217,2,2,13,11,245
ACT,101,Canberra,I,2,28763,"TADROS, Elizabeth",Christian Democratic Party (Fred Nile Group),CDP,N,N,34,0,1,2,4,41
ACT,101,Canberra,J,0,29671,J Ticket Votes,Australian Sex Party,ASXP,N,N,3742,83,32,207,111,4175
ACT,101,Canberra,J,1,29390,"BAILEY, Steven",Australian Sex Party,ASXP,N,N,725,13,7,32,29,806
ACT,101,Canberra,J,2,29391,"SWAN, Robbie",Australian Sex Party,ASXP,N,N,175,1,0,9,12,197
ACT,101,Canberra,UG,1,29520,"HAY, Michael Gerard",VOTEFLUX.ORG | Upgrade Democracy!,FLUX,N,N,307,0,0,14,19,340
ACT,101,Canberra,UG,2,28150,"HANSON, Anthony",Mature Australia,MAP,N,N,132,2,0,8,12,154
ACT,102,Fenner,A,0,29670,A Ticket Votes,Liberal Democratic Party,LDP,N,N,2712,57,20,162,132,3083
ACT,102,Fenner,A,1,29611,"DONNELLY, Matt",Liberal Democrats,LDP,N,N,346,8,7,15,16,392
ACT,102,Fenner,A,2,29612,"HENNINGS, Cawley",Liberal Democrats,LDP,N,N,32,1,0,1,3,37
