2019 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-06-26T08:52:07 Cycle:56a4f6ad-d221-4a9f-b794-6091d2603834 Created:2019-06-26T08:50:46 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,318,Bean,A,0,33704,A Ticket Votes,Liberal,LP,N,N,26606,506,127,963,1324,29526
ACT,318,Bean,A,1,32766,"SESELJA, Zed",Liberal,LP,Y,Y,2667,55,10,107,164,3003
ACT,318,Bean,A,2,32779,"GUNNING, Robert",Liberal,LP,N,N,936,16,4,29,56,1041
ACT,318,Bean,A,9998,0,Unapportioned,Liberal,LP,N,N,0,0,0,0,0,0
ACT,318,Bean,B,0,33700,B Ticket Votes,The Greens,GRN,N,N,9187,287,73,449,362,10358
ACT,318,Bean,B,1,32210,"KYBURZ, Penny",The Greens,GRN,N,N,2672,70,18,78,100,2938
ACT,318,Bean,B,2,32212,"DAVIDSON, Emma",The Greens,GRN,N,N,550,23,2,31,25,631
ACT,318,Bean,B,9998,0,Unapportioned,The Greens,GRN,N,N,0,0,0,0,0,0
ACT,318,Bean,C,0,33706,C Ticket Votes,,,N,N,1518,33,8,34,78,1671
ACT,318,Bean,C,1,33572,"PESEC, Anthony",,,N,N,2669,40,14,52,93,2868
ACT,318,Bean,C,2,33576,"KENT, Gary",,,N,N,72,0,0,6,9,87
ACT,318,Bean,C,9998,0,Unapportioned,,,N,N,0,0,0,0,0,0
ACT,318,Bean,D,0,33705,D Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,691,16,4,41,36,788
ACT,318,Bean,D,1,33574,"VAN DUREN, Shane",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,201,5,2,7,19,234
ACT,318,Bean,D,2,33584,"BIRKETT, Scott",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,33,1,1,1,0,36
ACT,318,Bean,D,9998,0,Unapportioned,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,0,0,0,0,0,0
ACT,318,Bean,E,0,33702,E Ticket Votes,United Australia Party,UAPP,N,N,2069,65,19,104,85,2342
ACT,318,Bean,E,1,32246,"WALTER, Peter",United Australia Party,UAPP,N,N,207,4,2,7,12,232
ACT,318,Bean,E,2,32248,"HODGSON, Rebecah Elen",United Australia Party,UAPP,N,N,55,0,0,4,4,63
ACT,318,Bean,E,9998,0,Unapportioned,United Australia Party,UAPP,N,N,0,0,0,0,0,0
ACT,318,Bean,F,0,33703,F Ticket Votes,Sustainable Australia,SPP,N,N,1074,27,8,65,67,1241
ACT,318,Bean,F,1,32254,"HAYDON, John",Sustainable Australia,SPP,N,N,276,4,1,9,12,302
ACT,318,Bean,F,2,32256,"ANGEL, Joy",Sustainable Australia,SPP,N,N,106,2,0,7,10,125
ACT,318,Bean,F,9998,0,Unapportioned,Sustainable Australia,SPP,N,N,0,0,0,0,0,0
ACT,318,Bean,G,0,33701,G Ticket Votes,Australian Labor Party,ALP,N,N,27708,555,148,959,1070,30440
ACT,318,Bean,G,1,32588,"GALLAGHER, Katy",Australian Labor Party,ALP,Y,N,6183,87,28,212,289,6799
ACT,318,Bean,G,2,32593,"WAITES, Nancy",Australian Labor Party,ALP,N,N,448,8,2,14,24,496
ACT,318,Bean,G,9998,0,Unapportioned,Australian Labor Party,ALP,N,N,0,0,0,0,0,0
ACT,318,Bean,UG,1,33618,"HOUSTON, Nick",Independent,IND,N,N,490,7,2,18,37,554
ACT,318,Bean,UG,2,32090,"COWTON, Gary",Independent,IND,N,N,114,4,0,3,8,129
ACT,318,Bean,UG,3,33651,"KIM, David",Christian Democratic Party (Fred Nile Group),CDP,N,N,413,8,2,12,23,458
ACT,101,Canberra,A,0,33704,A Ticket Votes,Liberal,LP,N,N,18086,409,133,1138,1443,21209
ACT,101,Canberra,A,1,32766,"SESELJA, Zed",Liberal,LP,Y,Y,1854,41,13,100,134,2142
ACT,101,Canberra,A,2,32779,"GUNNING, Robert",Liberal,LP,N,N,852,15,8,40,86,1001
ACT,101,Canberra,A,9998,0,Unapportioned,Liberal,LP,N,N,0,0,0,0,0,0
ACT,101,Canberra,B,0,33700,B Ticket Votes,The Greens,GRN,N,N,12574,275,107,970,711,14637
ACT,101,Canberra,B,1,32210,"KYBURZ, Penny",The Greens,GRN,N,N,5039,69,34,329,248,5719
ACT,101,Canberra,B,2,32212,"DAVIDSON, Emma",The Greens,GRN,N,N,722,13,7,62,71,875
ACT,101,Canberra,B,9998,0,Unapportioned,The Greens,GRN,N,N,0,0,0,0,0,0
ACT,101,Canberra,C,0,33706,C Ticket Votes,,,N,N,1269,16,7,36,76,1404
ACT,101,Canberra,C,1,33572,"PESEC, Anthony",,,N,N,2941,27,10,80,167,3225
ACT,101,Canberra,C,2,33576,"KENT, Gary",,,N,N,75,0,0,7,7,89
ACT,101,Canberra,C,9998,0,Unapportioned,,,N,N,0,0,0,0,0,0
ACT,101,Canberra,D,0,33705,D Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,315,6,5,23,30,379
ACT,101,Canberra,D,1,33574,"VAN DUREN, Shane",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,112,2,1,8,10,133
ACT,101,Canberra,D,2,33584,"BIRKETT, Scott",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,16,0,0,0,3,19
ACT,101,Canberra,D,9998,0,Unapportioned,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,0,0,0,0,0,0
ACT,101,Canberra,E,0,33702,E Ticket Votes,United Australia Party,UAPP,N,N,793,39,6,67,49,954
ACT,101,Canberra,E,1,32246,"WALTER, Peter",United Australia Party,UAPP,N,N,123,1,1,4,9,138
ACT,101,Canberra,E,2,32248,"HODGSON, Rebecah Elen",United Australia Party,UAPP,N,N,35,1,0,4,3,43
ACT,101,Canberra,E,9998,0,Unapportioned,United Australia Party,UAPP,N,N,0,0,0,0,0,0
ACT,101,Canberra,F,0,33703,F Ticket Votes,Sustainable Australia,SPP,N,N,790,32,9,82,72,985
ACT,101,Canberra,F,1,32254,"HAYDON, John",Sustainable Australia,SPP,N,N,320,3,0,15,23,361
ACT,101,Canberra,F,2,32256,"ANGEL, Joy",Sustainable Australia,SPP,N,N,82,3,0,8,9,102
ACT,101,Canberra,F,9998,0,Unapportioned,Sustainable Australia,SPP,N,N,0,0,0,0,0,0
ACT,101,Canberra,G,0,33701,G Ticket Votes,Australian Labor Party,ALP,N,N,21601,501,149,1561,1398,25210
ACT,101,Canberra,G,1,32588,"GALLAGHER, Katy",Australian Labor Party,ALP,Y,N,6841,84,34,475,450,7884
ACT,101,Canberra,G,2,32593,"WAITES, Nancy",Australian Labor Party,ALP,N,N,424,8,5,26,33,496
ACT,101,Canberra,G,9998,0,Unapportioned,Australian Labor Party,ALP,N,N,0,0,0,0,0,0
ACT,101,Canberra,UG,1,33618,"HOUSTON, Nick",Independent,IND,N,N,353,8,2,29,44,436
ACT,101,Canberra,UG,2,32090,"COWTON, Gary",Independent,IND,N,N,62,2,0,5,4,73
ACT,101,Canberra,UG,3,33651,"KIM, David",Christian Democratic Party (Fred Nile Group),CDP,N,N,275,9,3,9,18,314
