Provisional list of polling places released at beginning of election,,,,,,,,,,,,
State,DivisionNm,DivisionID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostcode,Latitude,Longitude
NSW,Banks,103,Allawah,PJ Ferry Reserve Community Hall,147B Bellevue Pde,,,ALLAWAH,NSW,2218,-33.97637811,151.1141243
NSW,Banks,103,Allawah South,St Raphael's Church Hall,84 George St,,,SOUTH HURSTVILLE,NSW,2221,-33.97535793,151.1106766
NSW,Banks,103,Beverly Hills North (Banks),Beverly Hills North Public School,1-3 Shorter Ave,,,BEVERLY HILLS,NSW,2209,-33.94078714,151.0748101
NSW,Banks,103,Beverly Hills South (Banks),Beverly Hills Public School,562 King Georges Rd,,,BEVERLY HILLS,NSW,2209,-33.95354972,151.0851981
NSW,Banks,103,Blakehurst North,Blakehurst High School,270A Woniora Rd,,,BLAKEHURST,NSW,2221,-33.98129817,151.1131446
NSW,Banks,103,Carlton South (Banks),Carlton South Public School,67 Jubilee Ave,,,CARLTON,NSW,2218,-33.9727,151.128
NSW,Banks,103,Carlton West,Park Road Anglican Church,34 Park Rd,,,CARLTON,NSW,2218,-33.97613702,151.1206384
NSW,Banks,103,Central Sydney (Banks),TAFE NSW Ultimo Campus,2-10 Mary Ann St,,,ULTIMO,NSW,2007,-33.88149062,151.1977579
NSW,Banks,103,Connells Point (Banks),Connells Point Public School,Riverview Ave,,,CONNELLS POINT,NSW,2221,-33.9855,151.1
NSW,Banks,103,East Hills,East Hills Girls High School,Lucas Rd,,,EAST HILLS,NSW,2213,-33.95711,150.99172
NSW,Banks,103,Hurstville (Banks),Hurstville Senior Citizens Centre,91 Queens Rd,,,HURSTVILLE,NSW,2220,-33.9642,151.102
NSW,Banks,103,Hurstville East (Banks),Hurstville Public School,72 Forest Rd,,,HURSTVILLE,NSW,2220,-33.96478195,151.1105313
NSW,Banks,103,Hurstville Grove,Hurstville Grove Infants School,81 Lansdowne St,,,PENSHURST,NSW,2222,-33.97280596,151.0905084
NSW,Banks,103,Hurstville South,Hurstville South Public School,32-48 Maher St,,,HURSTVILLE,NSW,2220,-33.97201838,151.0998162
NSW,Banks,103,Lugarno,Lugarno Public School,38 Old Forest Rd,,,LUGARNO,NSW,2210,-33.985015,151.0454806
NSW,Banks,103,Lugarno North,Lugarno Anglican Church,3A Old Forest Rd,,,LUGARNO,NSW,2210,-33.98374219,151.0464051
NSW,Banks,103,Mortdale Central,Mortdale Community Centre,2B Boundary Rd,,,MORTDALE,NSW,2223,-33.97438924,151.0786616
NSW,Banks,103,Mortdale East,Mortdale Public School,Coleborne Ave,,,MORTDALE,NSW,2223,-33.9727,151.081
NSW,Banks,103,Mortdale West,Penshurst West Public School,Scott St,,,MORTDALE,NSW,2223,-33.9615619,151.0731878
NSW,Banks,103,Narwee,Narwee Public School,61-65 Broadarrow Rd,,,NARWEE,NSW,2209,-33.94808521,151.0686365
NSW,Banks,103,Oatley,Oatley Public School,51-63 Letitia St,,,OATLEY,NSW,2223,-33.9847,151.081
NSW,Banks,103,Oatley East,Oatley Anglican Church Hall,57 Rosa St,,,OATLEY,NSW,2223,-33.9841934,151.082371
NSW,Banks,103,Oatley West,Oatley West Public School,Oatley Park Ave,,,OATLEY,NSW,2223,-33.97900295,151.0654474
NSW,Banks,103,Padstow,Padstow Park Public School,Segers Ave,,,PADSTOW,NSW,2211,-33.9542,151.031
NSW,Banks,103,Padstow Central,,,,,,,,,
NSW,Banks,103,Padstow East,Padstow Senior Citizens Centre,17 Cahors Rd,,,PADSTOW,NSW,2211,-33.94930794,151.0302619
NSW,Banks,103,Padstow South,Padstow Heights Public School,94-96 Chamberlain Rd,,,PADSTOW HEIGHTS,NSW,2211,-33.96630946,151.0305775
NSW,Banks,103,Panania,Panania Senior Citizens Centre,77 Anderson Ave,,,PANANIA,NSW,2213,-33.95567861,150.9985805
NSW,Banks,103,Panania Central,2nd Panania Scouts Hall,21 Wilson St,,,PANANIA,NSW,2213,-33.9519,150.998
NSW,Banks,103,Panania North,Panania North Public School,202-204 Bransgrove Rd,,,PANANIA,NSW,2213,-33.94453822,150.9995447
NSW,Banks,103,Panania South,Panania Public School,21A Lawler St,,,PANANIA,NSW,2213,-33.96581438,151.0018253
NSW,Banks,103,Peakhurst East,Peakhurst Public School,65A Bonds Rd,,,PEAKHURST,NSW,2210,-33.9553,151.061
