2025 Federal Election Polling Places [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:14 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude
ACT,318,Bean,93925,5,Belconnen BEAN PPVC,Belconnen Community Centre,23 Swanson Ct,,,BELCONNEN,ACT,2617,-35.23895,149.06914
ACT,318,Bean,11877,1,Bonython,Bonython Primary School,64 Hurtle Ave,,,BONYTHON,ACT,2905,-35.431189537465514,149.0829891763194
ACT,318,Bean,11452,1,Calwell,Calwell High School,111 Casey Cres,,,CALWELL,ACT,2905,-35.44060713888096,149.1176101843639
ACT,318,Bean,8761,1,Chapman,Chapman Primary School,46-50 Perry Dr,,,CHAPMAN,ACT,2611,-35.35638077271877,149.0429261956357
ACT,318,Bean,8763,1,Chisholm,Caroline Chisholm School (Junior Campus),103 Hambidge Cres,,,CHISHOLM,ACT,2905,-35.41772436474607,149.1218585591937
ACT,318,Bean,93916,1,City (Bean),Pilgrim House,Uniting Church,69 Northbourne Ave,,CANBERRA CITY,ACT,2601,-35.276573736615106,149.12910691419432
ACT,318,Bean,93922,5,City BEAN PPVC,Pilgrim House,Uniting Church,69 Northbourne Ave,,CANBERRA CITY,ACT,2601,-35.276573736615106,149.12910691419432
ACT,318,Bean,124111,1,City North (Bean),19-23 Moore St,,,,TURNER,ACT,2612,-35.27492885807043,149.1280527453149
ACT,318,Bean,124103,5,City North BEAN PPVC,19-23 Moore St,,,,TURNER,ACT,2612,-35.27492885807043,149.1280527453149
ACT,318,Bean,31298,1,Conder,Charles Conder Primary School,134 Tom Roberts Ave,,,CONDER,ACT,2906,-35.46467909862812,149.09860962391377
