2025 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:12 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,Group,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,318,Bean,A,0,42128,A Above-the-line Votes,Sustainable Australia Party - Universal Basic Income,SPP,N,N,860,25,7,47,86,1025
ACT,318,Bean,A,1,41426,"HOLGATE, James",Sustainable Australia Party - Universal Basic Income,SPP,N,N,206,4,2,8,13,233
ACT,318,Bean,A,2,41430,"HAYDON, John",Sustainable Australia Party - Universal Basic Income,SPP,N,N,28,0,0,1,4,33
ACT,318,Bean,B,0,42123,B Above-the-line Votes,David Pocock,DAVI,N,N,25992,545,136,947,2067,29687
ACT,318,Bean,B,1,40648,"POCOCK, David",David Pocock,DAVI,Y,Y,7489,133,35,263,444,8364
ACT,318,Bean,B,2,40649,"VARDY, Hannah",David Pocock,DAVI,N,N,113,5,1,4,12,135
ACT,318,Bean,C,0,42126,C Above-the-line Votes,Animal Justice Party,AJP,N,N,915,31,9,43,114,1112
ACT,318,Bean,C,1,41292,"SOXSMITH, Robyn",Animal Justice Party,AJP,N,N,125,1,0,2,10,138
ACT,318,Bean,C,2,41294,"KUDRYCZ, Walter",Animal Justice Party,AJP,N,N,24,0,0,0,0,24
ACT,318,Bean,D,0,42124,D Above-the-line Votes,Australian Labor Party,ALP,N,N,24281,470,120,1036,2047,27954
ACT,318,Bean,D,1,40664,"GALLAGHER, Katy",Australian Labor Party,ALP,Y,Y,3281,51,16,145,261,3754
ACT,318,Bean,D,2,40665,"OH, Janaline",Australian Labor Party,ALP,N,N,137,1,1,7,7,153
ACT,318,Bean,E,0,42125,E Above-the-line Votes,Liberal,LP,N,N,15048,277,64,692,1590,17671
ACT,318,Bean,E,1,41094,"VADAKKEDATHU, Jacob",Liberal,LP,N,N,1294,28,4,45,91,1462
