2010 Federal Election Senate First Preferences By Polling Place for Division 195 [Event:15508 Phase:FinalResults Generated:2013-01-22T15:04:00 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,195,Franklin,8493,Adventure Bay,A,22057,0,A Ticket Votes,Senator On-Line,0
TAS,195,Franklin,8493,Adventure Bay,A,21856,1,"MURRAY, Julie",Senator On-Line,0
TAS,195,Franklin,8493,Adventure Bay,A,21858,2,"WIENER, Sven",Senator On-Line,0
TAS,195,Franklin,8493,Adventure Bay,B,22053,0,B Ticket Votes,Australian Democrats,0
TAS,195,Franklin,8493,Adventure Bay,B,21756,1,"HUTTON, Paulene",Australian Democrats,0
TAS,195,Franklin,8493,Adventure Bay,B,21759,2,"NEAL, Timothy",Australian Democrats,0
TAS,195,Franklin,8493,Adventure Bay,C,22052,0,C Ticket Votes,Liberal,39
TAS,195,Franklin,8493,Adventure Bay,C,21538,1,"ABETZ, Eric",Liberal,2
TAS,195,Franklin,8493,Adventure Bay,C,21558,2,"PARRY, Stephen Shane",Liberal,0
TAS,195,Franklin,8493,Adventure Bay,C,21628,3,"BARNETT, Guy",Liberal,2
TAS,195,Franklin,8493,Adventure Bay,D,22055,0,D Ticket Votes,Australian Labor Party,53
TAS,195,Franklin,8493,Adventure Bay,D,21041,1,"POLLEY, Helen",Australian Labor Party,4
TAS,195,Franklin,8493,Adventure Bay,D,21459,2,"URQUHART, Anne",Australian Labor Party,1
TAS,195,Franklin,8493,Adventure Bay,D,21488,3,"SINGH, Lisa",Australian Labor Party,9
TAS,195,Franklin,8493,Adventure Bay,E,22059,0,E Ticket Votes,Shooters and Fishers,2
TAS,195,Franklin,8493,Adventure Bay,E,21943,1,"WILLIAMS, Ray",Shooters and Fishers,1
TAS,195,Franklin,8493,Adventure Bay,E,21953,2,"BLACKMORE, Jeff",Shooters and Fishers,1
TAS,195,Franklin,8493,Adventure Bay,F,22051,0,F Ticket Votes,Australian Greens,28
TAS,195,Franklin,8493,Adventure Bay,F,20801,1,"MILNE, Christine",Australian Greens,19
