2019 Federal Election Senate First Preferences By Polling Place for Division 195 [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-06-19T11:11:03 Cycle:ce40c06e-7934-489c-ae50-006667b6f324 Created:2019-06-19T11:09:01 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,195,Franklin,8493,Adventure Bay,A,33691,0,A Ticket Votes,Australian Conservatives,1
TAS,195,Franklin,8493,Adventure Bay,A,32091,1,"STRINGER, Justin",Australian Conservatives,0
TAS,195,Franklin,8493,Adventure Bay,A,32093,2,"FRAME, Nigel",Australian Conservatives,0
TAS,195,Franklin,8493,Adventure Bay,A,0,9998,Unapportioned,Australian Conservatives,0
TAS,195,Franklin,8493,Adventure Bay,B,33693,0,B Ticket Votes,The Nationals,0
TAS,195,Franklin,8493,Adventure Bay,B,32463,1,"MARTIN, Steve",The Nationals,0
TAS,195,Franklin,8493,Adventure Bay,B,32466,2,"HILDITCH, Wendy",The Nationals,0
TAS,195,Franklin,8493,Adventure Bay,B,0,9998,Unapportioned,The Nationals,0
TAS,195,Franklin,8493,Adventure Bay,C,33686,0,C Ticket Votes,Sustainable Australia,1
TAS,195,Franklin,8493,Adventure Bay,C,32848,1,"DUDLEY, Todd William",Sustainable Australia,0
TAS,195,Franklin,8493,Adventure Bay,C,32854,2,"MACLAY, Christopher Brian",Sustainable Australia,0
TAS,195,Franklin,8493,Adventure Bay,C,0,9998,Unapportioned,Sustainable Australia,0
TAS,195,Franklin,8493,Adventure Bay,D,33699,0,D Ticket Votes,The Greens,20
TAS,195,Franklin,8493,Adventure Bay,D,32818,1,"McKIM, Nick",The Greens,23
TAS,195,Franklin,8493,Adventure Bay,D,32826,2,"HUTCHINSON, Helen",The Greens,0
TAS,195,Franklin,8493,Adventure Bay,D,32835,3,"MARSH, Simone",The Greens,0
TAS,195,Franklin,8493,Adventure Bay,D,0,9998,Unapportioned,The Greens,0
TAS,195,Franklin,8493,Adventure Bay,E,33698,0,E Ticket Votes,Liberal,48
TAS,195,Franklin,8493,Adventure Bay,E,32199,1,"COLBECK, Richard",Liberal,10
TAS,195,Franklin,8493,Adventure Bay,E,32204,2,"CHANDLER, Claire",Liberal,0
TAS,195,Franklin,8493,Adventure Bay,E,32226,3,"DENISON, Tanya",Liberal,0
TAS,195,Franklin,8493,Adventure Bay,E,0,9998,Unapportioned,Liberal,0
TAS,195,Franklin,8493,Adventure Bay,F,33684,0,F Ticket Votes,Animal Justice Party,1
TAS,195,Franklin,8493,Adventure Bay,F,32804,1,"BEVIS, Karen Louise",Animal Justice Party,0
TAS,195,Franklin,8493,Adventure Bay,F,32809,2,"TURNER, Isobel Bertoz",Animal Justice Party,0
TAS,195,Franklin,8493,Adventure Bay,F,0,9998,Unapportioned,Animal Justice Party,0
TAS,195,Franklin,8493,Adventure Bay,G,33685,0,G Ticket Votes,Citizens Electoral Council,0
TAS,195,Franklin,8493,Adventure Bay,G,32886,1,"WILLIAMS, Ray",Citizens Electoral Council,0
TAS,195,Franklin,8493,Adventure Bay,G,32890,2,"KUCINA, Steve",Citizens Electoral Council,0
TAS,195,Franklin,8493,Adventure Bay,G,0,9998,Unapportioned,Citizens Electoral Council,0
TAS,195,Franklin,8493,Adventure Bay,H,33688,0,H Ticket Votes,Liberal Democrats,2
TAS,195,Franklin,8493,Adventure Bay,H,33009,1,"MEAD, Clinton",Liberal Democrats,0
TAS,195,Franklin,8493,Adventure Bay,H,33011,2,"RABEY, Matthew",Liberal Democrats,0
TAS,195,Franklin,8493,Adventure Bay,H,0,9998,Unapportioned,Liberal Democrats,0
TAS,195,Franklin,8493,Adventure Bay,I,33697,0,I Ticket Votes,Australian Labor Party,32
TAS,195,Franklin,8493,Adventure Bay,I,32578,1,"BROWN, Carol",Australian Labor Party,7
TAS,195,Franklin,8493,Adventure Bay,I,32586,2,"BILYK, Catryna",Australian Labor Party,0
TAS,195,Franklin,8493,Adventure Bay,I,32603,3,"SHORT, John",Australian Labor Party,0
TAS,195,Franklin,8493,Adventure Bay,I,32616,4,"SINGH, Lisa",Australian Labor Party,9
TAS,195,Franklin,8493,Adventure Bay,I,32622,5,"ROBERTS, Wayne",Australian Labor Party,0
TAS,195,Franklin,8493,Adventure Bay,I,32631,6,"FLANAGAN, Robert",Australian Labor Party,0
TAS,195,Franklin,8493,Adventure Bay,I,0,9998,Unapportioned,Australian Labor Party,0
TAS,195,Franklin,8493,Adventure Bay,J,33692,0,J Ticket Votes,Pauline Hanson's One Nation,1
TAS,195,Franklin,8493,Adventure Bay,J,32768,1,"STEPHEN, Matthew",Pauline Hanson's One Nation,0
TAS,195,Franklin,8493,Adventure Bay,J,32791,2,"LAMBERT, Adam",Pauline Hanson's One Nation,0
