2010 Federal Election Senate First Preferences By Polling Place for Division 196 [Event:15508 Phase:FinalResults Generated:2013-01-22T15:04:00 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,196,Lyons,8500,Bridgewater,A,22057,0,A Ticket Votes,Senator On-Line,10
TAS,196,Lyons,8500,Bridgewater,A,21856,1,"MURRAY, Julie",Senator On-Line,5
TAS,196,Lyons,8500,Bridgewater,A,21858,2,"WIENER, Sven",Senator On-Line,0
TAS,196,Lyons,8500,Bridgewater,B,22053,0,B Ticket Votes,Australian Democrats,6
TAS,196,Lyons,8500,Bridgewater,B,21756,1,"HUTTON, Paulene",Australian Democrats,1
TAS,196,Lyons,8500,Bridgewater,B,21759,2,"NEAL, Timothy",Australian Democrats,0
TAS,196,Lyons,8500,Bridgewater,C,22052,0,C Ticket Votes,Liberal,280
TAS,196,Lyons,8500,Bridgewater,C,21538,1,"ABETZ, Eric",Liberal,15
TAS,196,Lyons,8500,Bridgewater,C,21558,2,"PARRY, Stephen Shane",Liberal,2
TAS,196,Lyons,8500,Bridgewater,C,21628,3,"BARNETT, Guy",Liberal,7
TAS,196,Lyons,8500,Bridgewater,D,22055,0,D Ticket Votes,Australian Labor Party,1108
TAS,196,Lyons,8500,Bridgewater,D,21041,1,"POLLEY, Helen",Australian Labor Party,63
TAS,196,Lyons,8500,Bridgewater,D,21459,2,"URQUHART, Anne",Australian Labor Party,7
TAS,196,Lyons,8500,Bridgewater,D,21488,3,"SINGH, Lisa",Australian Labor Party,65
TAS,196,Lyons,8500,Bridgewater,E,22059,0,E Ticket Votes,Shooters and Fishers,48
TAS,196,Lyons,8500,Bridgewater,E,21943,1,"WILLIAMS, Ray",Shooters and Fishers,5
TAS,196,Lyons,8500,Bridgewater,E,21953,2,"BLACKMORE, Jeff",Shooters and Fishers,1
TAS,196,Lyons,8500,Bridgewater,F,22051,0,F Ticket Votes,Australian Greens,201
TAS,196,Lyons,8500,Bridgewater,F,20801,1,"MILNE, Christine",Australian Greens,43
TAS,196,Lyons,8500,Bridgewater,F,20802,2,"WHISH-WILSON, Peter Stuart",Australian Greens,3
TAS,196,Lyons,8500,Bridgewater,F,20805,3,"ANN, Penelope",Australian Greens,4
TAS,196,Lyons,8500,Bridgewater,G,22056,0,G Ticket Votes,Secular Party of Australia,4
TAS,196,Lyons,8500,Bridgewater,G,21676,1,"KEOGH, Jeff",Secular Party of Australia,1
TAS,196,Lyons,8500,Bridgewater,G,21679,2,"CHOI, Jin-oh",Secular Party of Australia,0
TAS,196,Lyons,8500,Bridgewater,H,22060,0,H Ticket Votes,Democratic Labor Party (DLP) of Australia,14
TAS,196,Lyons,8500,Bridgewater,H,21972,1,"GORA, Mishka",Democratic Labor Party (DLP) of Australia,1
TAS,196,Lyons,8500,Bridgewater,H,21975,2,"WILLIAMS, Margaret Mary",Democratic Labor Party (DLP) of Australia,0
TAS,196,Lyons,8500,Bridgewater,I,22058,0,I Ticket Votes,Family First,44
TAS,196,Lyons,8500,Bridgewater,I,21916,1,"ZUBIC, Jim",Family First,1
TAS,196,Lyons,8500,Bridgewater,I,21917,2,"WOODCOCK, Hamish McKinnon",Family First,0
TAS,196,Lyons,8500,Bridgewater,J,22054,0,J Ticket Votes,The Climate Sceptics,3
TAS,196,Lyons,8500,Bridgewater,J,21743,1,"WALLER, Frank",The Climate Sceptics,1
TAS,196,Lyons,8500,Bridgewater,J,21746,2,"COSTELLA, Sally",The Climate Sceptics,0
TAS,196,Lyons,8500,Bridgewater,UG,21964,1,"OTTAVI, Dino",Independent,4
TAS,196,Lyons,8500,Bridgewater,ZZ,0,99,INFORMAL,,144
TAS,196,Lyons,8509,Gagebrook,A,22057,0,A Ticket Votes,Senator On-Line,8
TAS,196,Lyons,8509,Gagebrook,A,21856,1,"MURRAY, Julie",Senator On-Line,1
TAS,196,Lyons,8509,Gagebrook,A,21858,2,"WIENER, Sven",Senator On-Line,1
TAS,196,Lyons,8509,Gagebrook,B,22053,0,B Ticket Votes,Australian Democrats,3
TAS,196,Lyons,8509,Gagebrook,B,21756,1,"HUTTON, Paulene",Australian Democrats,1
TAS,196,Lyons,8509,Gagebrook,B,21759,2,"NEAL, Timothy",Australian Democrats,0
TAS,196,Lyons,8509,Gagebrook,C,22052,0,C Ticket Votes,Liberal,95
TAS,196,Lyons,8509,Gagebrook,C,21538,1,"ABETZ, Eric",Liberal,5
TAS,196,Lyons,8509,Gagebrook,C,21558,2,"PARRY, Stephen Shane",Liberal,0
TAS,196,Lyons,8509,Gagebrook,C,21628,3,"BARNETT, Guy",Liberal,4
TAS,196,Lyons,8509,Gagebrook,D,22055,0,D Ticket Votes,Australian Labor Party,489
TAS,196,Lyons,8509,Gagebrook,D,21041,1,"POLLEY, Helen",Australian Labor Party,20
TAS,196,Lyons,8509,Gagebrook,D,21459,2,"URQUHART, Anne",Australian Labor Party,5
TAS,196,Lyons,8509,Gagebrook,D,21488,3,"SINGH, Lisa",Australian Labor Party,20
TAS,196,Lyons,8509,Gagebrook,E,22059,0,E Ticket Votes,Shooters and Fishers,26
TAS,196,Lyons,8509,Gagebrook,E,21943,1,"WILLIAMS, Ray",Shooters and Fishers,1
TAS,196,Lyons,8509,Gagebrook,E,21953,2,"BLACKMORE, Jeff",Shooters and Fishers,0
TAS,196,Lyons,8509,Gagebrook,F,22051,0,F Ticket Votes,Australian Greens,96
TAS,196,Lyons,8509,Gagebrook,F,20801,1,"MILNE, Christine",Australian Greens,10
TAS,196,Lyons,8509,Gagebrook,F,20802,2,"WHISH-WILSON, Peter Stuart",Australian Greens,2
TAS,196,Lyons,8509,Gagebrook,F,20805,3,"ANN, Penelope",Australian Greens,1
TAS,196,Lyons,8509,Gagebrook,G,22056,0,G Ticket Votes,Secular Party of Australia,2
