2016 Federal Election Senate First Preferences By Polling Place for Division 196 [Event:20499 Phase:FinalResults Generated:2017-05-11T17:38:17 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,196,Lyons,8500,Bridgewater,A,29632,0,A Ticket Votes,Family First,73
TAS,196,Lyons,8500,Bridgewater,A,28588,1,"MADDEN, Peter",Family First,6
TAS,196,Lyons,8500,Bridgewater,A,28589,2,"ROBERTS, Andrew",Family First,0
TAS,196,Lyons,8500,Bridgewater,B,29627,0,B Ticket Votes,Australian Labor Party,929
TAS,196,Lyons,8500,Bridgewater,B,28590,1,"URQUHART, Anne",Australian Labor Party,33
TAS,196,Lyons,8500,Bridgewater,B,28591,2,"POLLEY, Helen",Australian Labor Party,9
TAS,196,Lyons,8500,Bridgewater,B,28592,3,"BROWN, Carol",Australian Labor Party,15
TAS,196,Lyons,8500,Bridgewater,B,28593,4,"BILYK, Catryna",Australian Labor Party,6
TAS,196,Lyons,8500,Bridgewater,B,28594,5,"SHORT, John",Australian Labor Party,11
TAS,196,Lyons,8500,Bridgewater,B,28595,6,"SINGH, Lisa",Australian Labor Party,79
TAS,196,Lyons,8500,Bridgewater,C,29622,0,C Ticket Votes,The Greens,60
TAS,196,Lyons,8500,Bridgewater,C,28367,1,"WHISH-WILSON, Peter",The Greens,7
TAS,196,Lyons,8500,Bridgewater,C,28368,2,"McKIM, Nick",The Greens,2
TAS,196,Lyons,8500,Bridgewater,C,28370,3,"REYNOLDS, Anna",The Greens,0
TAS,196,Lyons,8500,Bridgewater,D,29629,0,D Ticket Votes,Christian Democratic Party (Fred Nile Group),3
TAS,196,Lyons,8500,Bridgewater,D,28596,1,"NERO-NILE, Silvana",Christian Democratic Party (Fred Nile Group),0
TAS,196,Lyons,8500,Bridgewater,D,28597,2,"GORA, Mishka",Christian Democratic Party (Fred Nile Group),0
