2019 Federal Election Senate First Preferences By Polling Place for Division 196 [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-06-02T08:28:02 Cycle:42335a69-4947-4dd8-af79-1a4b275410c1 Created:2019-06-02T08:25:56 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,196,Lyons,8500,Bridgewater,A,33691,0,A Ticket Votes,Australian Conservatives,22
TAS,196,Lyons,8500,Bridgewater,A,32091,1,"STRINGER, Justin",Australian Conservatives,3
TAS,196,Lyons,8500,Bridgewater,A,32093,2,"FRAME, Nigel",Australian Conservatives,3
TAS,196,Lyons,8500,Bridgewater,A,0,9998,Unapportioned,Australian Conservatives,0
TAS,196,Lyons,8500,Bridgewater,B,33693,0,B Ticket Votes,The Nationals,24
TAS,196,Lyons,8500,Bridgewater,B,32463,1,"MARTIN, Steve",The Nationals,3
TAS,196,Lyons,8500,Bridgewater,B,32466,2,"HILDITCH, Wendy",The Nationals,1
TAS,196,Lyons,8500,Bridgewater,B,0,9998,Unapportioned,The Nationals,0
TAS,196,Lyons,8500,Bridgewater,C,33686,0,C Ticket Votes,Sustainable Australia,5
TAS,196,Lyons,8500,Bridgewater,C,32848,1,"DUDLEY, Todd William",Sustainable Australia,0
TAS,196,Lyons,8500,Bridgewater,C,32854,2,"MACLAY, Christopher Brian",Sustainable Australia,1
TAS,196,Lyons,8500,Bridgewater,C,0,9998,Unapportioned,Sustainable Australia,0
TAS,196,Lyons,8500,Bridgewater,D,33699,0,D Ticket Votes,The Greens,69
TAS,196,Lyons,8500,Bridgewater,D,32818,1,"McKIM, Nick",The Greens,13
TAS,196,Lyons,8500,Bridgewater,D,32826,2,"HUTCHINSON, Helen",The Greens,0
TAS,196,Lyons,8500,Bridgewater,D,32835,3,"MARSH, Simone",The Greens,1
TAS,196,Lyons,8500,Bridgewater,D,0,9998,Unapportioned,The Greens,0
TAS,196,Lyons,8500,Bridgewater,E,33698,0,E Ticket Votes,Liberal,228
TAS,196,Lyons,8500,Bridgewater,E,32199,1,"COLBECK, Richard",Liberal,30
TAS,196,Lyons,8500,Bridgewater,E,32204,2,"CHANDLER, Claire",Liberal,3
TAS,196,Lyons,8500,Bridgewater,E,32226,3,"DENISON, Tanya",Liberal,7
TAS,196,Lyons,8500,Bridgewater,E,0,9998,Unapportioned,Liberal,0
TAS,196,Lyons,8500,Bridgewater,F,33684,0,F Ticket Votes,Animal Justice Party,26
