2022 Federal Election Senate First Preferences By Polling Place for Division 196 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:37 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,196,Lyons,8500,Bridgewater,A,37932,0,A Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,27
TAS,196,Lyons,8500,Bridgewater,A,36347,1,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,6
TAS,196,Lyons,8500,Bridgewater,A,36352,2,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
TAS,196,Lyons,8500,Bridgewater,B,37936,0,B Above-the-line Votes,Pauline Hanson's One Nation,116
TAS,196,Lyons,8500,Bridgewater,B,37419,1,"MAV, Steve",Pauline Hanson's One Nation,25
TAS,196,Lyons,8500,Bridgewater,B,37421,2,"BUTTON, Norelle",Pauline Hanson's One Nation,8
TAS,196,Lyons,8500,Bridgewater,C,37934,0,C Above-the-line Votes,Animal Justice Party,42
TAS,196,Lyons,8500,Bridgewater,C,36512,1,"DAVIS, Ivan",Animal Justice Party,6
TAS,196,Lyons,8500,Bridgewater,C,36517,2,"THOMAS-WURTH, Virginia",Animal Justice Party,1
TAS,196,Lyons,8500,Bridgewater,D,37940,0,D Above-the-line Votes,Australian Labor Party,584
TAS,196,Lyons,8500,Bridgewater,D,37063,1,"URQUHART, Anne",Australian Labor Party,38
TAS,196,Lyons,8500,Bridgewater,D,37079,2,"POLLEY, Helen",Australian Labor Party,25
TAS,196,Lyons,8500,Bridgewater,D,37085,3,"RAINBIRD, Kate",Australian Labor Party,19
TAS,196,Lyons,8500,Bridgewater,D,37103,4,"HULME, Daniel",Australian Labor Party,3
TAS,196,Lyons,8500,Bridgewater,D,37113,5,"ROBERTS, Wayne",Australian Labor Party,6
TAS,196,Lyons,8500,Bridgewater,D,37119,6,"GOURLAY, Chris",Australian Labor Party,5
TAS,196,Lyons,8500,Bridgewater,E,37942,0,E Above-the-line Votes,Legalise Cannabis Australia,123
