Candidates,Blessington Upper,Branxholm,Bridport,Cosgrove Park,Derby,Dilston,East Launceston,Elphin,Five Ways,General Hospital,George Town,George Town South,Gladstone,Hadspen,Hillwood,Inveresk,Invermay,Karoola,Kings Meadows,Lady Barron,Launceston,Launceston Central,Lebrina,Legana (Bass),Lilydale,Mowbray,Newnham,Newstead,Norwood,Nunamara,Pipers River,Prospect,Prospect Vale,Ravenswood,Ringarooma,Riverside,Riverside West,Rocherlea,Scottsdale,South Launceston,St Leonards,Summerhill,Targa,Trevallyn,Waverley,West Launceston,Weymouth,Whitemark,Windmill Hill,Winnaleah,Youngtown,Total Ordinary Votes,Pre-Poll Votes,Postal Votes,Mobile Votes,Out of Division Votes,Provisional Votes,Total
KROEZE Ray,0,1,4,0,0,3,1,18,13,10,6,7,1,19,2,3,12,0,23,0,13,12,0,43,5,17,15,12,26,3,1,7,5,24,1,44,22,5,15,5,18,21,0,19,7,21,0,2,1,3,33,523,57,48,11,40,1,680
Australian Christians,0,1,4,0,0,3,1,18,13,10,6,7,1,19,2,3,12,0,23,0,13,12,0,43,5,17,15,12,26,3,1,7,5,24,1,44,22,5,15,5,18,21,0,19,7,21,0,2,1,3,33,523,57,48,11,40,1,680
CONNOR Andrew,0,0,9,1,3,6,3,4,26,15,39,26,0,19,6,24,28,3,32,3,14,11,2,32,9,12,56,18,17,2,3,35,22,48,8,35,17,13,21,13,22,44,1,10,21,23,2,6,5,1,14,784,60,67,31,53,12,1 007
GORE Adam,0,1,2,3,1,6,8,3,17,7,21,8,0,11,1,16,24,4,30,0,14,8,0,25,6,16,40,12,15,2,3,15,7,45,4,25,14,11,11,6,15,18,1,8,14,18,0,3,4,0,13,536,41,44,24,37,10,692
MUJKIC Senka,0,0,2,5,1,2,9,9,33,14,36,9,3,12,5,27,50,5,78,1,16,17,1,16,5,73,100,23,50,2,0,40,13,46,3,18,13,15,11,11,29,56,2,14,25,21,1,5,6,1,20,954,65,73,27,45,19,1 183
O'BYRNE Michelle,10,9,54,31,7,36,93,71,173,88,281,128,11,111,23,138,172,28,237,14,107,81,22,132,54,118,396,138,171,20,26,202,80,378,22,166,93,133,100,48,132,298,9,96,190,126,12,31,52,5,169,5 322,447,531,157,334,61,6 852
WIGHTMAN Brian,7,18,49,37,5,39,52,55,105,44,217,134,16,100,25,104,126,18,190,5,68,48,12,90,35,101,345,92,166,15,12,153,77,205,20,154,107,100,111,49,87,272,3,111,87,113,6,9,35,17,123,4 169,383,416,78,192,30,5 268
Australian Labor Party,17,28,116,77,17,89,165,142,354,168,594,305,30,253,60,309,400,58,567,23,219,165,37,295,109,320,937,283,419,41,44,445,199,722,57,398,244,272,254,127,285,688,16,239,337,301,21,54,102,24,339,11 765,996,1 131,317,661,132,15 002
DOBSON Christopher Lee,3,3,22,3,1,8,3,3,22,12,16,8,3,21,4,21,22,11,31,2,12,7,4,22,12,21,49,18,27,4,5,39,19,25,2,22,16,12,19,4,15,43,1,16,25,18,1,7,2,3,20,709,67,74,10,43,7,910
GUNST Brian Lockwood,0,2,7,0,3,3,2,11,14,2,34,11,1,15,8,9,24,0,20,2,6,4,2,15,11,9,37,6,13,0,2,17,11,22,5,6,6,8,16,5,5,24,0,4,16,13,2,3,3,6,18,463,29,39,13,28,7,579
HINES Mark Edward,1,1,9,3,2,10,9,7,16,8,21,8,1,16,7,18,12,9,38,2,9,7,4,13,6,8,40,10,16,3,3,18,12,28,4,20,12,6,10,4,8,24,3,8,15,12,2,4,3,1,30,541,37,39,10,37,8,672
PARISH Tim,0,1,10,3,4,9,21,5,26,6,82,31,6,17,10,13,29,8,42,2,15,5,9,24,12,20,75,11,19,4,13,28,14,47,6,27,21,14,30,7,26,49,4,18,26,14,5,2,3,4,19,896,57,97,10,72,15,1 147
Palmer United Party,4,7,48,9,10,30,35,26,78,28,153,58,11,69,29,61,87,28,131,8,42,23,19,74,41,58,201,45,75,11,23,102,56,122,17,75,55,40,75,20,54,140,8,46,82,57,10,16,11,14,87,2 609,190,249,43,180,37,3 308
COURTNEY Sarah,4,3,24,12,1,34,36,36,49,35,71,47,3,74,8,26,63,12,116,3,62,57,3,120,25,40,83,78,150,6,14,100,69,32,13,154,72,26,50,20,47,172,4,82,29,84,6,17,39,5,82,2 398,279,152,43,152,22,3 046
