Candidates,Abbotsham,Acton,Ambleside,Boat Harbour,Burnie,Calder,Cooee,Currie,Devonport,Devonport Central,Devonport North,Devonport North West,Devonport South,Devonport West,Don,East Devonport,Edith Creek,Elliott,Forest,Forth,Gawler,Grassy,Gunns Plains,Havenview,Heybridge,Highclere,Irishtown,Latrobe,Marrawah,Mawbanna,Melrose,Miandetta,Montagu,Montello,Moorleah,Natone,North Motton,Penguin,Preston,Queenstown,Reekara,Riana,Ridgley,Rocky Cape,Romaine,Rosebery,Savage River,Shorewell Park,Sisters Beach,Sisters Creek,Smithton,Somerset,South Burnie,South Riana,Sprent,Spreyton,Stanley,Stowport,Strahan,Sulphur Creek,Togari,Tullah,Turners Beach,Ulverstone Central,Ulverstone East,Ulverstone South,Waratah,West Ulverstone,Wivenhoe,Wynyard Central,Wynyard West,Yolla,Zeehan,Total Ordinary Votes,Pre-Poll Votes,Postal Votes,Mobile Votes,Out of Division,Provisional Votes,Total
BENJAMIN Benji,2,6,6,2,4,0,2,6,8,23,10,36,21,14,15,21,4,0,0,13,0,0,1,0,0,2,3,27,1,1,2,2,5,3,4,0,1,7,0,4,0,3,6,3,4,5,1,1,0,2,11,7,2,3,2,23,6,2,2,2,2,0,6,11,4,20,1,21,5,5,7,0,5,428,32,18,7,17,5,507
DORSEY Ken,1,45,0,8,29,1,12,2,3,10,3,8,10,6,4,12,2,4,3,3,0,0,0,13,4,2,2,15,4,0,1,1,2,54,2,2,2,28,2,9,0,3,8,12,36,5,1,29,2,2,10,69,14,2,0,4,4,7,3,9,0,0,6,5,2,18,3,10,9,46,28,4,3,663,26,19,3,34,2,747
van der LINDE-KEEP Liz,0,3,1,1,0,0,0,1,4,3,2,3,2,4,3,3,1,1,0,2,1,0,1,1,0,1,0,3,1,0,0,2,1,3,1,0,0,1,0,3,0,1,1,1,1,0,0,2,0,1,3,2,1,1,1,1,0,1,1,0,0,0,0,3,0,5,1,7,2,10,3,1,0,103,11,9,3,6,3,135
National Party,3,54,7,11,33,1,14,9,15,36,15,47,33,24,22,36,7,5,3,18,1,0,2,14,4,5,5,45,6,1,3,5,8,60,7,2,3,36,2,16,0,7,15,16,41,10,2,32,2,5,24,78,17,6,3,28,10,10,6,11,2,0,12,19,6,43,5,38,16,61,38,5,8,1 194,69,46,13,57,10,1 389
BESSELL Darryl,2,25,4,1,16,0,8,9,10,11,4,15,12,14,6,22,5,2,6,6,2,2,2,5,4,4,6,25,0,0,1,7,2,19,1,0,0,10,0,17,0,1,7,3,15,5,0,7,5,0,40,14,2,1,0,18,3,3,6,3,1,0,7,7,5,14,4,19,10,29,10,4,4,532,56,37,11,12,5,653
BEST Brenton,6,136,47,7,48,5,33,11,81,128,56,172,94,116,68,234,11,11,12,19,16,3,4,26,9,8,6,202,4,1,13,38,6,83,1,5,7,73,4,75,3,5,25,10,63,20,7,39,4,2,89,80,20,0,8,77,6,9,26,15,2,8,26,46,20,83,16,74,22,100,73,14,23,2 894,308,220,83,117,26,3 648
BROAD Shane,9,80,17,3,49,4,31,15,40,62,26,76,40,35,26,62,4,9,3,37,27,5,4,28,7,2,4,69,2,1,7,9,0,69,5,3,23,94,4,26,1,6,21,7,81,9,6,42,4,3,37,82,15,4,6,29,9,7,9,22,1,1,51,120,79,198,6,172,16,80,31,8,8,2 188,197,133,35,90,11,2 654
GREEN Bryan,7,321,34,21,176,14,128,86,67,117,58,147,86,88,87,140,13,40,26,42,23,18,2,104,44,24,38,210,8,1,16,37,11,235,6,16,11,203,6,121,13,26,82,38,200,43,7,119,16,7,173,262,67,10,13,82,29,22,46,50,5,13,58,137,65,175,28,139,56,308,168,47,30,5 366,517,406,115,173,29,6 606
KEAY Justine,1,44,18,2,12,0,20,14,38,48,18,45,40,37,25,67,1,10,6,13,7,2,1,16,8,0,2,64,0,2,1,11,0,48,2,2,3,35,0,20,3,2,14,3,34,14,0,17,3,3,20,40,10,4,5,20,2,4,4,9,2,1,14,26,11,37,0,30,9,47,19,8,5,1 103,135,77,16,45,6,1 382
Australian Labor Party,25,606,120,34,301,23,220,135,236,366,162,455,272,290,212,525,34,72,53,117,75,30,13,179,72,38,56,570,14,5,38,102,19,454,15,26,44,415,14,259,20,40,149,61,393,91,20,224,32,15,359,478,114,19,32,226,49,45,91,99,11,23,156,336,180,507,54,434,113,564,301,81,70,12 083,1 213,873,260,437,77,14 943
BROOKS Adam,41,237,189,77,320,18,193,101,273,389,183,641,321,355,306,503,61,66,110,195,124,14,27,102,59,37,102,562,85,9,51,159,29,231,30,32,55,463,17,303,6,50,194,114,327,100,53,202,44,40,658,392,94,41,52,426,94,73,119,139,33,27,277,416,239,533,23,422,125,427,291,67,112,13 280,1 217,843,186,485,62,16 073
HOWELL Kyron,6,23,6,5,15,2,8,24,9,17,14,28,17,17,14,18,2,4,4,9,2,3,0,8,3,2,7,28,0,0,3,9,1,17,4,5,2,29,6,17,1,6,8,13,19,11,3,13,6,1,28,17,4,2,3,15,2,0,8,8,1,2,18,27,8,35,4,13,9,34,17,8,13,745,56,44,10,35,5,895
JAENSCH Roger,7,59,11,49,113,18,96,22,14,38,20,75,27,14,25,35,9,25,16,41,23,6,1,32,13,8,17,47,18,3,4,10,6,41,13,6,9,62,1,23,1,16,26,12,109,21,4,86,23,9,81,130,24,4,9,36,19,16,26,29,3,3,18,62,28,83,5,63,27,267,156,19,8,2 480,248,141,32,103,5,3 009
ROCKLIFF Jeremy,48,215,148,79,319,20,203,213,221,365,225,470,218,267,277,352,38,71,108,220,142,33,24,107,65,37,98,684,41,15,61,131,31,208,32,27,59,477,38,142,31,59,130,101,288,49,11,224,32,37,480,286,87,49,54,399,91,65,106,141,23,23,229,371,227,502,14,372,107,446,222,86,59,11 930,1 246,1 114,283,542,53,15 168
RYLAH Joan,2,62,18,19,62,10,79,23,12,17,13,27,14,23,23,32,17,19,30,25,13,3,8,19,16,11,36,48,11,12,5,7,8,49,14,6,5,89,2,45,2,6,33,34,73,43,3,54,14,15,176,112,25,7,9,23,32,17,25,33,9,3,24,56,29,51,5,50,32,137,58,32,30,2 186,217,127,34,59,10,2 633
Liberal Party,104,596,372,229,829,68,579,383,529,826,455,1 241,597,676,645,940,127,185,268,490,304,59,60,268,156,95,260,1 369,155,39,124,316,75,546,93,76,130,1 120,64,530,41,137,391,274,816,224,74,579,119,102,1 423,937,234,103,127,899,238,171,284,350,69,58,566,932,531,1 204,51,920,300,1 311,744,212,222,30 621,2 984,2 269,545,1 224,135,37 778
