,Austins Ferry,Battery Point,Battery Point West,Cascades,Chigwell,Claremont,Collinsvale,Derwent Park,Dynnyrne,Elwick,Fern Tree,Glenorchy,Glenorchy Central,Goodwood,Hobart,Hobart City,Lenah Valley,Kingston (Denison),Lenah Valley East,Lower Sandy Bay,Lutana,Merton,Montrose,Moonah,Moonah East,Moonah North,Mount Nelson,Mount Stuart,New Town,New Town West,North Hobart,North Hobart Central,Roseneath,Rosetta,Sandy Bay,Sandfly (Dension),Sandy Bay Beach,South Hobart,Taroona,Waimea Heights,West Hobart,West Hobart Central,West Hobart North,West Hobart South,Windermere,Total Ordinary Votes,Pre-Poll Votes,Postal Votes,Mobile Votes,Out of Division,Provisional,Total
AMOS Julian,41,18,11,22,36,69,12,23,28,9,11,78,39,22,7,30,43,12,59,46,28,64,16,42,39,40,23,41,36,59,23,30,22,17,49,4,11,29,31,19,17,40,37,40,34,1 407,172,145,51,132,10,1 917
BACON Scott,556,143,64,106,424,871,106,179,123,127,37,892,617,258,43,156,268,81,324,190,254,495,256,361,325,377,148,131,191,337,158,217,318,124,174,44,63,135,161,81,81,138,193,111,433,10 871,1 292,1 114,175,893,124,14 469
CARNES Sharon,47,15,7,13,26,84,9,16,12,17,4,77,46,30,9,18,22,11,40,23,37,59,24,38,59,63,14,9,13,35,13,21,49,15,25,5,5,15,14,5,7,23,23,15,34,1 146,115,93,18,94,16,1 482
MULUMBA Alphonse,28,22,17,27,16,33,11,22,21,7,10,85,54,10,6,34,35,5,47,21,18,53,6,42,40,44,22,35,52,80,34,41,13,9,33,2,8,30,29,9,23,48,36,27,13,1 258,122,69,16,110,12,1 587
OGILVIE Madeleine,47,26,16,37,38,82,6,22,49,7,9,64,69,11,8,31,35,13,63,51,27,38,15,48,50,41,71,20,42,48,23,37,29,15,74,7,23,53,75,37,16,48,50,42,41,1 654,167,119,33,163,20,2 156
Australian Labor Party,719,224,115,205,540,1 139,144,262,233,167,71,1 196,825,331,73,269,403,122,533,331,364,709,317,531,513,565,278,236,334,559,251,346,431,180,355,62,110,262,310,151,144,297,339,235,555,16 336,1 868,1 540,293,1 392,182,21 611
ANN Penelope,2,17,14,35,3,21,6,5,20,3,9,18,11,3,3,25,20,13,23,21,10,10,2,15,12,15,28,10,16,30,15,25,5,4,29,7,21,31,26,5,9,28,21,35,11,692,70,64,7,86,15,934
COCKER Philip,7,21,9,12,5,9,2,5,31,0,17,16,7,3,3,20,11,2,9,16,5,4,5,10,18,6,19,8,17,12,10,16,0,3,28,2,11,24,23,8,11,15,20,14,7,501,63,50,10,69,2,695
HARVEY Bill,16,51,22,56,10,16,4,10,32,3,36,18,16,7,10,54,17,14,41,29,12,21,6,22,17,23,34,20,36,52,42,61,8,5,43,5,21,84,61,13,16,68,40,53,5,1 230,158,82,11,119,14,1 614
O'CONNOR Cassy,64,290,113,347,49,117,55,55,276,25,221,149,92,24,59,175,178,87,270,261,83,85,35,143,146,160,289,160,243,321,175,250,27,35,259,53,94,420,461,107,116,343,247,282,57,7 498,801,547,57,724,67,9 694
WHYKES Alan,4,21,4,19,7,14,3,5,11,1,6,15,5,3,2,23,9,9,15,21,6,8,6,13,8,8,11,8,11,18,9,20,6,2,11,5,10,20,16,6,11,15,17,17,2,461,36,43,7,62,6,615
Tasmanian Greens,93,400,162,469,74,177,70,80,370,32,289,216,131,40,77,297,235,125,358,348,116,128,54,203,201,212,381,206,323,433,251,372,46,49,370,72,157,579,587,139,163,469,345,401,82,10 382,1 128,786,92,1 060,104,13 552
ETTER Barbara,15,7,5,12,18,29,7,9,3,4,5,43,26,8,2,9,6,5,7,12,13,25,17,20,13,13,7,1,5,15,7,7,13,3,12,3,5,14,14,8,4,9,8,7,24,499,74,86,12,60,6,737
FORREST Charles Peter,10,1,3,5,5,13,2,4,1,2,2,13,6,4,1,2,2,4,3,4,6,6,5,8,12,10,3,1,8,8,3,5,9,2,4,2,1,1,6,0,3,3,5,1,11,210,33,22,3,34,1,303
GRUBE Mark Christoph,9,2,0,3,3,13,4,6,0,1,1,25,11,3,1,1,2,1,3,6,7,8,5,7,5,3,2,0,4,6,2,6,4,2,2,3,1,1,1,3,2,2,2,2,7,182,23,15,3,30,1,254
NEWITT Rob,14,4,2,6,7,23,2,8,1,3,1,22,13,5,1,1,4,4,6,6,6,17,1,18,7,9,4,3,2,6,2,5,7,2,2,0,3,1,8,0,1,3,1,4,10,255,39,26,1,45,3,369
STRINGER Justin,15,3,2,2,7,16,7,3,4,2,2,19,16,5,1,4,1,4,6,5,3,13,15,6,10,14,2,1,2,4,3,5,14,4,3,1,1,7,2,2,2,2,2,5,15,262,25,20,3,44,3,357
Palmer United Party,63,17,12,28,40,94,22,30,9,12,11,122,72,25,6,17,15,18,25,33,35,69,43,59,47,49,18,6,21,39,17,28,47,13,23,9,11,24,31,13,12,19,18,19,67,1 408,194,169,22,213,14,2 020
ARCHER Elise,218,112,47,54,99,273,33,77,103,34,33,244,166,53,21,80,138,62,162,264,98,174,90,162,109,149,170,81,131,191,61,86,66,58,170,34,97,108,112,121,54,79,107,50,130,4 961,638,481,88,503,30,6 701
De WILLIAMS Deborah,50,14,7,4,15,56,12,12,17,8,7,37,26,11,4,18,20,9,38,41,15,35,11,30,18,15,19,10,11,23,4,17,17,9,18,5,17,16,10,11,4,17,16,3,12,769,87,73,26,88,9,1 052
GROOM Matthew,411,322,107,113,197,450,61,100,276,64,64,529,299,82,38,128,274,120,395,673,169,284,159,319,182,214,301,175,229,332,113,160,135,128,403,63,288,232,311,262,95,233,254,99,205,10 048,1 275,1 234,259,964,49,13 829
KLING René,24,15,9,6,13,35,2,5,11,1,1,33,15,3,6,11,14,19,21,29,16,21,5,25,13,14,18,5,13,20,7,11,10,3,22,5,13,15,18,17,5,8,16,5,18,596,63,55,26,79,4,823
MALLETT Robert,54,48,20,19,24,75,10,11,36,8,7,67,42,7,4,27,31,35,47,132,20,42,28,34,24,39,50,20,38,63,18,23,9,11,84,11,76,45,55,41,19,43,42,29,27,1 595,150,117,65,148,5,2 080
Liberal Party,757,511,190,196,348,889,118,205,443,115,112,910,548,156,73,264,477,245,663,1 139,318,556,293,570,346,431,558,291,422,629,203,297,237,209,697,118,491,416,506,452,177,380,435,186,392,17 969,2 213,1 960,464,1 782,97,24 485
ALLOCCA Domenic,2,0,0,2,1,3,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,2,2,0,0,1,0,1,0,1,0,2,0,0,3,0,0,0,32,7,2,1,5,1,48
EDWARDS Julian,0,1,1,0,2,4,1,3,0,2,0,4,2,2,0,2,0,1,0,2,0,3,0,0,2,2,2,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,4,47,0,9,1,4,0,61
GALA Vlad,2,1,2,1,1,8,0,0,0,0,0,5,1,1,0,2,1,0,2,0,1,2,0,3,2,1,0,0,1,0,2,0,3,0,3,0,1,0,0,1,1,1,0,0,2,51,3,7,3,11,0,75
National Party,4,2,3,3,4,15,1,4,2,2,0,10,5,3,0,4,1,1,2,2,1,6,1,4,5,5,2,0,3,3,2,1,5,0,5,0,2,0,3,2,1,5,0,0,6,130,10,18,5,20,1,184
STEPHEN Shaine,0,10,4,4,3,4,8,1,7,2,12,7,1,3,5,9,6,3,6,6,3,5,1,2,8,7,6,4,7,10,6,7,1,1,6,3,0,9,7,3,9,9,9,1,2,227,23,18,2,28,2,300
Socialist Alliance,0,10,4,4,3,4,8,1,7,2,12,7,1,3,5,9,6,3,6,6,3,5,1,2,8,7,6,4,7,10,6,7,1,1,6,3,0,9,7,3,9,9,9,1,2,227,23,18,2,28,2,300
HILL Freddy,3,4,4,7,1,2,0,0,5,0,5,3,2,0,1,2,0,0,11,4,1,3,0,4,2,4,4,2,1,3,3,5,1,1,8,2,2,11,0,0,3,1,3,5,1,124,5,11,0,12,0,152
NOYES Lucas,2,3,0,3,1,5,0,1,2,0,3,6,1,0,0,4,2,0,4,1,1,4,1,7,6,2,1,3,1,3,3,6,3,0,8,3,2,4,0,0,1,2,0,4,1,104,4,14,0,8,0,130
WILLINK Hans,6,9,4,1,3,10,1,3,16,2,5,13,9,0,3,2,8,6,10,23,6,8,6,7,4,3,12,4,8,6,7,7,4,0,20,3,8,9,18,9,3,9,6,11,3,315,40,27,8,19,4,413
(G) FOLEY Leo,0,1,2,3,3,4,0,1,11,1,2,4,5,0,0,0,10,2,14,3,0,0,0,2,0,1,8,10,1,5,7,6,2,2,10,0,1,4,5,0,1,5,7,8,3,154,14,23,6,10,0,207
(H) ZUCCO Marti,19,13,1,10,11,25,3,10,10,2,4,31,22,3,2,10,16,3,16,21,10,26,9,19,32,24,15,21,20,30,9,24,5,6,10,4,13,8,7,8,7,16,16,4,17,592,72,53,7,57,7,788
(I) SWANTON Michael,0,2,2,2,1,2,1,0,4,1,0,1,1,1,1,4,12,0,11,1,4,2,0,2,3,4,1,2,3,3,1,3,0,0,0,0,1,1,2,1,0,2,4,1,3,90,7,8,2,7,0,114
Total Formal Votes,1 666,1 196,499,931,1 029,2 366,368,597,1 112,336,514,2 519,1 622,562,241,882,1 185,525,1 653,1 912,859,1 516,725,1 410,1 167,1 307,1 284,785,1 144,1 723,760,1 102,782,461,1 512,276,798,1 327,1 476,778,521,1 214,1 182,875,1 132,47 831,5 578,4 627,901,4 608,411,63 956
