,Adventure Bay,Alonnah,Barnes Bay,Bellerive,Blackmans Bay,Cambridge,Clarence,Clarendon Vale,Cradoc,Cygnet,Dover,Franklin,Geeveston,Geilston Bay,Glen Huon,Howden,Howrah,Huonville,Judbury,Kettering,Kingston,Kingston Beach,Lauderdale,Lindisfarne,Lindisfarne Village,Maranoa Heights,Margate,Middleton,Montagu Bay,Mornington,Mountain River,Old Beach,Port Huon,Ranelagh,Richmond,Risdon Vale,Rokeby,Sandfly,Sandford,Seven Mile Beach,Snug,South Arm,Southport,Surges Bay,Tranmere,Warrane,Warrane North,Woodbridge,Total Ordinary Votes,Pre-Poll Votes,Postal Votes,Mobile Votes,Out of Division Votes,Provisional Votes,Total
FORWARD Jenny,4,2,0,13,14,1,5,2,4,21,2,4,2,6,2,1,13,10,1,6,9,13,8,7,7,13,10,0,8,1,6,6,1,8,4,5,8,1,7,5,9,3,0,2,3,6,5,6,274,23,31,2,27,7,364
Socialist Alliance,4,2,0,13,14,1,5,2,4,21,2,4,2,6,2,1,13,10,1,6,9,13,8,7,7,13,10,0,8,1,6,6,1,8,4,5,8,1,7,5,9,3,0,2,3,6,5,6,274,23,31,2,27,7,364
CHONG Heather,4,0,3,33,17,18,25,5,6,10,4,8,7,25,1,1,22,11,1,5,23,18,27,11,25,18,20,2,16,3,6,20,5,13,43,17,27,5,16,5,6,9,1,1,16,6,15,2,582,66,51,9,46,6,760
DICK Julie,7,3,3,30,24,25,34,61,3,17,6,1,3,43,1,5,55,28,1,8,12,25,64,25,30,35,32,5,27,10,7,38,1,14,9,67,81,9,24,7,18,12,0,0,23,82,72,3,1 090,70,87,8,107,10,1 372
GIDDINGS Lara,27,39,16,329,464,195,339,194,59,232,83,74,116,355,39,47,437,257,22,69,239,300,365,236,323,272,291,33,176,64,72,262,36,112,136,303,429,79,182,87,149,90,18,8,343,310,226,58,8 592,787,801,74,721,60,11 035
MITCHELL Russell,0,3,1,8,15,5,6,4,1,12,7,4,8,6,5,0,12,17,4,3,10,7,18,9,7,10,7,4,4,0,12,11,2,6,5,9,13,1,4,0,9,6,5,0,6,12,7,2,307,21,30,10,43,2,413
O'BYRNE David,9,10,4,156,342,100,146,89,15,69,30,45,37,188,20,20,222,122,24,26,139,188,181,132,132,231,185,18,95,36,23,117,20,66,60,197,183,52,71,48,89,45,14,8,147,151,131,16,4 449,395,391,25,327,33,5 620
Australian Labor Party,47,55,27,556,862,343,550,353,84,340,130,132,171,617,66,73,748,435,52,111,423,538,655,413,517,566,535,62,318,113,120,448,64,211,253,593,733,146,297,147,271,162,38,17,535,561,451,81,15 020,1 339,1 360,126,1 244,111,19 200
BASTONE Sue,1,3,5,14,30,9,6,2,2,12,9,1,14,18,2,3,14,12,1,50,16,25,18,11,12,18,28,6,6,0,2,12,2,7,12,4,9,5,7,6,19,6,1,0,18,6,6,13,483,47,42,6,44,1,623
HARRISS Paul,11,19,1,77,128,48,51,12,65,149,60,68,108,88,102,16,101,242,39,30,80,82,81,72,64,69,93,7,48,7,92,41,36,187,38,23,29,35,39,46,71,24,15,31,82,30,17,16,2 870,198,353,20,190,15,3 646
HODGMAN Will,79,72,43,746,1 073,585,556,103,154,428,251,118,219,756,76,141,1 009,437,73,145,560,857,866,524,660,657,790,71,393,162,182,623,101,262,356,285,348,270,391,313,333,262,51,70,936,342,268,94,18 091,1 768,1 944,196,1 470,120,23 589
PETRUSMA Jacquie,5,15,9,153,195,141,115,27,23,57,32,34,46,109,9,25,205,62,13,22,131,128,258,97,117,204,167,14,58,29,37,61,27,42,60,55,90,55,63,61,58,49,6,14,189,73,55,7,3 502,331,288,32,291,19,4 463
STREET Nic,0,1,0,29,159,18,16,9,7,17,9,8,10,26,2,11,31,16,2,7,47,80,33,24,18,51,38,7,16,7,6,12,2,9,9,15,15,14,14,8,10,6,1,1,33,11,6,6,877,88,60,7,84,6,1 122
Liberal Party,96,110,58,1 019,1 585,801,744,153,251,663,361,229,397,997,191,196,1 360,769,128,254,834,1 172,1 256,728,871,999,1 116,105,521,205,319,749,168,507,475,382,491,379,514,434,491,347,74,116,1 258,462,352,136,25 823,2 432,2 687,261,2 079,161,33 443
ATKINSON Richard,2,3,0,13,16,7,7,1,1,11,2,5,5,5,1,2,7,6,3,5,8,13,7,6,9,9,12,3,11,2,1,4,1,3,1,5,7,4,6,4,5,5,1,0,10,6,4,8,257,25,14,2,33,3,334
BURNETT Simon,0,3,2,15,17,14,11,4,4,18,4,7,3,7,3,4,20,9,3,4,8,17,16,11,7,10,12,3,11,4,2,4,0,9,3,5,5,6,11,7,4,6,2,2,11,4,7,3,342,23,27,6,51,5,454
KEAN Zoe,1,2,0,9,12,6,8,1,4,14,2,4,2,8,2,1,7,8,3,6,6,11,17,7,8,10,10,4,3,2,4,4,3,1,2,6,3,7,12,3,9,9,1,0,9,4,1,5,261,24,25,1,41,2,354
McKIM Nick,33,64,33,292,520,169,191,14,68,350,52,85,63,186,37,74,211,153,37,160,229,429,335,170,265,202,370,55,177,49,108,69,37,116,100,44,53,174,252,102,235,113,17,23,213,100,55,141,7 025,715,549,19,658,47,9 013
WOODRUFF Rosalie,3,2,2,29,64,14,19,3,30,122,12,26,15,15,6,12,18,30,9,13,31,40,33,17,23,22,29,9,12,4,12,6,6,22,10,3,9,19,8,11,18,7,9,14,20,7,5,12,862,76,61,5,99,7,1 110
Tasmanian Greens,39,74,37,358,629,210,236,23,107,515,72,127,88,221,49,93,263,206,55,188,282,510,408,211,312,253,433,74,214,61,127,87,47,151,116,63,77,210,289,127,271,140,30,39,263,121,72,169,8 747,863,676,33,882,64,11 265
HOLLOWAY Matt,1,2,1,5,10,0,5,0,0,2,3,0,0,5,0,1,7,1,0,1,6,5,7,1,14,3,9,1,3,1,1,3,0,0,1,4,5,1,2,1,1,2,0,1,2,6,2,0,126,13,24,0,11,0,174
LANE Penny,0,1,0,2,2,1,1,1,0,1,1,0,2,3,1,0,1,1,0,0,4,3,5,8,0,2,3,1,2,1,1,5,0,0,1,1,4,1,4,0,0,0,0,0,4,0,0,1,69,6,5,2,14,1,97
WAKELING Myrtle,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,3,1,0,0,2,0,1,1,1,1,2,0,0,1,0,2,0,0,0,12,2,0,1,0,0,0,0,1,0,5,1,0,44,4,10,1,3,0,62
National Party,2,3,1,7,13,1,6,1,0,3,4,0,6,8,1,2,11,3,0,1,12,8,13,10,15,6,14,2,5,3,2,10,0,0,2,17,11,2,7,1,1,2,0,2,6,11,3,1,239,23,39,3,28,1,333
FIGG Michael Greer,0,2,3,8,8,6,15,8,5,18,3,6,4,8,4,3,15,7,4,2,5,9,20,7,3,18,12,5,7,3,4,9,0,5,3,10,11,4,12,4,4,7,1,2,16,11,4,1,326,28,27,3,27,2,413
PEERS John Phillip,1,1,1,24,16,8,19,10,1,11,4,5,4,14,0,2,27,19,2,4,8,15,19,9,22,11,10,1,12,6,2,18,5,5,11,33,20,5,5,7,7,5,0,6,16,30,18,2,481,50,50,0,47,3,631
RUTHERFORD Luke,1,2,0,7,14,6,3,3,0,11,7,4,5,6,3,5,5,14,0,2,9,4,8,4,2,13,8,0,0,3,2,6,2,5,7,8,7,9,2,3,4,1,4,1,3,4,3,2,222,29,30,5,25,9,320
SPILIOPOULOS Con,0,3,1,11,21,7,12,3,4,13,4,5,4,13,1,1,16,15,3,0,3,7,11,4,5,14,12,2,6,3,0,12,1,6,5,7,10,3,3,2,4,2,1,2,10,10,2,1,285,36,34,1,29,6,391
