PollingPlaceName,PremiseName,PremiseAddress1,PremiseLocality
Clarence, Clarence High School, Wentworth St,BELLERIVE
Bellerive, Clarence Police & Community Youth Club Inc, 10 Scott St,BELLERIVE
Blackmans Bay, The Salvation Army Kingborough, 3 Opal Dr,BLACKMANS BAY
Adventure Bay, Adventure Bay Hall, Adventure Bay Rd,BRUNY ISLAND
Barnes Bay, Barnes Bay CWA Rooms, 678 Bruny Island Main Rd,BRUNY ISLAND
Alonnah, Bruny Island District School, School Rd,BRUNY ISLAND
Cambridge, Cambridge Primary School, 976 Cambridge Rd,CAMBRIDGE
Clarendon Vale, Clarendon Vale Primary School, 25 Mockridge Rd,CLARENDON VALE
Cradoc, Cradoc Park, 8427 Channel Hwy,CRADOC
Cygnet, Carmel Hall, 25 Mary St,CYGNET
Dover, Dover District High School, 6940 Huon Hwy,DOVER
Franklin, Franklin Primary School, 10 New Rd,FRANKLIN
Geeveston, Geeveston Community Hall, 7 Brady St,GEEVESTON
Geilston Bay, Geilston Bay High School, 271 East Derwent Hwy,GEILSTON BAY
Glen Huon, Glen Huon Primary School, 801 Glen Huon Rd,GLEN HUON
Howden, Howden Fire Station, Howden Rd,HOWDEN
Howrah, Howrah Scout Hall, Howrah Primary School,HOWRAH
Tranmere, Tranmere Hall, 27 Tranmere Rd,HOWRAH
Huonville, Salvation Army Hall, 31 Wilmot Rd,HUONVILLE
Judbury, Judbury Hall, 1273 Glen Huon Rd,JUDBURY
Kettering, Kettering Community Centre, 2963 Channel Hwy,KETTERING
Kingston, Kingborough Council, 15 Channel Hwy,KINGSTON
Maranoa Heights, Southern Christian College, 150 Redwood Rd,KINGSTON
Kingston Beach, Kingston Beach Hall, Beach Rd,KINGSTON BEACH
Lauderdale, Lauderdale Community Hall, 528a South Arm Rd,LAUDERDALE
Lindisfarne, Lindisfarne Primary School, Loatta Rd,LINDISFARNE
Lindisfarne Village, St Aidans Church Hall, Lincoln St,LINDISFARNE
Margate, Margate Hall, Channel Hwy,MARGATE
Middleton, South Channel Community Centre, McDowell St,MIDDLETON
Montagu Bay, Montagu Bay Primary School, 10 Conara Rd,MONTAGU BAY
Mornington, Citywide Baptist Church & Venue, 400 Cambridge Rd,MORNINGTON
Mountain River, Mountain River Memorial Hall, 263 Mountain River Rd,MOUNTAIN RIVER
Old Beach, Old Beach Fire Station, Jetty Rd,OLD BEACH
Port Huon, Port Huon Sports & Aquatic Centre, Huon Hwy,PORT HUON
Ranelagh, Ranelagh Memorial Hall, Marguerite St,RANELAGH
Richmond, Richmond Primary School, Commercial Rd,RICHMOND
Risdon Vale, Risdon Vale Primary School, Heather Rd,RISDON VALE
Rokeby, Rokeby Community Centre, Hart Pl,ROKEBY
Sandfly, Sandfly Hall, 811 Sandfly Rd,SANDFLY
Sandford, Sandford Hall, 973 South Arm Rd,SANDFORD
Seven Mile Beach, Wyndham Vacation Resort, 78 Surf Rd,SEVEN MILE BEACH
Snug, Snug Primary School, Channel Hwy,SNUG
South Arm, South Arm Primary School, Harmony Lane,SOUTH ARM
Southport, Southport Fire Station, 3 Cathkit St,SOUTHPORT
Surges Bay, Surges Bay Hall, Esperance Coast Rd,SURGES BAY
Warrane North, Warrane Mornington Neighbourhood Centre, 150a Bligh St,WARRANE
Warrane, Warrane Primary School, 213 Cambridge Rd,WARRANE
Woodbridge, Woodbridge Hall, 3445 Channel Hwy,WOODBRIDGE
