PollingPlaceName,PremiseName,PremiseAddress1,PremiseLocality
Avoca, Avoca Primary School, 26-30 St Pauls Pl,AVOCA
Bagdad, Bagdad Primary School, 46-48 School Rd,BAGDAD
Beaconsfield, Beaconsfield House Inc, 33 Grubb St,BEACONSFIELD
Beauty Point, Beauty Point (Sandy Beach) Bowls Club Hall, 11 Mainwaring St,BEAUTY POINT
Bicheno, Bicheno Beachfront Conference Room, Sinclair St,BICHENO
Bishopsbourne, Bishopsbourne Community Centre, 1111 Bishopsbourne Rd,BISHOPSBOURNE
Bothwell, Bothwell Council Chambers, Alexander St,BOTHWELL
Bracknell, Bracknell War Memorial Hall, Louisa St,BRACKNELL
Bridgewater, Brighton Civic Centre, 25 Green Point Road,BRIDGEWATER
Brighton, Brighton Primary School, 17 Downie St,BRIGHTON
Broadmarsh, Broadmarsh Hall, 1218 Elderslie Rd,BROADMARSH
Bronte, Bronte Park Highland Village, 378 Marlborough Rd,BRONTE PARK
Buckland, Buckland Memorial Hall, 22 Kent St,BUCKLAND
Campania, Campania Hall, Reeve St,CAMPANIA
Campbell Town, Campbell Town Town Hall, 75 High St,CAMPBELL TOWN
Carrick, Carrick Public Hall, 29 Meander Valley Rd,CARRICK
Chudleigh, Chudleigh Memorial Hall, 54 Sorell St,CHUDLEIGH
Claude Road, Claude Road Memorial Hall, 787 Claude Rd,CLAUDE ROAD
Colebrook, Colebrook Fire Station, Colebrook Rd,COLEBROOK
Coles Bay, Coles Bay Community Hall, Harold St,COLES BAY
Copping, Copping Hall, Marion Bay Rd,COPPING
Cressy, Cressy Community Hall, Main St,CRESSY
Deloraine, Deloraine High School Hall, East Barrack St,DELORAINE
Dodges Ferry, Dodges Ferry Community Recreation Centre, 532 Old Forcett Rd,DODGES FERRY
Dromedary, Dromedary (Millvale) Community Hall, 14 Millvale Rd,DROMEDARY
Dunalley, Dunalley Primary School, 20-32 Bay St,DUNALLEY
Elizabeth Town, Elizabeth Town Fire Station, 5816 Bass Hwy,ELIZABETH TOWN
Ellendale, Ellendale Hall, 939 Ellendale Rd,ELLENDALE
Epping, Epping Forest Public Hall, 13515 Midland Hwy,EPPING FOREST
Evandale, Evandale Primary School, 5-11 Barclay St,EVANDALE
Exeter, Exeter High School Gymnasium, 28 Glen Ard Mohr Rd,EXETER
Fingal, Fingal Activity Centre (Former Council Chambers), 29 Talbot St,FINGAL
Forcett, Forcett Public Hall, 699 Arthur Hwy,FORCETT
Frankford, Frankford Memorial Hall, Frankford Rd,FRANKFORD
Gagebrook, Gagebrook Primary School, 4 Tottenham Rd,GAGEBROOK
Glengarry, Glengarry Fire Station, Frankford Rd,GLENGARRY
Glenora, Glenora District High School, 620 Gordon River Rd,GLENORA
Granton, Granton Memorial Hall, Lyell Hwy,GRANTON
Gravelly Beach, Gravelly Beach Main Hall, Edinburgh Park,GRAVELLY BEACH
Gretna, Gretna (St Mary's Parish) Hall, 3548 Lyell Hwy,GRETNA
Hagley, Hagley Uniting Church Hall, Meander Valley Rd,HAGLEY
Hamilton, Hamilton Hall, Tarleton St,HAMILTON
Kelso, Kelso Community Centre, Foreshore Rd,KELSO
Kempton, Kempton Council Chambers, Main St,KEMPTON
Lachlan, Lachlan Community Hall, 511 Lachlan Rd,LACHLAN
Legana (Lyons), Legana Memorial Hall, 43 Fulton St,LEGANA
Levendale, Levendale Primary School, 1315 Woodsdale Rd,LEVENDALE
Longford, Longford War Memorial Hall, Wellington St,LONGFORD
Lower Barrington, Lower Barrington Public Hall, 1027 Sheffield Rd,LOWER BARRINGTON
Magra, Magra CWA Building, Back River Rd,MAGRA
Mathinna, Mathinna Community Centre, 21 High St,MATHINNA
Maydena, Maydena Online Access Centre, 36 Kallista Rd,MAYDENA
Meander, Meander Primary School, 137 Main Rd,MEANDER
Midway Point, Midway Point Community Hall, Raynors Rd,MIDWAY POINT
Miena, Miena Community Centre, 55-57 Cider Gum Rd,MIENA
Mole Creek, Mole Creek Primary School, 4 Caveside Rd,MOLE CREEK
Molesworth, Molesworth Primary School, 540 Molesworth Rd,MOLESWORTH
Moriarty, Moriarty Hall, 1 Bonneys La,MORIARTY
New Norfolk, New Norfolk Primary School, 8 Pioneer Ave,NEW NORFOLK
New Norfolk North, New Norfolk Sport & Recreation Centre, 50 Derwent Terrace,NEW NORFOLK
Nubeena, Tasman Civic Centre, Clarke St,NUBEENA
Oatlands, Oatlands Council Chambers Court Room, 71 High St,OATLANDS
Orford, Orford Community Hall, Charles St,ORFORD
Ouse, Ouse Online Centre, 6947 Lyell Hwy,OUSE
Parattah, Parattah Jubilee Hall, 657 Tunnack Rd,PARATTAH
