Candidates,Avoca,Bagdad,Beaconsfield,Beauty Point,Bicheno,Bishopsbourne,Bothwell,Bracknell,Bridgewater,Brighton,Broadmarsh,Bronte,Buckland,Campania,Campbell Town,Carrick,Chudleigh,Claude Road,Colebrook,Coles Bay,Copping,Cressy,Deloraine,Dodges Ferry,Dromedary,Dunalley,Elizabeth Town,Ellendale,Epping,Evandale,Exeter,Fingal,Forcett,Frankford,Gagebrook,Glengarry,Glenora,Granton,Gravelly Beach,Gretna,Hagley,Hamilton,Kelso,Kempton,Lachlan,Legana (Lyons),Levendale,Longford,Lower Barrington,Magra,Mathinna,Maydena,Meander,Midway Point,Miena,Mole Creek,Molesworth,Moriarty,New Norfolk,New Norfolk North,Nubeena,Oatlands,Orford,Ouse,Parattah,Perth,Pontville,Port Arthur,Port Sorell,Primrose Sands,Pyengana,Railton,Ross,Saltwater River,Sassafras,Scamander,Sheffield,Sidmouth,Sorell,St Helens,St Marys,Swansea,Taranna,Tea Tree,Triabunna,Tunnack,Wesley Vale,Westbury,Westerway,Whitemore,Wilmot,Total Ordinary Votes,Pre-Poll Votes,Postal Votes,Mobile Votes,Out of Division Votes,Provisional Votes,Total
BARNETT Guy,40,57,166,145,80,26,33,84,106,204,11,10,16,73,98,139,41,53,18,26,35,115,301,184,40,37,70,16,45,257,215,40,65,19,60,57,12,53,78,22,89,18,47,29,30,235,19,415,78,27,10,8,39,160,15,47,17,53,91,77,41,95,88,37,15,475,70,16,406,32,26,96,73,11,42,63,145,100,197,287,70,104,20,26,68,35,23,296,15,27,24,7 674,262,809,79,879,38,9 741
CADART Bertrand,5,19,32,24,56,2,15,9,50,65,8,7,13,25,32,14,10,8,12,17,16,13,48,93,16,21,12,4,7,38,46,13,25,5,30,7,4,12,21,7,10,2,10,14,13,23,5,67,30,13,3,1,10,59,5,15,5,0,24,19,17,28,42,6,3,62,24,9,71,11,8,25,10,4,11,42,29,19,83,122,32,62,13,8,31,9,10,35,5,2,7,2 029,39,188,24,270,10,2 560
EVANS Martyn,7,31,27,32,18,1,26,5,114,131,5,17,6,32,18,10,6,11,8,3,12,6,36,64,40,15,12,42,2,24,33,7,21,3,28,10,34,53,10,29,5,17,3,14,51,19,4,40,17,98,1,34,6,47,6,10,30,5,234,201,19,18,17,35,8,33,32,5,57,29,7,22,5,1,4,9,27,15,69,43,13,15,7,9,23,7,5,26,47,0,6,2 444,24,211,29,277,20,3 005
HIDDING Rene,20,140,123,127,148,5,70,29,184,397,33,13,40,105,100,67,25,75,19,33,87,68,200,334,48,93,47,10,37,111,159,44,141,26,71,64,22,87,65,36,26,20,44,61,43,179,21,297,144,66,10,16,22,279,23,45,29,64,188,119,97,117,140,35,30,301,141,48,480,76,26,98,42,22,63,76,203,80,453,332,46,134,56,44,174,34,49,129,22,5,35,8 787,205,941,89,1 025,50,11 097
SHELTON Mark,28,59,83,86,46,32,78,158,79,149,21,15,5,50,53,151,82,50,18,6,24,173,487,106,27,40,122,14,35,137,130,48,48,25,29,46,15,36,68,17,101,10,33,28,21,92,12,420,49,18,1,6,88,85,17,86,17,41,71,45,27,66,29,13,8,267,57,11,391,35,5,137,46,2,56,49,132,52,137,164,38,80,29,23,35,26,22,279,15,33,42,6 423,203,707,50,637,40,8 060
Liberal Party,100,306,431,414,348,66,222,285,533,946,78,62,80,285,301,381,164,197,75,85,174,375,1 072,781,171,206,263,86,126,567,583,152,300,78,218,184,87,241,242,111,231,67,137,146,158,548,61,1 239,318,222,25,65,165,630,66,203,98,163,608,461,201,324,316,126,64,1 138,324,89,1 405,183,72,378,176,40,176,239,536,266,939,948,199,395,125,110,331,111,109,765,104,67,114,27 357,733,2 856,271,3 088,158,34 463
BRINKLOW Pip,3,2,16,5,10,0,2,4,4,6,1,1,1,3,4,4,3,4,3,4,9,1,26,32,4,5,7,1,2,7,18,1,2,0,7,2,1,5,10,1,3,1,7,1,5,5,1,14,6,3,1,3,5,13,0,2,4,2,16,4,7,4,4,3,1,14,3,2,13,3,2,2,2,2,2,5,13,7,17,10,4,9,5,2,3,1,2,6,4,0,7,476,15,68,2,89,5,655
MILLAR Glenn,3,4,7,6,4,0,1,1,11,11,2,1,1,2,3,3,0,4,2,2,4,3,15,22,0,2,3,1,0,16,10,1,7,1,5,5,0,4,6,0,2,0,3,0,2,5,0,9,1,3,4,2,3,13,1,5,3,3,14,2,9,1,2,0,1,4,5,3,6,5,0,2,2,0,0,5,6,8,16,15,7,7,2,0,2,1,2,5,3,3,2,372,10,48,4,60,4,498
MORRIS Tim,2,48,91,63,64,4,16,20,48,38,19,0,5,17,36,31,39,61,14,33,78,17,202,267,20,64,27,16,10,86,144,8,49,15,16,16,11,20,136,8,18,6,35,9,53,94,5,103,31,18,4,11,47,87,3,32,52,21,150,30,61,40,31,8,5,71,41,16,141,19,12,36,15,16,3,78,65,91,106,163,54,61,61,14,18,10,15,81,22,4,30,4 056,141,362,16,546,19,5 140
RUBENACH Hannah,5,4,11,7,8,0,1,4,10,8,2,0,0,0,4,1,3,3,0,4,2,4,27,25,2,4,2,1,2,5,8,5,3,0,5,0,0,4,6,1,2,0,3,2,4,10,1,14,6,1,0,4,2,7,1,3,4,0,15,0,7,2,2,1,1,6,4,1,13,7,4,2,0,0,2,25,11,8,9,50,37,4,3,1,1,1,2,7,2,0,6,479,16,65,4,94,10,668
TAYLOR Stephanie,1,0,14,6,3,1,1,3,10,6,1,0,0,7,2,8,2,4,3,5,6,5,30,26,1,6,3,0,2,7,12,1,3,4,3,4,1,6,11,1,4,0,4,0,4,5,0,14,6,2,1,0,4,9,4,1,2,5,11,1,9,4,3,0,2,14,4,3,23,3,1,3,3,2,0,3,8,15,14,9,10,4,3,5,1,0,0,14,0,0,4,450,12,46,6,83,7,604
Tasmanian Greens,14,58,139,87,89,5,21,32,83,69,25,2,7,29,49,47,47,76,22,48,99,30,300,372,27,81,42,19,16,121,192,16,64,20,36,27,13,39,169,11,29,7,52,12,68,119,7,154,50,27,10,20,61,129,9,43,65,31,206,37,93,51,42,12,10,109,57,25,196,37,19,45,22,20,7,116,103,129,162,247,112,85,74,22,25,13,21,113,31,7,49,5 833,194,589,32,872,45,7 565
CLARK Darren Scott,6,8,17,6,7,1,8,4,80,51,3,3,4,8,7,6,0,5,5,2,4,8,17,29,9,5,7,1,4,19,19,5,4,1,35,2,1,11,9,1,1,1,2,4,10,8,2,27,6,9,3,1,2,12,1,2,3,0,33,20,9,4,10,3,3,24,17,3,25,8,2,11,4,0,1,10,19,3,22,19,6,21,3,1,48,2,2,14,3,0,0,866,5,69,10,122,8,1 080
DILLON Jessey,2,5,18,9,4,2,3,2,44,31,1,0,0,4,10,3,1,2,3,2,1,9,15,19,6,3,2,2,2,3,5,2,3,1,25,1,4,7,4,3,1,3,1,3,4,4,2,13,2,14,1,1,3,13,2,2,8,1,33,28,7,4,1,3,2,14,5,0,17,7,1,11,2,0,1,3,14,3,16,11,6,4,1,4,3,0,3,13,3,1,0,562,7,36,9,93,12,719
GORDON Bob,10,58,38,43,16,4,11,5,137,120,12,5,6,11,58,13,3,5,4,3,7,33,49,82,19,13,6,2,11,25,36,28,21,4,75,4,8,20,10,3,5,4,7,15,14,20,4,114,11,19,15,10,8,80,4,4,17,5,80,75,26,24,8,9,4,98,26,7,64,38,2,22,14,4,0,23,27,6,94,59,21,38,6,7,13,7,3,46,11,0,6,2 242,27,194,27,220,14,2 724
LLEWELLYN David,37,69,72,37,61,4,39,6,299,197,18,5,11,22,69,22,11,22,13,9,13,48,89,99,36,27,19,10,15,58,49,35,20,5,172,34,18,48,28,14,14,6,11,44,30,24,7,140,46,47,18,10,11,65,13,13,27,11,178,162,44,45,12,14,11,106,57,8,133,38,12,73,28,7,9,69,107,19,109,193,87,35,22,19,36,14,10,49,18,2,12,4 135,46,460,67,519,35,5 262
WHITE Rebecca,16,122,109,96,50,4,43,14,486,334,26,8,15,70,103,26,12,33,37,18,68,66,163,498,49,82,17,5,20,54,87,21,146,6,218,11,29,68,31,17,15,12,11,44,44,40,21,174,21,52,9,8,8,340,12,8,48,10,293,186,113,52,50,23,15,176,111,29,114,115,4,63,33,22,7,68,69,28,572,156,54,90,47,28,89,16,11,89,18,4,7,6 907,90,668,52,810,62,8 589
