Candidates,Abbotsham,Acton,Boat Harbour,Burnie,Calder,Cooee,Currie,Devonport Central,Devonport North West,Devonport South,Devonport West,Don,East Devonport,Edith Creek,Elliott,Forest,Forth,Gawler,Grassy,Havenview,Heybridge,Highclere,Irishtown,Latrobe,Marrawah,Melrose,Montello,Moorleah,Natone,North Motton,Penguin,Preston,Queenstown,Riana,Ridgley,Rocky Cape,Romaine,Rosebery,Shorewell Park,Sisters Beach,Sisters Creek,Smithton,Somerset,South Riana,Sprent,Spreyton,Stanley,Stowport,Strahan,Sulphur Creek,Tullah,Turners Beach,Ulverstone Central,Ulverstone East,Ulverstone South,Waratah,West Ulverstone,Wivenhoe,Wynyard Central,Wynyard West,Yolla,Zeehan,Total Ordinary Votes,Out of Division Votes,Mobile Votes,Postal Votes,Pre-Poll Votes,Provisional Votes,Total
"BROOKS, Adam", 20, 185, 37, 151, 20, 113, 56, 298, 486, 274, 259, 247, 393, 19, 33, 62, 99, 80, 10, 54, 37, 16, 46, 379, 39, 38, 130, 21, 23, 43, 321, 17, 156, 44, 98, 52, 180, 51, 126, 17, 16, 247, 206, 30, 23, 341, 45, 51, 60, 127, 31, 160, 178, 163, 433, 16, 291, 92, 192, 132, 47, 93,7 704, 399, 127, 420,1 321, 33,10 004
"ELLIS, Felix", 4, 43, 16, 29, 4, 26, 20, 62, 71, 36, 43, 34, 58, 9, 4, 14, 46, 16, 2, 16, 8, 9, 6, 53, 7, 12, 36, 5, 6, 12, 51, 2, 68, 2, 24, 10, 36, 10, 35, 1, 2, 38, 35, 4, 8, 44, 12, 8, 48, 25, 3, 17, 31, 23, 69, 2, 45, 7, 38, 23, 4, 17,1 449, 68, 22, 84, 215, 4,1 842
"JAENSCH, Roger", 12, 86, 80, 140, 24, 106, 47, 78, 71, 50, 24, 34, 68, 12, 44, 14, 51, 22, 7, 40, 15, 12, 16, 65, 8, 6, 74, 17, 5, 16, 134, 4, 38, 9, 54, 31, 85, 12, 121, 27, 15, 100, 157, 11, 4, 51, 27, 22, 37, 51, 9, 56, 59, 47, 122, 7, 89, 62, 344, 198, 27, 13,3 267, 122, 42, 196, 537, 7,4 171
"ROCKLIFF, Jeremy", 65, 205, 86, 281, 20, 182, 227, 577, 692, 352, 343, 382, 546, 46, 74, 125, 210, 163, 29, 74, 64, 34, 88, 838, 61, 78, 205, 29, 22, 85, 465, 41, 123, 42, 141, 83, 263, 39, 216, 38, 23, 455, 258, 44, 55, 499, 93, 54, 77, 173, 24, 278, 365, 283, 627, 19, 415, 107, 385, 205, 79, 46,12 198, 515, 329,1 113,2 420, 37,16 612
"RYLAH, Joan", 9, 61, 43, 62, 6, 62, 21, 57, 90, 43, 25, 52, 85, 20, 31, 35, 26, 26, 4, 18, 18, 10, 46, 61, 29, 6, 52, 7, 16, 11, 101, 4, 39, 9, 24, 46, 75, 23, 59, 16, 13, 208, 117, 7, 8, 52, 34, 16, 23, 33, 4, 44, 50, 49, 101, 8, 91, 35, 129, 68, 21, 19,2 558, 95, 77, 183, 515, 8,3 436
Liberal Party, 110, 580, 262, 663, 74, 489, 371,1 072,1 410, 755, 694, 749,1 150, 106, 186, 250, 432, 307, 52, 202, 142, 81, 202,1 396, 144, 140, 497, 79, 72, 167,1 072, 68, 424, 106, 341, 222, 639, 135, 557, 99, 69,1 048, 773, 96, 98, 987, 211, 151, 245, 409, 71, 555, 683, 565,1 352, 52, 931, 303,1 088, 626, 178, 188,27 176,1 199, 597,1 996,5 008, 89,36 065
"HALKETT, Cherie", 0, 3, 0, 5, 1, 1, 1, 3, 7, 2, 1, 1, 2, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 2, 1, 0, 3, 0, 1, 0, 3, 0, 2, 0, 0, 0, 4, 1, 0, 0, 0, 3, 5, 2, 0, 2, 0, 0, 2, 1, 0, 0, 1, 2, 3, 1, 3, 2, 3, 1, 2, 3, 84, 1, 0, 7, 19, 1, 112
"HONEY, Steven", 0, 3, 1, 3, 0, 3, 5, 5, 10, 7, 5, 2, 6, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 6, 0, 0, 2, 0, 0, 1, 4, 0, 3, 0, 1, 1, 1, 1, 1, 0, 0, 3, 9, 0, 2, 2, 2, 0, 6, 2, 0, 1, 1, 1, 5, 2, 6, 1, 3, 2, 0, 2, 124, 4, 2, 11, 22, 1, 164
T4T-Tasmanians 4 Tasmania, 0, 6, 1, 8, 1, 4, 6, 8, 17, 9, 6, 3, 8, 0, 1, 0, 1, 2, 1, 2, 0, 0, 0, 8, 1, 0, 5, 0, 1, 1, 7, 0, 5, 0, 1, 1, 5, 2, 1, 0, 0, 6, 14, 2, 2, 4, 2, 0, 8, 3, 0, 1, 2, 3, 8, 3, 9, 3, 6, 3, 2, 5, 208, 5, 2, 18, 41, 2, 276
"BROAD, Shane", 16, 102, 18, 97, 9, 41, 74, 178, 228, 128, 91, 120, 152, 4, 22, 11, 72, 50, 15, 25, 19, 10, 5, 221, 4, 16, 82, 5, 7, 42, 189, 15, 34, 14, 35, 22, 84, 22, 95, 13, 3, 43, 103, 13, 28, 113, 26, 10, 18, 69, 1, 111, 137, 129, 347, 12, 234, 24, 134, 76, 15, 16,4 049, 174, 92, 311, 692, 18,5 336
"BULLE, Themba", 2, 156, 14, 115, 6, 58, 19, 59, 77, 37, 35, 24, 48, 2, 27, 8, 10, 3, 4, 37, 20, 8, 7, 79, 3, 4, 98, 5, 10, 8, 75, 4, 30, 12, 46, 8, 121, 17, 74, 12, 2, 51, 107, 9, 1, 26, 14, 13, 16, 29, 6, 11, 25, 27, 47, 22, 41, 36, 94, 70, 17, 20,2 066, 62, 54, 183, 378, 14,2 757
"DOW, Anita", 3, 202, 42, 193, 13, 125, 18, 117, 186, 92, 94, 87, 143, 6, 45, 14, 37, 22, 3, 73, 25, 12, 15, 138, 18, 13, 184, 15, 11, 13, 158, 5, 63, 24, 74, 28, 207, 32, 166, 24, 10, 99, 210, 12, 16, 85, 20, 31, 19, 67, 6, 61, 73, 65, 142, 18, 87, 68, 249, 139, 38, 32,4 287, 158, 102, 307, 766, 17,5 637
"KIDD, Danielle", 6, 64, 6, 57, 4, 57, 22, 76, 100, 65, 44, 38, 93, 1, 10, 9, 10, 13, 5, 25, 8, 4, 6, 62, 2, 5, 42, 8, 2, 3, 50, 3, 39, 5, 11, 8, 60, 17, 45, 5, 1, 23, 56, 4, 3, 39, 8, 7, 5, 20, 3, 22, 29, 25, 89, 6, 80, 14, 76, 52, 8, 13,1 673, 65, 35, 85, 242, 13,2 113
"ROBERTS, Wayne", 2, 26, 5, 12, 1, 3, 16, 112, 139, 88, 71, 62, 165, 1, 3, 2, 11, 2, 4, 4, 0, 2, 5, 99, 1, 6, 17, 1, 2, 3, 31, 2, 18, 3, 3, 4, 13, 5, 5, 3, 1, 12, 18, 2, 5, 77, 7, 1, 6, 5, 2, 24, 16, 27, 44, 2, 39, 5, 44, 16, 0, 11,1 316, 63, 30, 103, 191, 6,1 709
