Candidates,Austins Ferry,Battery Point,Battery Point West,Cascades,Chigwell,Claremont,Collinsvale,Dynnyrne,Fern Tree,Glenorchy,Glenorchy Central,Goodwood,Hobart City,Kingston (Clark),Lenah Valley,Lower Sandy Bay,Lutana,Merton,Moonah,Moonah East,Moonah North,Mount Nelson,Mount Stuart,New Town,New Town West,North Hobart Central,Roseneath,Rosetta,Sandfly (Clark),Sandy Bay,Sandy Bay Beach,South Hobart,Taroona,Waimea Heights,West Hobart,West Hobart Central,West Hobart South,Windermere,Total Ordinary Votes,Out of Division Votes,Mobile Votes,Postal Votes,Pre-Poll Votes,Provisional Votes,Total
"BARNETT, Alan", 11, 4, 3, 5, 8, 20, 0, 3, 0, 27, 12, 4, 5, 0, 10, 1, 4, 16, 7, 7, 9, 7, 4, 5, 7, 5, 4, 0, 4, 6, 3, 7, 2, 2, 7, 2, 9, 4, 234, 37, 1, 24, 49, 2, 347
"NEWITT, Rob", 11, 3, 2, 6, 8, 22, 6, 6, 0, 25, 11, 2, 7, 1, 9, 3, 8, 15, 7, 16, 17, 4, 3, 2, 10, 9, 14, 0, 6, 4, 1, 2, 8, 2, 1, 9, 1, 6, 267, 26, 7, 22, 40, 0, 362
T4T-Tasmanians 4 Tasmania, 22, 7, 5, 11, 16, 42, 6, 9, 0, 52, 23, 6, 12, 1, 19, 4, 12, 31, 14, 23, 26, 11, 7, 7, 17, 14, 18, 0, 10, 10, 4, 9, 10, 4, 8, 11, 10, 10, 501, 63, 8, 46, 89, 2, 709
"BENNETT, Lorraine", 40, 6, 11, 10, 34, 98, 16, 8, 6, 67, 25, 9, 10, 10, 31, 8, 15, 44, 20, 26, 37, 16, 6, 15, 21, 13, 32, 14, 12, 16, 9, 9, 11, 5, 7, 15, 9, 32, 773, 169, 7, 83, 152, 6,1 190
"Shooters, Fishers, Farmers Tas", 40, 6, 11, 10, 34, 98, 16, 8, 6, 67, 25, 9, 10, 10, 31, 8, 15, 44, 20, 26, 37, 16, 6, 15, 21, 13, 32, 14, 12, 16, 9, 9, 11, 5, 7, 15, 9, 32, 773, 169, 7, 83, 152, 6,1 190
"BACON, Scott", 356, 84, 109, 99, 355, 706, 81, 107, 51, 812, 375, 170, 104, 79, 399, 141, 207, 469, 352, 276, 334, 134, 118, 142, 296, 249, 198, 113, 27, 140, 49, 119, 144, 60, 130, 226, 113, 304,8 228, 624, 183, 879,1 815, 69,11 798
"COX, Tim", 71, 53, 44, 50, 51, 104, 24, 72, 24, 137, 68, 18, 51, 23, 177, 78, 74, 83, 106, 72, 92, 92, 109, 80, 172, 123, 29, 28, 17, 98, 32, 69, 79, 44, 68, 146, 84, 48,2 790, 257, 49, 262, 483, 19,3 860
"HADDAD, Ella", 73, 75, 66, 113, 84, 161, 22, 95, 47, 191, 79, 33, 96, 54, 336, 60, 79, 142, 96, 136, 162, 86, 129, 158, 230, 216, 49, 47, 20, 73, 25, 116, 156, 47, 113, 286, 132, 57,4 140, 324, 46, 189, 554, 35,5 288
"OGILVIE, Madeleine", 117, 48, 55, 85, 96, 188, 23, 78, 42, 171, 92, 42, 59, 40, 153, 99, 54, 122, 109, 65, 102, 120, 56, 86, 145, 101, 41, 25, 9, 94, 48, 116, 146, 58, 44, 103, 54, 65,3 151, 287, 60, 263, 549, 30,4 340
"SHERLOCK, Zelinda", 34, 21, 29, 45, 47, 79, 9, 29, 11, 78, 47, 34, 23, 22, 73, 33, 46, 65, 41, 70, 80, 46, 17, 37, 63, 50, 17, 16, 8, 33, 13, 79, 25, 32, 34, 45, 51, 44,1 526, 120, 30, 83, 221, 18,1 998
Australian Labor Party, 651, 281, 303, 392, 633,1 238, 159, 381, 175,1 389, 661, 297, 333, 218,1 138, 411, 460, 881, 704, 619, 770, 478, 429, 503, 906, 739, 334, 229, 81, 438, 167, 499, 550, 241, 389, 806, 434, 518,19 835,1 612, 368,1 676,3 622, 171,27 284
"BENHAM, Aaron", 2, 11, 10, 19, 1, 7, 0, 9, 8, 12, 8, 0, 13, 4, 16, 10, 3, 7, 10, 8, 8, 6, 7, 4, 8, 22, 0, 1, 2, 10, 3, 16, 5, 9, 8, 25, 17, 7, 316, 54, 3, 34, 56, 2, 465
"BURNET, Helen", 9, 24, 24, 74, 8, 18, 11, 45, 38, 23, 12, 2, 46, 15, 64, 25, 11, 16, 25, 25, 18, 42, 40, 26, 52, 73, 1, 7, 5, 27, 15, 66, 55, 17, 28, 74, 51, 6,1 118, 107, 14, 86, 201, 6,1 532
"FITZPATRICK, Mel", 4, 11, 8, 35, 5, 12, 4, 16, 11, 19, 10, 1, 23, 15, 27, 6, 11, 6, 10, 18, 21, 18, 11, 13, 21, 25, 7, 2, 2, 21, 5, 23, 26, 11, 24, 19, 15, 1, 517, 72, 3, 56, 82, 3, 733
"KOKKORIS, Rose", 7, 11, 11, 11, 3, 9, 3, 7, 15, 14, 8, 4, 23, 14, 37, 10, 12, 10, 11, 9, 13, 9, 7, 14, 14, 20, 2, 4, 3, 10, 5, 16, 13, 7, 16, 23, 10, 5, 420, 52, 3, 36, 88, 4, 603
"O'CONNOR, Cassy", 46, 140, 149, 355, 42, 97, 26, 202, 188, 132, 86, 22, 162, 64, 330, 152, 93, 79, 154, 127, 127, 238, 169, 195, 249, 287, 25, 27, 49, 168, 54, 325, 371, 106, 180, 365, 274, 31,5 886, 589, 70, 433,1 057, 60,8 095
Tasmanian Greens, 68, 197, 202, 494, 59, 143, 44, 279, 260, 200, 124, 29, 267, 112, 474, 203, 130, 118, 210, 187, 187, 313, 234, 252, 344, 427, 35, 41, 61, 236, 82, 446, 470, 150, 256, 506, 367, 50,8 257, 874, 93, 645,1 484, 75,11 428
"ARCHER, Elise", 322, 145, 123, 104, 168, 386, 45, 184, 39, 430, 198, 69, 85, 96, 400, 347, 141, 250, 297, 191, 217, 261, 129, 171, 312, 141, 109, 72, 48, 331, 176, 172, 194, 248, 107, 270, 100, 129,7 207, 632, 242, 903,1 603, 40,10 627
"BEHRAKIS, Simon", 41, 49, 45, 30, 32, 71, 9, 49, 26, 85, 39, 15, 22, 29, 106, 128, 33, 48, 48, 48, 49, 69, 24, 51, 63, 50, 16, 15, 9, 69, 44, 43, 42, 55, 25, 50, 25, 15,1 667, 169, 36, 139, 295, 11,2 317
"HICKEY, Sue", 173, 114, 91, 82, 112, 277, 34, 112, 21, 238, 137, 38, 64, 61, 273, 244, 74, 175, 123, 94, 123, 144, 93, 111, 208, 131, 60, 62, 31, 226, 124, 102, 130, 157, 77, 191, 85, 97,4 689, 571, 178, 593,1 083, 28,7 142
"JOHNSON, Kristy", 156, 22, 14, 17, 106, 248, 29, 19, 9, 234, 105, 36, 19, 24, 75, 42, 60, 109, 97, 63, 110, 24, 21, 32, 41, 27, 67, 38, 5, 27, 21, 21, 28, 25, 18, 39, 21, 107,2 156, 227, 75, 232, 524, 20,3 234
"YOUNG, Dean", 46, 12, 14, 8, 24, 56, 5, 16, 5, 74, 39, 11, 13, 13, 45, 40, 20, 22, 29, 25, 41, 13, 6, 23, 21, 19, 10, 7, 10, 20, 17, 9, 24, 13, 17, 28, 16, 20, 831, 106, 42, 104, 172, 5,1 260
Liberal Party, 738, 342, 287, 241, 442,1 038, 122, 380, 100,1 061, 518, 169, 203, 223, 899, 801, 328, 604, 594, 421, 540, 511, 273, 388, 645, 368, 262, 194, 103, 673, 382, 347, 418, 498, 244, 578, 247, 368,16 550,1 705, 573,1 971,3 677, 104,24 580
