Candidates,Adventure Bay,Alonnah,Barnes Bay,Bellerive,Blackmans Bay,Cambridge,Clarence,Clarendon Vale,Cradoc,Cygnet,Dover,Franklin,Geeveston,Geilston Bay,Glen Huon,Howden,Howrah,Huonville,Judbury,Kettering,Kingston (Franklin),Kingston Beach,Lauderdale,Lindisfarne,Lindisfarne Village,Maranoa Heights,Margate,Middleton,Montagu Bay,Mornington,Mountain River,Old Beach,Ranelagh,Richmond,Risdon Vale,Rokeby,Sandfly (Franklin),Sandford,Seven Mile Beach,Snug,South Arm,Southport,Tranmere,Warrane,Woodbridge,Total Ordinary Votes,Out of Division Votes,Mobile Votes,Postal Votes,Pre-Poll Votes,Provisional Votes,Total
"HEXT, Brendon", 3, 5, 1, 29, 44, 26, 32, 39, 15, 42, 34, 21, 46, 49, 11, 12, 50, 66, 17, 18, 40, 28, 74, 28, 33, 37, 49, 6, 24, 33, 17, 50, 28, 29, 48, 63, 34, 60, 11, 47, 17, 6, 39, 77, 6,1 444, 250, 8, 179, 148, 12,2 041
"Shooters, Fishers, Farmers Tas", 3, 5, 1, 29, 44, 26, 32, 39, 15, 42, 34, 21, 46, 49, 11, 12, 50, 66, 17, 18, 40, 28, 74, 28, 33, 37, 49, 6, 24, 33, 17, 50, 28, 29, 48, 63, 34, 60, 11, 47, 17, 6, 39, 77, 6,1 444, 250, 8, 179, 148, 12,2 041
"ATKINSON, Richard", 1, 3, 2, 19, 43, 9, 22, 8, 3, 33, 4, 13, 9, 17, 2, 9, 12, 12, 8, 21, 42, 41, 33, 15, 25, 16, 33, 4, 16, 4, 4, 8, 11, 9, 8, 10, 15, 23, 3, 27, 10, 3, 13, 15, 10, 648, 90, 9, 45, 99, 5, 896
"EWIN, Holly", 4, 4, 1, 23, 43, 14, 21, 1, 6, 35, 6, 9, 12, 20, 2, 6, 24, 12, 2, 8, 35, 18, 35, 19, 16, 19, 30, 6, 17, 12, 8, 8, 12, 11, 7, 4, 12, 20, 8, 20, 16, 1, 12, 22, 7, 628, 104, 5, 68, 98, 6, 909
"HATFIELD, Lachlan", 4, 7, 0, 8, 21, 5, 16, 4, 2, 25, 5, 3, 4, 15, 0, 4, 18, 10, 1, 6, 25, 18, 25, 13, 14, 5, 13, 0, 5, 3, 7, 7, 7, 4, 5, 9, 11, 22, 7, 10, 5, 1, 8, 16, 6, 404, 46, 2, 29, 52, 3, 536
"LINCOLNE, Ross", 2, 6, 2, 19, 23, 5, 10, 9, 6, 26, 5, 8, 7, 18, 2, 7, 19, 11, 5, 13, 19, 15, 15, 7, 22, 12, 20, 3, 8, 10, 3, 10, 7, 5, 9, 8, 8, 21, 5, 13, 5, 0, 5, 19, 8, 460, 43, 3, 28, 54, 7, 595
"WOODRUFF, Rosalie", 20, 36, 11, 225, 348, 82, 186, 13, 97, 533, 69, 137, 106, 113, 40, 81, 154, 158, 32, 108, 242, 230, 203, 125, 156, 115, 242, 53, 139, 42, 77, 43, 113, 66, 32, 37, 147, 188, 71, 192, 86, 24, 147, 93, 139,5 551, 470, 22, 469, 742, 30,7 284
Tasmanian Greens, 31, 56, 16, 294, 478, 115, 255, 35, 114, 652, 89, 170, 138, 183, 46, 107, 227, 203, 48, 156, 363, 322, 311, 179, 233, 167, 338, 66, 185, 71, 99, 76, 150, 95, 61, 68, 193, 274, 94, 262, 122, 29, 185, 165, 170,7 691, 753, 41, 639,1 045, 51,10 220
"BARNSLEY, Kathryn", 8, 8, 15, 28, 89, 32, 51, 28, 4, 53, 11, 10, 19, 49, 8, 13, 58, 47, 4, 11, 87, 46, 56, 25, 51, 59, 55, 5, 35, 16, 11, 55, 33, 27, 26, 54, 21, 37, 17, 39, 17, 4, 46, 66, 17,1 451, 161, 19, 119, 156, 7,1 913
"CHONG, Heather", 3, 5, 1, 50, 58, 62, 53, 34, 9, 49, 12, 16, 18, 65, 3, 6, 76, 35, 6, 17, 48, 40, 78, 45, 57, 36, 52, 0, 37, 30, 13, 38, 25, 91, 35, 66, 15, 60, 33, 20, 37, 5, 74, 67, 8,1 588, 192, 17, 168, 162, 9,2 136
"MIDSON, Kevin", 10, 7, 1, 123, 93, 71, 161, 94, 15, 61, 44, 34, 76, 174, 10, 11, 213, 98, 11, 13, 92, 71, 123, 111, 124, 79, 88, 21, 80, 61, 23, 98, 51, 35, 131, 141, 28, 47, 47, 57, 37, 7, 117, 202, 25,3 216, 268, 36, 261, 302, 24,4 107
"O'BYRNE, David", 37, 37, 12, 258, 460, 239, 278, 171, 45, 191, 68, 86, 112, 379, 42, 57, 383, 198, 24, 66, 342, 274, 397, 273, 304, 294, 279, 39, 202, 142, 88, 287, 132, 123, 282, 290, 111, 216, 134, 178, 104, 15, 323, 414, 63,8 449, 856, 83, 766,1 024, 43,11 221
"STANDEN, Alison", 8, 11, 7, 166, 196, 84, 210, 73, 30, 81, 14, 46, 47, 179, 14, 22, 223, 96, 14, 24, 116, 107, 183, 130, 143, 113, 104, 17, 147, 58, 35, 136, 49, 55, 139, 130, 65, 88, 46, 56, 57, 11, 198, 186, 22,3 936, 392, 35, 316, 387, 21,5 087
Australian Labor Party, 66, 68, 36, 625, 896, 488, 753, 400, 103, 435, 149, 192, 272, 846, 77, 109, 953, 474, 59, 131, 685, 538, 837, 584, 679, 581, 578, 82, 501, 307, 170, 614, 290, 331, 613, 681, 240, 448, 277, 350, 252, 42, 758, 935, 135,18 640,1 869, 190,1 630,2 031, 104,24 464
"CHANDLER, Claire", 2, 4, 0, 45, 33, 25, 30, 13, 6, 25, 9, 9, 27, 27, 14, 3, 27, 34, 6, 4, 28, 28, 32, 33, 45, 29, 30, 5, 15, 14, 7, 33, 25, 11, 20, 17, 9, 16, 13, 11, 10, 3, 44, 29, 6, 856, 104, 14, 73, 102, 2,1 151
"DUFFY, Simon", 1, 4, 2, 10, 30, 8, 17, 10, 4, 18, 9, 6, 11, 17, 1, 7, 26, 11, 2, 8, 18, 20, 20, 13, 12, 35, 23, 3, 11, 11, 7, 16, 19, 12, 13, 21, 8, 6, 6, 8, 3, 1, 13, 23, 1, 525, 65, 9, 61, 71, 8, 739
"HODGMAN, Will", 70, 121, 20, 687,1 030, 704, 682, 225, 190, 502, 265, 205, 429, 735, 130, 173, 992, 561, 95, 190, 704, 647, 951, 525, 781, 657, 826, 92, 434, 273, 233, 612, 411, 391, 321, 388, 318, 447, 350, 427, 222, 47,1 081, 614, 125,19 883,2 046, 309,2 111,2 733, 102,27 184
"PETRUSMA, Jacquie", 1, 7, 0, 70, 102, 88, 96, 56, 25, 87, 40, 20, 80, 83, 19, 8, 134, 50, 19, 18, 88, 77, 162, 70, 67, 155, 93, 14, 37, 46, 25, 62, 58, 41, 68, 100, 33, 53, 34, 36, 35, 5, 123, 95, 8,2 588, 273, 48, 226, 322, 10,3 467
"STREET, Nic", 6, 13, 1, 34, 92, 29, 32, 9, 22, 59, 38, 21, 72, 32, 17, 19, 51, 90, 6, 19, 61, 68, 47, 21, 30, 40, 75, 9, 22, 12, 26, 19, 51, 18, 12, 12, 36, 27, 11, 42, 15, 13, 44, 26, 5,1 404, 140, 25, 119, 211, 8,1 907
Liberal Party, 80, 149, 23, 846,1 287, 854, 857, 313, 247, 691, 361, 261, 619, 894, 181, 210,1 230, 746, 128, 239, 899, 840,1 212, 662, 935, 916,1 047, 123, 519, 356, 298, 742, 564, 473, 434, 538, 404, 549, 414, 524, 285, 69,1 305, 787, 145,25 256,2 628, 405,2 590,3 439, 130,34 448
Total Formal Votes, 180, 278, 76,1 794,2 705,1 483,1 897, 787, 479,1 820, 633, 644,1 075,1 972, 315, 438,2 460,1 489, 252, 544,1 987,1 728,2 434,1 453,1 880,1 701,2 012, 277,1 229, 767, 584,1 482,1 032, 928,1 156,1 350, 871,1 331, 796,1 183, 676, 146,2 287,1 964, 456,53 031,5 500, 644,5 038,6 663, 297,71 173
Informal Ballot Papers, 4, 8, 1, 54, 104, 49, 51, 73, 20, 77, 37, 23, 74, 78, 16, 11, 106, 81, 14, 17, 67, 78, 114, 43, 80, 82, 67, 13, 50, 41, 27, 72, 52, 28, 91, 89, 25, 50, 28, 60, 33, 5, 72, 158, 14,2 337, 264, 53, 112, 203, 19,2 988
Total Ballot Papers, 184, 286, 77,1 848,2 809,1 532,1 948, 860, 499,1 897, 670, 667,1 149,2 050, 331, 449,2 566,1 570, 266, 561,2 054,1 806,2 548,1 496,1 960,1 783,2 079, 290,1 279, 808, 611,1 554,1 084, 956,1 247,1 439, 896,1 381, 824,1 243, 709, 151,2 359,2 122, 470,55 368,5 764, 697,5 150,6 866, 316,74 161
