PollingPlaceNm,Locality,Polling Place Address,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesSuburb,PremisesPostCode,PremisesState,LocationWithinPremise,AccessToLocation,Disabled Access
Blessington Upper,Blessington,"North Esk Memorial Hall, 3132 Blessington Rd, BLESSINGTON TAS 7212",North Esk Memorial Hall,3132 Blessington Rd,,Blessington,7212,TAS,,,Assistance
Branxholm,Branxholm,"Branxholm Community Hall, Stoke St, BRANXHOLM TAS 7261",Branxholm Community Hall,Stoke St,,Branxholm,7261,TAS,,,None
Bridport,Bridport,"Bridport Hall, Main St, BRIDPORT TAS 7262",Bridport Hall,Main St,,Bridport,7262,TAS,,,Assistance
Derby,Derby,"Derby Town Hall, Cnr Main & Krushka Sts, DERBY TAS 7264",Derby Town Hall,Cnr Main & Krushka Sts,,Derby,7264,TAS,,,None
Dilston,Dilston,"Dilston War Memorial Hall, 308 John Lees Dr, DILSTON TAS 7252",Dilston War Memorial Hall,308 John Lees Dr,,Dilston,7252,TAS,,,Assistance
East Launceston,East Launceston,"East Launceston Primary School - P&F Assoc., Oxford St, EAST LAUNCESTON TAS 7250",East Launceston Primary School - P&F Assoc.,Oxford St,,East Launceston,7250,TAS,Pavilion Site,,Assistance
George Town,George Town,"George Town Memorial Hall, 29-67 Macquarie St, GEORGE TOWN TAS 7253",George Town Memorial Hall,29-67 Macquarie St,,George Town,7253,TAS,,,Assistance
George Town South,George Town,"George Town South Primary School, 48-70 Franklin St, GEORGE TOWN TAS 7253",George Town South Primary School,48-70 Franklin St,,George Town,7253,TAS,,,Assistance
Gladstone,Gladstone,"Gladstone Hall, 1 Carr St, GLADSTONE TAS 7264",Gladstone Hall,1 Carr St,,Gladstone,7264,TAS,,,Assistance
Hadspen,Hadspen,"Hadspen Uniting Church Centre, 47 Main St, HADSPEN TAS 7290",Hadspen Uniting Church Centre,47 Main St,,Hadspen,7290,TAS,,,Assistance
Hillwood,Hillwood,"Hillwood Memorial Hall, 280 Jetty Rd, HILLWOOD TAS 7252",Hillwood Memorial Hall,280 Jetty Rd,,Hillwood,7252,TAS,,,Assistance
Inveresk,Invermay,"Invermay Primary School, 35-43 Mayne St, INVERMAY TAS 7248",Invermay Primary School,35-43 Mayne St,,Invermay,7248,TAS,,,Assistance
Invermay,Invermay,"St Finn Barr's School, 247 Invermay Rd, INVERMAY TAS 7248",St Finn Barr's School,247 Invermay Rd,,Invermay,7248,TAS,,,Assistance
Karoola,Karoola,"Karoola Hall, 1126 Pipers River Rd, KAROOLA TAS 7267",Karoola Hall,1126 Pipers River Rd,,Karoola,7267,TAS,,,Assistance
Kings Meadows,Kings Meadows,"Y.M.C.A. Centre, 8a Blaydon St, KINGS MEADOWS TAS 7249",Y.M.C.A. Centre,8a Blaydon St,,Kings Meadows,7249,TAS,,,Assistance
Lady Barron,Lady Barron,"Holloway Park Building, Barr St, LADY BARRON TAS 7255",Holloway Park Building,Barr St,,Lady Barron,7255,TAS,,,Assistance
Launceston Central,Launceston,"Chalmers Hall, 163 St John St, LAUNCESTON TAS 7250",Chalmers Hall,163 St John St,,Launceston,7250,TAS,,,Assistance
Launceston,Launceston,"Pilgrim Hall, Pilgrim Uniting Church, 36 Paterson St, LAUNCESTON TAS 7250",Pilgrim Hall,Pilgrim Uniting Church,36 Paterson St,Launceston,7250,TAS,,,None
Lebrina,Lebrina,"Lebrina Memorial Hall, 905 Golconda Rd, LEBRINA TAS 7254",Lebrina Memorial Hall,905 Golconda Rd,,Lebrina,7254,TAS,,,Assistance
Legana (Bass),Legana,"Legana Memorial Hall, 43 Fulton St, 2, LEGANA TAS 7277",Legana Memorial Hall,43 Fulton St,,Legana,7277,TAS,,,Assistance
Lilydale,Lilydale,"Lilydale Memorial Hall, 1949 Main Rd, LILYDALE TAS 7268",Lilydale Memorial Hall,1949 Main Rd,,Lilydale,7268,TAS,,,None
Mowbray,Mowbray,"Launceston Church Grammar School, Button St, MOWBRAY TAS 7248",Launceston Church Grammar School,Button St,,Mowbray,7248,TAS,Sinclair Trust Tower Building,,Assistance
Newnham,Newnham,"Launceston North Uniting Church, 128 George Town Rd, NEWNHAM TAS 7248",Launceston North Uniting Church,128 George Town Rd,,Newnham,7248,TAS,,,Assistance
Newstead,Newstead,"Police Citizens & Youth Club, 148 Abbott St, NEWSTEAD TAS 7250",Police Citizens & Youth Club,148 Abbott St,,Newstead,7250,TAS,,entrance off Wentworth St,Assistance
Norwood,Norwood,"Norwood Primary School, 103 Norwood Ave, NORWOOD TAS 7250",Norwood Primary School,103 Norwood Ave,,Norwood,7250,TAS,,,Assistance
Nunamara,Nunamara,"Nunamara  Hall, 39461 Tasman Hwy, NUNAMARA TAS 7259",Nunamara Hall,39461 Tasman Hwy,,Nunamara,7259,TAS,,,Assistance
Pipers River,Pipers River,"Pipers River Fire Station, 76 School Rd, PIPERS RIVER TAS 7252",Pipers River Fire Station,76 School Rd,,Pipers River,7252,TAS,,,Assistance
Prospect,Prospect,"St Patricks College, 282 Westbury Rd, PROSPECT TAS 7250",St Patricks College,282 Westbury Rd,,Prospect,7250,TAS,Gymnasium,,Assistance
Prospect Vale,Prospect Vale,"Residential Retirement  Village Clubrooms, 12 Casino Rise, PROSPECT VALE TAS 7250",Residential Retirement Village Clubrooms,12 Casino Rise,,Prospect Vale,7250,TAS,,,Assistance
Ravenswood,Ravenswood,"Ravenswood Heights Primary School, 27 Prossers Forest Rd, RAVENSWOOD TAS 7250",Ravenswood Heights Primary School,27 Prossers Forest Rd,,Ravenswood,7250,TAS,Gym,,Assistance
Ringarooma,Ringarooma,"Ringarooma Hall, Charles St, RINGAROOMA TAS 7263",Ringarooma Hall,Charles St,,Ringarooma,7263,TAS,,,Assistance
Riverside,Riverside,"Riverside High School, 354 West Tamar Hwy, RIVERSIDE TAS 7250",Riverside High School,354 West Tamar Hwy,,Riverside,7250,TAS,,,Assistance
Rocherlea,Rocherlea,"Brooks High School, 215 George Town Rd, ROCHERLEA TAS 7248",Brooks High School,215 George Town Rd,,Rocherlea,7248,TAS,,,Assistance
Scottsdale,Scottsdale,"St Barnabas' Church Hall, 55 King St, SCOTTSDALE TAS 7260",St Barnabas' Church Hall,55 King St,,Scottsdale,7260,TAS,,,None
South Launceston,South Launceston,"Launceston RSL, 313-315 Wellington St, SOUTH LAUNCESTON TAS 7249",Launceston RSL,313-315 Wellington St,,South Launceston,7249,TAS,,,Assistance
Five Ways,South Launceston,"St Mark's Church Hall, 6 Hobart Rd, SOUTH LAUNCESTON TAS 7249",St Mark's Church Hall,6 Hobart Rd,,South Launceston,7249,TAS,,,Assistance
