PollingPlaceNm,Locality,Polling Place Address,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesSuburb,PremisesPostCode,PremisesState,LocationWithinPremise,AccessToLocation,Disabled Access
Abbotsham,Abbotsham,"Abbotsham  Hall, 590 Castra Rd, ABBOTSHAM TAS 7321",Abbotsham Hall,590 Castra Rd,,Abbotsham,7321,TAS,Kitchen,,Assistance
Acton,Acton,"Burnie Child and Family Centre, 36 Thorne St, ACTON TAS 7320",Burnie Child and Family Centre,36 Thorne St,,Acton,7320,TAS,Hall,,Assistance
Boat Harbour,Boat Harbour,"Boat Harbour Primary School, 17386 Bass Hwy, BOAT HARBOUR TAS 7321",Boat Harbour Primary School,17386 Bass Hwy,,Boat Harbour,7321,TAS,Hall,,Assistance
Burnie,Burnie,"Burnie City Council Offices, 80  Wilson St, BURNIE TAS 7320",Burnie City Council Offices,80 Wilson St,,Burnie,7320,TAS,Atrium on ground floor,,Assistance
Calder,Calder,"Calder  Hall, 1320 Calder Rd, CALDER TAS 7325",Calder Hall,1320 Calder Rd,,Calder,7325,TAS,Main Area,,None
Cooee,Cooee,"Cooee Primary School, Bass Hwy, COOEE TAS 7320",Cooee Primary School,Bass Hwy,,Cooee,7320,TAS,Multi Purpose Room,,Assistance
Currie,Currie,"Currie Town Hall, Cnr Meech & George Sts, CURRIE TAS 7256",Currie Town Hall,Cnr Meech & George Sts,,Currie,7256,TAS,Town Hall and Supper Room,,Assistance
Devonport North West,Devonport,"Nixon St Primary School, 60 Nixon St, DEVONPORT TAS 7310",Nixon St Primary School,60 Nixon St,,Devonport,7310,TAS,Gymnasium,,Assistance
Devonport South,Devonport,"Reece High School, 41-43 Middle Rd, DEVONPORT TAS 7310",Reece High School,41-43 Middle Rd,,Devonport,7310,TAS,Staff Room,,Assistance
Devonport Central,Devonport,"St Johns Parish Hall, Fenton St, DEVONPORT TAS 7310",St Johns Parish Hall,Fenton St,,Devonport,7310,TAS,Hall,,Assistance
Devonport West,Devonport,"TasTafe, 20-36 Valley Rd, DEVONPORT TAS 7310",TasTafe,20-36 Valley Rd,,Devonport,7310,TAS,Canteen,,Assistance
Don,Don,"Don Memorial Hall, 17 Forth Rd, DON TAS 7310",Don Memorial Hall,17 Forth Rd,,Don,7310,TAS,Main Hall,,Assistance
East Devonport,East Devonport,"East Devonport Primary School, 19-31 Thomas St, DEVONPORT TAS 7310",East Devonport Primary School,19-31 Thomas St,,Devonport,7310,TAS,Multi Purpose Room,,Assistance
Edith Creek,Edith Creek,"Edith Creek Primary School, 1282 Trowutta Rd, EDITH CREEK TAS 7330",Edith Creek Primary School,1282 Trowutta Rd,,Edith Creek,7330,TAS,Foyer,,Assistance
Elliott,Elliott,"Elliott Community Centre, 829 Murchison Hwy, ELLIOTT TAS 7325",Elliott Community Centre,829 Murchison Hwy,,Elliott,7325,TAS,Main Hall,,None
Forest,Forest,"Forest Primary School, 422 Mengha Rd, FOREST TAS 7330",Forest Primary School,422 Mengha Rd,,Forest,7330,TAS,Multi Purpose Room,,Assistance
Forth,Forth,"Forth Primary School, 45 Wilmot Rd, FORTH TAS 7310",Forth Primary School,45 Wilmot Rd,,Forth,7310,TAS,Multi Purpose Room,,Assistance
Gawler,Gawler,"Gawler  Hall, 15 Top Gawler Rd, GAWLER TAS 7315",Gawler Hall,15 Top Gawler Rd,,Gawler,7315,TAS,Hall,,Assistance
Grassy,Grassy,"Grassy Club, Grassy Rd, GRASSY TAS 7256",Grassy Club,Grassy Rd,,Grassy,7256,TAS,Main Entertainment Room,,None
Havenview,Havenview,"Havenview Primary School, 15 Marriott St, BURNIE TAS 7320",Havenview Primary School,15 Marriott St,,Burnie,7320,TAS,Multi Purpose Room/Hall,,Assistance
