PollingPlaceName,Locality,Polling Place Address,PremiseName,PremiseAddress1,PremiseAddress2,PremiseLocality,PremisePostcode,PremiseState,LocationWithinPremise,AccessToLocation,Disabled Access
Austins Ferry,Austins Ferry,"St Virgil's College, 195 Main Rd, AUSTINS FERRY TAS 7011",St Virgil's College,195 Main Rd,,Austins Ferry,7011,TAS,,,None
Battery Point West,Battery Point,"Albuera Street Primary School, Albuera St, BATTERY POINT TAS 7004",Albuera Street Primary School,Albuera St,,Battery Point,7004,TAS,,,None
Chigwell,Chigwell,"Chigwell Barn, 10 Bucaan St, CHIGWELL TAS 7011",Chigwell Barn,10 Bucaan St,,Chigwell,7011,TAS,,,Assistance
Roseneath,Claremont,"Austins Ferry Primary School, 13 Brodie St, CLAREMONT TAS 7011",Austins Ferry Primary School,13 Brodie St,,Claremont,7011,TAS,,,Full
Claremont,Claremont,"Claremont Girl Guides Hall, 3 Boxhill Rd, CLAREMONT TAS 7011",Claremont Girl Guides Hall,3 Boxhill Rd,,Claremont,7011,TAS,,,Assistance
Windermere,Claremont,"Windermere Primary School, 2 Cadbury Rd, CLAREMONT TAS 7011",Windermere Primary School,2 Cadbury Rd,,Claremont,7011,TAS,Hall / Multi Purpose Room,,Full
Collinsvale,Collinsvale,"Collinsvale Primary School, 508 Collinsvale Rd, COLLINSVALE TAS 7012",Collinsvale Primary School,508 Collinsvale Rd,,Collinsvale,7012,TAS,GP Room,,Assistance
Dynnyrne,Dynnyrne,"Princes Street Primary School, Randall St, SANDY BAY TAS 7005",Princes Street Primary School,Randall St,,Sandy Bay,7005,TAS,,,Assistance
Fern Tree,Fern Tree,"Fern Tree Fire Station, 7 Summerleas Rd, FERN TREE TAS 7054",Fern Tree Fire Station,7 Summerleas Rd,,Fern Tree,7054,TAS,,,None
Glenorchy,Glenorchy,"Glenorchy Primary School, Kensington St, GLENORCHY TAS 7010",Glenorchy Primary School,Kensington St,,Glenorchy,7010,TAS,Gym,,Assistance
Glenorchy Central,Glenorchy,"St Matthews Church, Cnr Tolosa St and Main Rd, GLENORCHY TAS 7010",St Matthews Church,Cnr Tolosa St and Main Rd,,Glenorchy,7010,TAS,,,Assistance
Merton,Glenorchy,"Tolosa Hall, 148 Tolosa St, GLENORCHY TAS 7010",Tolosa Hall,148 Tolosa St,,Glenorchy,7010,TAS,,,Assistance
Goodwood,Goodwood,"Goodwood Primary School, Elmsleigh Rd, MOONAH TAS 7009",Goodwood Primary School,Elmsleigh Rd,,Moonah,7009,TAS,Gym,,Full
