PollingPlaceName,Locality,Polling Place Address,PremiseName,PremiseAddress1,PremiseAddress2,PremiseLocality,PremisePostcode,PremiseState,LocationWithinPremise,AccessToLocation,Disabled Access
Clarence,Bellerive,"Clarence High School, 25 Wentworth St, BELLERIVE TAS 7018",Clarence High School,25 Wentworth St,,Bellerive,7018,TAS,ET Smith Hall (Gymnasium),,Assistance
Bellerive,Bellerive,"Clarence Police & Community Youth Club Inc, 10 Scott St, BELLERIVE TAS 7018",Clarence Police & Community Youth Club Inc,10 Scott St,,Bellerive,7018,TAS,Hall Area,,Assistance
Blackmans Bay,Blackmans Bay,"Blackmans Bay Primary School, 177 Roslyn Ave, BLACKMANS BAY TAS 7052",Blackmans Bay Primary School,177 Roslyn Ave,,Blackmans Bay,7052,TAS,,,Assistance
Adventure Bay,Bruny Island,"Adventure Bay Hall, Adventure Bay Rd, ADVENTURE BAY TAS 7150",Adventure Bay Hall,Adventure Bay Rd,,Adventure Bay,7150,TAS,,,None
Barnes Bay,Bruny Island,"Barnes Bay CWA Rooms, 678 Bruny Island Main Rd, NORTH BRUNY TAS 7150",Barnes Bay CWA Rooms,678 Bruny Island Main Rd,,North Bruny,7150,TAS,,,Assistance
Alonnah,Bruny Island,"Bruny Island District School, 15 School Rd, ALONNAH TAS 7150",Bruny Island District School,15 School Rd,,Alonnah,7150,TAS,,,Assistance
Cambridge,Cambridge,"Cambridge Primary School, 976 Cambridge Rd, CAMBRIDGE TAS 7170",Cambridge Primary School,976 Cambridge Rd,,Cambridge,7170,TAS,,,Assistance
Clarendon Vale,Clarendon Vale,"Clarendon Vale Neighbourhood Centre, 65 Mockridge Rd, CLARENDON VALE TAS 7019",Clarendon Vale Neighbourhood Centre,65 Mockridge Rd,,Clarendon Vale,7019,TAS,,,Assistance
Cradoc,Cradoc,"Cradoc Park, 8247 Channel Hwy, CRADOC TAS 7109",Cradoc Park,8247 Channel Hwy,,Cradoc,7109,TAS,,,Assistance
Cygnet,Cygnet,"Carmel Hall, 25 Mary St, CYGNET TAS 7112",Carmel Hall,25 Mary St,,Cygnet,7112,TAS,,,Assistance
Dover,Dover,"Dover District School, 6940 Huon Hwy, DOVER TAS 7117",Dover District School,6940 Huon Hwy,,Dover,7117,TAS,,,Assistance
