PollingPlaceName,Locality,Polling Place Address,PremiseName,PremiseAddress1,PremiseAddress2,PremiseLocality,PremisePostcode,PremiseState,LocationWithinPremise,AccessToLocation,Disabled Access
Avoca,Avoca,"Avoca Primary School, 26-30 St Pauls Pl, AVOCA TAS 7213",Avoca Primary School,26-30 St Pauls Pl,,Avoca,7213,TAS,Bottom Classroom,,None
Bagdad,Bagdad,"Bagdad Primary School, 46-48 School Rd, BAGDAD TAS 7030",Bagdad Primary School,46-48 School Rd,,Bagdad,7030,TAS,Hall,,None
Beaconsfield,Beaconsfield,"Beaconsfield Senior Citizens' Hall, Weld St, BEACONSFIELD TAS 7270",Beaconsfield Senior Citizens' Hall,Weld St,,Beaconsfield,7270,TAS,,,Assistance
Beauty Point,Beauty Point,"Beauty Point Uniting Church Hall, Beatty St, BEAUTY POINT TAS 7270",Beauty Point Uniting Church Hall,Beatty St,,Beauty Point,7270,TAS,,,Assistance
Bicheno,Bicheno,"Bicheno Beachfront, Sinclair St, BICHENO TAS 7215",Bicheno Beachfront,Sinclair St,,Bicheno,7215,TAS,Conference Room,,Assistance
Bothwell,Bothwell,"Bothwell Council Chambers, Alexander St, BOTHWELL TAS 7030",Bothwell Council Chambers,Alexander St,,Bothwell,7030,TAS,,,Assistance
Bracknell,Bracknell,"Bracknell War Memorial Hall, Louisa St, BRACKNELL TAS 7302",Bracknell War Memorial Hall,Louisa St,,Bracknell,7302,TAS,,,Assistance
Bridgewater,Bridgewater,"Brighton Civic Centre, 25 Green Point Rd, BRIDGEWATER TAS 7030",Brighton Civic Centre,25 Green Point Rd,,Bridgewater,7030,TAS,,,Assistance
Brighton,Brighton,"Brighton Primary School, 27 Downie St, BRIGHTON TAS 7030",Brighton Primary School,27 Downie St,,Brighton,7030,TAS,,,Assistance
Broadmarsh,Broadmarsh,"Broadmarsh Hall, 1218 Elderslie Rd, BROADMARSH TAS 7030",Broadmarsh Hall,1218 Elderslie Rd,,Broadmarsh,7030,TAS,,,Assistance
Campania,Campania,"Campania Hall, 45 Reeve St, CAMPANIA TAS 7026",Campania Hall,45 Reeve St,,Campania,7026,TAS,,,Assistance
