,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Votes,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidates,Avoca,Bagdad,Beaconsfield,Beauty Point,Bicheno,Bothwell,Bracknell,Bridgewater,Brighton,Broadmarsh,Campania,Campbell Town,Carrick,Chudleigh,Claude Road,Colebrook,Coles Bay,Copping,Cressy,Deloraine,Dodges Ferry,Dromedary,Dunalley,Elizabeth Town,Epping,Evandale,Exeter,Fingal,Forcett,Frankford,Gagebrook,Glengarry,Glenora,Granton,Gravelly Beach,Hagley,Kelso,Kempton,Lachlan,Legana (Lyons),Levendale,Longford,Lower Barrington,Magra,Mathinna,Maydena,Meander,Midway Point,Miena,Mole Creek,Molesworth,Moriarty,New Norfolk,New Norfolk North,Nubeena,Oatlands,Orford,Ouse,Perth,Pontville,Port Sorell,Primrose Sands,Railton,Ross,Sassafras,Scamander,Sheffield,Sidmouth,Sorell,St Helens,St Marys,Swansea,Taranna,Tea Tree,Triabunna,Tunnack,Wesley Vale,Westbury,Westerway,Wilmot,Total Ordinary Votes,Out of Division Votes,Mobile Votes,Postal Votes,Pre-Poll Votes,Provisional Votes,Total,,,,,,,,,,,,,,,,,,,,,
"KENT, Michael", 7, 22, 35, 18, 9, 9, 9, 74, 59, 6, 22, 22, 9, 9, 17, 11, 4, 5, 23, 59, 32, 16, 6, 10, 5, 15, 32, 4, 11, 1, 31, 12, 8, 14, 13, 5, 11, 5, 14, 23, 1, 59, 18, 22, 1, 5, 14, 26, 6, 5, 9, 7, 65, 40, 15, 5, 26, 9, 38, 8, 76, 12, 39, 12, 5, 16, 27, 5, 40, 22, 16, 16, 15, 5, 37, 2, 3, 38, 5, 5,1 472, 218, 22, 170, 87, 8,1 977,,,,,,,,,,,,,,,,,,,,,
"REYNOLDS, Chris", 0, 16, 24, 9, 8, 0, 8, 30, 21, 0, 5, 5, 8, 9, 9, 1, 1, 0, 10, 30, 15, 4, 2, 6, 0, 11, 23, 8, 4, 4, 11, 5, 4, 10, 9, 1, 4, 6, 8, 12, 1, 34, 6, 10, 0, 3, 3, 13, 3, 6, 3, 1, 31, 19, 7, 9, 0, 2, 26, 5, 40, 12, 16, 4, 3, 6, 15, 8, 33, 19, 13, 4, 7, 0, 2, 3, 7, 19, 6, 1, 741, 120, 7, 120, 48, 8,1 044,,,,,,,,,,,,,,,,,,,,,
"VERVAART, Bob", 2, 6, 27, 9, 6, 3, 3, 25, 18, 2, 5, 7, 4, 5, 4, 1, 0, 3, 8, 20, 22, 5, 1, 7, 0, 4, 18, 0, 1, 0, 8, 7, 3, 5, 12, 1, 3, 3, 3, 7, 4, 18, 11, 3, 1, 0, 2, 18, 2, 5, 2, 0, 33, 12, 8, 9, 2, 5, 20, 7, 17, 11, 9, 5, 0, 4, 9, 5, 19, 13, 8, 1, 5, 1, 4, 2, 1, 20, 3, 5, 572, 85, 4, 68, 32, 7, 768,,,,,,,,,,,,,,,,,,,,,
Jacqui Lambie Network, 9, 44, 86, 36, 23, 12, 20, 129, 98, 8, 32, 34, 21, 23, 30, 13, 5, 8, 41, 109, 69, 25, 9, 23, 5, 30, 73, 12, 16, 5, 50, 24, 15, 29, 34, 7, 18, 14, 25, 42, 6, 111, 35, 35, 2, 8, 19, 57, 11, 16, 14, 8, 129, 71, 30, 23, 28, 16, 84, 20, 133, 35, 64, 21, 8, 26, 51, 18, 92, 54, 37, 21, 27, 6, 43, 7, 11, 77, 14, 11,2 785, 423, 33, 358, 167, 23,3 789,,,,,,,,,,,,,,,,,,,,,
"BARNETT, Guy", 26, 67, 156, 117, 93, 29, 49, 136, 201, 35, 43, 86, 129, 52, 64, 18, 28, 24, 86, 412, 120, 32, 18, 71, 24, 167, 217, 24, 43, 14, 51, 53, 60, 66, 95, 45, 39, 41, 36, 220, 10, 349, 95, 95, 4, 11, 30, 101, 27, 70, 27, 42, 270, 148, 45, 74, 85, 61, 376, 72, 376, 32, 71, 34, 60, 46, 192, 88, 175, 134, 40, 106, 28, 27, 103, 19, 28, 229, 54, 29,7 150, 917, 73, 777, 517, 20,9 454,,,,,,,,,,,,,,,,,,,,,
"HIDDING, Rene", 13, 94, 121, 94, 110, 36, 15, 162, 255, 14, 68, 99, 45, 15, 58, 24, 43, 37, 38, 117, 212, 48, 50, 29, 28, 89, 115, 49, 64, 10, 77, 52, 42, 75, 48, 19, 46, 30, 41, 129, 24, 199, 90, 62, 4, 7, 10, 200, 20, 25, 31, 31, 196, 124, 118, 107, 94, 49, 186, 58, 344, 50, 77, 42, 48, 38, 149, 51, 310, 141, 40, 145, 52, 41, 95, 33, 50, 96, 33, 15,6 196, 887, 78, 680, 646, 17,8 504,,,,,,,,,,,,,,,,,,,,,
"HOWLETT, Jane", 10, 95, 64, 32, 36, 25, 16, 148, 299, 33, 82, 37, 28, 11, 18, 17, 11, 20, 29, 56, 201, 38, 47, 20, 12, 46, 72, 18, 52, 5, 72, 26, 24, 67, 18, 8, 17, 49, 29, 49, 8, 104, 33, 42, 0, 7, 9, 164, 8, 8, 21, 16, 146, 93, 44, 80, 44, 26, 99, 66, 164, 41, 39, 22, 18, 24, 57, 31, 229, 45, 16, 54, 33, 31, 68, 24, 15, 61, 10, 13,3 950, 532, 33, 348, 372, 24,5 259,,,,,,,,,,,,,,,,,,,,,
"SHELTON, Mark", 26, 55, 104, 72, 64, 91, 225, 106, 134, 13, 46, 70, 184, 75, 41, 15, 17, 18, 238, 402, 108, 23, 30, 98, 26, 179, 152, 35, 42, 25, 34, 40, 22, 36, 77, 118, 39, 22, 18, 115, 6, 576, 60, 26, 3, 1, 77, 79, 22, 68, 13, 36, 91, 68, 33, 69, 27, 41, 311, 51, 409, 28, 107, 43, 67, 31, 146, 69, 107, 67, 19, 61, 32, 17, 28, 22, 28, 315, 16, 39,6 544, 734, 70, 598, 399, 29,8 374,,,,,,,,,,,,,,,,,,,,,
"TUCKER, John", 29, 36, 53, 31, 54, 24, 13, 78, 97, 7, 18, 34, 18, 9, 11, 10, 8, 7, 20, 41, 54, 17, 12, 11, 7, 57, 56, 41, 13, 4, 25, 23, 12, 23, 17, 8, 5, 17, 18, 31, 4, 78, 23, 23, 4, 8, 3, 52, 8, 16, 7, 11, 53, 42, 15, 27, 23, 21, 95, 31, 165, 17, 38, 14, 12, 55, 48, 20, 80, 217, 65, 55, 9, 7, 20, 8, 8, 46, 9, 14,2 500, 349, 25, 251, 269, 10,3 404,,,,,,,,,,,,,,,,,,,,,
