Candidates,Adventure Bay,Alonnah,Bellerive,Blackmans Bay,Blackmans Bay South,Cambridge,Clarence,Clarendon Vale,Cradoc,Cygnet,Dover,Franklin,Geeveston,Geilston Bay,Glen Huon,Howden,Howrah,Huonville,Judbury,Kettering,Kingston,Kingston Beach,Lauderdale,Lindisfarne,Lindisfarne Village,Maranoa Heights,Margate,Middleton,Montagu Bay,Mornington,Mountain River,Ranelagh,Risdon Vale,Rokeby,Sandfly,Sandford,Seven Mile Beach,Snug,South Arm,Southport,Tranmere,Warrane,Woodbridge,Total Ordinary Votes,Hobart Pre-Poll,Kingston Pre-Poll,Rosny Pre-Poll,Postal,Mobile,Out of Division,Out of Division Pre-Poll,Provisional,Total
"BROADBY, Shane",3,2,7,11,7,19,11,20,9,23,12,16,6,12,8,2,7,31,4,7,19,13,22,14,10,13,33,2,9,8,9,9,28,19,16,20,12,26,8,2,8,18,3,538,10,44,30,79,3,64,14,6,788
"BYFIELD, Rebecca",1,5,6,8,5,7,8,12,6,26,10,8,14,9,6,4,13,21,4,6,13,12,16,4,5,17,20,2,8,3,6,10,18,19,8,20,5,13,9,3,11,16,3,420,7,52,24,64,3,48,7,2,627
"CAIRNS, Robert",2,2,5,11,5,9,9,6,2,18,8,11,10,11,6,3,9,18,5,13,6,7,16,10,9,9,30,5,1,7,8,17,20,19,15,15,3,17,8,7,11,17,3,423,14,27,23,44,1,41,15,6,594
"Shooters, Fishers, Farmers TAS",6,9,18,30,17,35,28,38,17,67,30,35,30,32,20,9,29,70,13,26,38,32,54,28,24,39,83,9,18,18,23,36,66,57,39,55,20,56,25,12,30,51,9,"1,381",31,123,77,187,7,153,36,14,"2,009"
"CORDOVER, Gideon",3,13,14,10,17,9,13,1,2,16,5,1,10,11,1,5,15,16,3,6,19,18,16,9,8,13,18,3,16,4,6,4,10,6,15,15,8,13,9,0,6,12,8,407,15,48,14,42,0,64,9,7,606
"DARKO, Kit",2,2,14,14,11,15,20,4,4,23,5,7,5,22,1,7,23,13,2,9,23,14,34,13,7,9,18,5,8,4,3,9,4,18,8,20,7,10,6,0,9,23,12,467,24,41,25,36,3,63,7,5,671
"HARRISON, Phoenix",4,11,10,18,18,9,15,6,1,26,6,8,8,7,3,4,19,14,5,8,28,20,19,10,16,14,25,1,11,5,8,7,5,8,12,22,13,20,10,4,16,26,8,508,23,58,33,44,3,64,9,3,745
"VERRIER, Bridget",1,8,16,26,13,27,23,5,1,21,8,1,9,23,6,6,31,14,5,7,25,27,41,17,21,18,34,4,15,8,13,9,10,12,15,36,17,15,14,3,21,27,4,657,24,52,52,54,4,77,12,7,939
"WOODRUFF, Rosalie",46,74,217,289,177,136,226,21,104,562,65,153,102,221,56,85,232,188,46,128,276,319,314,227,261,149,311,68,212,36,121,135,57,43,152,247,153,225,159,27,249,117,144,"7,130",362,818,517,645,27,493,109,60,"10,161"
Tasmanian Greens,56,108,271,357,236,196,297,37,112,648,89,170,134,284,67,107,320,245,61,158,371,398,424,276,313,203,406,81,262,57,151,164,86,87,202,340,198,283,198,34,301,205,176,"9,169",448,"1,017",641,821,37,761,146,82,"13,122"
