PollingPlaceName,Locality,PremiseName,PremiseAddress1,PremiseAddress2,PremiseLocality,PremiseState,PremisePostcode,LocationWithinPremise,AccessToLocation,Disabled Access
Beaconsfield,Beaconsfield,Beaconsfield Senior Citizens' Hall,Weld St,,Beaconsfield,TAS,7270,,Beaconsfield Community Centre,Assistance
Beauty Point,Beauty Point,Beauty Point Uniting Church Hall,7 Beatty St,,Beauty Point,TAS,7270,,,Assistance
Branxholm,Branxholm,Branxholm Community Hall,Stoke St,,Branxholm,TAS,7261,,,None
Bridport,Bridport,Bridport Hall,Main St,,Bridport,TAS,7262,,,Assistance
Dilston,Dilston,Dilston War Memorial Hall,308 John Lees Dr,,Dilston,TAS,7252,,,Assistance
East Launceston,East Launceston,East Launceston Primary School - P&F Assoc.,Oxford St,,East Launceston,TAS,7250,pavilion site,,Assistance
Exeter,Exeter,Exeter High School,28 Glen Ard Mohr Rd,,Exeter,TAS,7275,gymnasium,,Assistance
George Town,George Town,George Town Memorial Hall,29-67 Macquarie St,,George Town,TAS,7253,,,Assistance
George Town South,George Town,George Town South Primary School,48-70 Franklin St,,George Town,TAS,7253,,,Assistance
Gladstone,Gladstone,Gladstone Hall,1 Carr St,,Gladstone,TAS,7264,,,Assistance
Glengarry,Glengarry,St Canice Church Hall,33 Glengarry Rd,,Glengarry,TAS,7275,,,Assistance
Gravelly Beach,Gravelly Beach,Gravelly Beach Main Hall,"Edinburgh Park, off Gravelly Beach Rd",,Gravelly Beach,TAS,7276,,,Assistance
Hillwood,Hillwood,Hillwood Memorial Hall,280 Jetty Rd,,Hillwood,TAS,7252,,,Assistance
Inveresk,Invermay,Invermay Primary School,35-43 Mayne St,,Invermay,TAS,7248,,also via Holbrook St,Assistance
Invermay,Invermay,St Finn Barr's School,247 Invermay Rd,,Invermay,TAS,7248,,,Assistance
Karoola,Karoola,Karoola Hall,1126 Pipers River Rd,,Karoola,TAS,7267,,,Assistance
Kelso,Kelso,Kelso Community Centre,Foreshore Rd,,Kelso,TAS,7270,,,Assistance
Kings Meadows,Kings Meadows,Y.M.C.A. Centre,8a Blaydon St,,Kings Meadows,TAS,7249,,,Assistance
Lady Barron,Lady Barron,Lady Barron Memorial Hall,Main Rd,,Lady Barron,TAS,7255,,,Assistance
Launceston Central,Launceston,Chalmers Hall,163 St John St,,Launceston,TAS,7250,,,Assistance
Launceston,Launceston,Pilgrim Hall,Pilgrim Uniting Church,36 Paterson St,Launceston,TAS,7250,,,None
Lebrina,Lebrina,Lebrina Memorial Hall,905 Golconda Rd,,Lebrina,TAS,7254,,,Assistance
Legana,Legana,Legana Memorial Hall,43 Fulton St,,Legana,TAS,7277,,,Assistance
Lilydale,Lilydale,Lilydale Memorial Hall,1949 Main Rd,,Lilydale,TAS,7268,,,None
Mowbray,Mowbray,Launceston Church Grammar School,Button St,,Mowbray,TAS,7248,Sinclair Trust Tower Building,,Assistance
Newnham,Newnham,Launceston North Uniting Church,128 George Town Rd,,Newnham,TAS,7248,,,Assistance
Newstead,Newstead,Police Citizens & Youth Club,148 Abbott St,,Newstead,TAS,7250,basketball court,entrance off Wentworth St,Assistance
Norwood,Norwood,Norwood Primary School,103 Norwood Ave,,Norwood,TAS,7250,hall,,Assistance
Nunamara,Nunamara,Nunamara Hall,39461 Tasman Hwy,,Nunamara,TAS,7259,,,Assistance
Pipers River,Pipers River,Pipers River Fire Station,76 School Rd,,Pipers River,TAS,7252,,,Assistance
Prospect,Prospect,St Patricks College,282 Westbury Rd,,Prospect,TAS,7250,Barrett Gymnasium,,Assistance
Ravenswood,Ravenswood,Ravenswood Heights Primary School,27 Prossers Forest Rd,,Ravenswood,TAS,7250,gymnasium,,Assistance
Ringarooma,Ringarooma,Ringarooma Hall,Charles St,,Ringarooma,TAS,7263,,,Assistance
Riverside,Riverside,Riverside High School,354 West Tamar Hwy,,Riverside,TAS,7250,gymnasium,,Assistance
Rocherlea,Rocherlea,Brooks High School,215 George Town Rd,,Rocherlea,TAS,7248,,,Assistance
Scottsdale,Scottsdale,St Barnabas' Church Hall,55 King St,,Scottsdale,TAS,7260,,,None
Sidmouth,Sidmouth,Sidmouth Community Centre,255 Batman Hwy,,Sidmouth,TAS,7270,,,Assistance
South Launceston,South Launceston,Launceston RSL,313-315 Wellington St,,South Launceston,TAS,7249,Flanders Room,,Assistance
Five Ways,South Launceston,St Mark's Church Hall,6 Hobart Rd,,South Launceston,TAS,7249,,,Assistance
St Leonards,St Leonards,St Leonards Primary School,330-342 St Leonards Rd,,St Leonards,TAS,7250,Roberts Room,car park access via Station Rd,Assistance
Summerhill,Summerhill,Summerdale Community Centre,82-84 Stanley St,,Summerhill,TAS,7250,,,Assistance
Riverside West,Trevallyn,Trevallyn Life Church,34 Pitt Ave,,Trevallyn,TAS,7250,auditorium,,Assistance
Trevallyn,Trevallyn,Trevallyn Primary School,55 Gorge Rd,,Trevallyn,TAS,7250,multipurpose room,,Full
Waverley,Waverley,Waverley Primary School,6 Naroo St,,Waverley,TAS,7250,,,Assistance
West Launceston,West Launceston,West Launceston Primary School,24-38 Basin Rd,,West Launceston,TAS,7250,,,Assistance
Weymouth,Weymouth,Weymouth Hall,18 Major St,,Weymouth,TAS,7252,,,Assistance
Whitemark,Whitemark,Whitemark Lions Club,James St,,Whitemark,TAS,7255,,,Assistance
Winnaleah,Winnaleah,Winnaleah Memorial Hall,20 Main St,,Winnaleah,TAS,7263,,,None
Youngtown,Youngtown,Youngtown Primary School,Cnr Victoria & Napier St,,Youngtown,TAS,7249,general purpose hall,,Assistance
