PollingPlaceName,Locality,PremiseName,PremiseAddress1,PremiseAddress2,PremiseLocality,PremiseState,PremisePostcode,LocationWithinPremise,AccessToLocation,Disabled Access
Acton,Acton,Burnie Child and Family Centre,36 Thorne St,,Acton,TAS,7320,hall,,Assistance
Boat Harbour,Boat Harbour,Boat Harbour Primary School,17386 Bass Hwy,,Boat Harbour,TAS,7321,hall,,Assistance
Burnie,Burnie,Burnie City Council Offices,80 Wilson St,,Burnie,TAS,7320,atrium on ground floor,,Assistance
Calder,Calder,Calder Hall,1320 Calder Rd,,Calder,TAS,7325,main area,,None
Cooee,Cooee,Cooee Primary School,Bass Hwy,,Cooee,TAS,7320,multipurpose room,,Assistance
Currie,Currie,Currie Town Hall,Cnr Meech & George Sts,,Currie,TAS,7256,supper room,,Assistance
Devonport North West,Devonport,Nixon St Primary School,60 Nixon St,,Devonport,TAS,7310,gymnasium,,Assistance
Devonport South,Devonport,Reece High School,41-43 Middle Rd,,Devonport,TAS,7310,staff room,,Assistance
Devonport Central,Devonport,St Johns Parish Hall,Fenton St,,Devonport,TAS,7310,,,Assistance
Devonport West,Devonport,TasTafe,20-36 Valley Rd,,Devonport,TAS,7310,canteen,,Assistance
Don,Don,Don Memorial Hall,17 Forth Rd,,Don,TAS,7310,,,Assistance
East Devonport,East Devonport,East Devonport Primary School,19-31 Thomas St,,East Devonport,TAS,7310,multipurpose room,,Assistance
Edith Creek,Edith Creek,Edith Creek Primary School,1282 Trowutta Rd,,Edith Creek,TAS,7330,foyer,,Assistance
Elliott,Elliott,Elliott Community Centre,829 Murchison Hwy,,Elliott,TAS,7325,main hall,,None
Forest,Forest,Forest Primary School,422 Mengha Rd,,Forest,TAS,7330,multipurpose room,,Assistance
Forth,Forth,Forth Primary School,45 Wilmot Rd,,Forth,TAS,7310,multipurpose room,,Assistance
Gawler,Gawler,Gawler Hall,15 Top Gawler Rd,,Gawler,TAS,7315,,,Assistance
Grassy,Grassy,Grassy Club,Grassy Rd,,Grassy,TAS,7256,main entertainment room,,None
Havenview,Havenview,Havenview Primary School,15 Marriott St,,Havenview,TAS,7320,multipurpose room/hall,,Assistance
Heybridge,Heybridge,Blythe Heads Hall,1 Sice Ave,,Heybridge,TAS,7316,,,Assistance
Highclere,Highclere,Highclere Community Centre,1558 Ridgley Hwy,,Highclere,TAS,7321,front of hall,,None
Irishtown,Irishtown,Irishtown Sports Complex,602 Irishtown Rd,,Irishtown,TAS,7330,,,None
Latrobe,Latrobe,Latrobe Primary School,23 Lewis St,,Latrobe,TAS,7307,Enrichment Centre,Bradshaw St,Assistance
Marrawah,Marrawah,Marrawah Memorial Hall,844 Comeback Rd,,Marrawah,TAS,7330,,,Assistance
Melrose,Melrose,Melrose Memorial Hall,673 Melrose Rd,,Melrose,TAS,7310,,,Assistance
Montello,Montello,Montello Primary School,83 Bird St,,Montello,TAS,7320,hall,,Assistance
Moorleah,Moorleah,Moorleah Community Centre,720 Preolenna Rd,,Moorleah,TAS,7321,main hall,,Assistance
Moriarty,Moriarty,Moriarty Hall,1 Bonneys La,,Moriarty,TAS,7307,,,Assistance
