PollingPlaceNm,PremisesNm,PremisesAddress,PremisesSuburb
Adventure Bay,Adventure Bay Hall,Adventure Bay Rd,Adventure Bay
Alonnah,Bruny Island District School,15 School Rd,Alonnah
Clarence,Clarence High School,25 Wentworth St,Bellerive
Bellerive,Clarence Police & Community Youth Club Inc,10 Scott St,Bellerive
Blackmans Bay,Blackmans Bay Primary School,177 Roslyn Ave,Blackmans Bay
Blackmans Bay South,Illawarra Primary School,6 Tinderbox Rd,Blackmans Bay
Cambridge,Cambridge Primary School,976 Cambridge Rd,Cambridge
Clarendon Vale,Clarendon Vale Neighbourhood Centre,63 Mockridge Rd,Clarendon Vale
Cradoc,Cradoc Park,8247 Channel Hwy,Cradoc
Cygnet,Cygnet Town Hall,Mary St,Cygnet
Dover,Dover District School,6940 Huon Hwy,Dover
Franklin,Palais Theatre,3388 Huon Hwy,Franklin
Geeveston,Geeveston Primary School,63 Arve Rd,Geeveston
Geilston Bay,Lindisfarne North Primary School,271 East Derwent Hwy,Geilston Bay
Glen Huon,Glen Huon Primary School,801 Glen Huon Rd,Glen Huon
Howden,Howden Fire Station,Howden Rd,Howden
Howrah,Howrah Scout Hall,Howrah Rd,Howrah
Tranmere,Tranmere Hall,27 Tranmere Rd,Howrah
Huonville,Huonville Primary School,74 Wilmot Rd,Huonville
Judbury,Judbury Community Centre,1273 Glen Huon Rd,Judbury
Kettering,Kettering Community Centre,2963 Channel Hwy,Kettering
Kingston,Kingborough Council,15 Channel Hwy,Kingston
Maranoa Heights,Southern Christian College,150 Redwood Rd,Kingston
Kingston Beach,Kingston Beach Community Hall,20 Beach Rd,Kingston Beach
Lauderdale,Lauderdale Community Hall,528a South Arm Rd,Lauderdale
Lindisfarne,Lindisfarne Primary School,17 Loatta Rd,Lindisfarne
Lindisfarne Village,St Aidans Church Hall,54 Lincoln St,Lindisfarne
Margate,Margate Hall,1744 Channel Hwy,Margate
Middleton,South Channel Community Centre,McDowall St,Middleton
Montagu Bay,Montagu Bay Primary School,10 Conara Rd,Montagu Bay
Mornington,Citywide Baptist Church,400 Cambridge Rd,Mornington
Mountain River,Mountain River Memorial Hall,263 Mountain River Rd,Mountain River
Ranelagh,Ranelagh Soldiers Memorial Hall,40 Marguerite St,Ranelagh
Risdon Vale,Risdon Vale Primary School,2 Heather Rd,Risdon Vale
Rokeby,Emmanuel Christian School,1 Chipmans Rd,Rokeby
Sandfly,Sandfly Hall,811 Sandfly Rd,Sandfly
Sandford,Sandford Hall,949 South Arm Rd,Sandford
Seven Mile Beach,Ramada Resort,78 Surf Rd,Seven Mile Beach
Snug,Snug Primary School,2208 Channel Hwy,Snug
South Arm,South Arm Primary School,32 Harmony Lane,South Arm
Southport,Southport Community Centre,8606 Huon Hwy,Southport
Warrane,Warrane Primary School,213 Cambridge Rd,Warrane
Woodbridge,Woodbridge Hall,3445 Channel Hwy,Woodbridge
