PollingPlaceName,Locality,PremiseName,PremiseAddress1,PremiseAddress2,PremiseLocality,PremiseState,PremisePostcode,LocationWithinPremise,AccessToLocation,Disabled Access
Avoca,Avoca,Avoca War Memorial Hall,3 Falmouth St,,Avoca,TAS,7213,,,None
Bagdad,Bagdad,Bagdad Primary School,46-48 School Rd,,Bagdad,TAS,7030,hall,,None
Bicheno,Bicheno,Bicheno Beachfront,Sinclair St,,Bicheno,TAS,7215,conference room,,Assistance
Bothwell,Bothwell,Bothwell Council Chambers,Alexander St,,Bothwell,TAS,7030,,,Assistance
Bracknell,Bracknell,Bracknell Boys & Girls Club Building,Louisa St,,Bracknell,TAS,7302,,adjacent to Town Hall,None
Bridgewater,Bridgewater,Brighton Civic Centre,25 Green Point Rd,,Bridgewater,TAS,7030,,,Assistance
Brighton,Brighton,Brighton Primary School,27 Downie St,,Brighton,TAS,7030,hall,off admin area,Assistance
Broadmarsh,Broadmarsh,Broadmarsh Hall,1218 Elderslie Rd,,Broadmarsh,TAS,7030,,,Assistance
Campania,Campania,Campania Hall,45 Reeve St,,Campania,TAS,7026,,,Assistance
Campbell Town,Campbell Town,Campbell Town Town Hall,75 High St,,Campbell Town,TAS,7210,,,Assistance
Carlton,Carlton,South East Tasmania Salvos,225/227 Carlton River Rd,,Carlton,TAS,7173,,,None
Carrick,Carrick,Carrick Public Hall,29 Meander Valley Rd,,Carrick,TAS,7291,,,Assistance
Chudleigh,Chudleigh,Chudleigh Memorial Hall,54 Sorell St,,Chudleigh,TAS,7304,,,Assistance
Claude Road,Claude Road,Claude Road Memorial Hall,787 Claude Rd,,Claude Road,TAS,7306,,,None
Colebrook,Colebrook,Colebrook Memorial Hall,45 Richmond Street,,Colebrook,TAS,7027,,,None
Coles Bay,Coles Bay,Coles Bay Community Hall,Harold St,,Coles Bay,TAS,7215,,,None
Copping,Copping,Copping Hall,69 Allanby St,,Copping,TAS,7174,,,Assistance
Cressy,Cressy,Cressy Community Hall,Main St,,Cressy,TAS,7302,,,Assistance
Deloraine,Deloraine,Deloraine High School Hall,24 Lansdowne Pl,,Deloraine,TAS,7304,,,Assistance
Dodges Ferry,Dodges Ferry,Dodges Ferry Community Recreation Centre,532 Old Forcett Rd,,Dodges Ferry,TAS,7173,within Dodges Ferry Primary School,,Assistance
Dromedary,Dromedary,Dromedary (Millvale) Community Hall,14 Millvale Rd,,Dromedary,TAS,7030,,,None
Dunalley,Dunalley,Dunalley Primary School,20-32 Bay St,,Dunalley,TAS,7177,library,,Assistance
Elizabeth Town,Elizabeth Town,Elizabeth Town Fire Station,5816 Bass Hwy,,Elizabeth Town,TAS,7304,,,Assistance
Epping,Epping Forest,Epping Forest Public Hall,13515 Midland Hwy,,Epping Forest,TAS,7211,,,Assistance
Evandale,Evandale,Evandale Primary School,5-11 Barclay St,,Evandale,TAS,7212,general purpose room,,Assistance
Fingal,Fingal,Fingal Neighbourhood House,20 Talbot Street,,Fingal,TAS,7214,,,None
Forcett,Forcett,Forcett Public Hall,699 Arthur Hwy,,Forcett,TAS,7173,,,Assistance
Gagebrook,Gagebrook,Gagebrook Primary School,4 Tottenham Rd,,Gagebrook,TAS,7030,,access from Ashburton St,Assistance
Glenora,Glenora,Glenora District High School,620 Gordon River Rd,,Glenora,TAS,7140,Year 7 classroom,Admin Block,None
Granton,Granton,Granton Memorial Hall,Lyell Hwy,,Granton,TAS,7030,,,Assistance
Hadspen,Hadspen,Hadspen Uniting Church Centre,47 Main St,,Hadspen,TAS,7290,,,Assistance
Hagley,Hagley,Hagley Farm Primary School,2508 Meander Valley Rd,,Hagley,TAS,7292,School Hall at front of school,,Assistance
Kempton,Kempton,Kempton Council Chambers,Main St,,Kempton,TAS,7030,,,Assistance
Lachlan,Lachlan,Lachlan Community Hall,511 Lachlan Rd,,Lachlan,TAS,7140,,,Assistance
Longford,Longford,Longford War Memorial Hall,Wellington St,,Longford,TAS,7301,,,Assistance
Lower Barrington,Lower Barrington,Lower Barrington Public Hall,1027 Sheffield Rd,,Lower Barrington,TAS,7306,,,None
Magra,Magra,Magra CWA Building,Back River Rd,,Magra,TAS,7140,,cnr of Back River and Saddle Rds,Assistance
Meander,Meander,Meander Memorial Hall,124 Main Rd,,Meander,TAS,7304,,,Full
Midway Point,Midway Point,Midway Point Community Hall,Raynors Rd,,Midway Point,TAS,7171,,,Assistance
Miena,Miena,Miena Community Centre,55-57 Cider Gum Rd,,Miena,TAS,7030,,,Assistance
Mole Creek,Mole Creek,Mole Creek Primary School,4 Caveside Rd,,Mole Creek,TAS,7304,,,Assistance
Molesworth,Molesworth,Molesworth Community Hall,560 Molesworth Rd,,Molesworth,TAS,7140,,,Assistance
New Norfolk North,New Norfolk,Fairview Primary School,211 Back River Rd,,New Norfolk,TAS,7140,,,Full
New Norfolk,New Norfolk,New Norfolk Primary School,8 Pioneer Ave,,New Norfolk,TAS,7140,,also via Church St,Assistance
Nubeena,Nubeena,Tasman Civic Centre,21 Clarke St,,Nubeena,TAS,7184,,,Assistance
Oatlands,Oatlands,Oatlands Council Chambers,71 High St,,Oatlands,TAS,7120,Court Room,,Assistance
Old Beach,Old Beach,Old Beach Community Centre,Jetty Rd,,Old Beach,TAS,7017,,,Assistance
Orford,Orford,Orford Primary School,35 Charles St,,Orford,TAS,7190,,,Full
Ouse,Ouse,Ouse Online Access Centre,6947 Lyell Hwy,,Ouse,TAS,7140,,,Assistance
Perth,Perth,Perth Community Centre,173 Fairtlough St,,Perth,TAS,7300,hall and function room,,Assistance
Pontville,Pontville,Pontville Old Council Chambers,262 Brighton Rd,,Pontville,TAS,7030,,,Assistance
Primrose Sands,Primrose Sands,Primrose Sands Community Hall,570 Primrose Sands Rd,,Primrose Sands,TAS,7173,,,Assistance
Prospect Vale,Prospect Vale,Residential Retirement Village Clubrooms,12 Casino Rise,,Prospect Vale,TAS,7250,,,Assistance
Railton,Railton,Sheffield School (Railton Campus),94 Foster St,,Railton,TAS,7305,general purpose hall,,Assistance
Richmond,Richmond,Richmond Primary School,Commercial Rd,,Richmond,TAS,7025,School Hall,,Assistance
Ross,Ross,Ross Town Hall,12 Bridge St,,Ross,TAS,7209,,,None
Scamander,Scamander,Scamander Sports Complex,Coach Rd,,Scamander,TAS,7215,dining room,,None
Sheffield,Sheffield,Sheffield School,12 Henry St,,Sheffield,TAS,7306,music room - related arts building,,Assistance
Sorell,Sorell,Sorell Memorial Hall,49 Cole St,,Sorell,TAS,7172,,,Assistance
St Helens,St Helens,St Helens Memorial Hall,Cecilia St,,St Helens,TAS,7216,,,Assistance
St Marys,St Marys,St Marys Community Hall,23 Main St,,St Marys,TAS,7215,supper room,,Assistance
Swansea,Swansea,Swansea Town Hall,12 Franklin St,,Swansea,TAS,7190,,,Assistance
Taranna,Taranna,Tasman Community Centre,33 Amy St,,Taranna,TAS,7180,,via Gourlay Rd,Assistance
Tea Tree,Tea Tree,Tea Tree Community Hall,Briar Banks Rd,,Tea Tree,TAS,7017,,,Assistance
Triabunna,Triabunna,Triabunna Hall,3 Vicary St,,Triabunna,TAS,7190,,,Assistance
Tunnack,Tunnack,Tunnack Public Hall,Tunnack Rd,,Tunnack,TAS,7120,,,Assistance
Westbury,Westbury,Westbury Town Hall,26 Lyall St,,Westbury,TAS,7303,supper room,,Assistance
Westerway,Westerway,Westerway Primary School,1619 Gordon River Rd,,Westerway,TAS,7140,,,Assistance
Wilmot,Wilmot,Wilmot Primary School,61 Main Rd,,Wilmot,TAS,7310,music room,,Assistance
