Candidates,Avoca,Bagdad,Bicheno,Bothwell,Bracknell,Bridgewater,Brighton,Broadmarsh,Campania,Campbell Town,Carlton,Carrick,Chudleigh,Claude Road,Colebrook,Coles Bay,Copping,Cressy,Deloraine,Dodges Ferry,Dromedary,Dunalley,Elizabeth Town,Epping,Evandale,Fingal,Forcett,Gagebrook,Glenora,Granton,Hadspen,Hagley,Kempton,Lachlan,Longford,Lower Barrington,Magra,Meander,Midway Point,Miena,Mole Creek,Molesworth,New Norfolk,New Norfolk North,Nubeena,Oatlands,Old Beach,Orford,Ouse,Perth,Pontville,Primrose Sands,Prospect Vale,Railton,Richmond,Ross,Scamander,Sheffield,Sorell,St Helens,St Marys,Swansea,Taranna,Tea Tree,Triabunna,Tunnack,Westbury,Westerway,Wilmot,Total Ordinary Votes,Granton Pre-Poll,Launceston Pre-Poll,New Norfolk Pre-Poll,Sorell Pre-Poll,St Helens Pre-Poll,Postal,Mobile,Out of Division,Out of Division Pre-Poll,Provisional,Total
"BARNETT, Guy",24,118,148,65,73,195,375,37,92,136,52,156,62,94,42,41,46,137,446,184,57,64,73,34,246,46,79,95,68,104,323,72,41,51,493,162,111,50,230,47,101,38,230,149,111,138,337,124,74,529,98,66,338,133,185,59,64,240,354,136,56,191,56,52,156,56,260,69,32,"9,401",629,629,172,648,284,"1,366",88,"1,217",355,32,"14,821"
"BOWER, Susie",5,23,26,8,15,48,61,2,15,17,13,33,6,15,4,5,11,15,92,43,7,11,16,5,32,6,17,26,10,16,51,26,15,9,66,30,8,4,34,10,7,7,35,24,18,16,69,14,2,80,9,18,64,25,28,2,15,24,67,35,6,27,8,6,11,3,100,8,14,"1,598",89,116,21,104,29,186,19,258,85,12,"2,517"
"CAMERON, Stephanie",7,26,20,5,39,52,80,5,15,24,19,72,87,14,4,4,6,32,172,50,12,11,28,6,31,8,9,25,5,29,94,47,9,8,92,22,4,25,48,5,33,6,36,20,23,22,91,18,6,92,23,24,81,23,40,17,9,32,76,26,14,25,7,12,18,3,76,9,8,"2,121",115,118,19,116,38,222,21,313,73,12,"3,168"
"DERKSEN, Justin",1,22,11,7,5,60,96,16,37,8,13,5,3,4,13,2,3,9,20,30,30,8,8,4,10,6,20,34,27,48,18,0,14,41,25,10,61,4,49,3,3,35,176,146,16,27,99,18,19,33,29,12,13,8,32,10,6,16,75,17,5,30,3,12,24,9,10,31,5,"1,704",216,35,121,103,10,200,23,153,47,10,"2,622"
"SHELTON, Mark",15,81,46,71,221,73,144,16,64,87,36,151,41,57,14,26,23,210,280,148,35,36,59,28,140,19,52,46,18,30,286,72,35,19,518,82,19,53,88,21,49,14,56,27,47,93,112,37,25,328,43,38,282,96,56,34,40,142,172,63,33,80,52,21,46,38,159,17,31,"5,691",212,462,53,305,100,732,51,790,197,20,"8,613"
"TUCKER, John",15,55,67,24,12,94,143,11,64,44,25,24,7,10,13,19,22,24,45,70,22,23,15,16,46,36,43,45,13,49,43,13,18,21,91,33,11,6,76,6,7,12,55,36,49,60,97,43,11,79,34,28,46,33,63,37,75,29,136,180,76,114,31,30,62,23,26,11,11,"2,908",180,99,23,274,323,309,25,354,95,29,"4,619"
Liberal Party,67,325,318,180,365,522,899,87,287,316,158,441,206,194,90,97,111,427,"1,055",525,163,153,199,93,505,121,220,271,141,276,815,230,132,149,"1,285",339,214,142,525,92,200,112,588,402,264,356,805,254,137,"1,141",236,186,824,318,404,159,209,483,880,457,190,467,157,133,317,132,631,145,101,"23,423","1,441","1,459",409,"1,550",784,"3,015",227,"3,085",852,115,"36,360"
"JOHNSTONE, Liz",6,8,66,6,14,22,34,5,9,20,43,14,36,35,1,27,33,10,167,153,12,32,15,1,62,9,23,8,12,6,23,3,4,18,41,18,1,25,44,5,24,14,47,18,62,22,53,40,3,32,15,25,28,22,47,10,49,34,74,58,59,52,43,4,18,1,55,23,13,"2,016",55,81,13,124,86,174,6,226,87,15,"2,883"
"MILLAR, Glenn",1,3,7,0,2,4,7,1,3,2,1,5,0,5,1,2,2,1,18,37,5,2,1,1,3,2,3,4,1,4,3,3,1,2,16,1,0,2,13,2,4,1,6,4,6,0,12,3,3,12,2,3,9,2,9,0,4,7,14,8,4,5,6,1,4,0,4,3,2,309,18,24,2,36,5,35,3,55,22,2,511
"MORRIS, Tim",2,4,13,5,8,23,17,2,11,12,16,14,5,9,2,12,12,6,37,48,11,9,5,0,13,2,14,12,7,10,19,5,6,14,31,12,6,6,18,1,9,21,51,7,20,15,24,15,6,27,10,8,22,11,15,8,15,19,22,23,21,7,17,9,6,5,15,13,15,915,67,42,22,80,39,135,10,139,48,5,"1,502"
