Candidates,Beaconsfield,Beauty Point,Branxholm,Bridport,Dilston,East Launceston,Exeter,Five Ways,George Town,George Town South,Gladstone,Glengarry,Gravelly Beach,Hillwood,Inveresk,Invermay,Karoola,Kelso,Kings Meadows,Lady Barron,Launceston,Launceston Central,Lebrina,Legana,Lilydale,Mowbray,Newnham,Newstead,Norwood,Nunamara,Pipers River,Prospect,Ravenswood,Ringarooma,Riverside,Riverside West,Rocherlea,Scottsdale,Sidmouth,South Launceston,St Leonards,Summerhill,Trevallyn,Waverley,West Launceston,Weymouth,Whitemark,Winnaleah,Youngtown,Total Ordinary Votes,George Town Pre-Poll,Launceston Pre-Poll,Scottsdale Pre-Poll,Out of Division Pre-Poll,Postal,Mobile,Out of Division,Provisional,Total
"BALL, Lauren",11,5,7,3,6,13,15,12,10,9,1,1,9,6,17,9,3,4,6,0,22,13,4,26,14,13,30,25,21,8,2,2,22,2,18,9,2,10,8,18,7,27,18,7,24,1,6,4,20,530,16,142,7,5,80,10,41,7,838
"BARNETT, Carol",10,9,5,5,8,16,20,11,14,4,1,2,7,3,14,12,4,5,5,1,17,16,2,23,16,19,47,18,21,4,3,2,11,2,16,12,3,15,7,11,12,19,22,8,21,1,7,3,23,537,15,120,7,7,51,14,33,3,787
"FITTLER, Jack",5,5,3,2,4,9,8,7,5,7,0,1,3,4,6,8,3,2,6,1,10,13,1,12,6,11,20,8,10,1,2,2,11,2,10,9,0,4,4,5,4,7,11,5,13,0,7,3,10,290,12,76,7,4,24,4,24,0,441
"HALL, Tom",11,6,2,9,9,14,10,10,9,2,4,2,8,4,12,7,7,4,6,2,14,15,2,12,8,19,34,13,21,4,5,7,12,2,15,9,1,7,4,13,13,11,14,7,13,2,6,2,13,436,10,133,4,3,74,8,40,3,711
"HENDRY, Calum",4,3,3,4,2,6,8,6,10,1,0,3,3,1,14,9,0,1,1,1,8,8,1,7,5,9,20,7,14,1,3,2,8,1,10,6,1,7,4,3,5,13,6,3,11,0,2,2,13,260,11,80,6,7,38,5,22,2,431
"LAYTON-BENNETT, Anne",14,5,3,6,10,15,11,13,6,6,1,2,7,2,23,8,1,3,6,1,15,24,1,22,6,15,23,10,18,5,1,2,10,2,16,20,2,7,3,11,4,10,10,5,19,1,8,1,21,435,11,99,6,9,64,9,25,7,665
"ROSOL, Cecily",35,9,8,22,50,180,77,89,30,14,5,13,56,28,91,62,18,26,49,2,114,141,7,138,67,47,80,112,110,21,9,21,40,7,91,92,8,22,29,84,29,129,239,30,251,14,21,8,78,"2,903",35,832,25,26,277,17,156,12,"4,283"
Tasmanian Greens,90,42,31,51,89,253,149,148,84,43,12,24,93,48,177,115,36,45,79,8,200,230,18,240,122,133,254,193,215,44,25,38,114,18,176,157,17,72,59,145,74,216,320,65,352,19,57,23,178,"5,391",110,"1,482",62,61,608,67,341,34,"8,156"
"WALKER, Tim",3,2,2,11,12,14,7,8,4,0,2,3,3,3,17,6,3,2,8,0,13,16,9,13,10,12,19,21,14,2,1,0,11,0,4,10,2,3,4,10,5,11,27,4,17,0,1,1,11,361,4,115,3,2,58,7,18,3,571
Group B,3,2,2,11,12,14,7,8,4,0,2,3,3,3,17,6,3,2,8,0,13,16,9,13,10,12,19,21,14,2,1,0,11,0,4,10,2,3,4,10,5,11,27,4,17,0,1,1,11,361,4,115,3,2,58,7,18,3,571
"ARMSTRONG, Angela",40,24,9,28,17,20,34,25,44,31,8,4,22,18,46,8,9,18,9,9,10,13,5,63,16,29,64,37,50,12,10,7,48,20,30,30,12,33,15,28,22,67,25,30,22,8,10,6,52,"1,197",92,322,38,9,283,26,55,11,"2,033"
"JOHNSON, Ludwig",23,18,4,16,13,9,27,11,29,17,5,8,12,8,21,7,7,9,6,3,8,4,3,51,14,14,37,11,25,4,7,2,20,7,23,16,4,19,15,7,12,36,11,14,9,3,2,6,32,669,39,184,22,7,113,16,33,5,"1,088"
"PENTLAND, Rebekah",38,24,6,22,20,33,47,45,34,29,10,12,22,16,58,19,14,15,18,5,23,23,8,90,23,30,74,47,109,7,11,11,48,14,45,30,9,14,16,29,65,82,25,49,37,6,8,10,86,"1,516",43,463,39,10,237,32,62,7,"2,409"
Jacqui Lambie Network,101,66,19,66,50,62,108,81,107,77,23,24,56,42,125,34,30,42,33,17,41,40,16,204,53,73,175,95,184,23,28,20,116,41,98,76,25,66,46,64,99,185,61,93,68,17,20,22,170,"3,382",174,969,99,26,633,74,150,23,"5,530"
"ANDERSON, Melissa",12,11,2,6,5,12,12,14,27,9,1,1,7,5,17,8,3,3,8,1,17,13,4,24,11,14,61,21,19,5,1,8,31,5,18,17,5,8,2,8,9,26,11,12,14,1,4,4,30,567,19,108,12,3,86,18,36,3,852
"DHINGRA, Roshan",13,5,2,4,3,4,9,8,13,8,1,0,1,1,15,4,5,1,5,3,6,8,5,9,7,9,23,8,18,2,1,2,10,2,10,9,1,3,3,6,6,5,6,4,7,0,3,0,16,294,15,62,4,2,34,14,13,5,443
"FINLAY, Janie",176,162,18,69,50,103,139,111,75,60,12,38,94,29,149,44,31,69,60,16,93,85,12,331,69,78,258,140,229,30,11,37,159,17,208,141,18,59,47,112,145,280,133,105,140,15,37,13,203,"4,710",122,"1,374",105,19,731,107,153,16,"7,337"
"GORDON, William",15,6,0,4,12,38,13,19,13,13,1,1,18,1,28,6,3,3,13,0,13,21,2,35,8,24,57,46,45,1,1,4,26,1,50,27,2,10,5,25,26,50,25,15,25,2,6,1,35,795,19,149,10,3,78,24,30,4,"1,112"
"HINDS, Adrian",24,10,1,6,5,9,8,4,17,14,0,4,6,3,21,6,0,1,7,3,9,8,2,31,10,15,41,12,31,4,0,5,24,1,20,14,4,9,1,10,13,33,11,8,10,2,2,1,15,495,20,115,4,5,56,17,22,1,735
"LYONS, Geoff",25,12,3,13,15,27,33,37,28,17,1,6,11,13,36,7,15,8,10,1,12,22,2,63,14,23,84,33,55,5,3,10,50,1,49,33,5,8,6,21,21,46,36,25,32,2,1,5,48,"1,033",40,298,19,9,213,41,37,8,"1,698"
"O'BYRNE, Michelle",73,33,22,77,61,169,95,143,171,111,18,16,51,50,179,60,44,16,75,8,82,96,21,198,83,135,397,201,273,27,18,27,278,14,166,119,42,84,31,94,109,281,115,130,148,15,17,10,219,"4,902",303,"1,412",122,33,931,141,199,30,"8,073"
Australian Labor Party,338,239,48,179,151,362,309,336,344,232,34,66,188,102,445,135,101,101,178,32,232,253,48,691,202,298,921,461,670,74,35,93,578,41,521,360,77,181,95,276,329,721,337,299,376,37,70,34,566,"12,796",538,"3,518",276,74,"2,129",362,490,67,"20,250"
"FAIRS, Rob",72,42,17,111,78,81,108,99,52,32,20,30,49,33,109,31,35,23,47,6,55,40,18,219,51,61,225,136,223,16,7,27,100,21,161,129,19,74,35,44,95,219,78,61,100,19,12,13,225,"3,558",89,"1,138",113,33,567,75,141,13,"5,727"
"FERGUSON, Michael",151,92,37,214,128,247,204,162,155,98,22,72,74,70,149,68,55,53,62,28,103,144,45,615,82,106,327,276,473,44,37,58,154,67,415,324,34,198,89,136,167,428,159,92,179,37,84,42,384,"7,440",237,"2,374",329,63,"1,323",214,287,25,"12,292"
"GATENBY, Chris",17,8,3,43,30,50,23,8,16,12,5,5,14,4,20,17,7,8,11,9,17,32,2,51,8,15,38,34,81,3,16,1,11,5,24,33,6,37,11,13,29,31,29,7,22,2,18,4,43,933,28,300,57,8,94,25,58,1,"1,504"
"QUAILE, Sarah",19,12,3,19,14,45,38,18,13,17,0,8,13,7,14,13,10,6,33,1,16,17,5,60,15,10,33,33,40,0,4,4,15,6,60,53,0,15,11,14,28,91,27,16,38,3,2,1,37,957,27,263,12,7,106,31,44,1,"1,448"
"SLADDEN, Julie",28,17,6,21,18,25,45,12,13,14,2,10,22,15,19,6,7,10,12,1,24,14,3,148,14,18,43,36,52,5,5,9,19,5,87,52,1,31,14,20,22,38,45,11,49,7,6,4,28,"1,113",35,311,34,4,153,36,56,5,"1,747"
"TRETHEWIE, Richard",13,6,4,20,15,49,25,24,15,5,3,5,7,9,13,11,6,8,6,8,14,21,3,26,5,10,28,36,44,5,3,8,16,7,31,15,1,10,7,7,18,39,30,6,21,5,2,0,29,699,17,217,24,10,127,22,30,2,"1,148"
"WOOD, Simon",19,10,3,41,20,69,32,23,28,19,10,6,11,16,28,9,7,24,19,8,22,28,3,70,12,33,32,61,88,11,5,9,17,4,70,33,3,25,13,20,35,42,30,14,32,6,20,10,66,"1,216",32,371,24,10,201,28,61,6,"1,949"
Liberal Party,319,187,73,469,303,566,475,346,292,197,62,136,190,154,352,155,127,132,190,61,251,296,79,"1,189",187,253,726,612,"1,001",84,77,116,332,115,848,639,64,390,180,254,394,888,398,207,441,79,144,74,812,"15,916",465,"4,974",593,135,"2,571",431,677,53,"25,815"
"DAVIS, Ivan",23,9,7,2,11,12,25,13,24,8,3,2,11,9,28,12,2,7,11,2,19,13,2,24,10,16,36,25,29,1,3,4,40,5,23,18,3,8,5,18,16,24,14,15,19,2,3,5,28,649,16,143,13,7,109,13,38,6,994
Animal Justice Party,23,9,7,2,11,12,25,13,24,8,3,2,11,9,28,12,2,7,11,2,19,13,2,24,10,16,36,25,29,1,3,4,40,5,23,18,3,8,5,18,16,24,14,15,19,2,3,5,28,649,16,143,13,7,109,13,38,6,994
"BROWN, Mark",3,2,2,1,4,5,7,11,6,1,2,2,4,0,13,4,1,2,7,3,7,6,4,20,4,6,15,11,19,1,5,0,5,0,17,27,1,8,1,4,5,14,10,2,7,0,10,1,11,301,5,63,3,1,42,5,14,2,436
Group G,3,2,2,1,4,5,7,11,6,1,2,2,4,0,13,4,1,2,7,3,7,6,4,20,4,6,15,11,19,1,5,0,5,0,17,27,1,8,1,4,5,14,10,2,7,0,10,1,11,301,5,63,3,1,42,5,14,2,436
"ALEXANDER, Lara",13,8,2,17,15,43,34,23,9,4,0,7,21,8,28,13,9,7,11,2,15,16,6,83,9,14,41,32,58,11,8,4,20,5,43,42,5,16,10,12,26,27,31,15,33,10,9,12,45,932,30,309,7,5,191,9,33,2,"1,518"
Group H,13,8,2,17,15,43,34,23,9,4,0,7,21,8,28,13,9,7,11,2,15,16,6,83,9,14,41,32,58,11,8,4,20,5,43,42,5,16,10,12,26,27,31,15,33,10,9,12,45,932,30,309,7,5,191,9,33,2,"1,518"
"FRYDRYCH, Michal",44,13,7,20,16,12,40,20,52,35,5,15,14,18,31,9,16,5,9,3,18,8,15,42,30,16,66,23,37,14,11,4,56,9,24,30,10,46,17,13,32,41,16,26,15,4,9,8,50,"1,074",62,223,23,8,108,11,97,10,"1,616"
"Shooters, Fishers, Farmers TAS",44,13,7,20,16,12,40,20,52,35,5,15,14,18,31,9,16,5,9,3,18,8,15,42,30,16,66,23,37,14,11,4,56,9,24,30,10,46,17,13,32,41,16,26,15,4,9,8,50,"1,074",62,223,23,8,108,11,97,10,"1,616"
"DAVENPORT, Jack",1,0,1,3,3,6,9,5,1,6,1,1,8,1,10,8,1,0,6,0,6,5,0,8,1,3,4,5,3,2,0,2,4,0,13,4,1,6,2,4,3,6,12,1,6,0,0,1,8,181,7,41,3,5,26,3,11,1,278
Group J,1,0,1,3,3,6,9,5,1,6,1,1,8,1,10,8,1,0,6,0,6,5,0,8,1,3,4,5,3,2,0,2,4,0,13,4,1,6,2,4,3,6,12,1,6,0,0,1,8,181,7,41,3,5,26,3,11,1,278
"QUINN, Greg (Tubby)",41,15,6,29,12,6,19,15,35,30,8,14,19,4,48,8,12,3,15,0,12,7,10,32,25,31,101,15,29,17,9,8,101,9,22,16,20,45,10,11,46,51,1,73,11,5,3,6,37,"1,102",35,133,55,3,114,11,56,4,"1,513"
"RAZAY, George",14,9,2,15,9,31,19,25,4,8,1,3,6,6,23,9,2,8,12,0,24,30,0,38,7,17,42,36,62,8,2,5,23,3,39,20,4,3,5,18,19,29,33,15,35,3,1,1,60,788,9,269,5,0,139,8,26,3,"1,247"
ungrouped,55,24,8,44,21,37,38,40,39,38,9,17,25,10,71,17,14,11,27,0,36,37,10,70,32,48,143,51,91,25,11,13,124,12,61,36,24,48,15,29,65,80,34,88,46,8,4,7,97,"1,890",44,402,60,3,253,19,82,7,"2,760"
Total Formal Ballot Papers,990,592,200,863,675,"1,372","1,201","1,031",962,641,153,297,613,395,"1,297",508,340,354,559,128,838,920,207,"2,584",660,872,"2,400","1,529","2,321",281,204,294,"1,400",246,"1,828","1,399",229,844,434,829,"1,048","2,213","1,260",815,"1,380",176,327,188,"1,976","42,873","1,455","12,239","1,142",327,"6,728","1,001","1,951",208,"67,924"
Informal Ballot Papers,97,43,20,65,34,65,75,67,118,61,17,20,52,26,144,31,20,28,37,16,54,31,15,146,47,90,328,72,147,23,17,17,246,25,106,76,30,61,21,41,110,204,44,111,66,5,24,15,166,"3,374",98,653,54,21,216,118,159,13,"4,706"
Total Ballot Papers,"1,087",635,220,928,709,"1,437","1,276","1,098","1,080",702,170,317,665,421,"1,441",539,360,382,596,144,892,951,222,"2,730",707,962,"2,728","1,601","2,468",304,221,311,"1,646",271,"1,934","1,475",259,905,455,870,"1,158","2,417","1,304",926,"1,446",181,351,203,"2,142","46,247","1,553","12,892","1,196",348,"6,944","1,119","2,110",221,"72,630"
