Candidates,Acton,Boat Harbour,Burnie,Calder,Cooee,Currie,Devonport Central,Devonport North West,Devonport South,Devonport West,Don,East Devonport,Edith Creek,Elliott,Forest,Forth,Gawler,Grassy,Havenview,Heybridge,Highclere,Irishtown,Latrobe,Marrawah,Melrose,Montello,Moorleah,Natone,North Motton,Penguin,Port Sorell,Queenstown,Riana,Ridgley,Rocky Cape,Romaine,Rosebery,Sassafras,Shorewell Park,Sisters Beach,Sisters Creek,Smithton,Somerset,South Riana,Sprent,Spreyton,Stanley,Stowport,Strahan,Sulphur Creek,Tullah,Turners Beach,Ulverstone Central,Ulverstone East,Ulverstone South,Waratah,Wesley Vale,West Ulverstone,Wivenhoe,Wynyard Central,Wynyard West,Yolla,Zeehan,Total Ordinary Votes,Burnie Pre-Poll,Devonport Pre-Poll,Queenstown Pre-Poll,Smithton Pre-Poll,Out of Division Pre-Poll,Postal,Mobile,Out of Division,Provisional,Total
"BESWICK, Miriam",73,10,34,6,29,13,24,86,60,69,38,117,2,14,12,17,22,5,17,14,13,7,91,7,9,31,8,0,26,74,70,23,8,9,11,41,16,2,33,10,3,25,62,16,16,56,8,12,6,18,2,30,54,26,99,9,12,58,11,97,49,13,21,"1,854",310,391,35,49,14,212,32,42,12,"2,951"
"CUTTS, Craig",44,13,24,2,18,6,19,82,56,44,36,91,4,12,12,20,14,1,12,13,3,3,90,6,4,27,2,3,21,66,66,15,1,14,8,32,12,5,28,5,4,36,47,9,9,38,6,11,4,13,8,34,38,29,52,6,6,55,8,40,32,9,24,"1,452",215,367,28,28,9,164,32,48,9,"2,352"
"REDGRAVE, James",72,6,36,4,26,13,23,80,43,35,37,93,3,15,10,19,19,5,20,10,7,7,111,4,4,44,3,6,25,59,128,25,3,19,10,36,22,9,21,12,1,35,57,16,11,40,6,11,8,18,6,32,51,30,65,7,24,77,9,46,31,14,28,"1,747",316,379,26,56,12,148,24,57,11,"2,776"
Jacqui Lambie Network,189,29,94,12,73,32,66,248,159,148,111,301,9,41,34,56,55,11,49,37,23,17,292,17,17,102,13,9,72,199,264,63,12,42,29,109,50,16,82,27,8,96,166,41,36,134,20,34,18,49,16,96,143,85,216,22,42,190,28,183,112,36,73,"5,053",841,"1,137",89,133,35,524,88,147,32,"8,079"
"BROAD, Shane",43,12,40,8,22,20,68,179,83,55,86,159,6,15,7,49,53,9,19,14,6,0,161,7,11,35,6,1,45,106,160,20,5,10,12,35,10,3,38,10,0,33,76,6,20,99,13,5,11,40,3,96,133,96,228,11,37,171,12,68,46,18,13,"2,863",337,824,22,45,23,337,67,64,7,"4,589"
"DIPROSE, Amanda",34,5,24,2,13,9,15,36,32,20,26,41,4,3,0,15,19,3,4,2,1,2,58,0,4,13,1,0,17,32,34,11,3,1,6,20,11,2,13,5,0,8,29,6,6,28,9,3,5,17,0,17,58,39,104,6,5,80,2,25,24,6,11,"1,029",99,188,18,14,6,92,29,24,5,"1,504"
"DOW, Anita",180,33,129,12,79,46,48,99,61,50,67,134,7,35,14,37,24,5,63,29,7,6,123,6,12,141,21,6,12,121,92,32,13,93,19,164,26,6,136,20,6,47,169,15,2,50,25,23,19,63,9,47,73,34,93,16,20,98,35,220,137,33,37,"3,479","1,039",547,61,92,17,397,88,84,12,"5,816"
"FACEY, Samantha",39,5,17,3,10,15,19,44,24,22,25,49,8,6,11,8,6,1,5,4,0,16,32,3,3,18,3,0,5,20,34,6,1,6,2,12,4,1,13,1,3,85,38,3,5,21,11,2,3,10,2,9,8,6,23,4,2,30,4,32,16,3,5,826,98,146,9,116,4,68,30,20,2,"1,319"
"KIDD, Danielle",28,3,19,2,20,9,11,29,15,12,17,37,1,8,1,6,6,1,11,2,3,0,35,1,0,12,0,0,2,22,33,6,1,4,3,21,7,3,24,6,1,12,26,0,4,16,0,2,1,13,1,15,9,4,17,4,1,22,4,32,30,2,9,646,109,103,13,8,3,49,19,17,2,969
"LUKE, Adrian",23,3,7,2,6,5,19,44,25,31,32,39,0,5,3,8,2,1,2,2,0,0,44,0,8,8,1,0,10,15,32,10,3,5,5,8,8,2,9,3,1,14,18,1,2,49,2,2,4,6,0,6,17,6,27,3,8,15,2,22,12,1,11,659,74,168,15,15,2,49,10,21,4,"1,017"
"LYNCH, Chris",120,8,56,2,50,10,19,58,16,45,33,47,3,15,8,11,8,4,32,8,2,1,44,2,2,61,5,4,6,58,48,10,5,31,9,79,11,2,70,16,1,29,85,2,7,33,15,9,8,25,2,13,27,16,53,4,3,48,15,62,34,11,8,"1,529",338,204,24,35,6,92,32,50,9,"2,319"
Australian Labor Party,467,69,292,31,200,114,199,489,256,235,286,506,29,87,44,134,118,24,136,61,19,25,497,19,40,288,37,11,97,374,433,95,31,150,56,339,77,19,303,61,12,228,441,33,46,296,75,46,51,174,17,203,325,201,545,48,76,464,74,461,299,74,94,"11,031","2,094","2,180",162,325,61,"1,084",275,280,41,"17,533"
"ELLIS, Felix",53,27,50,12,35,34,56,126,69,61,80,124,10,24,29,65,73,7,27,25,11,28,140,31,17,43,12,5,53,158,186,53,14,54,29,67,34,15,68,8,4,136,84,14,29,69,26,21,47,66,17,109,127,112,168,3,29,159,27,95,58,10,55,"3,478",375,609,83,163,18,296,41,90,10,"5,163"
