Candidates,Adventure Bay,Alonnah,Bellerive,Blackmans Bay,Blackmans Bay South,Cambridge,Clarence,Clarendon Vale,Cradoc,Cygnet,Dover,Geeveston,Geilston Bay,Glen Huon,Howden,Howrah,Huonville,Judbury,Kettering,Kingston,Kingston Beach,Lauderdale,Lindisfarne,Lindisfarne Village,Maranoa Heights,Margate,Middleton,Montagu Bay,Mornington,Mountain River,Ranelagh,Risdon Vale,Rokeby,Sandfly,Sandford,Snug,South Arm,Southport,Tranmere,Warrane,Woodbridge,Total Ordinary Votes,Hobart Pre-Poll (Clark),Kingston Pre-Poll,Rosny Pre-Poll,Out of Division Pre-Poll,Postal,Mobile,Out of Division,Provisional,Total
"CAMBERS-SMITH, Jenny",1,2,6,10,11,19,16,6,8,36,4,14,15,5,3,20,32,10,5,31,11,25,13,11,14,13,6,15,5,17,17,8,7,15,14,14,5,1,7,18,7,497,25,48,34,7,89,5,55,2,762
"CAMPBELL, Christine",2,7,5,9,13,17,18,11,6,31,3,10,14,4,5,27,15,2,9,44,18,27,21,14,11,14,8,13,5,8,10,18,10,8,22,8,15,4,14,15,4,519,38,74,42,10,43,3,75,6,810
"CORDOVER, Gideon",1,9,9,23,19,16,17,5,4,25,3,16,16,3,10,14,15,3,18,44,16,15,12,12,15,34,2,13,3,6,7,5,10,21,16,27,8,2,8,12,8,522,23,90,27,11,39,4,55,7,778
"DARKO, Jade",0,3,22,15,14,29,36,20,4,22,5,13,29,5,1,34,21,0,8,43,11,48,26,29,13,14,5,21,17,5,13,16,17,7,38,10,19,0,13,38,5,689,40,56,60,9,85,1,67,3,"1,010"
"FITZGERALD, Owen",2,3,8,9,7,8,22,4,2,23,6,13,11,1,0,18,21,1,5,35,11,18,14,9,7,12,1,9,5,2,8,10,11,5,22,15,39,1,14,15,2,429,22,45,23,9,37,3,45,1,614
"MROSEK, Lukas",1,3,6,4,4,13,4,8,6,25,5,6,10,4,1,11,9,2,3,31,9,14,12,5,4,6,1,6,5,2,10,9,5,3,8,7,4,3,2,15,4,290,14,28,17,7,19,2,32,3,412
"WOODRUFF, Rosalie",37,71,180,204,245,196,228,32,110,468,66,165,181,66,57,193,263,40,113,372,233,292,201,213,96,229,58,170,52,114,166,56,51,160,303,204,136,27,179,124,127,"6,478",343,"1,009",613,118,813,24,441,37,"9,876"
Tasmanian Greens,44,98,236,274,313,298,341,86,140,630,92,237,276,88,77,317,376,58,161,600,309,439,299,293,160,322,81,247,92,154,231,122,111,219,423,285,226,38,237,237,157,"9,424",505,"1,350",816,171,"1,125",42,770,59,"14,262"
"ABETZ, Eric",17,19,105,101,94,155,124,59,76,141,95,111,134,33,34,135,136,21,49,255,115,179,106,122,117,197,32,77,44,76,106,75,72,55,98,115,54,16,194,79,41,"3,864",201,"1,002",512,118,688,66,192,18,"6,661"
"ANTOLLI, Aldo",4,10,15,31,37,25,25,15,20,25,20,30,23,11,15,36,26,8,16,92,27,32,17,26,35,53,5,27,12,13,13,19,19,23,13,35,8,1,17,13,9,901,37,241,69,18,122,10,50,1,"1,449"
"GARVIN, Josh",0,2,25,7,5,32,32,22,6,10,12,13,28,2,2,37,14,4,10,29,10,33,23,9,15,21,1,27,17,3,8,16,26,8,21,17,9,2,57,27,4,646,29,64,86,12,70,13,47,5,972
"McGREGOR, Jock",5,2,14,27,39,41,44,14,9,16,19,43,25,8,2,54,57,4,2,63,16,33,27,27,13,28,1,16,10,18,35,37,32,16,24,23,6,2,49,27,5,933,50,139,118,24,119,5,72,3,"1,463"
"PETRUSMA, Jacquie",7,11,102,66,71,269,147,72,56,94,59,96,139,31,26,231,124,22,34,172,68,288,112,114,72,111,16,89,53,43,58,91,134,53,122,57,68,9,231,119,16,"3,753",238,503,559,129,583,49,265,14,"6,093"
"STREET, Nic",13,17,64,68,114,123,108,41,28,74,50,83,80,20,27,132,133,22,34,201,81,152,94,69,69,141,8,67,43,34,65,53,59,52,87,63,40,10,155,68,8,"2,850",194,650,398,82,417,28,178,14,"4,811"
"YOUNG, Dean",6,6,90,25,42,114,112,40,29,43,41,38,79,16,12,128,83,8,16,100,27,145,50,54,32,60,4,44,48,22,60,45,74,24,86,42,29,6,97,64,16,"2,057",119,211,256,47,241,22,117,8,"3,078"
Liberal Party,52,67,415,325,402,759,592,263,224,403,296,414,508,121,118,753,573,89,161,912,344,862,429,421,353,611,67,347,227,209,345,336,416,231,451,352,214,46,800,397,99,"15,004",868,"2,810","1,998",430,"2,240",193,921,63,"24,527"
"O'BYRNE, David",15,21,115,82,81,148,176,132,33,64,45,106,156,22,17,249,148,28,31,197,57,240,132,128,71,86,17,90,64,35,86,247,230,37,94,42,50,9,165,174,11,"3,931",217,574,625,96,603,23,227,16,"6,312"
