PollingPlaceNm,PremisesNm,PremisesAddress,PremisesSuburb
Acton,Burnie Child and Family Centre,36 Thorne St,Acton
Boat Harbour,Boat Harbour Primary School,17386 Bass Hwy,Boat Harbour
Burnie,Burnie City Council Offices,80 Wilson St,Burnie
Calder,Calder Hall,1320 Calder Rd,Calder
Cooee,Cooee Primary School,Bass Hwy,Cooee
Currie,Currie Town Hall,Cnr Meech & George Sts,Currie
Devonport Central,Devonport Primary School,57A Stewart St,Devonport
Devonport North West,Nixon Street Primary School,60 Nixon St,Devonport
Devonport South,Reece High School,41-43 Middle Rd,Devonport
Devonport West,TasTafe,20-36 Valley Rd,Devonport
Don,Don Memorial Hall,17 Forth Rd,Don
East Devonport,East Devonport Primary School,19-31 Thomas St,East Devonport
Edith Creek,Edith Creek Primary School,1282 Trowutta Rd,Edith Creek
Elliott,Elliott Community Centre,829 Murchison Hwy,Elliott
Forest,Forest Primary School,422 Mengha Rd,Forest
Forth,Forth Town Hall,680 Forth Rd,Forth
Gawler,Gawler Hall,15 Top Gawler Rd,Gawler
Grassy,Grassy Fire Station,6 Fern Tree Dr,Grassy
Havenview,Havenview Primary School,15 Marriott St,Havenview
Heybridge,Blythe Heads Hall,1 Sice Ave,Heybridge
Highclere,Highclere Community Centre,1558 Ridgley Hwy,Highclere
Irishtown,Irishtown Community Centre,602 Irishtown Rd,Irishtown
Latrobe,Latrobe Primary School,23 Lewis St,Latrobe
Marrawah,Marrawah Memorial Hall,844 Comeback Rd,Marrawah
Melrose,Melrose Memorial Hall,673 Melrose Rd,Melrose
Montello,Montello Primary School,83 Bird St,Montello
Moorleah,Moorleah Community Centre,720 Preolenna Rd,Moorleah
Natone,Natone Primary School,100 Upper Natone Rd,Natone
North Motton,North Motton Hall,578 Preston Rd,North Motton
Penguin,Penguin Uniting Church Hall,50 Main Rd,Penguin
Port Sorell,Port Sorell Memorial Hall,Cnr Darling and Meredith Sts,Port Sorell
Queenstown,Queenstown Memorial Hall,53 Orr St,Queenstown
Riana,Riana Primary School,1225 Pine Rd,Riana
Ridgley,Ridgley Primary School,904 Ridgley Hwy,Ridgley
Rocky Cape,Rocky Cape Public Hall,19074 Bass Hwy,Rocky Cape
Romaine,Romaine Park Primary School,Cnr Roslyn Ave and Mount St,Romaine
Rosebery,Rosebery Neighbourhood Centre,8 Agnes St,Rosebery
Sassafras,Sassafras Primary School,50 School Rd,Sassafras
Shorewell Park,Hellyer College,41-43 Mooreville Rd,Shorewell Park
Sisters Beach,Sisters Beach Fire Station,Honeysuckle Ave,Sisters Beach
Sisters Creek,Myalla Community Centre,29 Myalla Rd,Sisters Creek
Smithton,Smithton Primary School,27- 43 Grant St,Smithton
Somerset,Somerset Primary School,30A Beaufort St,Somerset
South Riana,South Riana Hall,776 South Riana Rd,South Riana
Sprent,Sprent Primary School,1245 Castra Rd,Sprent
Spreyton,Spreyton Primary School,1 Mersey Main Rd,Spreyton
Stanley,Stanley Primary School,Wilson St,Stanley
Stowport,Stowport Public Hall,580 Stowport Rd,Stowport
Strahan,Strahan Primary School,2 Bay St,Strahan
Sulphur Creek,Sulphur Creek Hall,310 Preservation Dr,Sulphur Creek
Tullah,Tullah Town Hall,24 Farrell St,Tullah
Turners Beach,Turners Beach Community Centre,Henry St,Turners Beach
Ulverstone East,East Ulverstone Primary School,18 Crawford St,Ulverstone
Ulverstone South,Ulverstone Secondary College,38 Leven St,Ulverstone
Ulverstone Central,Ulverstone Senior Citizens Club,16 King Edward St,Ulverstone
Waratah,Waratah Municipal Chambers,12-14 Smith St,Waratah
Wesley Vale,Andrews Creek Primary School,20 Westwind Dr,Wesley Vale
West Ulverstone,West Ulverstone Primary School,34 Maud St,West Ulverstone
Wivenhoe,Wivenhoe Campus Leighland Christian School,Stowport Rd,Wivenhoe
Wynyard West,Wynyard High School,30 Church St,Wynyard
Wynyard Central,Wynyard Senior Citizens Clubrooms,28 Jackson St,Wynyard
Yolla,Yolla District High School,School La,Yolla
Zeehan,Zeehan Primary School,7 Belstead St,Zeehan
