Candidates,Avoca,Bagdad,Bicheno,Bothwell,Bracknell,Bridgewater,Brighton,Broadmarsh,Campania,Campbell Town,Carrick,Chudleigh,Claude Road,Colebrook,Coles Bay,Copping,Cressy,Deloraine,Dodges Ferry,Dromedary,Dunalley,Elizabeth Town,Epping,Evandale,Fingal,Gagebrook,Glenora,Granton,Hadspen,Hagley,Kempton,Lachlan,Longford,Lower Barrington,Magra,Meander,Midway Point,Miena,Mole Creek,Molesworth,New Norfolk,New Norfolk North,Nubeena,Oatlands,Old Beach,Orford,Ouse,Perth,Pontville,Primrose Sands,Prospect,Prospect Vale,Railton,Richmond,Ross,Scamander,Sheffield,Sorell,St Helens,St Marys,Swansea,Taranna,Tea Tree,Triabunna,Tunnack,Westbury,Westerway,Wilmot,Total Ordinary Votes,Launceston Pre-Poll (Bass),New Norfolk Pre-Poll,Sorell Pre-Poll,St Helens Pre-Poll,Out of Division Pre-Poll,Postal,Mobile,Out of Division,Provisional,Total
"ALLAN, Alistair",3,2,7,3,3,12,16,1,4,4,5,1,6,1,0,1,5,11,28,6,2,3,0,6,3,9,1,3,7,2,2,1,3,1,1,0,19,2,3,6,9,11,13,1,25,2,2,4,6,6,3,8,2,5,4,2,10,17,11,6,3,3,3,2,2,10,1,3,367,23,6,27,18,35,72,2,68,2,620
"BADGER, Tabatha",4,23,71,7,8,28,43,3,17,20,23,38,24,6,41,41,16,194,374,20,52,14,4,64,11,21,14,18,28,6,0,38,61,21,11,24,76,4,16,26,111,32,87,19,70,41,8,61,15,35,11,52,21,59,10,33,35,157,63,48,49,67,9,19,7,74,50,23,"2,776",109,60,225,127,157,271,7,302,10,"4,044"
"BROWN, Craig",1,5,8,0,1,19,18,2,4,3,4,1,9,2,1,3,1,17,25,6,9,3,1,3,1,13,4,4,9,1,4,6,7,5,1,3,10,4,1,8,13,3,34,7,16,7,1,19,6,13,5,6,9,7,3,3,5,32,8,2,4,11,2,6,1,11,5,4,470,22,5,30,17,41,60,5,89,2,741
"HOUGHTON, Mitch",0,6,4,0,5,17,15,1,2,2,5,2,5,1,4,4,4,15,21,2,3,4,0,4,2,0,3,4,7,4,0,5,18,5,1,3,16,0,3,2,17,3,7,6,12,2,0,7,8,3,2,7,6,9,1,3,3,13,11,1,3,2,2,1,3,6,1,6,344,16,7,18,6,24,34,7,59,1,516
"MILLAR, Glenn",2,6,5,1,5,18,8,1,1,5,7,1,6,2,0,5,2,15,32,1,6,2,2,3,4,4,1,4,7,1,1,1,14,3,0,1,10,0,3,6,11,5,7,9,14,1,1,10,3,6,1,4,4,5,1,3,6,15,6,3,3,3,2,2,0,11,2,2,336,21,10,24,10,28,20,2,67,2,520
"RUBENACH-QUINN, Hannah",4,8,12,0,2,22,23,2,8,8,9,2,9,3,4,3,6,35,39,4,9,2,1,10,4,14,0,11,14,2,1,6,15,7,3,1,19,1,2,8,23,16,23,7,30,4,0,25,5,9,7,14,6,11,1,14,21,43,24,39,12,4,4,1,0,17,5,2,700,51,11,27,62,55,90,6,112,3,"1,117"
"WHISSON, Gary",2,2,5,1,2,8,10,2,5,3,4,4,5,1,0,2,2,13,17,1,1,1,0,7,2,3,1,3,8,1,0,4,10,5,2,2,9,0,2,3,13,6,12,2,10,4,2,13,4,5,7,6,5,7,1,3,14,9,3,3,4,1,3,7,0,3,3,1,304,19,5,25,10,26,47,3,48,2,489
Tasmanian Greens,16,52,112,12,26,124,133,12,41,45,57,49,64,16,50,59,36,300,536,40,82,29,8,97,27,64,24,47,80,17,8,61,128,47,19,34,159,11,30,59,197,76,183,51,177,61,14,139,47,77,36,97,53,103,21,61,94,286,126,102,78,91,25,38,13,132,67,41,"5,297",261,104,376,250,366,594,32,745,22,"8,047"
"BATT, Edwin",0,71,4,35,0,24,44,15,13,8,5,2,5,10,0,0,5,19,16,5,2,0,1,7,8,17,3,12,11,3,107,3,15,3,3,0,11,2,2,3,19,13,8,37,26,5,5,15,30,6,3,13,11,7,9,5,6,10,3,3,7,2,5,3,9,9,2,3,768,16,13,40,14,36,85,6,78,7,"1,063"
"BUTLER, Jen",9,19,14,12,4,185,93,7,10,27,15,0,8,2,1,1,14,32,21,13,7,3,2,17,19,107,8,50,28,3,3,15,70,6,17,5,26,8,2,7,63,63,10,13,69,4,10,46,24,13,10,18,16,11,7,15,22,31,59,37,6,3,5,6,5,44,7,2,"1,509",63,60,65,130,108,260,15,147,6,"2,363"
