Candidates,Acton,Boat Harbour,Burnie,Calder,Cooee,Currie,Devonport Central,Devonport North West,Devonport South,Devonport West,Don,East Devonport,Edith Creek,Elliott,Forest,Forth,Gawler,Grassy,Havenview,Heybridge,Highclere,Irishtown,Latrobe,Marrawah,Melrose,Montello,Moorleah,Natone,North Motton,Penguin,Port Sorell,Preston,Queenstown,Riana,Ridgley,Rocky Cape,Romaine,Rosebery,Sassafras,Shorewell Park,Sisters Beach,Sisters Creek,Smithton,Somerset,South Riana,Sprent,Spreyton,Stanley,Stowport,Strahan,Sulphur Creek,Tullah,Turners Beach,Ulverstone Central,Ulverstone East,Ulverstone South,Waratah,Wesley Vale,West Ulverstone,Wivenhoe,Wynyard Central,Wynyard West,Yolla,Zeehan,Total Ordinary Votes,Burnie Pre-Poll,Devonport Pre-Poll,Queenstown Pre-Poll,Smithton Pre-Poll,Out of Division Pre-Poll,Braddon Postal 1 (Telephone Votes),Braddon Postal 2 and 3,Mobile,Out of Division,Provisional,Total
"BLEYER, Vanessa",34,6,23,2,27,18,30,70,27,12,31,36,4,14,4,34,16,5,6,5,2,1,38,4,12,16,5,2,14,59,93,3,9,2,6,6,23,7,5,13,10,3,13,23,4,6,27,19,3,9,28,1,42,53,25,50,5,6,38,9,47,20,5,6,"1,176",163,286,10,20,15,101,106,9,33,5,"1,924"
"FERGUS, Haru",4,2,4,2,3,5,7,17,8,7,8,14,0,1,1,3,0,0,1,0,0,0,6,0,1,4,0,1,1,13,14,0,3,0,2,0,4,3,0,4,1,1,5,8,1,1,3,1,3,0,3,0,5,16,4,9,1,1,10,2,9,0,2,1,230,40,56,6,6,6,5,24,3,15,1,392
"JORDAN, Scott",15,3,14,2,5,1,9,24,9,1,8,14,1,3,1,5,4,0,3,0,1,0,20,0,3,11,2,0,1,19,18,3,3,0,2,0,13,4,1,10,1,1,9,10,5,0,11,3,1,2,7,1,2,9,6,25,2,2,18,0,13,5,0,5,371,78,92,7,8,2,12,40,8,22,5,645
"KINGSTON, Thomas",16,2,12,0,4,1,10,20,11,7,11,4,0,2,0,5,4,0,3,2,0,2,8,0,4,6,1,3,2,13,16,1,5,2,3,0,6,3,0,5,0,2,4,4,3,1,11,2,3,1,1,1,1,7,2,13,1,1,11,3,5,6,4,4,285,36,54,5,9,2,7,18,6,6,1,429
"MORROW, Erin",13,3,15,3,7,6,13,38,17,3,16,14,0,4,2,9,2,1,8,3,3,0,28,1,1,10,0,1,5,24,26,0,2,0,4,2,21,1,3,10,4,0,8,9,1,1,8,2,1,2,9,0,7,9,7,18,3,3,16,2,15,13,0,2,459,88,102,5,14,8,26,36,4,30,1,773
"WARD, Susanne",16,0,7,1,5,7,7,21,15,5,9,16,1,3,0,10,1,0,1,3,1,0,14,2,1,8,0,0,2,18,22,0,1,1,2,4,8,1,1,5,1,0,10,11,3,0,9,0,0,1,9,2,6,10,4,20,0,3,13,3,8,4,4,4,344,59,90,6,7,5,14,24,7,23,4,583
"WILDEN, Petra",14,2,8,1,3,8,11,12,12,4,11,10,1,3,1,5,3,3,2,2,1,1,18,1,1,7,3,1,2,12,15,1,3,1,4,1,13,5,1,4,1,0,5,5,3,1,9,1,0,1,8,0,6,10,2,11,0,2,10,1,7,5,1,1,301,52,65,4,3,8,7,27,6,19,2,494
Tasmanian Greens,112,18,83,11,54,46,87,202,99,39,94,108,7,30,9,71,30,9,24,15,8,4,132,8,23,62,11,8,27,158,204,8,26,6,23,13,88,24,11,51,18,7,54,70,20,10,78,28,11,16,65,5,69,114,50,146,12,18,116,20,104,53,16,23,"3,166",516,745,43,67,46,172,275,43,148,19,"5,240"
"BALDOCK, Claudia",4,1,1,1,0,0,3,3,0,3,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,16,0,2,1,0,0,0,0,1,3,0,0,1,1,0,0,2,0,0,0,0,0,1,2,2,3,0,1,0,1,1,1,0,0,63,7,12,2,0,0,4,2,1,1,0,92
"COURTNEY, Andrea",2,1,1,0,3,0,2,5,2,2,0,2,0,3,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,6,3,1,0,0,0,1,3,0,0,0,0,0,1,2,1,2,1,0,0,1,1,1,0,3,3,4,0,0,2,0,13,3,0,1,82,17,14,2,1,2,6,10,3,3,0,140
"HARRISON, Cristale",0,0,1,0,1,0,2,7,2,1,3,4,0,0,0,0,4,0,0,0,0,0,5,0,0,2,0,0,0,0,28,1,0,0,0,0,1,3,0,0,0,0,2,1,0,0,1,0,0,0,2,0,4,1,1,4,1,1,3,0,1,0,0,1,88,7,19,0,1,0,4,4,1,2,0,126
"MARTIN, Adam",19,3,17,1,16,3,5,21,7,2,14,24,0,6,0,9,6,0,6,6,7,0,18,0,2,12,1,1,4,20,18,8,1,2,25,3,15,2,0,11,2,0,1,25,4,2,12,0,8,2,10,0,15,9,13,20,1,6,15,7,20,14,5,3,509,117,104,6,10,4,18,55,13,8,5,849
"REDGRAVE, James",2,0,2,0,1,0,5,6,2,3,2,2,0,1,2,0,3,0,0,1,0,0,13,0,1,0,2,1,0,2,16,0,2,1,0,0,1,9,1,1,0,0,2,1,0,0,5,0,0,0,0,0,2,6,3,5,0,1,6,2,0,3,0,0,118,14,29,0,7,1,0,18,1,7,0,195
"RYAN, Malcolm",0,0,3,0,1,0,3,2,3,2,4,1,0,0,0,1,1,0,2,2,1,0,8,0,4,2,1,0,0,0,6,0,0,0,4,0,2,0,2,5,0,0,1,3,1,0,2,0,0,0,2,0,6,8,0,6,0,4,1,2,4,0,0,3,103,18,30,2,2,0,3,21,3,2,0,184
Group B,27,5,25,2,22,3,20,44,16,13,26,34,0,10,2,11,14,0,8,10,9,0,47,0,7,16,6,2,5,29,87,10,5,4,29,4,22,14,4,20,2,0,8,33,6,4,23,0,8,3,15,1,28,29,22,42,2,13,27,12,39,21,5,8,963,180,208,12,21,7,35,110,22,23,5,"1,586"
"BADCOCK, Joel",6,1,4,0,4,0,7,48,14,6,19,23,1,1,0,1,4,1,0,2,0,0,22,0,3,7,1,0,2,6,23,0,4,2,5,0,4,2,6,2,0,0,5,2,1,1,9,0,2,1,1,0,12,13,9,19,1,8,6,2,0,2,3,1,329,17,95,1,3,2,9,32,1,12,0,501
