Candidates,Adventure Bay,Alonnah,Bellerive,Blackmans Bay,Blackmans Bay South,Cambridge,Clarence,Clarendon Vale,Cradoc,Cygnet,Dover,Geeveston,Geilston Bay,Glen Huon,Howden,Howrah,Huonville,Judbury,Kettering,Kingston,Kingston Beach,Lauderdale,Lindisfarne,Lindisfarne Village,Maranoa Heights,Margate,Middleton,Montagu Bay,Mornington,Mountain River,Ranelagh,Risdon Vale,Rokeby,Sandfly,Sandford,Seven Mile Beach,Snug,South Arm,Southport,Tranmere,Warrane,Woodbridge,Total Ordinary Votes,Kingston Pre-Poll,Rosny Pre-Poll,Out of Division Pre-Poll,Franklin Postal 1 (Telephone Votes),Franklin Postal 2 and 3,Mobile,Out of Division,Provisional,Total
"BROWN, Meg",3,3,104,41,20,47,86,145,13,17,13,28,49,11,3,126,39,2,8,92,15,96,49,53,37,28,10,44,96,9,26,179,214,14,38,21,22,13,4,68,67,6,"1,959",205,316,206,104,252,17,128,9,"3,196"
"DEANE, Kaspar",7,9,18,33,27,10,15,14,10,28,13,20,14,7,6,31,33,5,8,128,16,18,6,18,34,61,10,18,8,9,19,10,16,9,10,4,37,6,2,19,14,14,794,276,84,79,29,82,14,55,3,"1,416"
"DI VIRGILIO, Traycee",1,3,9,6,2,8,8,14,5,9,0,6,10,3,0,9,15,2,2,17,2,13,5,6,2,8,2,4,8,3,5,18,15,2,5,1,6,1,1,9,5,3,253,33,24,26,4,23,11,20,2,396
"HANNAN, Chris",0,2,12,7,7,9,7,12,4,8,8,7,10,1,2,16,18,1,2,26,2,15,9,7,9,5,2,5,11,5,7,15,12,2,11,7,6,2,1,8,3,1,304,52,33,37,20,33,10,29,6,524
"MEYERS, Amelia",1,1,15,5,7,6,15,13,4,16,13,11,23,7,3,17,18,6,2,22,8,11,11,14,6,14,2,8,17,4,11,20,20,6,10,5,8,8,1,13,7,3,412,65,53,40,9,47,9,52,0,687
"MUNDAY, Jess",3,3,57,67,33,48,37,38,6,30,24,30,40,5,11,78,83,5,7,106,32,54,40,35,32,50,6,23,30,22,28,48,48,20,42,26,20,11,2,44,17,12,"1,353",206,179,143,30,137,18,91,12,"2,169"
"WINTER, Dean",13,24,152,95,122,108,156,101,29,108,82,115,142,21,37,196,185,24,46,350,113,180,130,152,91,141,30,88,109,51,102,151,126,55,114,87,101,56,15,191,55,31,"4,275","1,193",829,605,205,765,94,249,26,"8,241"
Australian Labor Party,28,45,367,254,218,236,324,337,71,216,153,217,288,55,62,473,391,45,75,741,188,387,250,285,211,307,62,190,279,103,198,441,451,108,230,151,200,97,26,352,168,70,"9,350","2,030","1,518","1,136",401,"1,339",173,624,58,"16,629"
"O'BYRNE, David",20,28,191,85,105,150,178,143,48,65,56,96,159,31,16,274,176,17,24,290,63,266,164,174,71,137,14,121,116,42,88,224,179,70,152,86,82,57,9,228,62,16,"4,573",947,944,651,129,666,44,234,35,"8,223"
Group B,20,28,191,85,105,150,178,143,48,65,56,96,159,31,16,274,176,17,24,290,63,266,164,174,71,137,14,121,116,42,88,224,179,70,152,86,82,57,9,228,62,16,"4,573",947,944,651,129,666,44,234,35,"8,223"
"ALLINSON, Rayne",0,1,2,1,3,2,5,1,0,8,2,5,4,2,0,5,0,1,2,6,1,2,0,3,3,1,4,3,1,2,2,3,3,2,2,0,1,0,0,2,0,0,85,19,7,5,10,10,0,6,1,143
"BACON, Kirsten",0,0,7,1,2,6,0,2,3,6,2,1,3,0,1,8,8,2,0,10,7,4,1,3,3,4,2,2,1,1,5,7,5,4,3,4,5,0,0,7,0,2,132,29,16,11,7,23,3,10,0,231
"CHERRIE, Louise",0,0,6,2,3,4,1,3,1,7,0,1,5,3,0,1,4,2,0,5,2,2,4,2,1,1,0,2,2,0,4,1,1,3,5,0,1,0,1,4,0,1,85,13,9,11,7,13,0,4,4,146
