PollingPlaceNm,PremisesNm,PremisesAddress,PremisesSuburb
Adventure Bay,Adventure Bay Hall,5 Kellaway Rd,Adventure Bay
Alonnah,Bruny Island District School,15 School Rd,Alonnah
Bellerive,Bellerive Primary School,20 Leslie St,Bellerive
Clarence,Clarence High School,25 Wentworth St,Bellerive
Blackmans Bay,Blackmans Bay Primary School,177 Roslyn Ave,Blackmans Bay
Blackmans Bay South,Illawarra Primary School,6 Tinderbox Rd,Blackmans Bay
Cambridge,Cambridge Primary School,976 Cambridge Rd,Cambridge
Clarendon Vale,Clarendon Vale Primary School,25 Mockridge Rd,Clarendon Vale
Cradoc,Cradoc Park,8243 Channel Hwy,Cradoc
Cygnet,Cygnet Sports Centre,19 Louisa St,Cygnet
Dover,Dover District School,6940 Huon Hwy,Dover
Geeveston,Geeveston Primary School,63 Arve Rd,Geeveston
Geilston Bay,Lindisfarne North Primary School,271 East Derwent Hwy,Geilston Bay
Glen Huon,Glen Huon Primary School,801 Glen Huon Rd,Glen Huon
Mountain River,Grove Fire Station,41 Crabtree Rd,Grove
Howden,Howden Fire Station,392 Howden Rd,Howden
Howrah,Howrah Scout Hall,Howrah Rd,Howrah
Tranmere,Tranmere Hall,27 Tranmere Rd,Howrah
Huonville,Huonville Primary School,74 Wilmot Rd,Huonville
Judbury,Judbury Community Centre,1273 Glen Huon Rd,Judbury
Kettering,Kettering Community Centre,2963 Channel Hwy,Kettering
Kingston,Kingborough Community Hub,7 Goshawk Way,Kingston
Maranoa Heights,Southern Christian College,150 Redwood Rd,Kingston
Kingston Beach,Kingston Beach Community Hall,20 Beach Rd,Kingston Beach
Lauderdale,Lauderdale Primary Sports Centre,3 Acton Rd,Lauderdale
Lindisfarne Village,Lindisfarne Community Activities Centre,37A Lincoln St,Lindisfarne
Lindisfarne,Lindisfarne Primary School,17 Loatta Rd,Lindisfarne
Margate,Margate Primary School,7 Van Morey Rd,Margate
Middleton,South Channel Community Centre,McDowall St,Middleton
Montagu Bay,Montagu Bay Primary School,10 Conara Rd,Montagu Bay
Mornington,Citywide Baptist Church,400 Cambridge Rd,Mornington
Ranelagh,Ranelagh Soldiers Memorial Hall,40 Marguerite St,Ranelagh
Risdon Vale,Risdon Vale Primary School,2 Heather Rd,Risdon Vale
Rokeby,Emmanuel Christian School,1 Chipmans Rd,Rokeby
Sandfly,Sandfly Hall,811 Sandfly Rd,Sandfly
Sandford,Sandford Hall,949 South Arm Rd,Sandford
Seven Mile Beach,Club Wyndham,78 Surf Rd,Seven Mile Beach
Snug,Snug Primary School,2208 Channel Hwy,Snug
South Arm,South Arm Primary School,32 Harmony Lane,South Arm
Southport,Southport Community Centre,8606 Huon Hwy,Southport
Warrane,Eastside Lutheran College,15 Acorn Dr,Warrane
Woodbridge,Woodbridge Hall,3445 Channel Hwy,Woodbridge
