PollingPlaceNm,PremisesNm,PremisesAddress,PremisesSuburb
Avoca,Avoca War Memorial Hall,3 Falmouth St,Avoca
Bagdad,Bagdad Primary School,46-48 School Rd,Bagdad
Bicheno,Bicheno War Memorial Hall,78 Burgess St,Bicheno
Bothwell,Bothwell Town Hall,Alexander St,Bothwell
Bracknell,Bracknell War Memorial Hall,Cnr Louisa and Amelia St,Bracknell
Bridgewater,Brighton Civic Centre,25 Green Point Rd,Bridgewater
Brighton,Brighton Primary School,27 Downie St,Brighton
Broadmarsh,Broadmarsh Hall,1218 Elderslie Rd,Broadmarsh
Campania,Campania Hall,45 Reeve St,Campania
Campbell Town,Campbell Town Town Hall,75 High St,Campbell Town
Carrick,Carrick Public Hall,29 Meander Valley Rd,Carrick
Chudleigh,Chudleigh Memorial Hall,54 Sorell St,Chudleigh
Claude Road,Claude Road Memorial Hall,787 Claude Rd,Claude Road
Colebrook,Colebrook Memorial Hall,45 Richmond St,Colebrook
Coles Bay,Coles Bay Community Hall,Harold St,Coles Bay
Copping,Copping Hall,69 Allanby St,Copping
Cressy,Cressy Community Hall,67 Main St,Cressy
Deloraine,Deloraine High School Hall,24 Lansdowne Pl,Deloraine
Dodges Ferry,Dodges Ferry Community Recreation Centre,532 Old Forcett Rd,Dodges Ferry
Dromedary,Dromedary (Millvale) Community Hall,14 Millvale Rd,Dromedary
Dunalley,Dunalley Community Hall,5 Franklin St,Dunalley
Elizabeth Town,Elizabeth Town Fire Station,5816 Bass Hwy,Elizabeth Town
Epping,Epping Forest Public Hall,13515 Midland Hwy,Epping Forest
Evandale,Evandale Primary School,5/8 Barclay St,Evandale
Fingal,Fingal Neighbourhood House,20 Talbot St,Fingal
Gagebrook,Gagebrook Primary School,4 Tottenham Rd,Gagebrook
Glenora,Glenora District High School,620 Gordon River Rd,Glenora
Granton,Granton Memorial Hall,Lyell Hwy,Granton
Hadspen,Hadspen Uniting Church Centre,47 Main St,Hadspen
Hagley,Hagley Farm Primary School,2508 Meander Valley Rd,Hagley
Kempton,Kempton Council Chambers,85 Main St,Kempton
Lachlan,Lachlan Community Hall,511 Lachlan Rd,Lachlan
Longford,Longford Primary School,Catherine St & William St,Longford
Lower Barrington,Lower Barrington Hall,1027 Sheffield Rd,Lower Barrington
Magra,Magra CWA Building,Back River Rd,Magra
Meander,Meander Memorial Hall,124 Main Rd,Meander
Midway Point,Midway Point Community Hall,Raynors Rd,Midway Point
Miena,Great Lake Community Centre,55-57 Cider Gum Rd,Miena
Mole Creek,Mole Creek Primary School,4 Caveside Rd,Mole Creek
Molesworth,Molesworth Primary School,540 Molesworth Rd,Molesworth
New Norfolk North,Fairview Primary School,211 Back River Rd,New Norfolk
New Norfolk,New Norfolk Primary School,8 Pioneer Ave,New Norfolk
Nubeena,Tasman Civic Centre,21 Clarke St,Nubeena
Oatlands,Oatlands District High School,27 Church St,Oatlands
Old Beach,Old Beach Community Centre,Jetty Rd,Old Beach
Orford,Orford Primary School,35 Charles St,Orford
Ouse,Ouse Online Access Centre,6947 Lyell Hwy,Ouse
Perth,Perth Community Centre,173 Fairtlough St,Perth
Pontville,Pontville Memorial Hall,244 Brighton Rd,Pontville
Primrose Sands,Primrose Sands Community Hall,570 Primrose Sands Rd,Primrose Sands
Prospect Vale,Launceston Residential Village,12 Casino Rise,Prospect Vale
Railton,Sheffield School (Railton Campus),94 Foster St,Railton
Richmond,Richmond Primary School,Commercial Rd,Richmond
Ross,Ross Town Hall,12 Bridge St,Ross
Scamander,Scamander Sports Complex,Coach Rd,Scamander
Sheffield,Sheffield School,12 Henry St,Sheffield
Sorell,Sorell Memorial Hall,49 Cole St,Sorell
St Helens,Portland Memorial Hall,39 Cecilia St,St Helens
St Marys,St Marys Community Hall,23 Main St,St Marys
Swansea,Swansea Town Hall,12 Franklin St,Swansea
Taranna,Tasman Community Centre,33 Amy St,Taranna
Tea Tree,Tea Tree Community Hall,596 Tea Tree Rd,Tea Tree
Triabunna,Triabunna Hall,3 Vicary St,Triabunna
Tunnack,Tunnack Public Hall,Tunnack Rd,Tunnack
Westbury,Westbury Town Hall,26 Lyall St,Westbury
Westerway,Westerway Primary School,1619 Gordon River Rd,Westerway
Wilmot,Wilmot Memorial Hall,53 Main St,Wilmot
