Candidates,Avoca,Bagdad,Bicheno,Bothwell,Bracknell,Bridgewater,Brighton,Broadmarsh,Campania,Campbell Town,Carrick,Chudleigh,Claude Road,Colebrook,Coles Bay,Copping,Cressy,Deloraine,Dodges Ferry,Dromedary,Dunalley,Elizabeth Town,Epping,Evandale,Fingal,Gagebrook,Glenora,Granton,Hadspen,Hagley,Kempton,Lachlan,Longford,Lower Barrington,Magra,Meander,Midway Point,Miena,Mole Creek,Molesworth,New Norfolk,New Norfolk North,Nubeena,Oatlands,Old Beach,Orford,Ouse,Perth,Pontville,Primrose Sands,Prospect Vale,Railton,Richmond,Ross,Scamander,Sheffield,Sorell,St Helens,St Marys,Swansea,Taranna,Tea Tree,Triabunna,Tunnack,Westbury,Westerway,Wilmot,Total Ordinary Votes,Granton Pre-Poll,New Norfolk Pre-Poll,Sorell Pre-Poll,St Helens Pre-Poll,Out of Division Pre-Poll,Lyons Postal 1 (Telephone Votes),Lyons Postal 2 and 3,Mobile,Out of Division,Provisional,Total
"DI FALCO, Carlo",25,91,44,33,49,133,128,18,59,62,62,15,31,23,5,13,83,94,80,21,17,24,13,59,27,82,17,18,76,21,30,38,117,42,30,21,37,15,26,37,83,82,38,42,86,23,36,113,44,38,24,83,22,21,9,94,110,68,47,41,13,24,55,26,80,34,24,"3,176",55,77,378,89,453,39,346,20,400,17,"5,050"
"Shooters, Fishers, Farmers TAS",25,91,44,33,49,133,128,18,59,62,62,15,31,23,5,13,83,94,80,21,17,24,13,59,27,82,17,18,76,21,30,38,117,42,30,21,37,15,26,37,83,82,38,42,86,23,36,113,44,38,24,83,22,21,9,94,110,68,47,41,13,24,55,26,80,34,24,"3,176",55,77,378,89,453,39,346,20,400,17,"5,050"
"HADDON-CAVE, Francis",0,1,2,1,3,11,5,0,1,1,4,1,1,0,0,0,1,7,0,2,2,1,0,2,0,0,0,0,3,0,0,3,5,3,1,0,2,0,2,0,0,0,1,1,2,1,3,4,0,2,4,4,1,0,0,2,4,5,0,1,1,0,1,1,4,5,3,115,3,3,14,6,19,5,14,4,15,2,200
"JENNER, Andrew",0,5,3,0,2,15,6,1,15,0,8,1,7,2,0,5,4,7,20,0,3,3,2,9,3,6,0,0,10,0,3,2,17,3,1,0,12,2,0,2,6,4,7,3,12,11,4,12,6,5,6,3,91,4,2,12,22,7,1,5,5,4,8,1,6,2,3,431,6,8,152,10,76,33,82,0,34,1,833
"MANDELSON, Rick",0,2,1,2,1,7,3,0,3,2,2,0,1,0,1,1,2,6,3,0,2,0,0,2,0,3,2,1,6,3,1,0,7,2,1,1,2,2,2,0,1,3,2,40,4,1,3,4,1,0,2,3,0,5,2,2,4,5,2,6,0,0,0,7,4,0,0,175,2,2,6,5,19,4,31,0,18,1,263
"PYECROFT, Lesley",1,0,0,1,1,4,1,0,0,3,8,3,1,0,0,0,4,4,0,0,0,0,1,9,1,3,0,1,4,4,2,2,16,3,1,3,2,1,1,0,0,1,0,2,2,0,2,23,1,3,5,3,0,2,1,6,3,2,0,2,0,1,3,0,9,2,3,161,2,5,12,5,31,9,31,2,14,1,273
"TUCKER, John",12,7,19,12,18,7,9,1,9,21,25,8,10,3,3,2,17,37,8,7,8,16,6,29,14,5,3,1,16,9,5,11,45,16,5,5,4,5,3,2,8,5,9,8,8,6,8,40,4,4,26,11,4,3,32,22,24,66,40,20,4,0,1,2,39,0,6,843,8,11,95,192,148,45,190,7,66,3,"1,608"
The Nationals,13,15,25,16,25,44,24,2,28,27,47,13,20,5,4,8,28,61,31,9,15,20,9,51,18,17,5,3,39,16,11,18,90,27,9,9,22,10,8,4,15,13,19,54,28,19,20,83,12,14,43,24,96,14,37,44,57,85,43,34,10,5,13,11,62,9,15,"1,725",21,29,279,218,293,96,348,13,147,8,"3,177"
"ALLAN, Alistair",2,6,4,1,6,20,19,1,6,6,4,3,6,3,1,5,2,21,79,5,8,1,0,3,0,6,2,5,7,4,4,4,19,4,0,5,16,0,3,5,10,6,5,3,18,4,5,18,6,9,8,5,9,0,4,10,31,13,5,5,6,4,3,1,18,1,2,505,2,14,87,9,93,73,64,5,77,3,932
"BADGER, Tabatha",7,30,74,15,16,39,47,9,31,29,37,26,40,6,42,44,22,226,303,18,47,27,6,89,9,17,22,7,38,14,13,31,93,24,8,56,73,15,20,36,106,48,70,37,77,52,17,96,24,41,61,20,91,26,45,48,156,87,57,73,40,5,26,7,118,45,23,"3,202",31,78,550,163,520,200,405,16,320,22,"5,507"
"BROWN, Craig",0,4,11,2,0,17,8,3,5,4,3,3,6,1,0,5,2,20,12,5,10,1,0,4,1,6,2,0,13,1,3,4,25,8,2,4,10,4,1,1,11,6,36,3,14,1,1,11,7,5,8,10,6,2,9,6,19,9,6,4,5,1,1,2,10,3,4,411,4,8,81,19,92,28,45,2,83,3,776
"CAVANAGH, Joey",2,2,5,1,0,18,7,3,3,5,6,2,7,1,1,4,1,9,13,2,0,0,0,3,0,2,1,4,2,0,3,1,11,6,0,3,17,1,1,3,8,2,9,3,20,2,2,14,2,4,4,4,6,1,2,8,12,7,9,3,2,3,3,1,13,1,3,298,2,10,39,13,50,2,31,1,65,3,514
"HOUGHTON, Mitch",2,6,5,0,1,13,9,1,5,3,4,0,3,1,3,1,1,11,23,1,5,1,1,5,3,8,1,1,7,1,5,2,11,3,0,3,11,1,2,1,8,6,12,3,13,1,0,12,7,5,8,5,6,3,4,8,20,5,4,4,1,3,1,0,13,1,6,324,4,15,42,19,61,5,37,2,53,1,563
"RUBENACH-QUINN, Hannah",4,6,11,0,6,30,25,5,7,10,8,4,10,1,2,4,3,29,18,9,4,2,1,5,1,5,3,5,17,4,3,4,20,13,2,1,23,0,2,7,18,8,12,5,16,3,1,20,10,7,10,7,10,2,14,14,24,21,23,12,3,3,6,0,12,6,6,587,8,10,74,51,112,15,76,4,110,6,"1,053"
"SHAPCOTT, Isabel",1,3,6,1,3,29,20,1,2,9,6,2,7,1,1,1,10,23,15,6,6,3,0,6,2,13,0,3,12,4,1,6,17,5,1,1,9,2,4,2,14,4,8,3,17,4,1,17,6,9,12,4,10,1,4,9,23,11,6,8,1,2,3,2,15,0,6,444,7,13,56,25,109,9,53,6,88,3,813
Tasmanian Greens,18,57,116,20,32,166,135,23,59,66,68,40,79,14,50,64,41,339,463,46,80,35,8,115,16,57,31,25,96,28,32,52,196,63,13,73,159,23,33,55,175,80,152,57,175,67,27,188,62,80,111,55,138,35,82,103,285,153,110,109,58,21,43,13,199,57,50,"5,771",58,148,929,299,"1,037",332,711,36,796,41,"10,158"
"OFFORD, Angela",0,2,11,6,3,15,9,2,8,8,10,4,7,0,1,2,8,27,18,0,6,4,1,51,2,4,1,2,13,1,0,4,26,11,1,2,10,0,1,0,14,3,15,3,11,9,3,30,6,3,20,8,6,2,1,18,22,10,8,7,3,4,9,0,31,1,5,533,5,9,56,22,117,27,111,1,57,3,941
Group D,0,2,11,6,3,15,9,2,8,8,10,4,7,0,1,2,8,27,18,0,6,4,1,51,2,4,1,2,13,1,0,4,26,11,1,2,10,0,1,0,14,3,15,3,11,9,3,30,6,3,20,8,6,2,1,18,22,10,8,7,3,4,9,0,31,1,5,533,5,9,56,22,117,27,111,1,57,3,941
"BATT, Edwin",3,72,7,33,4,47,53,11,16,12,4,1,3,9,1,2,2,18,15,6,3,2,3,10,6,18,4,4,10,0,97,14,18,9,5,2,13,6,3,4,18,17,15,54,29,6,5,18,21,9,9,10,9,5,2,9,29,9,4,8,3,3,10,9,15,5,1,882,21,21,103,24,127,53,94,14,83,6,"1,428"
"BUTLER, Jen",16,57,51,12,14,378,209,18,22,60,48,6,10,10,2,11,33,88,72,27,14,5,10,41,51,160,14,26,98,10,10,33,190,23,22,8,81,16,5,11,112,65,50,33,178,22,13,136,66,41,72,48,38,28,37,65,111,100,53,49,14,21,38,11,102,11,8,"3,494",132,187,440,294,696,146,628,58,356,14,"6,445"
"CAMPBELL, Shannon",4,17,4,4,2,48,47,4,13,9,7,2,9,4,0,14,5,23,68,5,27,5,3,10,4,21,4,10,21,1,1,9,23,8,5,3,44,0,2,5,24,16,21,8,46,12,5,32,12,20,29,8,16,5,7,16,93,16,6,11,18,7,13,1,19,4,4,964,16,27,257,32,153,18,112,15,133,5,"1,732"
"FARRELL, Casey",3,19,9,5,7,79,61,8,19,13,7,1,8,8,3,5,3,29,48,9,9,4,1,8,4,46,17,20,33,4,1,39,24,12,48,5,53,5,1,47,174,94,34,12,75,8,19,26,16,23,18,11,33,7,7,18,90,17,8,12,11,4,6,5,19,26,4,"1,502",41,170,255,28,227,53,178,28,148,10,"2,640"
"GOSS, Richard",15,9,12,2,28,58,36,2,12,33,29,8,10,1,2,0,101,34,17,8,3,1,4,75,4,24,4,6,81,12,1,9,297,6,3,12,16,7,20,1,16,11,14,8,35,2,3,285,12,12,62,22,6,13,6,16,32,21,7,8,4,3,11,2,47,11,5,"1,677",13,28,103,30,296,49,201,24,247,6,"2,674"
"MITCHELL, Brian",10,44,32,15,15,151,165,7,39,39,28,16,25,13,7,12,12,93,115,29,12,14,7,51,18,70,11,17,78,15,17,22,69,27,16,15,94,14,12,13,74,51,55,34,125,26,15,85,58,37,87,28,70,22,21,47,137,37,35,43,27,15,34,11,77,16,8,"2,734",89,129,721,134,521,82,630,49,301,10,"5,400"
"O'DONNELL, Saxon",1,4,6,3,2,34,21,3,5,9,6,2,2,1,3,1,3,12,26,8,7,3,1,3,3,13,6,7,19,4,3,6,18,3,5,3,17,2,5,2,25,18,10,7,26,4,6,21,10,10,17,11,9,3,3,15,12,8,5,11,2,1,9,2,16,5,3,551,19,17,103,32,83,10,67,9,94,5,990
Australian Labor Party,52,222,121,74,72,795,592,53,126,175,129,36,67,46,18,45,159,297,361,92,75,34,29,198,90,352,60,90,340,46,130,132,639,88,104,48,318,50,48,83,443,272,199,156,514,80,66,603,195,152,294,138,181,83,83,186,504,208,118,142,79,54,121,41,295,78,33,"11,804",331,579,"1,982",574,"2,103",411,"1,910",197,"1,362",56,"21,309"
"BARNETT, Guy",22,96,72,13,35,163,241,26,44,65,115,30,41,18,17,15,84,246,83,47,22,41,12,126,35,74,41,56,213,38,25,50,258,130,99,29,83,12,36,30,167,138,28,79,249,37,30,324,71,27,198,92,78,28,39,171,147,106,47,97,17,25,41,19,170,38,17,"5,363",138,249,537,291,"1,336",329,926,63,719,24,"9,975"
"CAMERON, Stephanie",3,13,16,1,39,59,50,2,7,15,120,84,11,3,3,1,22,239,24,9,1,31,4,30,3,11,3,5,94,57,5,9,68,16,13,45,16,1,54,9,22,15,5,7,52,6,3,70,12,4,58,29,14,7,6,41,32,10,6,14,2,14,3,4,133,6,5,"1,776",14,23,77,35,334,62,229,12,223,8,"2,793"
"GROVES, Bree",0,10,5,2,8,26,43,4,10,5,16,0,1,2,2,1,6,11,9,3,3,2,2,10,2,18,2,2,25,13,4,3,18,5,8,2,14,1,3,6,19,17,5,8,17,3,3,38,3,3,18,10,5,6,8,14,21,11,5,5,4,5,6,0,22,8,5,576,11,22,59,24,110,17,60,6,108,3,996
"HALLETT, Richard",13,35,14,73,5,49,92,27,28,21,11,1,9,5,2,5,16,31,17,9,9,2,3,17,7,14,21,16,20,4,24,14,43,9,28,4,22,8,3,11,52,29,14,40,40,16,47,26,38,8,17,18,27,14,5,19,43,10,8,23,7,11,11,11,24,22,6,"1,328",42,72,127,22,199,41,148,13,130,7,"2,129"
