Year,Election,Electorate,Primary vote,Seats
2018,State,Bass,9.3,0
2018,State,Braddon,3.6,0
2018,State,Clark,17.5,1
2018,State,Franklin,14.4,1
2018,State,Lyons,6.5,0
2018,State,Tasmania,10.3,2
2014,State,Bass,12.7,1
2014,State,Braddon,7,0
2014,State,Clark,21.2,1
2014,State,Franklin,16.8,1
2014,State,Lyons,11.4,0
2014,State,Tasmania,13.8,3
2010,State,Bass,21,1
2010,State,Braddon,13.8,1
2010,State,Clark,24.9,1
2010,State,Franklin,27.4,1
2010,State,Lyons,21.1,1
2010,State,Tasmania,21.6,5
2006,State,Bass,13.6,1
2006,State,Braddon,10.3,0
2006,State,Clark,24.1,1
2006,State,Franklin,19.4,1
2006,State,Lyons,15.8,1
2006,State,Tasmania,16.6,4
2002,State,Bass,16.5,1
2002,State,Braddon,12,0
2002,State,Clark,24.5,1
2002,State,Franklin,20.4,1
2002,State,Lyons,17.4,1
2002,State,Tasmania,18.1,4
1998,State,Bass,9.1,0
1998,State,Braddon,8.1,0
1998,State,Clark,13.1,1
1998,State,Franklin,10.4,0
1998,State,Lyons,10.1,0
1998,State,Tasmania,10.2,0
1996,State,Bass,10.3,0
1996,State,Braddon,9.1,1
1996,State,Clark,14,1
1996,State,Franklin,10.7,1
1996,State,Lyons,11.4,1
1996,State,Tasmania,11.1,4
1992,State,Bass,11.4,1
1992,State,Braddon,8.8,1
1992,State,Clark,17.9,1
1992,State,Franklin,15.8,1
1992,State,Lyons,12.3,1
1992,State,Tasmania,13.2,5
1989,State,Bass,14.1,1
1989,State,Braddon,11.5,1
1989,State,Clark,23.5,1
1989,State,Franklin,19.7,1
1989,State,Lyons,16.8,1
1989,State,Tasmania,17.1,5
1986,State,Clark,18.6,1
1986,State,Franklin,11.9,1
1982,State,Clark,8.6,0
