PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Abbotsham,11,152,7.2,Braddon,Montgomery,Central Coast,"590 Castra Rd, ABBOTSHAM 7315",Abbotsham Hall,-41.213500,146.174000
Acton,46,1414,3.3,Braddon,Montgomery,Burnie City,"36 Thorne St, ACTON 7320",Burnie Child and Family Centre,-41.072640,145.892290
Heybridge,11,279,3.9,Braddon,Montgomery,Central Coast,"Sice Ave, HEYBRIDGE 7316",Blythe Heads Hall,-41.075100,145.986000
Boat Harbour,30,405,7.4,Braddon,Murchison,Waratah-Wynyard,"17386 Bass Hwy, BOAT HARBOUR 7321",Boat Harbour Primary School,-40.945200,145.636000
Burnie,78,1139,6.8,Braddon,Murchison,Burnie City,"80 Wilson St, BURNIE 7320",Burnie City Council Offices,-41.053200,145.906000
Calder,4,155,2.6,Braddon,Murchison,Waratah-Wynyard,"1320 Calder Rd, CALDER 7325",Calder Hall,-41.068500,145.631000
Cooee,52,838,6.2,Braddon,Murchison,Burnie City,"30 Fidler St, COOEE 7320",Cooee Primary School,-41.040760,145.868010
Currie,29,657,4.4,Braddon,Murchison,King Island,"10 George St, CURRIE 7256",Currie Town Hall,-39.929800,143.855000
Devonport Central,90,1228,7.3,Braddon,Mersey,Devonport City,"45 Stewart St, DEVONPORT 7310",Old Devonport Regional Gallery,-41.179983,146.359846
East Devonport,60,1975,3.0,Braddon,Mersey,Devonport City,"19-21 Thomas St, EAST DEVONPORT 7310",East Devonport Primary School,-41.177900,146.372000
Don,68,1124,6.0,Braddon,Mersey,Devonport City,"17 Forth Rd, DON 7310",Don Memorial Hall,-41.182700,146.318000
Edith Creek,9,208,4.3,Braddon,Murchison,Circular Head,"1282 Trowutta Rd, EDITH CREEK 7330",Edith Creek Primary School,-40.970500,145.092000
Elliott,24,357,6.7,Braddon,Murchison,Waratah-Wynyard,"829 Murchison Hwy, ELLIOTT 7325",Elliott Community Centre,-41.092200,145.782000
Forest,6,395,1.5,Braddon,Murchison,Circular Head,"422 Mengha Rd, FOREST 7330",Forest Primary School,-40.848600,145.248000
Forth,51,577,8.8,Braddon,Montgomery,Central Coast,"45 Wilmot Rd, FORTH 7310",Forth Primary School,-41.192921,146.248975
Gawler,14,438,3.2,Braddon,Montgomery,Central Coast,"15 Top Gawler Rd, GAWLER 7315",Gawler Hall,-41.185200,146.160000
Grassy,6,178,3.4,Braddon,Murchison,King Island,"10 Grassy Rd, GRASSY 7256",Grassy Club,-40.048400,144.058000
Havenview,16,484,3.3,Braddon,Montgomery,Burnie City,"15 Marriott St, HAVENVIEW 7320",Havenview Primary School,-41.083600,145.911000
Highclere,3,166,1.8,Braddon,Montgomery,Burnie City,"1558 Ridgley Hwy, HIGHCLERE 7321",Highclere Community Centre,-41.190400,145.806000
Irishtown,2,376,0.5,Braddon,Murchison,Circular Head,"604 Irishtown Rd, IRISHTOWN 7330",Irishtown Lodge Arthur Temple,-40.913300,145.145000
Shorewell Park,30,822,3.6,Braddon,Murchison,Burnie City,"41-43 Mooreville Rd, SHOREWELL PARK 7320",Hellyer College,-41.061280,145.881530
Marrawah,9,274,3.3,Braddon,Murchison,Circular Head,"844 Comeback Rd, MARRAWAH 7330",Marrawah Memorial Hall,-40.922900,144.697000
Melrose,14,233,6.0,Braddon,Mersey,Devonport City,"673 Melrose Rd, MELROSE 7310",Melrose Memorial Hall,-41.241700,146.289000
Montello,37,937,3.9,Braddon,Murchison,Burnie City,"83 Bird St, MONTELLO 7320",Montello Primary School,-41.060500,145.898000
Moorleah,13,191,6.8,Braddon,Murchison,Waratah-Wynyard,"720 Preolenna Rd, MOORLEAH 7321",Moorleah Community Centre,-40.981000,145.616000
