PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Austins Ferry,122,1755,7.0,Clark,Derwent,Glenorchy City,"195 Main Rd, AUSTINS FERRY 7011",St Virgil's College,-42.774487,147.251105
Battery Point,348,1053,33.0,Clark,Hobart,Hobart City,"10A Albuera St, BATTERY POINT 7004",Albuera Street Primary School,-42.891200,147.326000
Cascades,587,1145,51.3,Clark,Hobart,Hobart City,"59 Anglesea St, SOUTH HOBART 7004",South Hobart Primary School,-42.892494,147.310633
Chigwell,98,1336,7.3,Clark,Derwent,Glenorchy City,"10 Bucaan St, CHIGWELL 7011",Chigwell Barn,-42.811194,147.241655
Claremont,116,1456,8.0,Clark,Derwent,Glenorchy City,"29 Wyndham Rd, CLAREMONT 7011",Holy Rosary Catholic School,-42.789471,147.248469
Collinsvale,60,365,16.4,Clark,Elwick,Glenorchy City,"508 Collinsvale Rd, COLLINSVALE 7012",Collinsvale Primary School,-42.836700,147.198000
Dynnyrne,394,1208,32.6,Clark,Nelson,Hobart City,"Randall St, SANDY BAY 7005",Princes Street Primary School,-42.898400,147.319000
Fern Tree,268,522,51.3,Clark,Hobart,Hobart City,"8 Stephenson Pl, FERN TREE 7054",Fern Tree Community Centre,-42.922300,147.262000
Glenorchy,286,2794,10.2,Clark,Elwick,Glenorchy City,"Kensington St, GLENORCHY 7010",Glenorchy Primary School,-42.832391,147.266343
Glenorchy Central,108,736,14.7,Clark,Elwick,Glenorchy City,"8A Constance Ave, GLENORCHY 7010",YMCA of Hobart,-42.832197,147.278997
Goodwood,57,483,11.8,Clark,Elwick,Glenorchy City,"4 Rothesay Cir, GOODWOOD 7010",Karadi Aboriginal Corporation,-42.826763,147.292683
Hobart City (Clark),351,926,37.9,Clark,Hobart,Hobart City,"144 Macquarie St, HOBART 7000",Hobart Voting Centre,-42.885223,147.327458
Kingston (Clark),167,634,26.3,Clark,Nelson,Kingborough,"7 Goshawk Way, KINGSTON 7050",Kingborough Community Hub,-42.976944,147.308333
Kingston Beach (Clark),133,399,33.3,Clark,Nelson,Kingborough,"20 Beach Rd, KINGSTON BEACH 7050",Kingston Beach Hall,-42.981534,147.323507
Lenah Valley,596,2423,24.6,Clark,Elwick,Hobart City,"11 Creek Rd, LENAH VALLEY 7008",Lenah Valley Primary School,-42.861200,147.290000
Lower Sandy Bay,266,1567,17.0,Clark,Nelson,Hobart City,"520 Sandy Bay Rd, SANDY BAY 7005",St Stephen's Church Hall,-42.908700,147.346000
Lutana,166,916,18.1,Clark,Elwick,Glenorchy City,"12 Ashbolt Cres, LUTANA 7009",Southern ITF Taekwon-Do,-42.843166,147.309154
Merton,197,1733,11.4,Clark,Elwick,Glenorchy City,"148 Tolosa St, GLENORCHY 7010",Tolosa Hall,-42.845500,147.265000
Moonah,273,1622,16.8,Clark,Elwick,Glenorchy City,"73 Hopkins St, MOONAH 7009",Salvation Army Community Centre,-42.845951,147.296066
