PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Adventure Bay,43,173,24.9,Franklin,Huon,Kingborough,"Adventure Bay Rd, ADVENTURE BAY 7150",Adventure Bay Hall,-43.345800,147.321000
Alonnah,68,285,23.9,Franklin,Huon,Kingborough,"15 School Rd, ALONNAH 7150",Bruny Island District School,-43.318070,147.244455
Bellerive,257,1596,16.1,Franklin,Pembroke,Clarence City,"cnr Clarence St & Scott St, BELLERIVE 7018",St Mark's Church,-42.875156,147.371378
Blackmans Bay,424,1844,23.0,Franklin,Nelson,Kingborough,"177 Roslyn Ave, BLACKMANS BAY 7052",Blackmans Bay Primary School,-42.996938,147.321219
Blackmans Bay South,195,913,21.4,Franklin,Huon,Kingborough,"24 Ocean Esp, BLACKMANS BAY 7052",Blackmans Bay Hall,-43.002500,147.324000
Cambridge,210,1510,13.9,Franklin,Rumney,Clarence City,"976 Cambridge Rd, CAMBRIDGE 7170",Cambridge Primary School,-42.836200,147.442000
Clarence,306,1804,17.0,Franklin,Pembroke,Clarence City,"25 Wentworth St, BELLERIVE 7018",Clarence High School,-42.878400,147.389000
Clarendon Vale,38,824,4.6,Franklin,Rumney,Clarence City,"25 Mockridge Rd, CLARENDON VALE 7019",Clarendon Vale Primary School,-42.887300,147.445000
Cradoc,116,603,19.2,Franklin,Huon,Huon Valley,"8243 Channel Hwy, CRADOC 7109",Cradoc Park,-43.106400,147.034000
Cygnet,534,1813,29.5,Franklin,Huon,Huon Valley,"14 Mary St, CYGNET 7112",Cygnet Town Hall,-43.161953,147.077734
Dover,76,683,11.1,Franklin,Huon,Huon Valley,"6940 Huon Hwy, DOVER 7117",Dover District High School,-43.310500,147.013000
Franklin,152,659,23.1,Franklin,Huon,Huon Valley,"10 New Rd, FRANKLIN 7113",Franklin Primary School,-43.085654,147.012018
Geeveston,128,1113,11.5,Franklin,Huon,Huon Valley,"63 Arve Rd, GEEVESTON 7116",Geeveston Primary School,-43.162500,146.922000
Geilston Bay,263,1942,13.5,Franklin,Pembroke,Clarence City,"271 East Derwent Hwy, GEILSTON BAY 7015",Lindisfarne North Primary School,-42.838300,147.349000
Glen Huon,59,346,17.1,Franklin,Huon,Huon Valley,"801 Glen Huon Rd, GLEN HUON 7109",Glen Huon Primary School,-43.027800,146.962000
Hobart City (Franklin),83,259,32.0,Franklin,N/A,N/A,"Level 1, HOBART 7000",144 Macquarie St,-42.885223,147.327458
Howden,103,435,23.7,Franklin,Huon,Kingborough,"392 Howden Rd, HOWDEN 7054",Howden Fire Station,-43.019128,147.291545
Howrah,300,2237,13.4,Franklin,Pembroke,Clarence City,"7 Howrah Rd, HOWRAH 7018","Howrah Scout Hall, Howrah Primary School",-42.881900,147.404000
Huonville,187,1489,12.6,Franklin,Huon,Huon Valley,"74 Wilmot Rd, HUONVILLE 7109",Huonville Primary School,-43.024240,147.044783
Judbury,48,285,16.8,Franklin,Huon,Huon Valley,"1273 Glen Huon Rd, JUDBURY 7109",Judbury Hall,-42.998200,146.928300
Kettering,152,527,28.8,Franklin,Huon,Kingborough,"2963 Channel Hwy, KETTERING 7155",Kettering Community Centre,-43.125700,147.247000
Kingston (Franklin),436,2318,18.8,Franklin,Nelson,Kingborough,"7 Goshawk Way, KINGSTON 7050",Kingborough Community Hub,-42.976944,147.308333
Kingston Beach (Franklin),409,1750,23.4,Franklin,Nelson,Kingborough,"20 Beach Rd, KINGSTON BEACH 7050",Kingston Beach Hall,-42.981534,147.323507
Lauderdale,372,2351,15.8,Franklin,Rumney,Clarence City,"528A South Arm Rd, LAUDERDALE 7021",Lauderdale Community Hall,-42.913663,147.486270
Lindisfarne,280,1459,19.2,Franklin,Pembroke,Clarence City,"17 Loatta Rd, LINDISFARNE 7015",Lindisfarne Primary School,-42.851900,147.363000
Lindisfarne Village,274,1514,18.1,Franklin,Pembroke,Clarence City,"37A Lincoln St, LINDISFARNE 7015",Lindisfarne Citizens Activities Centre,-42.847111,147.355308
Maranoa Heights,202,1579,12.8,Franklin,Nelson,Kingborough,"150 Redwood Rd, KINGSTON 7050",Southern Christian College,-42.989600,147.309000
Margate,395,2075,19.0,Franklin,Huon,Kingborough,"1744 Channel Hwy, MARGATE 7054",Margate Hall,-43.029000,147.263000
Middleton,60,292,20.5,Franklin,Huon,Kingborough,"25 McDowall St, MIDDLETON 7163",South Channel Community Centre,-43.231100,147.256000
Montagu Bay,202,1142,17.7,Franklin,Pembroke,Clarence City,"10 Conara Rd, MONTAGU BAY 7018",Montagu Bay Primary School,-42.864600,147.353000
Mornington,80,724,11.0,Franklin,Pembroke,Clarence City,"400 Cambridge Rd, MORNINGTON 7018",Citywide Baptist Church,-42.856351,147.401753
Mountain River,134,662,20.2,Franklin,Huon,Huon Valley,"263 Mountain River Rd, MOUNTAIN RIVER 7109",Mountain River Memorial Hall,-42.961400,147.109000
Ranelagh,152,1057,14.4,Franklin,Huon,Huon Valley,"40 Marguerite St, RANELAGH 7109",Ranelagh Memorial Hall,-43.008600,147.039000
Risdon Vale,76,1226,6.2,Franklin,Rumney,Clarence City,"2 Heather Rd, RISDON VALE 7016",Risdon Vale Primary School,-42.813100,147.354000
Rokeby,125,1526,8.2,Franklin,Rumney,Clarence City,"73 Burtonia St, ROKEBY 7019",Rokeby Primary School,-42.898953,147.433723
Sandfly (Franklin),184,801,23.0,Franklin,Huon,Kingborough,"811 Sandfly Rd, SANDFLY 7150",Sandfly Hall,-42.985000,147.196000
Sandford,302,1388,21.8,Franklin,Rumney,Clarence City,"949 South Arm Rd, SANDFORD 7020",Sandford Hall,-42.940200,147.495000
Seven Mile Beach,175,867,20.2,Franklin,Rumney,Clarence City,"78 Surf Rd, SEVEN MILE BEACH 7170",Ramada Resort By Wyndham Seven Mile Beach,-42.852600,147.511000
Snug,267,1209,22.1,Franklin,Huon,Kingborough,"2208 Channel Hwy, SNUG 7054",Snug Primary School,-43.066400,147.255000
South Arm,142,674,21.1,Franklin,Rumney,Clarence City,"32 Harmony Lane, SOUTH ARM 7022",South Arm Primary School,-43.026400,147.421000
Southport,22,166,13.3,Franklin,Huon,Huon Valley,"8606 Huon Hwy, SOUTHPORT 7109",Southport Community Centre,-43.418985,146.959638
Tranmere,279,2163,12.9,Franklin,Pembroke,Clarence City,"27 Tranmere Rd, HOWRAH 7018",Tranmere Hall,-42.891100,147.409000
Warrane,221,1849,12.0,Franklin,Pembroke,Clarence City,"213 Cambridge Rd, WARRANE 7018",Warrane Primary School,-42.861150,147.382560
