PollingPlaceNm,DivisionNm,GreensVotes_2019,TotalVotes_2019,GreensPercentage_2019,SwingPercentage,PremisesNm_2019,PremisesAddress_2019,Latitude,Longitude,LegCo,LocalCouncil
Abbotsham,Braddon,11,142,7.7,1.1,Abbotsham Hall,"590 Castra Rd, ABBOTSHAM 7315",-41.2135,146.174,Montgomery,Central Coast
Acton,Braddon,46,1339,3.4,0.0,Burnie Child and Family Centre,"36 Thorne St, ACTON 7320",-41.07264,145.89229,Montgomery,Burnie City
Boat Harbour,Braddon,30,389,7.7,-4.3,Boat Harbour Primary School,"17386 Bass Hwy, BOAT HARBOUR 7321",-40.9452,145.636,Murchison,Waratah-Wynyard
Burnie,Braddon,78,1084,7.2,0.8,Burnie City Council Offices,"80 Wilson St, BURNIE 7320",-41.0532,145.906,Murchison,Burnie City
Calder,Braddon,4,146,2.7,-7.9,Calder Hall,"1320 Calder Rd, CALDER 7325",-41.0685,145.631,Murchison,Waratah-Wynyard
Cooee,Braddon,52,808,6.4,0.8,Cooee Primary School,"30 Fidler St, COOEE 7320",-41.04076,145.86801,Murchison,Burnie City
Currie,Braddon,29,636,4.6,-1.2,Currie Town Hall,"10 George St, CURRIE 7256",-39.9298,143.855,Murchison,King Island
Devonport,Braddon,23,646,3.6,,Addison Street Scout Hall,"11 Addison St, DEVONPORT 7310",-41.1737,146.344,Mersey,Devonport City
Devonport Central,Braddon,90,1172,7.7,0.9,Old Devonport Regional Gallery,"45 Stewart St, DEVONPORT 7310",-41.179983,146.359846,Mersey,Devonport City
Devonport North West,Braddon,132,2054,6.4,1.1,Nixon Street Primary School,"60 Nixon St, DEVONPORT 7310",-41.1728,146.337,Mersey,Devonport City
Devonport South,Braddon,67,1186,5.6,2.2,Reece High School,"41-43 Middle Rd, DEVONPORT 7310",-41.1893,146.349,Mersey,Devonport City
Devonport West,Braddon,38,1129,3.4,0.2,TasTafe,"20-36 Valley Rd, DEVONPORT 7310",-41.1864,146.345,Mersey,Devonport City
Don,Braddon,68,1088,6.2,1.3,Don Memorial Hall,"17 Forth Rd, DON 7310",-41.1827,146.318,Mersey,Devonport City
East Devonport,Braddon,60,1799,3.3,0.0,East Devonport Primary School,"19-21 Thomas St, EAST DEVONPORT 7310",-41.1779,146.372,Mersey,Devonport City
Edith Creek,Braddon,9,187,4.8,1.0,Edith Creek Primary School,"1282 Trowutta Rd, EDITH CREEK 7330",-40.9705,145.092,Murchison,Circular Head
Elliott,Braddon,24,340,7.1,-1.5,Elliott Community Centre,"829 Murchison Hwy, ELLIOTT 7325",-41.0922,145.782,Murchison,Waratah-Wynyard
Forest,Braddon,6,385,1.6,-0.2,Forest Primary School,"422 Mengha Rd, FOREST 7330",-40.8486,145.248,Murchison,Circular Head
Forth,Braddon,51,564,9.0,0.1,Forth Primary School,"45 Wilmot Rd, FORTH 7310",-41.192921,146.248975,Montgomery,Central Coast
Gawler,Braddon,14,421,3.3,-1.4,Gawler Hall,"15 Top Gawler Rd, GAWLER 7315",-41.1852,146.16,Montgomery,Central Coast
Grassy,Braddon,6,168,3.6,0.7,Grassy Club,"10 Grassy Rd, GRASSY 7256",-40.0484,144.058,Murchison,King Island
Havenview,Braddon,16,462,3.5,0.8,Havenview Primary School,"15 Marriott St, HAVENVIEW 7320",-41.0836,145.911,Montgomery,Burnie City
Heybridge,Braddon,11,259,4.2,-2.1,Blythe Heads Hall,"Sice Ave, HEYBRIDGE 7316",-41.0751,145.986,Montgomery,Central Coast
Highclere,Braddon,3,160,1.9,-0.5,Highclere Community Centre,"1558 Ridgley Hwy, HIGHCLERE 7321",-41.1904,145.806,Montgomery,Burnie City
Irishtown,Braddon,2,350,0.6,-0.1,Irishtown Lodge Arthur Temple,"604 Irishtown Rd, IRISHTOWN 7330",-40.9133,145.145,Murchison,Circular Head
Latrobe,Braddon,54,1440,3.8,-0.2,Latrobe Memorial Hall,"170 Gilbert St, LATROBE 7307",-41.2365,146.415,Mersey,Latrobe
Latrobe South,Braddon,34,976,3.5,,Latrobe Primary School,"23 Lewis St, LATROBE 7307",-41.239619,146.416013,Mersey,Latrobe
Marrawah,Braddon,9,261,3.4,-0.7,Marrawah Memorial Hall,"844 Comeback Rd, MARRAWAH 7330",-40.9229,144.697,Murchison,Circular Head
Melrose,Braddon,14,225,6.2,-5.0,Melrose Memorial Hall,"673 Melrose Rd, MELROSE 7310",-41.2417,146.289,Mersey,Devonport City
Montello,Braddon,37,892,4.1,-1.3,Montello Primary School,"83 Bird St, MONTELLO 7320",-41.0605,145.898,Murchison,Burnie City
Moorleah,Braddon,13,188,6.9,-0.6,Moorleah Community Centre,"720 Preolenna Rd, MOORLEAH 7321",-40.981,145.616,Murchison,Waratah-Wynyard
Moriarty,Braddon,16,221,7.2,0.5,Moriarty Hall,"1 Bonneys Lane, MORIARTY 7307",-41.217206,146.481308,Mersey,Latrobe
