PollingPlaceNm,DivisionNm,GreensVotes_2019,TotalVotes_2019,GreensPercentage_2019,SwingPercentage,PremisesNm_2019,PremisesAddress_2019,Latitude,Longitude,LegCo,LocalCouncil
Beaconsfield,Bass,68,1063,6.4,-0.5,Beaconsfield Senior Citizens' Hall,"121 Weld St, BEACONSFIELD 7270",-41.2024,146.819,Rosevears,West Tamar
Beauty Point,Bass,35,596,5.9,0.0,Tamar Yacht Club,"1 Wharf Rd, BEAUTY POINT 7270",-41.157461,146.822319,Rosevears,West Tamar
Branxholm,Bass,14,207,6.8,-2.9,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-41.165606,147.73648,McIntyre,Dorset
Bridport,Bass,51,1060,4.8,-1.0,Bridport Hall,"Main St, BRIDPORT 7262",-41.0026,147.395,McIntyre,Dorset
Derby,Bass,24,134,17.9,5.5,Derby Town Hall,"1 Krushka St, DERBY 7264",-41.14933,147.80236000000005,McIntyre,Dorset
Dilston,Bass,81,640,12.7,-0.2,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-41.3368,147.082,Windermere,Launceston City
East Launceston,Bass,329,1553,21.2,0.6,East Launceston Primary School,"18 Mary St, EAST LAUNCESTON 7250",-41.44144,147.151372,Launceston,Launceston City
Exeter,Bass,135,1275,10.6,-0.1,Exeter High School Gymnasium,"28 Glen Ard Mohr Rd, EXETER 7275",-41.2996,146.957,Rosevears,West Tamar
Five Ways,Bass,137,814,16.8,7.2,Kim Roe School of Dance,"89-91 Meredith Cres, SOUTH LAUNCESTON 7249",-41.457583,147.151925,Launceston,Launceston City
George Town,Bass,72,1737,4.1,-0.7,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-41.106907,146.821868,Windermere,George Town
George Town South,Bass,33,962,3.4,-0.7,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-41.1124,146.833,Windermere,George Town
Gladstone,Bass,10,143,7.0,0.3,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-40.9601,148.00799999999998,McIntyre,Dorset
Glengarry,Bass,22,299,7.4,-0.9,Glengarry Catholic Church,"33 Glengarry Rd, GLENGARRY 7275",-41.335033,146.870343,Rosevears,West Tamar
Gravelly Beach,Bass,82,519,15.8,-3.2,Edinburgh Park Equestrian Centre,"401 Gravelly Beach Rd, GRAVELLY BEACH 7276",-41.2939,146.97299999999998,Rosevears,West Tamar
Hillwood,Bass,43,383,11.2,2.1,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-41.236252,146.974945,Windermere,George Town
Inveresk,Bass,142,1115,12.7,0.5,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-41.421676,147.131233,Windermere,Launceston City
Invermay,Bass,131,1022,12.8,1.7,St Finn Barr's School,"247 Invermay Rd, INVERMAY 7248",-41.4157,147.132,Windermere,Launceston City
Karoola,Bass,29,334,8.7,-2.3,Karoola Hall,"1126 Pipers River Rd, KAROOLA 7267",-41.2539,147.148,Windermere,Launceston City
Kelso,Bass,32,321,10.0,0.6,Kelso Community Centre,"Foreshore Rd, KELSO 7270",-41.1037,146.79399999999998,Rosevears,West Tamar
Kings Meadows,Bass,143,2049,7.0,-0.2,YMCA Centre,"8A Blaydon St, KINGS MEADOWS 7249",-41.4677,147.16,Launceston,Launceston City
Lady Barron,Bass,7,124,5.6,-0.3,Lady Barron Memorial Hall,"Main St, LADY BARRON 7255",-40.211081,148.240354,McIntyre,Flinders
Launceston,Bass,228,1000,22.8,2.7,Pilgrim Hall,"36 Paterson St, LAUNCESTON 7250",-41.4366,147.137,Launceston,Launceston City
Launceston Central,Bass,319,1680,19.0,1.2,,"59 Bathurst St, LAUNCESTON 7250",-41.442151,147.136819,Launceston,Launceston City
Lebrina,Bass,33,222,14.9,5.5,Lebrina Memorial Hall,"905 Golconda Rd, LEBRINA 7254",-41.1773,147.22799999999998,Windermere,Launceston City
Legana,Bass,208,2232,9.3,,Legana Memorial Hall,"43 Fulton St, LEGANA 7277",-41.3632,147.047,Rosevears,West Tamar
Legana Central,Bass,31,261,11.9,,Legana Regis,"1-9 Freshwater Point Rd, LEGANA 7277",-41.36358900000001,147.039798,Rosevears,West Tamar
Lilydale,Bass,91,678,13.4,-1.6,Lilydale Memorial Hall,"1949 Main Rd, LILYDALE 7268",-41.2523,147.216,Windermere,Launceston City
Mowbray,Bass,90,833,10.8,4.2,Launceston Church Grammar School,"36 Button St, MOWBRAY 7248",-41.40814,147.13105900000005,Windermere,Launceston City
Newnham,Bass,108,1901,5.7,0.6,Launceston North Uniting Church,"128-132 George Town Rd, NEWNHAM 7248",-41.3873,147.128,Windermere,Launceston City
Newnham Alanvale,Bass,57,945,6.0,,North Launceston Bowls and Community Club,"1B George Town Rd, NEWNHAM 7248",-41.400285,147.12866499999996,Windermere,Launceston City
Newstead,Bass,215,1772,12.1,-1.0,Police Citizens & Youth Club,"148 Abbott St, NEWSTEAD 7250",-41.4472,147.157,Launceston,Launceston City
Norwood,Bass,164,1868,8.8,1.6,Norwood Primary School,"103 Norwood Ave, NORWOOD 7250",-41.4621,147.174,Launceston,Launceston City
Norwood North,Bass,53,452,11.7,,Queechy High School,"161 Penquite Rd, NORWOOD 7250",-41.451953,147.176075,Launceston,Launceston City
Nunamara,Bass,27,279,9.7,-0.8,Nunamara Memorial Hall,"39461 Tasman Hwy, NUNAMARA 7259",-41.394,147.296,Windermere,Launceston City
Pipers River,Bass,8,241,3.3,-3.7,Pipers River Fire Station,"76 School Rd, PIPERS RIVER 7252",-41.1006,147.091,Windermere,George Town
Prospect (Bass),Bass,40,450,8.9,,St Patrick's College,"282 Westbury Rd, PROSPECT 7250",-41.472,147.126,Rosevears,Launceston City
Ravenswood,Bass,62,1619,3.8,-0.6,Ravenswood Primary School,"27 Prossers Forest Rd, RAVENSWOOD 7250",-41.415955,147.179654,Windermere,Launceston City
Ringarooma,Bass,8,297,2.7,-0.6,Ringarooma Hall,"4 Charles St, RINGAROOMA 7263",-41.24241,147.73568,McIntyre,Dorset
Riverside,Bass,78,861,9.1,-0.2,Launceston Christian School,"452a West Tamar Rd, RIVERSIDE 7250",-41.400582,147.091327,Rosevears,West Tamar
Riverside North,Bass,90,877,10.3,,Riverside Gospel Chapel,"453 West Tamar Rd, RIVERSIDE 7250",-41.40312,147.089092,Rosevears,West Tamar
Rocherlea,Bass,31,798,3.9,0.4,Brooks High School,"215 George Town Rd, ROCHERLEA 7248",-41.378531,147.121503,Windermere,Launceston City
Scottsdale,Bass,64,1577,4.1,0.4,Scottsdale High School,"20 Coplestone Rd, SCOTTSDALE 7260",-41.157117,147.50867399999996,McIntyre,Dorset
Sidmouth,Bass,49,465,10.5,-4.0,Sidmouth Community Centre,"255 Batman Hwy, SIDMOUTH 7270",-41.2221,146.887,Rosevears,West Tamar
South Launceston,Bass,110,675,16.3,-0.8,Door of Hope,"50 Glen Dhu Street, LAUNCESTON 7250",-41.455287,147.140429,Rosevears,Launceston City
St Leonards,Bass,59,1218,4.8,-1.1,St Leonards Primary School,"330-342 St Leonards Rd, ST LEONARDS 7250",-41.4597,147.2,Windermere,Launceston City
Summerhill (Bass),Bass,124,2180,5.7,,Summerhill Baptist Church,"87 Stanley St, SUMMERHILL 7250",-41.465798,147.12723799999995,Rosevears,Launceston City
Trevallyn,Bass,349,1450,24.1,0.4,Trevallyn Life Church,"34 Pitt Ave, TREVALLYN 7250",-41.4301,147.106,Rosevears,West Tamar
Trevallyn Central,Bass,133,1342,9.9,,Trevallyn Primary School,"55 Gorge Rd, TREVALLYN 7250",-41.4381,147.115,Rosevears,West Tamar
Waverley,Bass,51,907,5.6,-0.3,Waverley School Hall,"6 Naroo St, WAVERLEY 7250",-41.4321,147.19,Windermere,Launceston City
West Launceston,Bass,275,1205,22.8,2.0,West Launceston Primary School,"24-38 Basin Rd, WEST LAUNCESTON 7250",-41.4492,147.129,Rosevears,Launceston City
Weymouth,Bass,11,162,6.8,0.0,Weymouth Hall,"18 Major St, WEYMOUTH 7252",-41.0153,147.154,Windermere,George Town
Whitemark,Bass,54,376,14.4,2.5,Lions Club,"1 James St, WHITEMARK 7255",-40.1214,148.019,McIntyre,Flinders
Winnaleah,Bass,7,195,3.6,1.0,Winnaleah Memorial Hall,"20 Main St, WINNALEAH 7265",-41.0979,147.82399999999998,McIntyre,Dorset
Youngtown,Bass,97,1489,6.5,1.4,Youngtown Primary School,"Victoria St, YOUNGTOWN 7249",-41.4823,147.164,Launceston,Launceston City
Abbotsham,Braddon,11,152,7.2,0.9,Abbotsham Hall,"590 Castra Rd, ABBOTSHAM 7315",-41.2135,146.174,Montgomery,Central Coast
Acton,Braddon,46,1414,3.3,0.1,Burnie Child and Family Centre,"36 Thorne St, ACTON 7320",-41.07264,145.89229,Montgomery,Burnie City
Boat Harbour,Braddon,30,405,7.4,-4.1,Boat Harbour Primary School,"17386 Bass Hwy, BOAT HARBOUR 7321",-40.9452,145.636,Murchison,Waratah-Wynyard
Burnie,Braddon,78,1139,6.8,0.6,Burnie City Council Offices,"80 Wilson St, BURNIE 7320",-41.0532,145.906,Murchison,Burnie City
Calder,Braddon,4,155,2.6,-7.5,Calder Hall,"1320 Calder Rd, CALDER 7325",-41.0685,145.631,Murchison,Waratah-Wynyard
Cooee,Braddon,52,838,6.2,0.8,Cooee Primary School,"30 Fidler St, COOEE 7320",-41.04076,145.86801,Murchison,Burnie City
Currie,Braddon,29,657,4.4,-1.2,Currie Town Hall,"10 George St, CURRIE 7256",-39.9298,143.855,Murchison,King Island
Devonport,Braddon,23,689,3.3,,Addison Street Scout Hall,"11 Addison St, DEVONPORT 7310",-41.1737,146.344,Mersey,Devonport City
Devonport Central,Braddon,90,1228,7.3,0.8,Old Devonport Regional Gallery,"45 Stewart St, DEVONPORT 7310",-41.179983,146.359846,Mersey,Devonport City
Devonport North West,Braddon,132,2143,6.2,1.2,Nixon Street Primary School,"60 Nixon St, DEVONPORT 7310",-41.1728,146.33700000000002,Mersey,Devonport City
Devonport South,Braddon,67,1261,5.3,2.1,Reece High School,"41-43 Middle Rd, DEVONPORT 7310",-41.1893,146.349,Mersey,Devonport City
Devonport West,Braddon,38,1193,3.2,0.2,TasTafe,"20-36 Valley Rd, DEVONPORT 7310",-41.1864,146.345,Mersey,Devonport City
Don,Braddon,68,1124,6.0,1.3,Don Memorial Hall,"17 Forth Rd, DON 7310",-41.1827,146.31799999999998,Mersey,Devonport City
East Devonport,Braddon,60,1975,3.0,-0.1,East Devonport Primary School,"19-21 Thomas St, EAST DEVONPORT 7310",-41.1779,146.372,Mersey,Devonport City
Edith Creek,Braddon,9,208,4.3,0.6,Edith Creek Primary School,"1282 Trowutta Rd, EDITH CREEK 7330",-40.9705,145.092,Murchison,Circular Head
Elliott,Braddon,24,357,6.7,-1.7,Elliott Community Centre,"829 Murchison Hwy, ELLIOTT 7325",-41.0922,145.782,Murchison,Waratah-Wynyard
Forest,Braddon,6,395,1.5,-0.3,Forest Primary School,"422 Mengha Rd, FOREST 7330",-40.8486,145.248,Murchison,Circular Head
Forth,Braddon,51,577,8.8,0.1,Forth Primary School,"45 Wilmot Rd, FORTH 7310",-41.19292100000001,146.248975,Montgomery,Central Coast
Gawler,Braddon,14,438,3.2,-1.2,Gawler Hall,"15 Top Gawler Rd, GAWLER 7315",-41.1852,146.16,Montgomery,Central Coast
Grassy,Braddon,6,178,3.4,0.6,Grassy Club,"10 Grassy Rd, GRASSY 7256",-40.0484,144.058,Murchison,King Island
Havenview,Braddon,16,484,3.3,0.7,Havenview Primary School,"15 Marriott St, HAVENVIEW 7320",-41.0836,145.911,Montgomery,Burnie City
Heybridge,Braddon,11,279,3.9,-2.1,Blythe Heads Hall,"Sice Ave, HEYBRIDGE 7316",-41.0751,145.986,Montgomery,Central Coast
Highclere,Braddon,3,166,1.8,-0.4,Highclere Community Centre,"1558 Ridgley Hwy, HIGHCLERE 7321",-41.1904,145.806,Montgomery,Burnie City
Irishtown,Braddon,2,376,0.5,-0.2,Irishtown Lodge Arthur Temple,"604 Irishtown Rd, IRISHTOWN 7330",-40.9133,145.145,Murchison,Circular Head
Latrobe,Braddon,54,1530,3.5,-0.3,Latrobe Memorial Hall,"170 Gilbert St, LATROBE 7307",-41.2365,146.415,Mersey,Latrobe
Latrobe South,Braddon,34,1014,3.4,,Latrobe Primary School,"23 Lewis St, LATROBE 7307",-41.239619,146.416013,Mersey,Latrobe
Marrawah,Braddon,9,274,3.3,-0.7,Marrawah Memorial Hall,"844 Comeback Rd, MARRAWAH 7330",-40.9229,144.697,Murchison,Circular Head
Melrose,Braddon,14,233,6.0,-5.1,Melrose Memorial Hall,"673 Melrose Rd, MELROSE 7310",-41.2417,146.289,Mersey,Devonport City
Montello,Braddon,37,937,3.9,-1.3,Montello Primary School,"83 Bird St, MONTELLO 7320",-41.0605,145.898,Murchison,Burnie City
Moorleah,Braddon,13,191,6.8,-0.5,Moorleah Community Centre,"720 Preolenna Rd, MOORLEAH 7321",-40.981,145.616,Murchison,Waratah-Wynyard
Moriarty,Braddon,16,232,6.9,0.4,Moriarty Hall,"1 Bonneys Lane, MORIARTY 7307",-41.217206,146.481308,Mersey,Latrobe
Natone,Braddon,13,151,8.6,1.5,Natone Primary School,"100 Upper Natone Rd, NATONE 7321",-41.1701,145.922,Montgomery,Burnie City
North Motton,Braddon,9,286,3.1,-6.2,North Motton Hall,"578 Preston Rd, NORTH MOTTON 7315",-41.20637,146.10936999999996,Montgomery,Central Coast
Penguin,Braddon,118,1923,6.1,-0.8,Penguin Uniting Church Hall,"50 Main Rd, PENGUIN 7316",-41.111999999999995,146.071,Montgomery,Central Coast
Port Sorell,Braddon,125,2245,5.6,-0.3,Port Sorell Memorial Hall,"cnr Meredith St & Darling St, PORT SORELL 7307",-41.165409,146.55571799999996,Mersey,Latrobe
Preston,Braddon,6,127,4.7,-2.1,Preston Community Centre,"1833 Preston Rd, PRESTON 7315",-41.2972,146.062,Montgomery,Central Coast
Queenstown,Braddon,21,588,3.6,0.6,Queenstown Memorial Hall,"53 Orr St, QUEENSTOWN 7467",-42.0802,145.558,Murchison,West Coast
