PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Beaconsfield,95,923,10.3,Bass,Rosevears,West Tamar,"92 Weld St, BEACONSFIELD 7270",Beaconsfield Community Centre,-41.202993,146.818608
Beauty Point,49,551,8.9,Bass,Rosevears,West Tamar,"Beatty St, BEAUTY POINT 7270",Beauty Point Uniting Church Hall,-41.148983,146.817506
Branxholm,19,198,9.6,Bass,McIntyre,Dorset,"Stoke St, BRANXHOLM 7261",Branxholm Community Hall,-41.165606,147.73648
Bridport,67,970,6.9,Bass,McIntyre,Dorset,"Main St, BRIDPORT 7262",Bridport Hall,-41.0026,147.395
Derby,30,105,28.6,Bass,McIntyre,Dorset,"1 Krushka St, DERBY 7264",Derby Town Hall,-41.14933,147.80236
Dilston,98,603,16.3,Bass,Windermere,Launceston City,"308 John Lees Dr, DILSTON 7252",Dilston War Memorial Hall,-41.3368,147.082
East Launceston,372,1489,25.0,Bass,Launceston,Launceston City,"18 Mary St, EAST LAUNCESTON 7250",East Launceston Primary School,-41.44144,147.151372
Exeter,152,1125,13.5,Bass,Rosevears,West Tamar,"28 Glen Ard Mohr Rd, EXETER 7275",Exeter High School Gymnasium,-41.2996,146.957
George Town,115,1427,8.1,Bass,Windermere,George Town,"29-67 Macquarie St, GEORGE TOWN 7253",George Town Memorial Hall,-41.106907,146.821868
George Town South,80,1047,7.6,Bass,Windermere,George Town,"Franklin St, GEORGE TOWN 7253",South George Town Primary School,-41.1124,146.833
Gladstone,10,150,6.7,Bass,McIntyre,Dorset,"1 Carr St, GLADSTONE 7264",Gladstone Hall,-40.9601,148.008
Glengarry,41,296,13.9,Bass,Rosevears,West Tamar,"33 Glengarry Rd, GLENGARRY 7275",Glengarry Catholic Church,-41.335033,146.870343
Gravelly Beach,127,605,21.0,Bass,Rosevears,West Tamar,"401 Gravelly Beach Rd, GRAVELLY BEACH 7276",Edinburgh Park Equestrian Centre,-41.2939,146.973
Hillwood,54,396,13.6,Bass,Windermere,George Town,"280 Hillwood Jetty Rd, HILLWOOD 7252",Hillwood Memorial Hall,-41.236252,146.974945
Invermay Central,174,942,18.5,Bass,Windermere,Launceston City,"35-43 Mayne St, INVERMAY 7248",Invermay Primary School,-41.421676,147.131233
Invermay South,216,977,22.1,Bass,Windermere,Launceston City,"2-4 Invermay Rd, INVERMAY 7248",Tramsheds,-41.428417,147.138618
Karoola,25,276,9.1,Bass,Windermere,Launceston City,"1126 Pipers River Rd, KAROOLA 7267",Karoola Hall,-41.2539,147.148
