PollingPlaceNm,DivisionNm,GreensVotes,TotalVotes,GreensPercentage,PremisesNm,PremisesAddress,Latitude,Longitude,LegCo,LocalCouncil
Blessington Upper,Bass,11,84,13.1,North Esk Memorial Hall,"3132 Blessington Rd, BLESSINGTON 7212",-41.482430,147.504940,Windermere,Launceston City
Branxholm,Bass,21,184,11.4,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-41.165606,147.736480,McIntyre,Dorset
Bridport,Bass,74,1085,6.8,Bridport Hall,"Main St, BRIDPORT 7262",-41.002600,147.395000,McIntyre,Dorset
Cosgrove Park,Bass,28,291,9.6,Cosgrove Park Bowls Club,"25 Waveney St, SOUTH LAUNCESTON 7249",-41.461716,147.149642,Launceston,Launceston City
Derby,Bass,16,101,15.8,Derby Town Hall,"1 Krushka St, DERBY 7264",-41.149330,147.802360,McIntyre,Dorset
Dilston,Bass,119,633,18.8,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-41.336800,147.082000,Windermere,Launceston City
East Launceston,Bass,241,954,25.3,East Launceston Primary School,"18 Mary St, EAST LAUNCESTON 7250",-41.441440,147.151372,Launceston,Launceston City
Elphin,Bass,129,809,15.9,Newstead College,"30 Cypress St, NEWSTEAD 7250",-41.433103,147.160799,Windermere,Launceston City
Five Ways,Bass,192,1306,14.7,St Mark's Church Hall,"6 Hobart Rd, SOUTH LAUNCESTON 7249",-41.459080,147.154020,Launceston,Launceston City
General Hospital,Bass,164,685,23.9,Launceston General Hospital,"Charles St, LAUNCESTON 7250",-41.446461,147.141338,Launceston,Launceston City
George Town,Bass,139,1667,8.3,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-41.106907,146.821868,Windermere,George Town
George Town South,Bass,58,892,6.5,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-41.112400,146.833000,Windermere,George Town
Gladstone,Bass,17,152,11.2,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-40.960100,148.008000,McIntyre,Dorset
Hadspen,Lyons,66,1088,6.1,Hadspen Uniting Church Centre,"47 Main St, HADSPEN 7290",-41.506400,147.064000,Launceston,Meander Valley
Hillwood,Bass,64,375,17.1,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-41.236252,146.974945,Windermere,George Town
Inveresk,Bass,144,949,15.2,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-41.421676,147.131233,Windermere,Launceston City
