PollingPlaceNm,DivisionNm,GreensVotes,TotalVotes,GreensPercentage,PremisesNm,PremisesAddress,Latitude,Longitude,LegCo,LocalCouncil
Austins Ferry,Clark,93,1666,5.6,St Virgil's College,"195 Main Rd, AUSTINS FERRY 7011",-42.774487,147.251105,Derwent,Glenorchy City
Battery Point,Clark,400,1196,33.4,St George's Church Hall,"28 Cromwell St, BATTERY POINT 7004",-42.891559,147.332663,Hobart,Hobart City
Battery Point West,Clark,162,499,32.5,Albuera Street Primary School,"10A Albuera St, BATTERY POINT 7004",-42.891200,147.326000,Hobart,Hobart City
Cascades,Clark,469,931,50.4,Badminton Association Centre,"101 Cascade Rd, SOUTH HOBART 7004",-42.895023,147.299845,Hobart,Hobart City
Chigwell,Clark,74,1029,7.2,Chigwell Barn,"10 Bucaan St, CHIGWELL 7011",-42.811194,147.241655,Derwent,Glenorchy City
Claremont,Clark,177,2366,7.5,Claremont Girl Guides Hall,"3 Boxhill Rd, CLAREMONT 7011",-42.792307,147.255999,Derwent,Glenorchy City
Collinsvale,Clark,70,368,19.0,Collinsvale Primary School,"508 Collinsvale Rd, COLLINSVALE 7012",-42.836700,147.198000,Elwick,Glenorchy City
Derwent Park,Clark,80,597,13.4,Cosgrove High School,"286 Main Rd, DERWENT PARK 7010",-42.835341,147.283482,Elwick,Glenorchy City
Dynnyrne,Clark,370,1112,33.3,Princes Street Primary School,"Randall St, SANDY BAY 7005",-42.898400,147.319000,Nelson,Hobart City
Elwick,Clark,32,336,9.5,Glenorchy YMCA,"8A Constance Ave, GLENORCHY 7010",-42.832197,147.278997,Elwick,Glenorchy City
Fern Tree,Clark,289,514,56.2,Fern Tree Community Centre,"8 Stephenson Pl, FERN TREE 7054",-42.922300,147.262000,Hobart,Hobart City
Glenorchy,Clark,216,2519,8.6,Glenorchy Primary School,"Kensington St, GLENORCHY 7010",-42.832391,147.266343,Elwick,Glenorchy City
Glenorchy Central,Clark,131,1622,8.1,Glenorchy Civic Centre,"Cooper St, GLENORCHY 7010",-42.834090,147.276159,Elwick,Glenorchy City
Goodwood,Clark,40,562,7.1,Goodwood Primary School,"Elmsleigh Rd, MOONAH 7009",-42.831689,147.293744,Elwick,Glenorchy City
Hobart,Clark,77,241,32.0,G A Wood Hall,"29 Bathurst St, HOBART 7000",-42.878592,147.327711,Hobart,Hobart City
Hobart City,Clark,297,882,33.7,City Hall,"57-63 Macquarie St, HOBART 7000",-42.880478,147.331554,Hobart,Hobart City
Lenah Valley,Clark,235,1185,19.8,Lenah Valley Primary School,"11 Creek Rd, LENAH VALLEY 7008",-42.861200,147.290000,Elwick,Hobart City
Kingston (Clark),Clark,125,525,23.8,Kingborough Council,"15 Channel Hwy, KINGSTON 7050",-42.975418,147.311650,Nelson,Kingborough
Lenah Valley East,Clark,358,1653,21.7,St Andrew's Hall,"Lenah Valley Rd, LENAH VALLEY 7008",-42.862692,147.284067,Elwick,Hobart City
Lower Sandy Bay,Clark,348,1912,18.2,St Stephen's Church Hall,"520 Sandy Bay Rd, SANDY BAY 7005",-42.908700,147.346000,Nelson,Hobart City
